NV: NV, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04671	0.04500	0.18	100000	4500	96327	6611368	66.11
1941-1944	1-4	0.00361	0.01430	1.35	95500	1366	378377	6515040	68.22
1941-1944	5-9	0.00130	0.00650	2.29	94134	612	469017	6136663	65.19
1941-1944	10-14	0.00091	0.00452	2.56	93523	423	466583	5667646	60.60
1941-1944	15-19	0.00161	0.00801	2.73	93100	746	463804	5201063	55.87
1941-1944	20-24	0.00240	0.01196	2.59	92354	1104	459109	4737259	51.29
1941-1944	25-29	0.00260	0.01293	2.48	91250	1180	453278	4278150	46.88
1941-1944	30-34	0.00277	0.01375	2.62	90070	1239	447400	3824872	42.47
1941-1944	35-39	0.00429	0.02124	2.65	88831	1887	439726	3377472	38.02
1941-1944	40-44	0.00530	0.02618	2.54	86945	2276	429124	2937746	33.79
1941-1944	45-49	0.00619	0.03048	2.52	84669	2581	416937	2508622	29.63
1941-1944	50-54	0.00775	0.03804	2.67	82088	3123	403179	2091685	25.48
1941-1944	55-59	0.01399	0.06771	2.63	78965	5347	382172	1688506	21.38
1941-1944	60-64	0.02034	0.09704	2.65	73619	7144	351295	1306334	17.74
1941-1944	65-69	0.03269	0.15146	2.58	66475	10068	308013	955038	14.37
1941-1944	70-74	0.04742	0.21291	2.6	56407	12010	253266	647026	11.47
1941-1944	75-79	0.08191	0.33922	2.47	44397	15060	183875	393760	8.87
1941-1944	80-84	0.09609	0.38802	2.52	29337	11383	118465	209885	7.15
1941-1944	85-89	0.15983	0.56288	2.37	17954	10106	63225	91420	5.09
1941-1944	90-94	0.25256	0.73533	2.16	7848	5771	22849	28195	3.59
1941-1944	95-99	0.37373	0.86461	1.89	2077	1796	4805	5346	2.57
1941-1944	100-104	0.51303	0.93788	1.62	281	264	514	541	1.92
1941-1944	105-109	0.65154	0.97135	1.39	17	17	26	27	1.53
1941-1944	110+	0.75530	1.00000	1.32	1	1	1	1	1.32
1945-1949	0	0.03435	0.03338	0.15	100000	3338	97160	6923154	69.23
1945-1949	1-4	0.00176	0.00700	1.54	96662	676	384983	6825994	70.62
1945-1949	5-9	0.00072	0.00361	2.54	95986	347	479076	6441011	67.10
1945-1949	10-14	0.00061	0.00304	2.67	95639	291	477519	5961935	62.34
1945-1949	15-19	0.00140	0.00696	2.75	95348	663	475249	5484416	57.52
1945-1949	20-24	0.00169	0.00840	2.38	94685	795	471346	5009168	52.90
1945-1949	25-29	0.00149	0.00741	2.73	93890	695	467871	4537821	48.33
1945-1949	30-34	0.00288	0.01428	2.6	93195	1331	462782	4069951	43.67
1945-1949	35-39	0.00300	0.01488	2.58	91864	1367	456011	3607169	39.27
1945-1949	40-44	0.00471	0.02331	2.66	90498	2110	447557	3151158	34.82
1945-1949	45-49	0.00609	0.02999	2.6	88388	2651	435567	2703601	30.59
1945-1949	50-54	0.00871	0.04267	2.64	85737	3659	420055	2268034	26.45
1945-1949	55-59	0.01241	0.06022	2.55	82079	4943	398261	1847979	22.51
1945-1949	60-64	0.01466	0.07087	2.65	77136	5467	372811	1449718	18.79
1945-1949	65-69	0.02975	0.13912	2.67	71669	9970	335121	1076906	15.03
1945-1949	70-74	0.04200	0.19033	2.54	61699	11743	279570	741785	12.02
1945-1949	75-79	0.07095	0.30439	2.67	49956	15206	214332	462215	9.25
1945-1949	80-84	0.10310	0.40854	2.46	34750	14197	137701	247884	7.13
1945-1949	85-89	0.15443	0.54768	2.35	20553	11256	72888	110183	5.36
1945-1949	90-94	0.22428	0.68788	2.19	9297	6395	28513	37295	4.01
1945-1949	95-99	0.31328	0.80705	2	2902	2342	7475	8782	3.03
1945-1949	100-104	0.41811	0.89142	1.78	560	499	1194	1307	2.33
1945-1949	105-109	0.53110	0.94192	1.57	61	57	108	113	1.87
1945-1949	110+	0.62310	1.00000	1.6	4	4	6	6	1.60
1950-1954	0	0.02866	0.02797	0.13	100000	2797	97576	7176811	71.77
1950-1954	1-4	0.00127	0.00506	1.86	97203	492	387760	7079236	72.83
1950-1954	5-9	0.00061	0.00307	2.22	96711	297	482732	6691475	69.19
1950-1954	10-14	0.00040	0.00202	2.67	96415	195	481619	6208743	64.40
1950-1954	15-19	0.00093	0.00466	2.77	96220	448	480098	5727124	59.52
1950-1954	20-24	0.00139	0.00692	2.62	95772	662	477279	5247026	54.79
1950-1954	25-29	0.00163	0.00811	2.48	95109	772	473598	4769747	50.15
1950-1954	30-34	0.00164	0.00815	2.61	94338	769	469848	4296149	45.54
1950-1954	35-39	0.00230	0.01143	2.56	93568	1070	465234	3826302	40.89
1950-1954	40-44	0.00287	0.01428	2.74	92499	1321	459513	3361068	36.34
1950-1954	45-49	0.00599	0.02954	2.69	91178	2694	449663	2901555	31.82
1950-1954	50-54	0.00781	0.03833	2.6	88485	3392	434273	2451892	27.71
1950-1954	55-59	0.01023	0.04989	2.56	85093	4245	415124	2017619	23.71
1950-1954	60-64	0.01331	0.06453	2.63	80848	5217	391868	1602495	19.82
1950-1954	65-69	0.02194	0.10440	2.69	75630	7896	359942	1210627	16.01
1950-1954	70-74	0.04144	0.18884	2.66	67734	12791	308684	850685	12.56
1950-1954	75-79	0.06426	0.27679	2.5	54944	15208	236677	542001	9.86
1950-1954	80-84	0.09213	0.37401	2.49	39736	14862	161310	305324	7.68
1950-1954	85-89	0.13902	0.50955	2.38	24874	12675	91169	144013	5.79
1950-1954	90-94	0.20382	0.65182	2.24	12199	7952	39015	52844	4.33
1950-1954	95-99	0.28795	0.77859	2.05	4248	3307	11485	13830	3.26
1950-1954	100-104	0.38928	0.87275	1.84	940	821	2108	2345	2.49
1950-1954	105-109	0.50119	0.93144	1.63	120	111	222	236	1.97
1950-1954	110+	0.59354	1.00000	1.68	8	8	14	14	1.68
1955-1959	0	0.02717	0.02654	0.13	100000	2654	97689	7270208	72.70
1955-1959	1-4	0.00100	0.00400	1.45	97346	389	388392	7172519	73.68
1955-1959	5-9	0.00044	0.00218	2.64	96957	211	484286	6784127	69.97
1955-1959	10-14	0.00044	0.00219	2.49	96746	212	483196	6299841	65.12
1955-1959	15-19	0.00073	0.00364	2.64	96534	351	481840	5816645	60.25
1955-1959	20-24	0.00143	0.00711	2.72	96183	683	479354	5334805	55.47
1955-1959	25-29	0.00130	0.00648	2.57	95499	619	475995	4855451	50.84
1955-1959	30-34	0.00167	0.00831	2.54	94880	789	472462	4379456	46.16
1955-1959	35-39	0.00246	0.01222	2.7	94092	1149	467818	3906994	41.52
