PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,b,1941-1949,0,0.03166,0.03082,0.14,100000,3082,97338,6623937,66.24
NY,b,1941-1949,1,0.00222,0.00222,0.5,96918,215,96811,6526599,67.34
NY,b,1941-1949,2,0.00149,0.00149,0.5,96703,144,96631,6429789,66.49
NY,b,1941-1949,3,0.00118,0.00118,0.5,96559,114,96502,6333158,65.59
NY,b,1941-1949,4,0.00101,0.00101,0.5,96445,98,96396,6236656,64.67
NY,b,1941-1949,5,0.00090,0.00090,0.5,96347,87,96304,6140260,63.73
NY,b,1941-1949,6,0.00082,0.00082,0.5,96260,79,96221,6043956,62.79
NY,b,1941-1949,7,0.00076,0.00076,0.5,96181,73,96144,5947735,61.84
NY,b,1941-1949,8,0.00071,0.00071,0.5,96108,68,96074,5851591,60.89
NY,b,1941-1949,9,0.00066,0.00066,0.5,96040,63,96008,5755517,59.93
NY,b,1941-1949,10,0.00062,0.00062,0.5,95976,60,95947,5659509,58.97
NY,b,1941-1949,11,0.00062,0.00062,0.5,95917,59,95887,5563563,58.00
NY,b,1941-1949,12,0.00064,0.00064,0.5,95858,61,95827,5467675,57.04
NY,b,1941-1949,13,0.00069,0.00069,0.5,95796,66,95763,5371848,56.08
NY,b,1941-1949,14,0.00077,0.00077,0.5,95730,74,95693,5276085,55.11
NY,b,1941-1949,15,0.00087,0.00087,0.5,95657,83,95615,5180392,54.16
NY,b,1941-1949,16,0.00096,0.00096,0.5,95574,92,95527,5084777,53.20
NY,b,1941-1949,17,0.00106,0.00106,0.5,95481,101,95431,4989249,52.25
NY,b,1941-1949,18,0.00114,0.00114,0.5,95381,109,95326,4893818,51.31
NY,b,1941-1949,19,0.00123,0.00123,0.5,95271,117,95213,4798492,50.37
NY,b,1941-1949,20,0.00131,0.00131,0.5,95155,124,95092,4703279,49.43
NY,b,1941-1949,21,0.00138,0.00138,0.5,95030,131,94965,4608187,48.49
NY,b,1941-1949,22,0.00143,0.00143,0.5,94899,136,94831,4513222,47.56
NY,b,1941-1949,23,0.00148,0.00148,0.5,94763,140,94693,4418391,46.63
NY,b,1941-1949,24,0.00151,0.00151,0.5,94624,143,94552,4323697,45.69
NY,b,1941-1949,25,0.00154,0.00153,0.5,94481,145,94409,4229145,44.76
NY,b,1941-1949,26,0.00158,0.00157,0.5,94336,148,94262,4134736,43.83
NY,b,1941-1949,27,0.00163,0.00163,0.5,94188,153,94111,4040474,42.90
NY,b,1941-1949,28,0.00171,0.00171,0.5,94034,161,93954,3946364,41.97
NY,b,1941-1949,29,0.00181,0.00181,0.5,93873,170,93789,3852410,41.04
NY,b,1941-1949,30,0.00193,0.00192,0.5,93704,180,93614,3758621,40.11
NY,b,1941-1949,31,0.00204,0.00204,0.5,93523,191,93428,3665008,39.19
NY,b,1941-1949,32,0.00217,0.00217,0.5,93333,202,93231,3571580,38.27
NY,b,1941-1949,33,0.00232,0.00232,0.5,93130,216,93022,3478348,37.35
NY,b,1941-1949,34,0.00248,0.00248,0.5,92914,230,92799,3385326,36.43
NY,b,1941-1949,35,0.00269,0.00269,0.5,92684,249,92560,3292527,35.52
NY,b,1941-1949,36,0.00291,0.00290,0.5,92435,268,92301,3199967,34.62
NY,b,1941-1949,37,0.00315,0.00315,0.5,92167,290,92022,3107666,33.72
NY,b,1941-1949,38,0.00346,0.00345,0.5,91877,317,91718,3015645,32.82
NY,b,1941-1949,39,0.00381,0.00380,0.5,91559,348,91385,2923927,31.93
NY,b,1941-1949,40,0.00419,0.00418,0.5,91211,381,91021,2832541,31.05
NY,b,1941-1949,41,0.00455,0.00454,0.5,90830,413,90624,2741520,30.18
NY,b,1941-1949,42,0.00498,0.00497,0.5,90418,449,90193,2650897,29.32
NY,b,1941-1949,43,0.00547,0.00546,0.5,89968,491,89723,2560704,28.46
NY,b,1941-1949,44,0.00595,0.00593,0.5,89477,531,89212,2470981,27.62
NY,b,1941-1949,45,0.00653,0.00651,0.5,88947,579,88657,2381769,26.78
NY,b,1941-1949,46,0.00712,0.00710,0.5,88368,627,88054,2293111,25.95
NY,b,1941-1949,47,0.00774,0.00771,0.5,87741,677,87403,2205057,25.13
NY,b,1941-1949,48,0.00850,0.00846,0.5,87064,737,86696,2117654,24.32
NY,b,1941-1949,49,0.00939,0.00934,0.5,86328,807,85924,2030958,23.53
NY,b,1941-1949,50,0.01046,0.01041,0.5,85521,890,85076,1945034,22.74
NY,b,1941-1949,51,0.01141,0.01134,0.5,84631,960,84151,1859958,21.98
NY,b,1941-1949,52,0.01235,0.01227,0.5,83671,1027,83157,1775807,21.22
NY,b,1941-1949,53,0.01344,0.01335,0.5,82644,1104,82092,1692650,20.48
NY,b,1941-1949,54,0.01455,0.01445,0.5,81540,1178,80951,1610558,19.75
NY,b,1941-1949,55,0.01584,0.01572,0.5,80362,1263,79731,1529606,19.03
NY,b,1941-1949,56,0.01712,0.01698,0.5,79099,1343,78428,1449875,18.33
NY,b,1941-1949,57,0.01848,0.01831,0.5,77756,1424,77044,1371448,17.64
NY,b,1941-1949,58,0.02011,0.01991,0.5,76333,1520,75573,1294403,16.96
NY,b,1941-1949,59,0.02192,0.02168,0.5,74813,1622,74002,1218831,16.29
NY,b,1941-1949,60,0.02400,0.02371,0.5,73191,1736,72323,1144829,15.64
NY,b,1941-1949,61,0.02590,0.02557,0.5,71455,1827,70541,1072506,15.01
NY,b,1941-1949,62,0.02795,0.02756,0.5,69628,1919,68668,1001965,14.39
NY,b,1941-1949,63,0.03041,0.02995,0.5,67709,2028,66695,933297,13.78
NY,b,1941-1949,64,0.03281,0.03228,0.5,65681,2120,64620,866602,13.19
NY,b,1941-1949,65,0.03587,0.03524,0.5,63560,2240,62440,801982,12.62
NY,b,1941-1949,66,0.03878,0.03804,0.5,61321,2333,60154,739541,12.06
NY,b,1941-1949,67,0.04166,0.04081,0.5,58988,2408,57784,679387,11.52
NY,b,1941-1949,68,0.04552,0.04450,0.5,56581,2518,55321,621603,10.99
NY,b,1941-1949,69,0.04971,0.04850,0.5,54062,2622,52751,566281,10.47
