NY: NY, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.02983	0.02908	0.14	100000	2908	97489	6746834	67.47
1941-1944	1-4	0.00156	0.00623	1.67	97092	605	386959	6649345	68.48
1941-1944	5-9	0.00072	0.00360	2.25	96488	347	481483	6262386	64.90
1941-1944	10-14	0.00060	0.00300	2.62	96140	289	480015	5780903	60.13
1941-1944	15-19	0.00098	0.00487	2.68	95852	467	478178	5300888	55.30
1941-1944	20-24	0.00139	0.00691	2.6	95385	659	475346	4822711	50.56
1941-1944	25-29	0.00175	0.00872	2.58	94726	826	471633	4347364	45.89
1941-1944	30-34	0.00224	0.01112	2.6	93900	1045	466993	3875731	41.28
1941-1944	35-39	0.00310	0.01537	2.64	92855	1427	460902	3408738	36.71
1941-1944	40-44	0.00434	0.02147	2.63	91428	1963	452488	2947836	32.24
1941-1944	45-49	0.00675	0.03320	2.66	89465	2970	440366	2495348	27.89
1941-1944	50-54	0.01023	0.04995	2.64	86495	4320	422265	2054982	23.76
1941-1944	55-59	0.01552	0.07486	2.63	82174	6152	396276	1632718	19.87
1941-1944	60-64	0.02432	0.11499	2.64	76023	8742	359483	1236442	16.26
1941-1944	65-69	0.03804	0.17425	2.59	67281	11724	308171	876959	13.03
1941-1944	70-74	0.06010	0.26173	2.54	55557	14541	241968	568788	10.24
1941-1944	75-79	0.08907	0.36343	2.47	41016	14906	167357	326820	7.97
1941-1944	80-84	0.12929	0.48462	2.42	26110	12653	97871	159463	6.11
1941-1944	85-89	0.18872	0.62255	2.27	13456	8377	44390	61592	4.58
1941-1944	90-94	0.27489	0.76250	2.08	5079	3873	14089	17201	3.39
1941-1944	95-99	0.37458	0.86228	1.87	1206	1040	2777	3113	2.58
1941-1944	100-104	0.48771	0.92629	1.65	166	154	316	336	2.02
1941-1944	105-109	0.60265	0.96111	1.46	12	12	20	20	1.65
1941-1944	110+	0.69283	1.00000	1.44	0	0	1	1	1.44
1945-1949	0	0.02607	0.02549	0.13	100000	2549	97772	6943519	69.44
1945-1949	1-4	0.00117	0.00468	1.61	97451	456	388714	6845747	70.25
1945-1949	5-9	0.00054	0.00270	2.35	96995	262	484281	6457032	66.57
1945-1949	10-14	0.00047	0.00232	2.6	96733	225	483126	5972751	61.74
1945-1949	15-19	0.00073	0.00364	2.69	96508	351	481731	5489625	56.88
1945-1949	20-24	0.00109	0.00544	2.61	96157	523	479537	5007894	52.08
1945-1949	25-29	0.00137	0.00681	2.59	95634	651	476604	4528357	47.35
1945-1949	30-34	0.00179	0.00891	2.62	94983	847	472901	4051753	42.66
1945-1949	35-39	0.00257	0.01275	2.65	94137	1201	467862	3578852	38.02
1945-1949	40-44	0.00387	0.01917	2.66	92936	1781	460510	3110989	33.47
1945-1949	45-49	0.00571	0.02816	2.66	91155	2567	449772	2650480	29.08
1945-1949	50-54	0.00908	0.04446	2.64	88588	3938	433650	2200708	24.84
1945-1949	55-59	0.01351	0.06547	2.65	84650	5542	410239	1767058	20.87
1945-1949	60-64	0.02115	0.10068	2.62	79107	7964	376582	1356819	17.15
1945-1949	65-69	0.03367	0.15592	2.63	71143	11093	329427	980237	13.78
1945-1949	70-74	0.05395	0.23852	2.57	60050	14323	265480	650811	10.84
1945-1949	75-79	0.08266	0.34253	2.5	45727	15663	189480	385331	8.43
1945-1949	80-84	0.11789	0.45296	2.44	30064	13618	115507	195851	6.51
1945-1949	85-89	0.17534	0.59461	2.29	16446	9779	55773	80344	4.89
1945-1949	90-94	0.24856	0.72620	2.14	6667	4842	19479	24571	3.69
1945-1949	95-99	0.34370	0.83649	1.93	1825	1527	4443	5092	2.79
1945-1949	100-104	0.45126	0.90952	1.72	298	271	602	649	2.17
1945-1949	105-109	0.56392	0.95157	1.52	27	26	46	48	1.76
1945-1949	110+	0.65421	1.00000	1.53	1	1	2	2	1.53
1950-1954	0	0.02185	0.02144	0.11	100000	2144	98101	7143789	71.44
1950-1954	1-4	0.00102	0.00407	1.63	97856	398	390483	7045688	72.00
1950-1954	5-9	0.00044	0.00221	2.27	97458	215	486703	6655204	68.29
1950-1954	10-14	0.00033	0.00166	2.58	97243	161	485822	6168502	63.43
1950-1954	15-19	0.00052	0.00261	2.68	97081	253	484820	5682679	58.54
1950-1954	20-24	0.00074	0.00368	2.63	96828	356	483299	5197859	53.68
1950-1954	25-29	0.00102	0.00509	2.6	96472	491	481183	4714559	48.87
1950-1954	30-34	0.00134	0.00668	2.65	95981	641	478400	4233377	44.11
1950-1954	35-39	0.00206	0.01024	2.67	95340	977	474423	3754977	39.39
1950-1954	40-44	0.00317	0.01575	2.67	94363	1486	468350	3280554	34.77
1950-1954	45-49	0.00498	0.02462	2.68	92877	2286	459084	2812204	30.28
1950-1954	50-54	0.00767	0.03765	2.66	90591	3411	444959	2353120	25.98
1950-1954	55-59	0.01172	0.05703	2.64	87180	4972	424163	1908161	21.89
1950-1954	60-64	0.01830	0.08777	2.66	82208	7215	394175	1483997	18.05
1950-1954	65-69	0.02926	0.13682	2.63	74993	10261	350680	1089822	14.53
1950-1954	70-74	0.04807	0.21545	2.59	64732	13946	290108	739142	11.42
1950-1954	75-79	0.07473	0.31540	2.53	50786	16018	214345	449034	8.84
1950-1954	80-84	0.11125	0.43343	2.45	34768	15069	135458	234689	6.75
1950-1954	85-89	0.16631	0.57546	2.32	19699	11336	68159	99231	5.04
1950-1954	90-94	0.24608	0.72322	2.15	8363	6048	24578	31072	3.72
1950-1954	95-99	0.34106	0.83464	1.94	2315	1932	5665	6494	2.81
1950-1954	100-104	0.45284	0.91072	1.72	383	349	770	829	2.17
1950-1954	105-109	0.56999	0.95344	1.51	34	33	57	60	1.74
1950-1954	110+	0.66359	1.00000	1.51	2	2	2	2	1.51
1955-1959	0	0.02152	0.02111	0.11	100000	2111	98128	7239540	72.40
1955-1959	1-4	0.00083	0.00333	1.61	97889	326	390775	7141412	72.95
1955-1959	5-9	0.00038	0.00190	2.29	97562	185	487310	6750637	69.19
1955-1959	10-14	0.00031	0.00153	2.54	97377	149	486519	6263327	64.32
1955-1959	15-19	0.00048	0.00242	2.71	97228	235	485602	5776808	59.41
1955-1959	20-24	0.00068	0.00339	2.64	96993	329	484189	5291206	54.55
1955-1959	25-29	0.00090	0.00447	2.62	96664	432	482294	4807017	49.73
1955-1959	30-34	0.00121	0.00602	2.62	96232	580	479779	4324723	44.94
1955-1959	35-39	0.00183	0.00911	2.71	95652	871	476271	3844944	40.20
1955-1959	40-44	0.00292	0.01449	2.66	94781	1374	470694	3368674	35.54
1955-1959	45-49	0.00446	0.02206	2.66	93408	2061	462213	2897979	31.03
1955-1959	50-54	0.00688	0.03386	2.65	91347	3093	449472	2435767	26.67
1955-1959	55-59	0.01016	0.04963	2.67	88253	4380	431053	1986295	22.51
1955-1959	60-64	0.01629	0.07844	2.66	83874	6579	403987	1555242	18.54
1955-1959	65-69	0.02695	0.12670	2.64	77295	9793	363402	1151254	14.89
1955-1959	70-74	0.04402	0.19916	2.61	67502	13444	305367	787852	11.67
1955-1959	75-79	0.07201	0.30603	2.55	54058	16543	229732	482485	8.93
1955-1959	80-84	0.10977	0.42945	2.47	37515	16111	146764	252752	6.74
1955-1959	85-89	0.17092	0.58559	2.31	21404	12534	73335	105988	4.95
1955-1959	90-94	0.24770	0.72558	2.15	8870	6436	25984	32653	3.68
1955-1959	95-99	0.34989	0.84291	1.93	2434	2052	5864	6670	2.74
1955-1959	100-104	0.46630	0.91747	1.69	382	351	752	806	2.11
1955-1959	105-109	0.58701	0.95785	1.48	32	30	51	53	1.69
1955-1959	110+	0.68251	1.00000	1.47	1	1	2	2	1.47
1960-1964	0	0.02135	0.02096	0.11	100000	2096	98141	7299192	72.99
1960-1964	1-4	0.00080	0.00321	1.62	97904	314	390870	7201051	73.55
1960-1964	5-9	0.00037	0.00186	2.29	97590	181	487459	6810182	69.78
1960-1964	10-14	0.00028	0.00141	2.61	97409	137	486717	6322723	64.91
1960-1964	15-19	0.00046	0.00231	2.75	97272	224	485854	5836006	60.00
1960-1964	20-24	0.00067	0.00335	2.56	97047	325	484443	5350152	55.13
1960-1964	25-29	0.00088	0.00437	2.64	96722	423	482614	4865708	50.31
1960-1964	30-34	0.00128	0.00636	2.62	96299	612	480040	4383094	45.52
1960-1964	35-39	0.00184	0.00916	2.66	95687	877	476382	3903054	40.79
1960-1964	40-44	0.00285	0.01415	2.65	94810	1342	470901	3426672	36.14
1960-1964	45-49	0.00442	0.02187	2.65	93468	2044	462539	2955771	31.62
1960-1964	50-54	0.00670	0.03297	2.63	91424	3014	449966	2493232	27.27
1960-1964	55-59	0.00975	0.04765	2.63	88410	4213	432067	2043266	23.11
1960-1964	60-64	0.01514	0.07309	2.64	84197	6154	406485	1611199	19.14
1960-1964	65-69	0.02426	0.11469	2.62	78043	8951	368940	1204715	15.44
1960-1964	70-74	0.04038	0.18413	2.61	69092	12722	315010	835775	12.10
1960-1964	75-79	0.06462	0.27888	2.55	56370	15721	243297	520764	9.24
1960-1964	80-84	0.10693	0.42042	2.46	40649	17090	159821	277468	6.83
1960-1964	85-89	0.16797	0.57783	2.3	23559	13613	81047	117647	4.99
1960-1964	90-94	0.24797	0.72445	2.13	9946	7206	29058	36599	3.68
1960-1964	95-99	0.34813	0.84153	1.93	2741	2306	6625	7541	2.75
1960-1964	100-104	0.46568	0.91730	1.7	434	398	855	916	2.11
1960-1964	105-109	0.58771	0.95808	1.48	36	34	59	61	1.69
1960-1964	110+	0.68420	1.00000	1.46	2	2	2	2	1.46
1965-1969	0	0.01944	0.01911	0.11	100000	1911	98295	7355689	73.56
1965-1969	1-4	0.00071	0.00285	1.66	98089	280	391702	7257394	73.99
1965-1969	5-9	0.00032	0.00161	2.18	97809	158	488602	6865692	70.19
1965-1969	10-14	0.00027	0.00136	2.63	97651	132	487943	6377090	65.30
1965-1969	15-19	0.00049	0.00245	2.75	97519	239	487058	5889147	60.39
1965-1969	20-24	0.00069	0.00345	2.63	97280	336	485604	5402089	55.53
1965-1969	25-29	0.00087	0.00435	2.59	96944	422	483702	4916486	50.71
1965-1969	30-34	0.00129	0.00645	2.65	96522	623	481149	4432783	45.93
1965-1969	35-39	0.00194	0.00966	2.66	95900	926	477336	3951634	41.21
1965-1969	40-44	0.00291	0.01447	2.65	94974	1374	471636	3474299	36.58
1965-1969	45-49	0.00439	0.02175	2.67	93599	2036	463245	3002662	32.08
1965-1969	50-54	0.00662	0.03260	2.64	91564	2985	450769	2539417	27.73
1965-1969	55-59	0.00956	0.04674	2.64	88579	4141	433128	2088648	23.58
1965-1969	60-64	0.01425	0.06894	2.63	84438	5821	408368	1655520	19.61
1965-1969	65-69	0.02279	0.10809	2.62	78617	8498	372877	1247152	15.86
1965-1969	70-74	0.03735	0.17153	2.63	70119	12028	322031	874275	12.47
1965-1969	75-79	0.06125	0.26635	2.56	58091	15473	252629	552244	9.51
1965-1969	80-84	0.10234	0.40650	2.47	42619	17325	169290	299614	7.03
1965-1969	85-89	0.16113	0.56339	2.33	25294	14250	88439	130324	5.15
1965-1969	90-94	0.23892	0.71079	2.15	11044	7850	32855	41885	3.79
1965-1969	95-99	0.33761	0.83213	1.95	3194	2658	7872	9030	2.83
1965-1969	100-104	0.45429	0.91192	1.72	536	489	1076	1158	2.16
1965-1969	105-109	0.57670	0.95544	1.5	47	45	78	81	1.72
1965-1969	110+	0.67413	1.00000	1.48	2	2	3	3	1.48
1970-1974	0	0.01572	0.01550	0.1	100000	1550	98600	7474779	74.75
1970-1974	1-4	0.00061	0.00243	1.66	98450	240	393237	7376179	74.92
1970-1974	5-9	0.00031	0.00157	2.25	98210	154	490626	6982942	71.10
1970-1974	10-14	0.00026	0.00130	2.72	98056	127	489990	6492316	66.21
1970-1974	15-19	0.00055	0.00277	2.78	97929	271	489041	6002326	61.29
1970-1974	20-24	0.00073	0.00364	2.51	97658	355	487404	5513285	56.46
1970-1974	25-29	0.00088	0.00441	2.58	97302	429	485473	5025881	51.65
1970-1974	30-34	0.00119	0.00595	2.63	96873	576	483000	4540407	46.87
1970-1974	35-39	0.00176	0.00878	2.65	96297	845	479501	4057407	42.13
1970-1974	40-44	0.00271	0.01347	2.67	95451	1286	474261	3577907	37.48
1970-1974	45-49	0.00417	0.02067	2.65	94166	1946	466263	3103645	32.96
1970-1974	50-54	0.00603	0.02971	2.65	92219	2740	454669	2637383	28.60
1970-1974	55-59	0.00895	0.04381	2.63	89479	3920	438121	2182714	24.39
1970-1974	60-64	0.01337	0.06477	2.59	85559	5542	414456	1744593	20.39
1970-1974	65-69	0.02046	0.09752	2.61	80018	7803	381414	1330137	16.62
1970-1974	70-74	0.03377	0.15638	2.64	72214	11293	334438	948723	13.14
1970-1974	75-79	0.05556	0.24490	2.58	60921	14920	268556	614284	10.08
1970-1974	80-84	0.09204	0.37424	2.5	46002	17216	187051	345728	7.52
1970-1974	85-89	0.14624	0.52768	2.36	28786	15190	103871	158677	5.51
1970-1974	90-94	0.22155	0.68439	2.21	13596	9305	41999	54806	4.03
1970-1974	95-99	0.31715	0.81242	2	4291	3486	10992	12808	2.98
1970-1974	100-104	0.43325	0.90120	1.76	805	725	1674	1816	2.26
1970-1974	105-109	0.55755	0.95053	1.53	80	76	136	142	1.78
1970-1974	110+	0.65762	1.00000	1.52	4	4	6	6	1.52
1975-1979	0	0.01339	0.01323	0.09	100000	1323	98797	7657458	76.57
1975-1979	1-4	0.00053	0.00211	1.65	98677	208	394218	7558661	76.60
1975-1979	5-9	0.00025	0.00127	2.26	98469	125	492001	7164443	72.76
1975-1979	10-14	0.00022	0.00109	2.7	98344	107	491472	6672442	67.85
1975-1979	15-19	0.00044	0.00222	2.74	98236	218	490689	6180970	62.92
