PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,m,1941-1949,0,0.03557,0.03452,0.14,100000,3452,97033,6407169,64.07
NY,m,1941-1949,1,0.00241,0.00241,0.5,96548,233,96432,6310135,65.36
NY,m,1941-1949,2,0.00161,0.00161,0.5,96316,155,96238,6213703,64.51
NY,m,1941-1949,3,0.00133,0.00132,0.5,96161,127,96097,6117465,63.62
NY,m,1941-1949,4,0.00116,0.00116,0.5,96034,111,95978,6021368,62.70
NY,m,1941-1949,5,0.00105,0.00105,0.5,95922,101,95872,5925390,61.77
NY,m,1941-1949,6,0.00098,0.00098,0.5,95821,94,95775,5829518,60.84
NY,m,1941-1949,7,0.00092,0.00092,0.5,95728,88,95684,5733743,59.90
NY,m,1941-1949,8,0.00086,0.00086,0.5,95640,82,95599,5638059,58.95
NY,m,1941-1949,9,0.00080,0.00080,0.5,95558,76,95520,5542460,58.00
NY,m,1941-1949,10,0.00075,0.00075,0.5,95482,72,95446,5446940,57.05
NY,m,1941-1949,11,0.00074,0.00074,0.5,95410,71,95375,5351494,56.09
NY,m,1941-1949,12,0.00077,0.00077,0.5,95340,73,95303,5256119,55.13
NY,m,1941-1949,13,0.00083,0.00083,0.5,95266,79,95227,5160816,54.17
NY,m,1941-1949,14,0.00093,0.00093,0.5,95187,88,95143,5065589,53.22
NY,m,1941-1949,15,0.00105,0.00105,0.5,95099,100,95049,4970446,52.27
NY,m,1941-1949,16,0.00117,0.00117,0.5,94999,111,94943,4875398,51.32
NY,m,1941-1949,17,0.00128,0.00128,0.5,94887,122,94827,4780455,50.38
NY,m,1941-1949,18,0.00138,0.00138,0.5,94766,131,94700,4685628,49.44
NY,m,1941-1949,19,0.00147,0.00147,0.5,94635,139,94566,4590928,48.51
NY,m,1941-1949,20,0.00154,0.00154,0.5,94496,146,94424,4496362,47.58
NY,m,1941-1949,21,0.00161,0.00161,0.5,94351,152,94275,4401938,46.66
NY,m,1941-1949,22,0.00165,0.00165,0.5,94199,155,94121,4307663,45.73
NY,m,1941-1949,23,0.00168,0.00167,0.5,94044,158,93965,4213542,44.80
NY,m,1941-1949,24,0.00168,0.00168,0.5,93886,158,93807,4119577,43.88
NY,m,1941-1949,25,0.00168,0.00168,0.5,93728,157,93650,4025770,42.95
NY,m,1941-1949,26,0.00170,0.00170,0.5,93571,159,93492,3932120,42.02
NY,m,1941-1949,27,0.00174,0.00174,0.5,93413,163,93331,3838628,41.09
NY,m,1941-1949,28,0.00183,0.00183,0.5,93250,170,93165,3745297,40.16
NY,m,1941-1949,29,0.00195,0.00194,0.5,93079,181,92989,3652132,39.24
NY,m,1941-1949,30,0.00209,0.00209,0.5,92898,194,92802,3559143,38.31
NY,m,1941-1949,31,0.00223,0.00223,0.5,92705,207,92601,3466341,37.39
NY,m,1941-1949,32,0.00239,0.00239,0.5,92498,221,92387,3373740,36.47
NY,m,1941-1949,33,0.00257,0.00256,0.5,92277,237,92158,3281353,35.56
NY,m,1941-1949,34,0.00276,0.00276,0.5,92040,254,91913,3189195,34.65
NY,m,1941-1949,35,0.00300,0.00299,0.5,91786,275,91649,3097282,33.74
NY,m,1941-1949,36,0.00326,0.00325,0.5,91512,298,91363,3005633,32.84
NY,m,1941-1949,37,0.00356,0.00356,0.5,91214,324,91052,2914270,31.95
NY,m,1941-1949,38,0.00395,0.00394,0.5,90889,358,90710,2823219,31.06
NY,m,1941-1949,39,0.00440,0.00439,0.5,90531,397,90332,2732508,30.18
NY,m,1941-1949,40,0.00490,0.00489,0.5,90133,440,89913,2642176,29.31
NY,m,1941-1949,41,0.00539,0.00537,0.5,89693,482,89452,2552263,28.46
NY,m,1941-1949,42,0.00595,0.00593,0.5,89211,529,88946,2462811,27.61
NY,m,1941-1949,43,0.00657,0.00655,0.5,88682,581,88392,2373865,26.77
NY,m,1941-1949,44,0.00716,0.00714,0.5,88101,629,87787,2285473,25.94
NY,m,1941-1949,45,0.00788,0.00785,0.5,87472,687,87129,2197686,25.12
NY,m,1941-1949,46,0.00863,0.00859,0.5,86785,746,86412,2110557,24.32
NY,m,1941-1949,47,0.00941,0.00937,0.5,86040,806,85637,2024145,23.53
NY,m,1941-1949,48,0.01034,0.01029,0.5,85234,877,84795,1938508,22.74
NY,m,1941-1949,49,0.01144,0.01138,0.5,84357,960,83877,1853713,21.97
NY,m,1941-1949,50,0.01275,0.01267,0.5,83397,1056,82869,1769836,21.22
NY,m,1941-1949,51,0.01391,0.01382,0.5,82341,1138,81772,1686967,20.49
NY,m,1941-1949,52,0.01510,0.01499,0.5,81203,1217,80594,1605196,19.77
NY,m,1941-1949,53,0.01644,0.01631,0.5,79986,1304,79333,1524601,19.06
NY,m,1941-1949,54,0.01782,0.01766,0.5,78681,1389,77986,1445268,18.37
NY,m,1941-1949,55,0.01942,0.01923,0.5,77292,1486,76549,1367282,17.69
NY,m,1941-1949,56,0.02101,0.02079,0.5,75805,1576,75017,1290733,17.03
NY,m,1941-1949,57,0.02268,0.02242,0.5,74229,1665,73397,1215716,16.38
NY,m,1941-1949,58,0.02460,0.02430,0.5,72565,1763,71683,1142319,15.74
NY,m,1941-1949,59,0.02668,0.02633,0.5,70802,1864,69870,1070635,15.12
NY,m,1941-1949,60,0.02905,0.02863,0.5,68938,1974,67951,1000766,14.52
NY,m,1941-1949,61,0.03128,0.03080,0.5,66964,2062,65933,932815,13.93
NY,m,1941-1949,62,0.03374,0.03318,0.5,64901,2154,63825,866883,13.36
NY,m,1941-1949,63,0.03657,0.03592,0.5,62748,2254,61621,803058,12.80
NY,m,1941-1949,64,0.03927,0.03851,0.5,60494,2330,59329,741437,12.26
NY,m,1941-1949,65,0.04253,0.04164,0.5,58165,2422,56953,682108,11.73
NY,m,1941-1949,66,0.04565,0.04463,0.5,55742,2488,54499,625154,11.22
