NY: NY, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03832	0.03711	0.15	100000	3711	96838	6321983	63.22
1941-1944	1	0.00298	0.00297	0.5	96289	286	96146	6225145	64.65
1941-1944	2	0.00189	0.00189	0.5	96002	181	95912	6129000	63.84
1941-1944	3	0.00161	0.00161	0.5	95821	154	95744	6033088	62.96
1941-1944	4	0.00132	0.00132	0.5	95667	126	95604	5937344	62.06
1941-1944	5	0.00119	0.00119	0.5	95540	114	95484	5841740	61.14
1941-1944	6	0.00112	0.00112	0.5	95427	107	95373	5746257	60.22
1941-1944	7	0.00107	0.00107	0.5	95319	102	95268	5650884	59.28
1941-1944	8	0.00101	0.00101	0.5	95218	96	95169	5555615	58.35
1941-1944	9	0.00094	0.00094	0.5	95121	89	95077	5460446	57.41
1941-1944	10	0.00087	0.00087	0.5	95032	83	94990	5365369	56.46
1941-1944	11	0.00084	0.00084	0.5	94949	80	94909	5270379	55.51
1941-1944	12	0.00086	0.00086	0.5	94869	82	94828	5175470	54.55
1941-1944	13	0.00092	0.00092	0.5	94787	87	94744	5080642	53.60
1941-1944	14	0.00102	0.00102	0.5	94700	96	94652	4985898	52.65
1941-1944	15	0.00115	0.00115	0.5	94604	109	94549	4891246	51.70
1941-1944	16	0.00128	0.00128	0.5	94495	121	94435	4796697	50.76
1941-1944	17	0.00140	0.00140	0.5	94374	132	94308	4702263	49.83
1941-1944	18	0.00150	0.00150	0.5	94242	142	94172	4607954	48.89
1941-1944	19	0.00159	0.00159	0.5	94101	149	94026	4513783	47.97
1941-1944	20	0.00166	0.00166	0.5	93951	156	93873	4419757	47.04
1941-1944	21	0.00173	0.00173	0.5	93795	162	93714	4325883	46.12
1941-1944	22	0.00177	0.00177	0.5	93633	166	93551	4232169	45.20
1941-1944	23	0.00181	0.00180	0.5	93468	169	93383	4138618	44.28
1941-1944	24	0.00182	0.00182	0.5	93299	170	93214	4045235	43.36
1941-1944	25	0.00183	0.00183	0.5	93129	170	93044	3952021	42.44
1941-1944	26	0.00185	0.00185	0.5	92959	172	92873	3858977	41.51
1941-1944	27	0.00191	0.00191	0.5	92787	177	92698	3766104	40.59
1941-1944	28	0.00201	0.00201	0.5	92610	186	92517	3673405	39.67
1941-1944	29	0.00215	0.00214	0.5	92424	198	92325	3580889	38.74
1941-1944	30	0.00233	0.00232	0.5	92226	214	92119	3488564	37.83
1941-1944	31	0.00249	0.00249	0.5	92012	229	91897	3396445	36.91
1941-1944	32	0.00267	0.00266	0.5	91782	244	91660	3304548	36.00
1941-1944	33	0.00286	0.00285	0.5	91538	261	91407	3212888	35.10
1941-1944	34	0.00308	0.00307	0.5	91277	280	91137	3121481	34.20
1941-1944	35	0.00335	0.00335	0.5	90996	305	90844	3030344	33.30
1941-1944	36	0.00362	0.00361	0.5	90692	327	90528	2939500	32.41
1941-1944	37	0.00393	0.00392	0.5	90364	355	90187	2848972	31.53
1941-1944	38	0.00436	0.00435	0.5	90010	392	89814	2758785	30.65
1941-1944	39	0.00479	0.00478	0.5	89618	428	89404	2668971	29.78
1941-1944	40	0.00525	0.00523	0.5	89190	467	88957	2579567	28.92
1941-1944	41	0.00565	0.00564	0.5	88723	500	88473	2490610	28.07
1941-1944	42	0.00614	0.00612	0.5	88223	540	87953	2402137	27.23
1941-1944	43	0.00673	0.00671	0.5	87683	588	87389	2314184	26.39
1941-1944	44	0.00743	0.00740	0.5	87095	645	86772	2226795	25.57
1941-1944	45	0.00842	0.00839	0.5	86450	725	86087	2140023	24.75
1941-1944	46	0.00920	0.00916	0.5	85725	785	85333	2053935	23.96
1941-1944	47	0.00999	0.00994	0.5	84940	844	84518	1968603	23.18
1941-1944	48	0.01105	0.01099	0.5	84096	924	83634	1884085	22.40
1941-1944	49	0.01207	0.01200	0.5	83172	998	82673	1800450	21.65
1941-1944	50	0.01328	0.01320	0.5	82174	1084	81632	1717777	20.90
1941-1944	51	0.01434	0.01423	0.5	81090	1154	80513	1636145	20.18
1941-1944	52	0.01547	0.01535	0.5	79936	1227	79322	1555632	19.46
1941-1944	53	0.01678	0.01664	0.5	78709	1310	78054	1476310	18.76
1941-1944	54	0.01819	0.01803	0.5	77399	1395	76701	1398256	18.07
1941-1944	55	0.02014	0.01994	0.5	76003	1516	75246	1321555	17.39
1941-1944	56	0.02180	0.02157	0.5	74488	1607	73684	1246309	16.73
1941-1944	57	0.02349	0.02321	0.5	72881	1692	72035	1172625	16.09
1941-1944	58	0.02564	0.02532	0.5	71189	1802	70288	1100590	15.46
1941-1944	59	0.02762	0.02725	0.5	69387	1890	68442	1030302	14.85
1941-1944	60	0.03000	0.02956	0.5	67496	1995	66499	961860	14.25
1941-1944	61	0.03220	0.03169	0.5	65501	2076	64463	895361	13.67
1941-1944	62	0.03471	0.03412	0.5	63426	2164	62343	830898	13.10
1941-1944	63	0.03797	0.03726	0.5	61261	2283	60120	768554	12.55
1941-1944	64	0.04090	0.04008	0.5	58978	2364	57796	708435	12.01
1941-1944	65	0.04432	0.04336	0.5	56614	2455	55387	650638	11.49
1941-1944	66	0.04643	0.04538	0.5	54159	2458	52931	595251	10.99
1941-1944	67	0.04919	0.04800	0.5	51702	2482	50461	542321	10.49
1941-1944	68	0.05426	0.05282	0.5	49220	2600	47920	491860	9.99
1941-1944	69	0.05959	0.05787	0.5	46620	2698	45271	443940	9.52
1941-1944	70	0.06622	0.06410	0.5	43922	2815	42515	398669	9.08
1941-1944	71	0.07107	0.06863	0.5	41107	2821	39696	356154	8.66
1941-1944	72	0.07535	0.07261	0.5	38286	2780	36896	316458	8.27
1941-1944	73	0.08098	0.07783	0.5	35506	2763	34124	279562	7.87
1941-1944	74	0.08624	0.08268	0.5	32742	2707	31389	245438	7.50
1941-1944	75	0.09324	0.08909	0.5	30035	2676	28697	214049	7.13
1941-1944	76	0.09776	0.09320	0.5	27360	2550	26085	185352	6.77
1941-1944	77	0.10163	0.09672	0.5	24810	2399	23610	159267	6.42
1941-1944	78	0.11038	0.10461	0.5	22410	2344	21238	135657	6.05
1941-1944	79	0.12162	0.11465	0.5	20066	2300	18916	114419	5.70
1941-1944	80	0.13276	0.12450	0.5	17765	2212	16659	95504	5.38
1941-1944	81	0.14474	0.13497	0.5	15554	2099	14504	78844	5.07
