PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,b,1941-1949,0,0.03584,0.03478,0.15,100000,3478,97036,6652511,66.53
OH,b,1941-1949,1,0.00297,0.00296,0.5,96522,286,96379,6555476,67.92
OH,b,1941-1949,2,0.00172,0.00171,0.5,96236,165,96154,6459097,67.12
OH,b,1941-1949,3,0.00138,0.00137,0.5,96071,132,96005,6362943,66.23
OH,b,1941-1949,4,0.00115,0.00115,0.5,95939,110,95884,6266938,65.32
OH,b,1941-1949,5,0.00099,0.00099,0.5,95829,95,95782,6171054,64.40
OH,b,1941-1949,6,0.00090,0.00090,0.5,95734,86,95691,6075272,63.46
OH,b,1941-1949,7,0.00083,0.00083,0.5,95648,79,95608,5979581,62.52
OH,b,1941-1949,8,0.00078,0.00078,0.5,95568,74,95531,5883973,61.57
OH,b,1941-1949,9,0.00073,0.00073,0.5,95494,70,95459,5788442,60.62
OH,b,1941-1949,10,0.00070,0.00070,0.5,95424,67,95391,5692983,59.66
OH,b,1941-1949,11,0.00071,0.00071,0.5,95358,68,95324,5597592,58.70
OH,b,1941-1949,12,0.00076,0.00076,0.5,95290,72,95254,5502268,57.74
OH,b,1941-1949,13,0.00084,0.00084,0.5,95218,80,95177,5407014,56.79
OH,b,1941-1949,14,0.00096,0.00096,0.5,95137,92,95091,5311837,55.83
OH,b,1941-1949,15,0.00111,0.00111,0.5,95046,105,94993,5216745,54.89
OH,b,1941-1949,16,0.00123,0.00123,0.5,94941,117,94882,5121752,53.95
OH,b,1941-1949,17,0.00134,0.00134,0.5,94824,127,94760,5026870,53.01
OH,b,1941-1949,18,0.00143,0.00143,0.5,94697,135,94629,4932110,52.08
OH,b,1941-1949,19,0.00151,0.00150,0.5,94562,142,94491,4837481,51.16
OH,b,1941-1949,20,0.00157,0.00157,0.5,94419,148,94345,4742990,50.23
OH,b,1941-1949,21,0.00163,0.00163,0.5,94271,154,94194,4648645,49.31
OH,b,1941-1949,22,0.00168,0.00167,0.5,94117,158,94039,4554451,48.39
OH,b,1941-1949,23,0.00171,0.00171,0.5,93960,160,93880,4460412,47.47
OH,b,1941-1949,24,0.00173,0.00173,0.5,93800,162,93719,4366532,46.55
OH,b,1941-1949,25,0.00174,0.00174,0.5,93638,163,93556,4272814,45.63
OH,b,1941-1949,26,0.00177,0.00177,0.5,93475,166,93392,4179257,44.71
OH,b,1941-1949,27,0.00182,0.00182,0.5,93309,170,93224,4085866,43.79
OH,b,1941-1949,28,0.00190,0.00190,0.5,93139,177,93050,3992642,42.87
OH,b,1941-1949,29,0.00201,0.00201,0.5,92962,187,92869,3899591,41.95
OH,b,1941-1949,30,0.00213,0.00213,0.5,92775,197,92677,3806723,41.03
OH,b,1941-1949,31,0.00226,0.00226,0.5,92578,209,92473,3714046,40.12
OH,b,1941-1949,32,0.00241,0.00240,0.5,92369,222,92258,3621573,39.21
OH,b,1941-1949,33,0.00257,0.00257,0.5,92147,237,92028,3529315,38.30
OH,b,1941-1949,34,0.00275,0.00275,0.5,91910,253,91784,3437287,37.40
OH,b,1941-1949,35,0.00296,0.00295,0.5,91657,271,91522,3345503,36.50
OH,b,1941-1949,36,0.00318,0.00317,0.5,91387,290,91242,3253981,35.61
OH,b,1941-1949,37,0.00341,0.00340,0.5,91097,310,90942,3162740,34.72
OH,b,1941-1949,38,0.00367,0.00367,0.5,90787,333,90620,3071798,33.84
OH,b,1941-1949,39,0.00395,0.00395,0.5,90454,357,90275,2981178,32.96
OH,b,1941-1949,40,0.00424,0.00423,0.5,90097,381,89906,2890902,32.09
OH,b,1941-1949,41,0.00455,0.00454,0.5,89715,407,89512,2800996,31.22
OH,b,1941-1949,42,0.00495,0.00494,0.5,89308,441,89088,2711484,30.36
OH,b,1941-1949,43,0.00540,0.00539,0.5,88867,479,88628,2622397,29.51
OH,b,1941-1949,44,0.00587,0.00585,0.5,88388,517,88130,2533769,28.67
OH,b,1941-1949,45,0.00641,0.00638,0.5,87871,561,87591,2445639,27.83
OH,b,1941-1949,46,0.00696,0.00694,0.5,87310,606,87008,2358048,27.01
OH,b,1941-1949,47,0.00755,0.00752,0.5,86705,652,86379,2271040,26.19
OH,b,1941-1949,48,0.00819,0.00816,0.5,86053,702,85702,2184662,25.39
OH,b,1941-1949,49,0.00892,0.00888,0.5,85351,758,84972,2098960,24.59
