OH: OH, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03863	0.03742	0.16	100000	3742	96861	6704819	67.05
1941	1-4	0.00231	0.00920	1.53	96258	885	382840	6607958	68.65
1941	5-9	0.00088	0.00440	2.32	95372	420	475735	6225118	65.27
1941	10-14	0.00067	0.00337	2.65	94953	320	474011	5749383	60.55
1941	15-19	0.00125	0.00625	2.7	94633	591	471804	5275372	55.75
1941	20-24	0.00178	0.00887	2.57	94042	834	468183	4803568	51.08
1941	25-29	0.00200	0.00995	2.58	93207	928	463788	4335385	46.51
1941	30-34	0.00263	0.01305	2.61	92280	1204	458517	3871597	41.96
1941	35-39	0.00345	0.01710	2.61	91076	1558	451664	3413080	37.48
1941	40-44	0.00471	0.02328	2.66	89518	2084	442713	2961416	33.08
1941	45-49	0.00672	0.03308	2.6	87434	2892	430225	2518703	28.81
1941	50-54	0.00941	0.04602	2.66	84542	3891	413602	2088478	24.70
1941	55-59	0.01400	0.06773	2.63	80651	5463	390297	1674877	20.77
1941	60-64	0.02074	0.09889	2.66	75189	7435	358531	1284580	17.08
1941	65-69	0.03241	0.15066	2.67	67753	10208	314952	926049	13.67
1941	70-74	0.05276	0.23399	2.58	57546	13465	255198	611096	10.62
1941	75-79	0.08535	0.35331	2.57	44080	15574	182482	355898	8.07
1941	80-84	0.12829	0.48288	2.44	28506	13765	107293	173416	6.08
1941	85-89	0.19631	0.63761	2.25	14741	9399	47879	66123	4.49
1941	90-94	0.27112	0.75966	2.11	5342	4058	14968	18244	3.42
1941	95-99	0.37909	0.86584	1.86	1284	1112	2932	3276	2.55
1941	100-104	0.49421	0.92904	1.64	172	160	324	344	2.00
1941	105-109	0.61054	0.96287	1.45	12	12	19	20	1.63
1941	110+	0.70134	1.00000	1.43	0	0	1	1	1.43
1942	0	0.03592	0.03486	0.15	100000	3486	97049	6782345	67.82
1942	1-4	0.00215	0.00857	1.55	96514	827	384027	6685296	69.27
1942	5-9	0.00067	0.00335	2.1	95687	321	477503	6301269	65.85
1942	10-14	0.00061	0.00306	2.75	95366	292	476172	5823766	61.07
1942	15-19	0.00114	0.00566	2.69	95074	538	474130	5347594	56.25
1942	20-24	0.00163	0.00814	2.6	94536	770	470833	4873464	51.55
1942	25-29	0.00191	0.00949	2.55	93766	889	466654	4402631	46.95
1942	30-34	0.00236	0.01173	2.61	92877	1090	461775	3935977	42.38
1942	35-39	0.00330	0.01637	2.65	91787	1502	455401	3474202	37.85
1942	40-44	0.00455	0.02252	2.63	90285	2033	446605	3018801	33.44
1942	45-49	0.00632	0.03113	2.64	88252	2747	434781	2572196	29.15
1942	50-54	0.00949	0.04641	2.67	85504	3968	418267	2137415	25.00
1942	55-59	0.01327	0.06430	2.61	81537	5242	395161	1719148	21.08
1942	60-64	0.01977	0.09453	2.69	76294	7212	364835	1323987	17.35
1942	65-69	0.03201	0.14884	2.65	69082	10282	321265	959152	13.88
1942	70-74	0.05129	0.22813	2.58	58800	13414	261524	637887	10.85
1942	75-79	0.08138	0.34031	2.6	45386	15445	189785	376363	8.29
1942	80-84	0.12335	0.46838	2.43	29941	14024	113692	186578	6.23
1942	85-89	0.18831	0.62396	2.3	15917	9932	52741	72886	4.58
1942	90-94	0.27620	0.76396	2.08	5985	4573	16556	20145	3.37
1942	95-99	0.38059	0.86742	1.86	1413	1225	3220	3589	2.54
1942	100-104	0.50011	0.93166	1.63	187	175	349	369	1.97
1942	105-109	0.62031	0.96502	1.43	13	12	20	21	1.60
1942	110+	0.71342	1.00000	1.4	0	0	1	1	1.40
1943	0	0.03502	0.03401	0.15	100000	3401	97113	6728616	67.29
1943	1-4	0.00219	0.00870	1.58	96599	841	384362	6631503	68.65
1943	5-9	0.00103	0.00515	2.38	95758	493	477499	6247141	65.24
1943	10-14	0.00071	0.00357	2.51	95265	340	475481	5769642	60.56
1943	15-19	0.00115	0.00575	2.67	94925	546	473355	5294161	55.77
1943	20-24	0.00155	0.00772	2.6	94379	728	470151	4820806	51.08
1943	25-29	0.00199	0.00992	2.59	93651	929	466013	4350656	46.46
1943	30-34	0.00260	0.01290	2.6	92722	1196	460743	3884643	41.90
1943	35-39	0.00347	0.01719	2.6	91526	1573	453853	3423900	37.41
1943	40-44	0.00456	0.02254	2.62	89953	2027	444938	2970047	33.02
1943	45-49	0.00692	0.03403	2.63	87925	2992	432540	2525109	28.72
1943	50-54	0.00953	0.04661	2.6	84933	3959	415172	2092570	24.64
1943	55-59	0.01322	0.06407	2.61	80975	5188	392466	1677398	20.72
1943	60-64	0.02127	0.10127	2.65	75787	7675	360885	1284932	16.95
1943	65-69	0.03304	0.15292	2.57	68112	10416	315269	924047	13.57
1943	70-74	0.05364	0.23705	2.55	57696	13677	254987	608778	10.55
1943	75-79	0.08249	0.34209	2.51	44019	15058	182556	353791	8.04
1943	80-84	0.13279	0.49384	2.41	28961	14302	107706	171235	5.91
1943	85-89	0.19806	0.64434	2.29	14659	9445	47690	63529	4.33
1943	90-94	0.31099	0.80373	1.99	5214	4190	13474	15839	3.04
1943	95-99	0.42170	0.89520	1.79	1023	916	2172	2365	2.31
1943	100-104	0.55112	0.94906	1.55	107	102	185	193	1.80
1943	105-109	0.67501	0.97449	1.35	5	5	8	8	1.48
1943	110+	0.76681	1.00000	1.3	0	0	0	0	1.30
1944	0	0.03418	0.03322	0.15	100000	3322	97172	6807965	68.08
1944	1-4	0.00205	0.00818	1.61	96678	790	384824	6710793	69.41
1944	5-9	0.00082	0.00411	2.28	95888	394	478369	6325969	65.97
1944	10-14	0.00070	0.00351	2.54	95494	335	476645	5847600	61.24
1944	15-19	0.00103	0.00514	2.71	95159	489	474673	5370954	56.44
1944	20-24	0.00156	0.00777	2.59	94669	735	471572	4896281	51.72
1944	25-29	0.00179	0.00891	2.56	93934	837	467630	4424709	47.10
1944	30-34	0.00239	0.01189	2.63	93097	1107	462857	3957079	42.50
1944	35-39	0.00330	0.01637	2.6	91990	1506	456342	3494222	37.98
1944	40-44	0.00424	0.02098	2.58	90484	1898	447820	3037880	33.57
1944	45-49	0.00632	0.03112	2.65	88586	2757	436450	2590059	29.24
1944	50-54	0.00934	0.04569	2.6	85830	3922	419744	2153610	25.09
1944	55-59	0.01321	0.06400	2.58	81908	5242	396853	1733866	21.17
1944	60-64	0.01936	0.09255	2.62	76666	7095	366437	1337013	17.44
1944	65-69	0.03072	0.14295	2.57	69571	9945	323703	970576	13.95
1944	70-74	0.05068	0.22574	2.58	59626	13460	265601	646873	10.85
1944	75-79	0.08085	0.33582	2.48	46166	15504	191767	381271	8.26
1944	80-84	0.12520	0.47275	2.41	30662	14496	115777	189504	6.18
1944	85-89	0.18781	0.62385	2.31	16167	10086	53701	73727	4.56
1944	90-94	0.28379	0.77243	2.05	6081	4697	16552	20026	3.29
1944	95-99	0.38567	0.87117	1.85	1384	1206	3126	3474	2.51
1944	100-104	0.50633	0.93404	1.62	178	167	329	348	1.95
1944	105-109	0.62700	0.96634	1.42	12	11	18	19	1.59
1944	110+	0.72003	1.00000	1.39	0	0	1	1	1.39
1945	0	0.03259	0.03171	0.14	100000	3171	97287	6886873	68.87
1945	1-4	0.00159	0.00635	1.58	96829	615	385826	6789586	70.12
1945	5-9	0.00066	0.00327	2.16	96214	315	480178	6403760	66.56
1945	10-14	0.00069	0.00342	2.72	95899	328	478747	5923582	61.77
1945	15-19	0.00107	0.00535	2.61	95571	512	476632	5444835	56.97
1945	20-24	0.00129	0.00642	2.58	95059	610	473819	4968203	52.26
1945	25-29	0.00172	0.00858	2.61	94449	810	470305	4494384	47.59
1945	30-34	0.00223	0.01110	2.62	93639	1040	465723	4024079	42.97
1945	35-39	0.00312	0.01549	2.63	92599	1435	459595	3558356	38.43
1945	40-44	0.00420	0.02078	2.6	91164	1895	451282	3098761	33.99
1945	45-49	0.00606	0.02986	2.68	89270	2666	440154	2647479	29.66
1945	50-54	0.00899	0.04402	2.61	86604	3812	423907	2207325	25.49
1945	55-59	0.01271	0.06167	2.63	82792	5106	401842	1783418	21.54
1945	60-64	0.01890	0.09050	2.66	77686	7030	371973	1381576	17.78
1945	65-69	0.03075	0.14327	2.62	70656	10123	329154	1009603	14.29
1945	70-74	0.04834	0.21678	2.62	60533	13123	271439	680450	11.24
1945	75-79	0.07575	0.31902	2.53	47411	15125	199674	409011	8.63
1945	80-84	0.11518	0.44489	2.44	32286	14364	124701	209337	6.48
1945	85-89	0.17792	0.60408	2.34	17922	10826	60850	84636	4.72
1945	90-94	0.27800	0.76361	2.05	7096	5418	19491	23786	3.35
1945	95-99	0.37698	0.86531	1.87	1677	1451	3850	4295	2.56
1945	100-104	0.50125	0.93247	1.63	226	211	420	445	1.97
1945	105-109	0.62617	0.96636	1.42	15	15	24	24	1.59
1945	110+	0.72236	1.00000	1.38	1	1	1	1	1.38
1946	0	0.03037	0.02960	0.14	100000	2960	97449	6954393	69.54
1946	1-4	0.00141	0.00563	1.43	97040	547	386755	6856944	70.66
1946	5-9	0.00060	0.00297	2.53	96493	287	481759	6470190	67.05
1946	10-14	0.00060	0.00299	2.56	96207	288	480332	5988431	62.25
1946	15-19	0.00090	0.00449	2.76	95919	430	478630	5508099	57.42
1946	20-24	0.00145	0.00724	2.55	95488	691	475750	5029469	52.67
1946	25-29	0.00146	0.00726	2.54	94797	688	472290	4553719	48.04
1946	30-34	0.00199	0.00993	2.7	94109	934	468391	4081429	43.37
1946	35-39	0.00308	0.01528	2.61	93175	1424	462463	3613037	38.78
1946	40-44	0.00385	0.01910	2.61	91750	1752	454571	3150575	34.34
1946	45-49	0.00572	0.02823	2.69	89998	2541	444128	2696004	29.96
1946	50-54	0.00864	0.04231	2.62	87457	3701	428498	2251875	25.75
1946	55-59	0.01264	0.06135	2.64	83757	5139	406674	1823377	21.77
1946	60-64	0.01798	0.08624	2.65	78618	6780	377171	1416704	18.02
1946	65-69	0.02955	0.13820	2.66	71838	9928	335922	1039532	14.47
1946	70-74	0.04707	0.21183	2.64	61910	13114	278591	703610	11.37
1946	75-79	0.07563	0.31854	2.53	48796	15543	205518	425019	8.71
1946	80-84	0.11264	0.43789	2.46	33253	14561	129265	219501	6.60
1946	85-89	0.17546	0.59705	2.32	18692	11160	63602	90236	4.83
1946	90-94	0.25970	0.74305	2.12	7532	5596	21550	26634	3.54
1946	95-99	0.36649	0.85707	1.89	1935	1659	4526	5084	2.63
1946	100-104	0.48827	0.92727	1.66	277	256	525	558	2.02
1946	105-109	0.61216	0.96355	1.44	20	19	32	33	1.63
1946	110+	0.70854	1.00000	1.41	1	1	1	1	1.41
1947	0	0.02775	0.02710	0.13	100000	2710	97644	6983326	69.83
1947	1-4	0.00126	0.00501	1.6	97290	488	387993	6885681	70.77
1947	5-9	0.00053	0.00267	2.27	96803	258	483309	6497689	67.12
1947	10-14	0.00050	0.00248	2.77	96544	239	482189	6014380	62.30
1947	15-19	0.00091	0.00454	2.66	96305	437	480503	5532191	57.44
1947	20-24	0.00120	0.00596	2.57	95868	572	477952	5051688	52.69
1947	25-29	0.00147	0.00731	2.6	95296	697	474810	4573737	47.99
1947	30-34	0.00190	0.00948	2.63	94599	897	470873	4098926	43.33
1947	35-39	0.00280	0.01389	2.65	93703	1301	465448	3628053	38.72
1947	40-44	0.00401	0.01984	2.64	92401	1833	457674	3162605	34.23
1947	45-49	0.00567	0.02798	2.68	90568	2534	446958	2704931	29.87
1947	50-54	0.00859	0.04211	2.62	88034	3707	431338	2257972	25.65
1947	55-59	0.01199	0.05830	2.67	84327	4916	410180	1826634	21.66
1947	60-64	0.01826	0.08752	2.64	79411	6950	380680	1416454	17.84
1947	65-69	0.02959	0.13838	2.67	72460	10027	338892	1035774	14.29
1947	70-74	0.04691	0.21102	2.63	62433	13175	280881	696882	11.16
1947	75-79	0.07839	0.32833	2.53	49259	16173	206305	416001	8.45
1947	80-84	0.11824	0.45509	2.47	33085	15057	127345	209696	6.34
1947	85-89	0.19067	0.62777	2.28	18028	11318	59359	82352	4.57
1947	90-94	0.26839	0.75658	2.12	6711	5077	18917	22992	3.43
1947	95-99	0.38790	0.87331	1.85	1634	1427	3678	4075	2.49
