OH: OH, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03583	0.03477	0.15	100000	3477	97056	6757603	67.58
1941-1944	1-4	0.00217	0.00863	1.57	96523	833	384065	6660547	69.01
1941-1944	5-9	0.00085	0.00426	2.29	95690	407	477344	6276482	65.59
1941-1944	10-14	0.00068	0.00337	2.61	95283	321	475646	5799138	60.86
1941-1944	15-19	0.00114	0.00570	2.69	94961	542	473558	5323493	56.06
1941-1944	20-24	0.00163	0.00812	2.59	94420	766	470252	4849935	51.37
1941-1944	25-29	0.00192	0.00956	2.57	93653	895	466090	4379683	46.76
1941-1944	30-34	0.00249	0.01239	2.61	92758	1149	461043	3913593	42.19
1941-1944	35-39	0.00338	0.01675	2.62	91609	1535	454386	3452550	37.69
1941-1944	40-44	0.00451	0.02230	2.62	90074	2009	445592	2998164	33.29
1941-1944	45-49	0.00657	0.03233	2.63	88066	2848	433578	2552572	28.98
1941-1944	50-54	0.00944	0.04615	2.63	85218	3933	416775	2118993	24.87
1941-1944	55-59	0.01341	0.06497	2.61	81285	5281	393785	1702218	20.94
1941-1944	60-64	0.02026	0.09668	2.65	76004	7348	362779	1308434	17.22
1941-1944	65-69	0.03199	0.14860	2.61	68656	10203	318941	945654	13.77
1941-1944	70-74	0.05205	0.23108	2.57	58453	13508	259501	626713	10.72
1941-1944	75-79	0.08227	0.34193	2.53	44946	15368	186813	367212	8.17
1941-1944	80-84	0.12740	0.47951	2.42	29577	14183	111322	180400	6.10
1941-1944	85-89	0.19251	0.63238	2.29	15395	9735	50570	69078	4.49
1941-1944	90-94	0.28563	0.77573	2.06	5659	4390	15370	18507	3.27
1941-1944	95-99	0.39219	0.87579	1.84	1269	1112	2834	3137	2.47
1941-1944	100-104	0.51371	0.93674	1.61	158	148	287	303	1.92
1941-1944	105-109	0.63442	0.96773	1.41	10	10	15	16	1.57
1941-1944	110+	0.72699	1.00000	1.38	0	0	0	0	1.38
1945-1949	0	0.02823	0.02755	0.13	100000	2755	97609	7000480	70.00
1945-1949	1-4	0.00133	0.00531	1.55	97245	517	387713	6902871	70.98
