PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,m,1941,0,0.05036,0.04836,0.18,100000,4836,96035,6265106,62.65
OH,m,1941,1-4,0.00255,0.01014,1.53,95164,965,378269,6169071,64.83
OH,m,1941,5-9,0.00127,0.00632,2.41,94199,595,469452,5790801,61.47
OH,m,1941,10-14,0.00108,0.00539,2.66,93604,505,466836,5321350,56.85
OH,m,1941,15-19,0.00194,0.00967,2.66,93099,901,463387,4854514,52.14
OH,m,1941,20-24,0.00242,0.01202,2.52,92198,1109,458239,4391127,47.63
OH,m,1941,25-29,0.00254,0.01264,2.58,91090,1152,452667,3932888,43.18
OH,m,1941,30-34,0.00348,0.01725,2.6,89938,1551,445970,3480222,38.70
OH,m,1941,35-39,0.00452,0.02234,2.64,88387,1975,437265,3034252,34.33
OH,m,1941,40-44,0.00649,0.03197,2.67,86412,2763,425623,2596987,30.05
OH,m,1941,45-49,0.00960,0.04693,2.61,83649,3925,408850,2171364,25.96
OH,m,1941,50-54,0.01350,0.06539,2.64,79724,5213,386294,1762513,22.11
OH,m,1941,55-59,0.02053,0.09784,2.6,74510,7290,355077,1376220,18.47
OH,m,1941,60-64,0.02884,0.13485,2.6,67220,9065,314369,1021143,15.19
OH,m,1941,65-69,0.04310,0.19554,2.63,58156,11372,263861,706774,12.15
OH,m,1941,70-74,0.06594,0.28336,2.52,46784,13257,201041,442913,9.47
OH,m,1941,75-79,0.09885,0.39662,2.51,33527,13298,134529,241872,7.21
OH,m,1941,80-84,0.15432,0.54906,2.37,20229,11107,71976,107344,5.31
OH,m,1941,85-89,0.23052,0.70074,2.2,9122,6392,27730,35368,3.88
OH,m,1941,90-94,0.34230,0.83320,1.92,2730,2275,6645,7638,2.80
OH,m,1941,95-99,0.44921,0.90955,1.73,455,414,922,993,2.18
OH,m,1941,100-104,0.57325,0.95466,1.51,41,39,69,71,1.73
OH,m,1941,105-109,0.68966,0.97633,1.33,2,2,3,3,1.45
