OK: OK, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05044	0.04845	0.19	100000	4845	96064	6531343	65.31
1941	1	0.00631	0.00629	0.5	95155	598	94856	6435279	67.63
1941	2	0.00360	0.00359	0.5	94556	339	94387	6340424	67.05
1941	3	0.00168	0.00168	0.5	94217	158	94138	6246037	66.29
1941	4	0.00135	0.00135	0.5	94059	127	93996	6151899	65.40
1941	5	0.00130	0.00130	0.5	93932	122	93871	6057903	64.49
1941	6	0.00121	0.00121	0.5	93810	114	93754	5964032	63.58
1941	7	0.00116	0.00116	0.5	93697	109	93642	5870278	62.65
1941	8	0.00111	0.00111	0.5	93588	104	93536	5776636	61.72
1941	9	0.00103	0.00102	0.5	93484	96	93436	5683099	60.79
1941	10	0.00094	0.00094	0.5	93388	88	93344	5589663	59.85
1941	11	0.00092	0.00092	0.5	93300	86	93258	5496319	58.91
1941	12	0.00096	0.00096	0.5	93215	90	93170	5403061	57.96
1941	13	0.00105	0.00105	0.5	93125	98	93076	5309891	57.02
1941	14	0.00119	0.00119	0.5	93027	111	92972	5216815	56.08
1941	15	0.00138	0.00138	0.5	92917	128	92853	5123843	55.14
1941	16	0.00156	0.00156	0.5	92789	145	92716	5030991	54.22
1941	17	0.00173	0.00173	0.5	92644	160	92564	4938275	53.30
1941	18	0.00186	0.00186	0.5	92484	172	92398	4845711	52.40
1941	19	0.00195	0.00195	0.5	92312	180	92222	4753313	51.49
1941	20	0.00206	0.00206	0.5	92132	190	92037	4661091	50.59
1941	21	0.00224	0.00223	0.5	91942	205	91839	4569055	49.70
1941	22	0.00236	0.00236	0.5	91736	216	91628	4477216	48.81
1941	23	0.00249	0.00248	0.5	91520	227	91406	4385588	47.92
1941	24	0.00259	0.00259	0.5	91293	236	91175	4294181	47.04
1941	25	0.00260	0.00259	0.5	91057	236	90939	4203007	46.16
1941	26	0.00256	0.00256	0.5	90821	233	90704	4112068	45.28
1941	27	0.00257	0.00256	0.5	90588	232	90472	4021363	44.39
1941	28	0.00262	0.00262	0.5	90356	236	90238	3930892	43.50
1941	29	0.00271	0.00270	0.5	90119	244	89998	3840654	42.62
1941	30	0.00286	0.00286	0.5	89876	257	89747	3750657	41.73
1941	31	0.00301	0.00300	0.5	89619	269	89484	3660909	40.85
1941	32	0.00324	0.00324	0.5	89350	289	89205	3571425	39.97
1941	33	0.00340	0.00339	0.5	89061	302	88910	3482219	39.10
1941	34	0.00353	0.00352	0.5	88759	312	88603	3393310	38.23
1941	35	0.00377	0.00376	0.5	88446	333	88280	3304707	37.36
1941	36	0.00387	0.00386	0.5	88114	340	87944	3216427	36.50
1941	37	0.00406	0.00405	0.5	87773	355	87596	3128483	35.64
1941	38	0.00434	0.00433	0.5	87418	378	87229	3040888	34.79
1941	39	0.00436	0.00435	0.5	87040	379	86850	2953659	33.93
1941	40	0.00426	0.00425	0.5	86661	369	86477	2866808	33.08
1941	41	0.00448	0.00447	0.5	86292	386	86099	2780332	32.22
1941	42	0.00519	0.00518	0.5	85907	445	85684	2694233	31.36
1941	43	0.00552	0.00550	0.5	85462	470	85227	2608548	30.52
1941	44	0.00570	0.00568	0.5	84992	483	84751	2523321	29.69
1941	45	0.00628	0.00626	0.5	84509	529	84245	2438570	28.86
1941	46	0.00659	0.00657	0.5	83980	552	83704	2354326	28.03
1941	47	0.00708	0.00706	0.5	83428	589	83134	2270622	27.22
1941	48	0.00759	0.00756	0.5	82839	627	82526	2187488	26.41
1941	49	0.00789	0.00786	0.5	82213	646	81890	2104962	25.60
1941	50	0.00843	0.00839	0.5	81567	684	81224	2023072	24.80
1941	51	0.00895	0.00891	0.5	80882	721	80522	1941848	24.01
1941	52	0.01003	0.00998	0.5	80161	800	79761	1861326	23.22
1941	53	0.01104	0.01098	0.5	79361	871	78926	1781565	22.45
1941	54	0.01173	0.01167	0.5	78490	916	78033	1702639	21.69
1941	55	0.01273	0.01265	0.5	77575	981	77084	1624606	20.94
1941	56	0.01354	0.01345	0.5	76593	1030	76078	1547522	20.20
1941	57	0.01468	0.01457	0.5	75563	1101	75013	1471444	19.47
1941	58	0.01587	0.01575	0.5	74462	1172	73876	1396431	18.75
1941	59	0.01630	0.01617	0.5	73290	1185	72697	1322555	18.05
1941	60	0.01698	0.01684	0.5	72105	1214	71498	1249858	17.33
1941	61	0.01867	0.01849	0.5	70891	1311	70235	1178360	16.62
1941	62	0.02208	0.02184	0.5	69580	1520	68820	1108125	15.93
1941	63	0.02428	0.02399	0.5	68060	1633	67244	1039305	15.27
1941	64	0.02410	0.02382	0.5	66427	1582	65636	972061	14.63
1941	65	0.02514	0.02483	0.5	64845	1610	64040	906425	13.98
1941	66	0.02699	0.02663	0.5	63235	1684	62393	842385	13.32
1941	67	0.03113	0.03066	0.5	61551	1887	60608	779991	12.67
1941	68	0.03467	0.03408	0.5	59664	2033	58647	719384	12.06
1941	69	0.03614	0.03550	0.5	57631	2046	56608	660736	11.47
1941	70	0.03961	0.03884	0.5	55585	2159	54505	604129	10.87
1941	71	0.04490	0.04391	0.5	53426	2346	52253	549623	10.29
