PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,b,1941-1949,0,0.03922,0.03796,0.16,100000,3796,96800,6790708,67.91
OK,b,1941-1949,1,0.00402,0.00401,0.5,96204,386,96011,6693908,69.58
OK,b,1941-1949,2,0.00236,0.00236,0.5,95818,226,95705,6597897,68.86
OK,b,1941-1949,3,0.00176,0.00176,0.5,95592,168,95508,6502192,68.02
OK,b,1941-1949,4,0.00126,0.00126,0.5,95424,120,95364,6406684,67.14
OK,b,1941-1949,5,0.00108,0.00108,0.5,95304,102,95252,6311321,66.22
OK,b,1941-1949,6,0.00101,0.00101,0.5,95201,96,95153,6216068,65.29
OK,b,1941-1949,7,0.00095,0.00095,0.5,95105,90,95060,6120915,64.36
OK,b,1941-1949,8,0.00090,0.00090,0.5,95015,85,94972,6025855,63.42
OK,b,1941-1949,9,0.00085,0.00085,0.5,94929,81,94889,5930883,62.48
OK,b,1941-1949,10,0.00081,0.00081,0.5,94849,77,94810,5835994,61.53
OK,b,1941-1949,11,0.00081,0.00081,0.5,94772,77,94733,5741184,60.58
OK,b,1941-1949,12,0.00085,0.00085,0.5,94695,80,94655,5646451,59.63
OK,b,1941-1949,13,0.00093,0.00093,0.5,94615,88,94571,5551796,58.68
OK,b,1941-1949,14,0.00104,0.00104,0.5,94527,99,94478,5457225,57.73
OK,b,1941-1949,15,0.00119,0.00119,0.5,94428,113,94372,5362747,56.79
OK,b,1941-1949,16,0.00135,0.00134,0.5,94316,127,94252,5268375,55.86
OK,b,1941-1949,17,0.00149,0.00149,0.5,94189,140,94119,5174123,54.93
OK,b,1941-1949,18,0.00164,0.00163,0.5,94048,154,93972,5080004,54.01
OK,b,1941-1949,19,0.00177,0.00177,0.5,93895,166,93812,4986032,53.10
OK,b,1941-1949,20,0.00189,0.00189,0.5,93729,177,93640,4892221,52.20
OK,b,1941-1949,21,0.00199,0.00199,0.5,93551,186,93458,4798581,51.29
OK,b,1941-1949,22,0.00206,0.00206,0.5,93365,192,93269,4705122,50.39
OK,b,1941-1949,23,0.00210,0.00210,0.5,93173,196,93075,4611853,49.50
