PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,f,1941-1949,0,0.03427,0.03329,0.15,100000,3329,97166,7062859,70.63
OK,f,1941-1949,1-4,0.00218,0.00867,1.55,96671,838,384628,6965693,72.06
OK,f,1941-1949,5-9,0.00084,0.00420,2.26,95832,403,478058,6581065,68.67
OK,f,1941-1949,10-14,0.00071,0.00356,2.65,95429,340,476348,6103007,63.95
OK,f,1941-1949,15-19,0.00120,0.00597,2.67,95090,568,474127,5626659,59.17
OK,f,1941-1949,20-24,0.00158,0.00789,2.57,94522,745,470800,5152532,54.51
OK,f,1941-1949,25-29,0.00182,0.00905,2.54,93777,849,466801,4681732,49.92
OK,f,1941-1949,30-34,0.00214,0.01066,2.59,92928,990,462250,4214932,45.36
OK,f,1941-1949,35-39,0.00284,0.01412,2.61,91938,1298,456587,3752682,40.82
OK,f,1941-1949,40-44,0.00370,0.01832,2.6,90640,1660,449217,3296095,36.36
OK,f,1941-1949,45-49,0.00486,0.02401,2.6,88980,2136,439769,2846877,31.99
OK,f,1941-1949,50-54,0.00661,0.03256,2.63,86844,2828,427513,2407108,27.72
OK,f,1941-1949,55-59,0.00977,0.04772,2.62,84016,4009,410545,1979596,23.56
OK,f,1941-1949,60-64,0.01392,0.06740,2.65,80007,5393,387381,1569051,19.61
OK,f,1941-1949,65-69,0.02337,0.11078,2.66,74614,8266,353700,1181670,15.84
OK,f,1941-1949,70-74,0.03735,0.17150,2.62,66348,11379,304679,827971,12.48
OK,f,1941-1949,75-79,0.06297,0.27320,2.58,54969,15018,238476,523291,9.52
OK,f,1941-1949,80-84,0.10264,0.40776,2.48,39952,16291,158712,284815,7.13
OK,f,1941-1949,85-89,0.15647,0.55169,2.33,23661,13054,83427,126103,5.33
OK,f,1941-1949,90-94,0.22393,0.68699,2.19,10608,7287,32543,42676,4.02
OK,f,1941-1949,95-99,0.31061,0.80391,2,3320,2669,8593,10133,3.05
OK,f,1941-1949,100-104,0.41259,0.88780,1.79,651,578,1401,1539,2.36
OK,f,1941-1949,105-109,0.52280,0.93900,1.59,73,69,131,138,1.90
OK,f,1941-1949,110+,0.61281,1.00000,1.63,4,4,7,7,1.63
OK,f,1950-1959,0,0.02451,0.02400,0.12,100000,2400,97892,7421851,74.22
OK,f,1950-1959,1-4,0.00124,0.00493,1.55,97600,482,389223,7323959,75.04
OK,f,1950-1959,5-9,0.00049,0.00244,2.34,97119,237,484964,6934736,71.40
OK,f,1950-1959,10-14,0.00042,0.00209,2.63,96882,203,483928,6449772,66.57
OK,f,1950-1959,15-19,0.00068,0.00340,2.6,96679,329,482609,5965844,61.71
OK,f,1950-1959,20-24,0.00079,0.00396,2.56,96351,382,480821,5483235,56.91
OK,f,1950-1959,25-29,0.00105,0.00526,2.62,95969,505,478643,5002414,52.13
OK,f,1950-1959,30-34,0.00134,0.00667,2.57,95464,637,475769,4523771,47.39
OK,f,1950-1959,35-39,0.00176,0.00875,2.64,94827,830,472178,4048001,42.69
OK,f,1950-1959,40-44,0.00262,0.01300,2.65,93997,1222,467113,3575823,38.04
OK,f,1950-1959,45-49,0.00380,0.01882,2.63,92775,1746,459734,3108711,33.51
OK,f,1950-1959,50-54,0.00538,0.02657,2.63,91028,2418,449408,2648977,29.10
OK,f,1950-1959,55-59,0.00771,0.03786,2.64,88610,3354,435129,2199569,24.82
OK,f,1950-1959,60-64,0.01185,0.05769,2.68,85256,4918,414867,1764439,20.70
OK,f,1950-1959,65-69,0.01958,0.09359,2.65,80338,7519,383987,1349572,16.80
OK,f,1950-1959,70-74,0.03131,0.14580,2.65,72819,10617,339134,965586,13.26
OK,f,1950-1959,75-79,0.05518,0.24383,2.62,62202,15166,274842,626452,10.07
OK,f,1950-1959,80-84,0.09276,0.37693,2.52,47035,17729,191126,351610,7.48
OK,f,1950-1959,85-89,0.14748,0.53172,2.38,29306,15583,105660,160484,5.48
OK,f,1950-1959,90-94,0.22346,0.68791,2.21,13723,9440,42246,54824,3.99
OK,f,1950-1959,95-99,0.32299,0.81850,1.99,4283,3506,10853,12578,2.94
OK,f,1950-1959,100-104,0.44114,0.90556,1.75,777,704,1596,1724,2.22
OK,f,1950-1959,105-109,0.56679,0.95309,1.52,73,70,123,129,1.75
OK,f,1950-1959,110+,0.66741,1.00000,1.5,3,3,5,5,1.50
OK,f,1960-1969,0,0.02013,0.01977,0.11,100000,1977,98239,7532038,75.32
OK,f,1960-1969,1-4,0.00096,0.00383,1.57,98023,376,391180,7433799,75.84
