OK: OK, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05563	0.05324	0.19	100000	5324	95710	6320584	63.21
1941	1-4	0.00349	0.01381	1.34	94676	1308	375218	6224873	65.75
1941	5-9	0.00136	0.00680	2.51	93368	635	465260	5849656	62.65
1941	10-14	0.00116	0.00576	2.55	92733	534	462356	5384395	58.06
1941	15-19	0.00185	0.00923	2.68	92198	851	459018	4922040	53.39
1941	20-24	0.00268	0.01332	2.6	91347	1217	453816	4463022	48.86
1941	25-29	0.00283	0.01406	2.48	90130	1267	447459	4009206	44.48
1941	30-34	0.00334	0.01655	2.61	88863	1471	440805	3561747	40.08
1941	35-39	0.00460	0.02274	2.61	87392	1988	432205	3120942	35.71
1941	40-44	0.00582	0.02869	2.63	85404	2451	421224	2688737	31.48
1941	45-49	0.00820	0.04022	2.62	82954	3336	406834	2267514	27.33
1941	50-54	0.01201	0.05841	2.65	79618	4650	387176	1860680	23.37
1941	55-59	0.01748	0.08387	2.6	74967	6288	359725	1473504	19.66
1941	60-64	0.02530	0.11934	2.63	68679	8196	323968	1113779	16.22
1941	65-69	0.03618	0.16650	2.61	60483	10071	278383	789811	13.06
1941	70-74	0.05788	0.25386	2.58	50413	12798	221106	511428	10.14
1941	75-79	0.08939	0.36555	2.51	37615	13750	153828	290322	7.72
1941	80-84	0.14560	0.52882	2.41	23865	12620	86676	136494	5.72
1941	85-89	0.20315	0.64608	2.18	11244	7265	35761	49817	4.43
1941	90-94	0.26490	0.74650	2.08	3980	2971	11215	14057	3.53
1941	95-99	0.34213	0.83258	1.92	1009	840	2455	2842	2.82
1941	100-104	0.42860	0.89536	1.75	169	151	353	387	2.29
1941	105-109	0.51978	0.93658	1.59	18	17	32	34	1.91
1941	110+	0.59378	1.00000	1.68	1	1	2	2	1.68
1942	0	0.04772	0.04590	0.17	100000	4590	96204	6469015	64.69
1942	1-4	0.00354	0.01403	1.43	95410	1339	378200	6372811	66.79
1942	5-9	0.00120	0.00598	2.51	94071	563	468953	5994610	63.72
1942	10-14	0.00111	0.00554	2.6	93508	518	466298	5525657	59.09
1942	15-19	0.00187	0.00929	2.68	92990	864	462944	5059359	54.41
1942	20-24	0.00250	0.01241	2.56	92126	1143	457840	4596415	49.89
1942	25-29	0.00247	0.01230	2.47	90983	1119	452088	4138575	45.49
1942	30-34	0.00301	0.01496	2.64	89864	1345	446150	3686488	41.02
1942	35-39	0.00417	0.02064	2.6	88519	1827	438216	3240338	36.61
1942	40-44	0.00511	0.02526	2.64	86692	2190	428297	2802121	32.32
1942	45-49	0.00753	0.03698	2.64	84502	3124	415124	2373825	28.09
1942	50-54	0.01082	0.05275	2.68	81378	4293	396912	1958701	24.07
1942	55-59	0.01697	0.08157	2.62	77085	6288	370430	1561790	20.26
1942	60-64	0.02383	0.11286	2.66	70797	7990	335288	1191360	16.83
1942	65-69	0.03440	0.15896	2.62	62807	9984	290253	856072	13.63
1942	70-74	0.05314	0.23568	2.6	52823	12449	234274	565819	10.71
1942	75-79	0.08280	0.34502	2.58	40374	13930	168227	331545	8.21
1942	80-84	0.13072	0.48869	2.42	26444	12923	98863	163318	6.18
1942	85-89	0.18496	0.61163	2.23	13521	8270	44711	64455	4.77
1942	90-94	0.24587	0.71974	2.12	5251	3779	15372	19744	3.76
1942	95-99	0.32216	0.81382	1.96	1472	1198	3718	4373	2.97
1942	100-104	0.40907	0.88384	1.79	274	242	592	655	2.39
1942	105-109	0.50212	0.93029	1.62	32	30	59	63	1.97
