OK: OK, Lifetables (period 5x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04395	0.04239	0.16	100000	4239	96451	6555557	65.56
1941-1949	1-4	0.00252	0.01002	1.5	95761	959	380647	6459105	67.45
1941-1949	5-9	0.00107	0.00532	2.47	94801	504	472729	6078458	64.12
1941-1949	10-14	0.00106	0.00527	2.62	94297	497	470299	5605728	59.45
1941-1949	15-19	0.00177	0.00883	2.7	93799	829	467095	5135430	54.75
1941-1949	20-24	0.00248	0.01234	2.54	92971	1147	462029	4668335	50.21
1941-1949	25-29	0.00232	0.01152	2.46	91824	1057	456431	4206305	45.81
1941-1949	30-34	0.00259	0.01287	2.63	90766	1168	451058	3749874	41.31
1941-1949	35-39	0.00380	0.01885	2.62	89598	1689	443973	3298816	36.82
1941-1949	40-44	0.00495	0.02447	2.62	87909	2151	434429	2854843	32.48
1941-1949	45-49	0.00736	0.03618	2.65	85758	3102	421506	2420414	28.22
1941-1949	50-54	0.01106	0.05390	2.64	82656	4455	402746	1998908	24.18
1941-1949	55-59	0.01626	0.07825	2.61	78200	6120	376349	1596162	20.41
1941-1949	60-64	0.02282	0.10821	2.61	72081	7800	341778	1219813	16.92
1941-1949	65-69	0.03531	0.16280	2.61	64280	10465	296356	878035	13.66
1941-1949	70-74	0.05301	0.23461	2.55	53815	12625	238183	581678	10.81
1941-1949	75-79	0.08076	0.33641	2.52	41190	13857	171579	343496	8.34
1941-1949	80-84	0.12614	0.47594	2.42	27333	13009	103136	171917	6.29
1941-1949	85-89	0.18173	0.60622	2.25	14324	8684	47782	68781	4.80
1941-1949	90-94	0.24776	0.72327	2.12	5641	4080	16467	20999	3.72
1941-1949	95-99	0.32987	0.82214	1.95	1561	1283	3890	4532	2.90
1941-1949	100-104	0.42362	0.89334	1.76	278	248	585	642	2.31
1941-1949	105-109	0.52336	0.93843	1.58	30	28	53	56	1.89
1941-1949	110+	0.60447	1.00000	1.65	2	2	3	3	1.65
1950-1959	0	0.03206	0.03119	0.13	100000	3119	97289	6762559	67.63
