PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,b,1941,0,0.03240,0.03152,0.14,100000,3152,97285,6689660,66.90
OR,b,1941,1,0.00281,0.00281,0.5,96848,272,96712,6592375,68.07
OR,b,1941,2,0.00184,0.00184,0.5,96576,177,96487,6495663,67.26
OR,b,1941,3,0.00128,0.00128,0.5,96398,124,96337,6399176,66.38
OR,b,1941,4,0.00075,0.00075,0.5,96275,72,96239,6302840,65.47
OR,b,1941,5,0.00086,0.00086,0.5,96203,83,96162,6206601,64.52
OR,b,1941,6,0.00108,0.00108,0.5,96120,104,96068,6110439,63.57
OR,b,1941,7,0.00121,0.00121,0.5,96016,116,95958,6014371,62.64
OR,b,1941,8,0.00122,0.00122,0.5,95900,117,95842,5918413,61.71
OR,b,1941,9,0.00109,0.00109,0.5,95783,104,95731,5822571,60.79
OR,b,1941,10,0.00090,0.00090,0.5,95679,86,95636,5726840,59.85
OR,b,1941,11,0.00081,0.00081,0.5,95593,77,95554,5631204,58.91
OR,b,1941,12,0.00082,0.00082,0.5,95516,79,95477,5535650,57.96
OR,b,1941,13,0.00093,0.00093,0.5,95437,89,95393,5440173,57.00
OR,b,1941,14,0.00114,0.00114,0.5,95349,108,95295,5344780,56.06
OR,b,1941,15,0.00142,0.00142,0.5,95240,135,95173,5249486,55.12
OR,b,1941,16,0.00165,0.00165,0.5,95105,157,95027,5154313,54.20
OR,b,1941,17,0.00183,0.00182,0.5,94948,173,94862,5059286,53.28
OR,b,1941,18,0.00195,0.00195,0.5,94775,185,94682,4964425,52.38
OR,b,1941,19,0.00199,0.00199,0.5,94590,188,94496,4869742,51.48
OR,b,1941,20,0.00204,0.00204,0.5,94401,192,94305,4775247,50.58
OR,b,1941,21,0.00215,0.00214,0.5,94209,202,94108,4680941,49.69
OR,b,1941,22,0.00221,0.00221,0.5,94007,207,93904,4586833,48.79
OR,b,1941,23,0.00226,0.00226,0.5,93800,212,93694,4492929,47.90
OR,b,1941,24,0.00233,0.00233,0.5,93588,218,93479,4399235,47.01
OR,b,1941,25,0.00235,0.00235,0.5,93370,220,93260,4305757,46.12
OR,b,1941,26,0.00235,0.00235,0.5,93150,219,93041,4212496,45.22
OR,b,1941,27,0.00237,0.00237,0.5,92932,220,92822,4119455,44.33
OR,b,1941,28,0.00239,0.00239,0.5,92712,222,92601,4026634,43.43
OR,b,1941,29,0.00239,0.00239,0.5,92490,221,92379,3934033,42.53
OR,b,1941,30,0.00241,0.00240,0.5,92269,222,92158,3841654,41.64
OR,b,1941,31,0.00243,0.00243,0.5,92047,224,91935,3749495,40.73
OR,b,1941,32,0.00255,0.00254,0.5,91823,233,91707,3657560,39.83
OR,b,1941,33,0.00267,0.00267,0.5,91590,245,91468,3565854,38.93
OR,b,1941,34,0.00281,0.00281,0.5,91345,256,91217,3474386,38.04
OR,b,1941,35,0.00301,0.00300,0.5,91089,273,90952,3383169,37.14
OR,b,1941,36,0.00314,0.00314,0.5,90816,285,90673,3292217,36.25
OR,b,1941,37,0.00337,0.00337,0.5,90531,305,90378,3201544,35.36
OR,b,1941,38,0.00366,0.00366,0.5,90226,330,90061,3111165,34.48
OR,b,1941,39,0.00383,0.00382,0.5,89896,343,89724,3021104,33.61
