OR: OR, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03188	0.03103	0.14	100000	3103	97322	6660902	66.61
1941-1944	1-4	0.00203	0.00808	1.52	96897	783	385645	6563580	67.74
1941-1944	5-9	0.00110	0.00551	2.5	96115	529	479249	6177935	64.28
1941-1944	10-14	0.00098	0.00489	2.59	95585	467	476800	5698686	59.62
1941-1944	15-19	0.00157	0.00784	2.65	95118	746	473836	5221886	54.90
1941-1944	20-24	0.00198	0.00983	2.56	94372	928	469600	4748050	50.31
1941-1944	25-29	0.00219	0.01091	2.52	93445	1020	464695	4278451	45.79
1941-1944	30-34	0.00252	0.01255	2.59	92425	1160	459329	3813756	41.26
1941-1944	35-39	0.00351	0.01738	2.65	91265	1586	452597	3354427	36.75
1941-1944	40-44	0.00505	0.02496	2.63	89679	2238	443089	2901830	32.36
1941-1944	45-49	0.00730	0.03588	2.63	87441	3137	429765	2458741	28.12
1941-1944	50-54	0.01056	0.05151	2.62	84304	4343	411195	2028976	24.07
1941-1944	55-59	0.01540	0.07431	2.63	79961	5942	385736	1617782	20.23
1941-1944	60-64	0.02382	0.11274	2.62	74019	8345	350262	1232046	16.65
1941-1944	65-69	0.03500	0.16140	2.6	65674	10600	302882	881784	13.43
1941-1944	70-74	0.05442	0.24027	2.56	55074	13233	243139	578902	10.51
1941-1944	75-79	0.08411	0.34782	2.51	41841	14553	173033	335763	8.02
1941-1944	80-84	0.13184	0.49152	2.41	27288	13413	101736	162731	5.96
1941-1944	85-89	0.19842	0.64259	2.26	13876	8916	44937	60995	4.40
1941-1944	90-94	0.28862	0.78056	2.06	4959	3871	13412	16058	3.24
1941-1944	95-99	0.39933	0.88067	1.83	1088	958	2400	2646	2.43
1941-1944	100-104	0.52205	0.93969	1.59	130	122	234	246	1.89
1941-1944	105-109	0.64338	0.96936	1.4	8	8	12	12	1.55
1941-1944	110+	0.73599	1.00000	1.36	0	0	0	0	1.36
1945-1949	0	0.02740	0.02676	0.12	100000	2676	97658	6852690	68.53
1945-1949	1-4	0.00149	0.00593	1.62	97324	577	387923	6755032	69.41
1945-1949	5-9	0.00078	0.00389	2.39	96747	376	482752	6367109	65.81
1945-1949	10-14	0.00082	0.00411	2.71	96371	396	480945	5884357	61.06
1945-1949	15-19	0.00146	0.00728	2.65	95975	699	478233	5403412	56.30
1945-1949	20-24	0.00175	0.00873	2.52	95276	832	474315	4925179	51.69
1945-1949	25-29	0.00184	0.00916	2.53	94444	865	470080	4450864	47.13
1945-1949	30-34	0.00209	0.01039	2.59	93579	972	465551	3980784	42.54
1945-1949	35-39	0.00295	0.01463	2.64	92607	1355	459841	3515233	37.96
1945-1949	40-44	0.00430	0.02130	2.65	91252	1944	451700	3055392	33.48
1945-1949	45-49	0.00638	0.03142	2.64	89308	2806	439912	2603692	29.15
1945-1949	50-54	0.00927	0.04538	2.63	86502	3925	423206	2163780	25.01
1945-1949	55-59	0.01384	0.06701	2.64	82577	5533	399846	1740574	21.08
1945-1949	60-64	0.02109	0.10042	2.62	77044	7737	366788	1340728	17.40
1945-1949	65-69	0.03227	0.14977	2.61	69307	10380	321681	973940	14.05
1945-1949	70-74	0.04933	0.22041	2.58	58927	12988	263262	652259	11.07
1945-1949	75-79	0.07913	0.33102	2.53	45939	15207	192179	388997	8.47
1945-1949	80-84	0.11849	0.45438	2.44	30732	13964	117850	196818	6.40
1945-1949	85-89	0.18122	0.60838	2.3	16768	10201	56292	78968	4.71
1945-1949	90-94	0.26735	0.75372	2.11	6567	4949	18513	22676	3.45
1945-1949	95-99	0.37493	0.86349	1.88	1617	1396	3725	4163	2.57
1945-1949	100-104	0.49657	0.93050	1.64	221	205	414	438	1.99
1945-1949	105-109	0.61953	0.96500	1.43	15	15	24	25	1.61
1945-1949	110+	0.71488	1.00000	1.4	1	1	1	1	1.40
1950-1954	0	0.02395	0.02345	0.11	100000	2345	97924	7025864	70.26
1950-1954	1-4	0.00114	0.00454	1.63	97655	444	389566	6927940	70.94
1950-1954	5-9	0.00055	0.00276	2.4	97211	268	485358	6538375	67.26
1950-1954	10-14	0.00062	0.00311	2.75	96943	302	484037	6053017	62.44
1950-1954	15-19	0.00116	0.00578	2.64	96641	558	481886	5568980	57.63
1950-1954	20-24	0.00130	0.00646	2.54	96083	621	478890	5087093	52.94
1950-1954	25-29	0.00156	0.00776	2.53	95462	740	475484	4608204	48.27
1950-1954	30-34	0.00170	0.00849	2.6	94722	804	471678	4132719	43.63
1950-1954	35-39	0.00241	0.01197	2.63	93918	1124	466922	3661041	38.98
1950-1954	40-44	0.00355	0.01759	2.7	92794	1633	460216	3194119	34.42
1950-1954	45-49	0.00602	0.02967	2.66	91161	2704	449479	2733903	29.99
1950-1954	50-54	0.00854	0.04184	2.64	88457	3701	433532	2284424	25.83
1950-1954	55-59	0.01280	0.06209	2.62	84756	5262	411248	1850891	21.84
1950-1954	60-64	0.01872	0.08962	2.64	79493	7124	380660	1439643	18.11
1950-1954	65-69	0.02962	0.13835	2.62	72369	10012	338018	1058982	14.63
1950-1954	70-74	0.04579	0.20611	2.58	62357	12852	280685	720965	11.56
1950-1954	75-79	0.07047	0.30024	2.54	49505	14863	210905	440280	8.89
1950-1954	80-84	0.11320	0.43961	2.46	34642	15229	134525	229374	6.62
1950-1954	85-89	0.17256	0.58991	2.32	19413	11452	66364	94850	4.89
1950-1954	90-94	0.25607	0.73821	2.13	7961	5877	22951	28486	3.58
1950-1954	95-99	0.36200	0.85350	1.9	2084	1779	4914	5535	2.66
1950-1954	100-104	0.48377	0.92549	1.66	305	283	584	621	2.03
1950-1954	105-109	0.60884	0.96293	1.45	23	22	36	37	1.63
1950-1954	110+	0.70675	1.00000	1.41	1	1	1	1	1.41
1955-1959	0	0.02370	0.02321	0.11	100000	2321	97944	7096094	70.96
1955-1959	1-4	0.00104	0.00417	1.63	97679	407	389750	6998150	71.64
1955-1959	5-9	0.00055	0.00276	2.27	97272	268	485628	6608400	67.94
1955-1959	10-14	0.00053	0.00266	2.81	97004	258	484452	6122772	63.12
1955-1959	15-19	0.00114	0.00570	2.71	96745	552	482464	5638320	58.28
1955-1959	20-24	0.00130	0.00648	2.5	96194	623	479409	5155855	53.60
1955-1959	25-29	0.00130	0.00650	2.52	95570	621	476309	4676446	48.93
1955-1959	30-34	0.00149	0.00742	2.58	94949	704	473043	4200137	44.24
1955-1959	35-39	0.00205	0.01019	2.66	94245	960	468984	3727094	39.55
1955-1959	40-44	0.00320	0.01590	2.68	93285	1483	462980	3258110	34.93
1955-1959	45-49	0.00523	0.02584	2.68	91802	2373	453515	2795130	30.45
1955-1959	50-54	0.00820	0.04023	2.66	89429	3598	438734	2341615	26.18
1955-1959	55-59	0.01243	0.06039	2.64	85831	5183	416910	1902881	22.17
1955-1959	60-64	0.01823	0.08734	2.62	80648	7044	386445	1485971	18.43
1955-1959	65-69	0.02800	0.13122	2.61	73604	9658	344914	1099526	14.94
1955-1959	70-74	0.04293	0.19467	2.61	63946	12448	289939	754612	11.80
1955-1959	75-79	0.07011	0.29923	2.55	51498	15409	219802	464672	9.02
1955-1959	80-84	0.10727	0.42192	2.47	36088	15226	141944	244870	6.79
1955-1959	85-89	0.16936	0.58333	2.33	20862	12169	71857	102926	4.93
1955-1959	90-94	0.25570	0.73832	2.14	8693	6418	25099	31069	3.57
1955-1959	95-99	0.36638	0.85761	1.9	2275	1951	5324	5970	2.62
1955-1959	100-104	0.49384	0.92998	1.65	324	301	610	646	1.99
1955-1959	105-109	0.62363	0.96610	1.43	23	22	35	36	1.60
1955-1959	110+	0.72401	1.00000	1.38	1	1	1	1	1.38
1960-1964	0	0.02247	0.02203	0.11	100000	2203	98042	7136213	71.36
1960-1964	1-4	0.00096	0.00381	1.6	97797	373	390295	7038171	71.97
1960-1964	5-9	0.00041	0.00207	2.38	97424	201	486595	6647876	68.24
1960-1964	10-14	0.00045	0.00224	2.61	97223	218	485594	6161281	63.37
1960-1964	15-19	0.00099	0.00494	2.78	97005	479	483964	5675687	58.51
1960-1964	20-24	0.00133	0.00661	2.41	96526	638	480979	5191722	53.79
1960-1964	25-29	0.00122	0.00606	2.5	95888	581	477983	4710744	49.13
1960-1964	30-34	0.00143	0.00710	2.53	95306	677	474859	4232761	44.41
1960-1964	35-39	0.00199	0.00993	2.71	94629	939	470999	3757902	39.71
1960-1964	40-44	0.00328	0.01626	2.69	93690	1523	464924	3286903	35.08
1960-1964	45-49	0.00511	0.02524	2.68	92167	2326	455448	2821979	30.62
1960-1964	50-54	0.00814	0.03994	2.67	89841	3588	440861	2366531	26.34
1960-1964	55-59	0.01220	0.05931	2.66	86253	5116	419305	1925670	22.33
1960-1964	60-64	0.01855	0.08884	2.62	81137	7208	388541	1506365	18.57
1960-1964	65-69	0.02775	0.13010	2.6	73929	9618	346570	1117825	15.12
1960-1964	70-74	0.04269	0.19382	2.63	64311	12465	291984	771255	11.99
1960-1964	75-79	0.06633	0.28513	2.54	51847	14783	222872	479271	9.24
1960-1964	80-84	0.10390	0.41196	2.49	37064	15269	146963	256399	6.92
1960-1964	85-89	0.16492	0.57359	2.35	21795	12501	75800	109436	5.02
