OR: OR, Lifetables (period 1x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.02709	0.02647	0.13	100000	2647	97694	7016441	70.16
1941	1	0.00259	0.00258	0.5	97353	252	97227	6918747	71.07
1941	2	0.00125	0.00125	0.5	97102	121	97041	6821520	70.25
1941	3	0.00148	0.00148	0.5	96980	144	96909	6724479	69.34
1941	4	0.00025	0.00025	0.5	96837	24	96824	6627570	68.44
1941	5	0.00043	0.00043	0.5	96812	41	96792	6530746	67.46
1941	6	0.00100	0.00100	0.5	96771	96	96723	6433954	66.49
1941	7	0.00136	0.00136	0.5	96674	131	96609	6337231	65.55
1941	8	0.00149	0.00149	0.5	96543	144	96471	6240623	64.64
1941	9	0.00136	0.00136	0.5	96399	131	96333	6144152	63.74
1941	10	0.00107	0.00107	0.5	96268	103	96216	6047819	62.82
1941	11	0.00086	0.00086	0.5	96164	83	96123	5951603	61.89
1941	12	0.00075	0.00075	0.5	96081	72	96045	5855480	60.94
1941	13	0.00071	0.00071	0.5	96009	68	95975	5759434	59.99
1941	14	0.00077	0.00077	0.5	95941	74	95904	5663459	59.03
1941	15	0.00089	0.00089	0.5	95867	85	95825	5567555	58.08
1941	16	0.00099	0.00099	0.5	95782	94	95735	5471731	57.13
1941	17	0.00106	0.00106	0.5	95688	101	95637	5375996	56.18
1941	18	0.00111	0.00111	0.5	95587	106	95533	5280359	55.24
1941	19	0.00113	0.00113	0.5	95480	108	95426	5184825	54.30
1941	20	0.00115	0.00115	0.5	95372	110	95317	5089399	53.36
1941	21	0.00124	0.00124	0.5	95262	118	95204	4994082	52.42
1941	22	0.00131	0.00131	0.5	95145	125	95082	4898878	51.49
1941	23	0.00141	0.00141	0.5	95020	134	94953	4803796	50.56
1941	24	0.00156	0.00156	0.5	94885	148	94812	4708843	49.63
1941	25	0.00169	0.00169	0.5	94738	160	94658	4614032	48.70
1941	26	0.00178	0.00178	0.5	94577	168	94493	4519374	47.78
1941	27	0.00188	0.00188	0.5	94409	177	94321	4424881	46.87
1941	28	0.00199	0.00199	0.5	94232	187	94139	4330560	45.96
1941	29	0.00206	0.00206	0.5	94045	194	93948	4236422	45.05
1941	30	0.00213	0.00212	0.5	93851	199	93751	4142474	44.14
1941	31	0.00217	0.00217	0.5	93652	203	93550	4048722	43.23
1941	32	0.00224	0.00224	0.5	93448	210	93344	3955172	42.32
1941	33	0.00228	0.00228	0.5	93239	213	93133	3861829	41.42
1941	34	0.00227	0.00227	0.5	93026	211	92921	3768696	40.51
1941	35	0.00230	0.00229	0.5	92815	213	92709	3675776	39.60
1941	36	0.00230	0.00230	0.5	92602	213	92496	3583067	38.69
1941	37	0.00242	0.00242	0.5	92390	223	92278	3490571	37.78
1941	38	0.00266	0.00266	0.5	92166	245	92044	3398293	36.87
1941	39	0.00286	0.00286	0.5	91921	263	91790	3306249	35.97
1941	40	0.00302	0.00302	0.5	91658	277	91520	3214459	35.07
1941	41	0.00328	0.00327	0.5	91382	299	91232	3122939	34.17
1941	42	0.00382	0.00381	0.5	91083	347	90909	3031707	33.29
1941	43	0.00416	0.00415	0.5	90736	377	90547	2940798	32.41
1941	44	0.00434	0.00433	0.5	90359	391	90163	2850250	31.54
1941	45	0.00469	0.00468	0.5	89968	421	89757	2760087	30.68
1941	46	0.00493	0.00492	0.5	89547	441	89327	2670329	29.82
1941	47	0.00536	0.00535	0.5	89106	477	88868	2581003	28.97
1941	48	0.00582	0.00581	0.5	88630	515	88372	2492135	28.12
1941	49	0.00634	0.00632	0.5	88115	557	87837	2403762	27.28
1941	50	0.00705	0.00702	0.5	87558	615	87251	2315926	26.45
1941	51	0.00745	0.00743	0.5	86943	646	86620	2228675	25.63
1941	52	0.00814	0.00811	0.5	86298	700	85948	2142055	24.82
1941	53	0.00879	0.00875	0.5	85598	749	85223	2056107	24.02
1941	54	0.00901	0.00897	0.5	84849	761	84468	1970884	23.23
