PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,f,1941-1944,0,0.02730,0.02667,0.13,100000,2667,97678,7003973,70.04
OR,f,1941-1944,1-4,0.00178,0.00708,1.46,97333,689,387584,6906294,70.96
OR,f,1941-1944,5-9,0.00098,0.00488,2.6,96644,472,482086,6518710,67.45
OR,f,1941-1944,10-14,0.00073,0.00365,2.43,96172,351,479957,6036625,62.77
OR,f,1941-1944,15-19,0.00101,0.00502,2.65,95821,481,477977,5556668,57.99
OR,f,1941-1944,20-24,0.00131,0.00653,2.57,95340,623,475190,5078692,53.27
OR,f,1941-1944,25-29,0.00155,0.00773,2.59,94718,732,471822,4603502,48.60
OR,f,1941-1944,30-34,0.00205,0.01021,2.58,93986,959,467609,4131680,43.96
OR,f,1941-1944,35-39,0.00252,0.01253,2.62,93026,1165,462354,3664071,39.39
OR,f,1941-1944,40-44,0.00368,0.01822,2.66,91861,1674,455381,3201717,34.85
OR,f,1941-1944,45-49,0.00548,0.02706,2.62,90187,2440,445124,2746336,30.45
OR,f,1941-1944,50-54,0.00762,0.03741,2.63,87747,3283,430940,2301212,26.23
OR,f,1941-1944,55-59,0.01125,0.05481,2.64,84464,4629,411416,1870272,22.14
OR,f,1941-1944,60-64,0.01749,0.08399,2.64,79835,6705,383371,1458855,18.27
OR,f,1941-1944,65-69,0.02660,0.12510,2.63,73130,9149,343982,1075485,14.71
OR,f,1941-1944,70-74,0.04432,0.20040,2.61,63981,12822,289307,731503,11.43
OR,f,1941-1944,75-79,0.07294,0.30961,2.56,51159,15839,217141,442196,8.64
OR,f,1941-1944,80-84,0.11805,0.45358,2.45,35320,16021,135715,225055,6.37
OR,f,1941-1944,85-89,0.18401,0.61492,2.3,19300,11868,64494,89340,4.63
OR,f,1941-1944,90-94,0.27698,0.76721,2.09,7432,5702,20586,24846,3.34
OR,f,1941-1944,95-99,0.39332,0.87747,1.84,1730,1518,3860,4260,2.46
