PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,m,1941,0,0.03746,0.03630,0.15,100000,3630,96898,6426811,64.27
OR,m,1941,1-4,0.00194,0.00771,1.56,96370,743,383670,6329913,65.68
OR,m,1941,5-9,0.00106,0.00527,2.29,95627,504,476766,5946243,62.18
OR,m,1941,10-14,0.00100,0.00499,2.88,95123,475,474609,5469477,57.50
OR,m,1941,15-19,0.00250,0.01241,2.68,94648,1174,470519,4994868,52.77
OR,m,1941,20-24,0.00307,0.01524,2.52,93474,1425,463836,4524349,48.40
OR,m,1941,25-29,0.00285,0.01415,2.44,92049,1303,456915,4060512,44.11
OR,m,1941,30-34,0.00291,0.01446,2.61,90746,1312,450594,3603597,39.71
OR,m,1941,35-39,0.00425,0.02105,2.62,89435,1883,442700,3153003,35.25
OR,m,1941,40-44,0.00537,0.02653,2.63,87552,2322,432257,2710303,30.96
OR,m,1941,45-49,0.00821,0.04028,2.68,85229,3433,418172,2278046,26.73
OR,m,1941,50-54,0.01274,0.06180,2.61,81796,5055,396879,1859874,22.74
OR,m,1941,55-59,0.01760,0.08451,2.64,76741,6485,368423,1462995,19.06
OR,m,1941,60-64,0.02841,0.13305,2.62,70256,9348,328996,1094573,15.58
OR,m,1941,65-69,0.03978,0.18149,2.58,60908,11054,277845,765576,12.57
OR,m,1941,70-74,0.06001,0.26189,2.57,49854,13056,217559,487732,9.78
OR,m,1941,75-79,0.09878,0.39675,2.52,36798,14600,147802,270173,7.34
OR,m,1941,80-84,0.14968,0.53712,2.37,22198,11923,79658,122371,5.51
OR,m,1941,85-89,0.21575,0.67258,2.2,10275,6911,32032,42713,4.16
OR,m,1941,90-94,0.29730,0.78874,2.02,3364,2654,8926,10681,3.17
OR,m,1941,95-99,0.39377,0.87515,1.83,711,622,1580,1755,2.47
OR,m,1941,100-104,0.49934,0.93023,1.63,89,83,165,175,1.98
OR,m,1941,105-109,0.60543,0.96130,1.45,6,6,10,10,1.64
OR,m,1941,110+,0.68871,1.00000,1.45,0,0,0,0,1.45
OR,m,1942,0,0.03734,0.03618,0.15,100000,3618,96907,6351162,63.51
OR,m,1942,1-4,0.00219,0.00870,1.58,96382,839,383498,6254255,64.89
OR,m,1942,5-9,0.00089,0.00442,2.29,95543,422,476573,5870757,61.45
OR,m,1942,10-14,0.00103,0.00516,2.81,95121,491,474530,5394184,56.71
OR,m,1942,15-19,0.00204,0.01013,2.66,94630,959,470904,4919654,51.99
OR,m,1942,20-24,0.00252,0.01253,2.57,93671,1174,465505,4448750,47.49
OR,m,1942,25-29,0.00291,0.01447,2.56,92497,1338,459226,3983245,43.06
OR,m,1942,30-34,0.00365,0.01808,2.58,91159,1648,451807,3524018,38.66
