PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
PA,b,1941,0,0.04443,0.04286,0.17,100000,4286,96449,6391929,63.92
PA,b,1941,1,0.00413,0.00412,0.5,95714,395,95517,6295480,65.77
PA,b,1941,2,0.00225,0.00224,0.5,95320,214,95213,6199963,65.04
PA,b,1941,3,0.00177,0.00177,0.5,95106,168,95022,6104750,64.19
PA,b,1941,4,0.00145,0.00145,0.5,94937,137,94869,6009729,63.30
PA,b,1941,5,0.00119,0.00118,0.5,94800,112,94744,5914860,62.39
PA,b,1941,6,0.00100,0.00100,0.5,94688,95,94641,5820116,61.47
PA,b,1941,7,0.00090,0.00090,0.5,94593,85,94551,5725475,60.53
PA,b,1941,8,0.00083,0.00083,0.5,94509,78,94470,5630924,59.58
PA,b,1941,9,0.00078,0.00078,0.5,94430,74,94393,5536455,58.63
PA,b,1941,10,0.00080,0.00080,0.5,94356,76,94319,5442061,57.68
PA,b,1941,11,0.00086,0.00086,0.5,94281,81,94240,5347743,56.72
PA,b,1941,12,0.00093,0.00093,0.5,94200,87,94156,5253502,55.77
PA,b,1941,13,0.00099,0.00099,0.5,94113,93,94066,5159346,54.82
PA,b,1941,14,0.00108,0.00108,0.5,94020,102,93969,5065280,53.87
PA,b,1941,15,0.00121,0.00121,0.5,93918,114,93861,4971311,52.93
PA,b,1941,16,0.00131,0.00131,0.5,93804,123,93743,4877450,52.00
PA,b,1941,17,0.00140,0.00140,0.5,93682,131,93616,4783707,51.06
PA,b,1941,18,0.00151,0.00151,0.5,93551,141,93480,4690091,50.13
PA,b,1941,19,0.00157,0.00157,0.5,93409,147,93336,4596611,49.21
PA,b,1941,20,0.00165,0.00165,0.5,93263,154,93185,4503275,48.29
PA,b,1941,21,0.00178,0.00178,0.5,93108,166,93025,4410090,47.37
PA,b,1941,22,0.00188,0.00188,0.5,92943,175,92855,4317064,46.45
PA,b,1941,23,0.00200,0.00199,0.5,92768,185,92676,4224209,45.54
PA,b,1941,24,0.00209,0.00209,0.5,92583,194,92486,4131533,44.63
PA,b,1941,25,0.00217,0.00217,0.5,92390,200,92289,4039047,43.72
PA,b,1941,26,0.00221,0.00221,0.5,92189,204,92087,3946757,42.81
PA,b,1941,27,0.00229,0.00229,0.5,91985,211,91880,3854670,41.91
PA,b,1941,28,0.00242,0.00242,0.5,91775,222,91664,3762790,41.00
PA,b,1941,29,0.00247,0.00247,0.5,91553,226,91440,3671126,40.10
PA,b,1941,30,0.00250,0.00250,0.5,91327,228,91212,3579687,39.20
PA,b,1941,31,0.00255,0.00254,0.5,91098,232,90982,3488474,38.29
PA,b,1941,32,0.00274,0.00274,0.5,90866,249,90742,3397492,37.39
PA,b,1941,33,0.00291,0.00291,0.5,90618,263,90486,3306750,36.49
PA,b,1941,34,0.00308,0.00307,0.5,90354,278,90215,3216264,35.60
PA,b,1941,35,0.00337,0.00337,0.5,90076,303,89925,3126049,34.70
PA,b,1941,36,0.00352,0.00352,0.5,89773,316,89615,3036125,33.82
PA,b,1941,37,0.00391,0.00390,0.5,89457,349,89283,2946509,32.94
PA,b,1941,38,0.00449,0.00448,0.5,89108,399,88908,2857227,32.06
PA,b,1941,39,0.00481,0.00480,0.5,88709,425,88496,2768319,31.21
PA,b,1941,40,0.00499,0.00498,0.5,88283,440,88063,2679823,30.35
PA,b,1941,41,0.00527,0.00526,0.5,87844,462,87613,2591759,29.50
PA,b,1941,42,0.00623,0.00621,0.5,87382,543,87110,2504147,28.66
PA,b,1941,43,0.00678,0.00676,0.5,86839,587,86545,2417036,27.83
PA,b,1941,44,0.00705,0.00703,0.5,86252,606,85949,2330491,27.02
PA,b,1941,45,0.00783,0.00780,0.5,85646,668,85312,2244542,26.21
PA,b,1941,46,0.00800,0.00797,0.5,84978,677,84639,2159230,25.41
PA,b,1941,47,0.00872,0.00868,0.5,84301,732,83935,2074591,24.61
PA,b,1941,48,0.00979,0.00974,0.5,83569,814,83162,1990657,23.82
PA,b,1941,49,0.01034,0.01029,0.5,82755,852,82329,1907495,23.05
PA,b,1941,50,0.01113,0.01107,0.5,81903,907,81450,1825166,22.28
PA,b,1941,51,0.01181,0.01174,0.5,80997,951,80521,1743716,21.53
PA,b,1941,52,0.01364,0.01355,0.5,80046,1084,79504,1663195,20.78
PA,b,1941,53,0.01512,0.01501,0.5,78961,1185,78369,1583691,20.06
PA,b,1941,54,0.01589,0.01576,0.5,77776,1226,77163,1505323,19.35
PA,b,1941,55,0.01751,0.01736,0.5,76550,1329,75886,1428159,18.66
PA,b,1941,56,0.01830,0.01813,0.5,75221,1364,74539,1352273,17.98
PA,b,1941,57,0.01981,0.01962,0.5,73858,1449,73133,1277734,17.30
PA,b,1941,58,0.02189,0.02165,0.5,72408,1568,71625,1204601,16.64
PA,b,1941,59,0.02265,0.02240,0.5,70841,1587,70047,1132976,15.99
PA,b,1941,60,0.02354,0.02327,0.5,69254,1611,68448,1062929,15.35
