PA: PA, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03169	0.03085	0.14	100000	3085	97352	6804086	68.04
1941-1949	1	0.00265	0.00265	0.5	96915	257	96787	6706734	69.20
1941-1949	2	0.00156	0.00156	0.5	96658	151	96583	6609948	68.38
1941-1949	3	0.00122	0.00122	0.5	96507	118	96448	6513365	67.49
1941-1949	4	0.00094	0.00094	0.5	96389	90	96344	6416917	66.57
1941-1949	5	0.00080	0.00080	0.5	96299	77	96261	6320572	65.63
1941-1949	6	0.00073	0.00073	0.5	96223	70	96188	6224312	64.69
1941-1949	7	0.00068	0.00068	0.5	96153	65	96120	6128124	63.73
1941-1949	8	0.00064	0.00064	0.5	96087	61	96057	6032004	62.78
1941-1949	9	0.00061	0.00061	0.5	96026	58	95997	5935947	61.82
1941-1949	10	0.00059	0.00059	0.5	95968	56	95940	5839951	60.85
1941-1949	11	0.00059	0.00058	0.5	95912	56	95884	5744011	59.89
1941-1949	12	0.00061	0.00061	0.5	95855	58	95826	5648127	58.92
1941-1949	13	0.00064	0.00064	0.5	95797	62	95767	5552301	57.96
1941-1949	14	0.00070	0.00070	0.5	95736	67	95703	5456534	57.00
1941-1949	15	0.00077	0.00077	0.5	95669	73	95633	5360832	56.04
1941-1949	16	0.00084	0.00084	0.5	95596	80	95556	5265199	55.08
1941-1949	17	0.00092	0.00092	0.5	95516	87	95472	5169643	54.12
1941-1949	18	0.00100	0.00100	0.5	95428	96	95381	5074171	53.17
1941-1949	19	0.00110	0.00110	0.5	95333	105	95280	4978791	52.23
1941-1949	20	0.00120	0.00120	0.5	95228	114	95171	4883510	51.28
1941-1949	21	0.00129	0.00129	0.5	95114	122	95053	4788339	50.34
1941-1949	22	0.00136	0.00136	0.5	94992	129	94927	4693286	49.41
1941-1949	23	0.00143	0.00142	0.5	94863	135	94795	4598358	48.47
1941-1949	24	0.00148	0.00148	0.5	94728	140	94658	4503563	47.54
1941-1949	25	0.00153	0.00152	0.5	94588	144	94516	4408905	46.61
1941-1949	26	0.00157	0.00157	0.5	94444	149	94369	4314390	45.68
1941-1949	27	0.00163	0.00163	0.5	94295	153	94218	4220020	44.75
1941-1949	28	0.00169	0.00169	0.5	94142	159	94062	4125802	43.83
1941-1949	29	0.00177	0.00177	0.5	93982	166	93899	4031740	42.90
1941-1949	30	0.00186	0.00186	0.5	93816	174	93729	3937841	41.97
1941-1949	31	0.00195	0.00195	0.5	93642	182	93551	3844112	41.05
1941-1949	32	0.00206	0.00206	0.5	93459	192	93363	3750561	40.13
1941-1949	33	0.00219	0.00219	0.5	93267	204	93165	3657198	39.21
1941-1949	34	0.00234	0.00234	0.5	93063	217	92954	3564033	38.30
1941-1949	35	0.00252	0.00252	0.5	92846	234	92729	3471078	37.39
1941-1949	36	0.00273	0.00272	0.5	92612	252	92486	3378350	36.48
1941-1949	37	0.00295	0.00295	0.5	92360	272	92224	3285864	35.58
1941-1949	38	0.00322	0.00322	0.5	92088	296	91939	3193640	34.68
1941-1949	39	0.00352	0.00351	0.5	91791	322	91630	3101701	33.79
1941-1949	40	0.00383	0.00382	0.5	91469	349	91294	3010071	32.91
1941-1949	41	0.00412	0.00411	0.5	91120	375	90933	2918776	32.03
1941-1949	42	0.00446	0.00445	0.5	90745	404	90543	2827844	31.16
1941-1949	43	0.00483	0.00482	0.5	90341	436	90123	2737300	30.30
1941-1949	44	0.00517	0.00516	0.5	89905	464	89674	2647177	29.44
1941-1949	45	0.00555	0.00554	0.5	89442	495	89194	2557503	28.59
1941-1949	46	0.00595	0.00594	0.5	88947	528	88683	2468309	27.75
1941-1949	47	0.00641	0.00639	0.5	88419	565	88136	2379626	26.91
1941-1949	48	0.00699	0.00697	0.5	87854	612	87548	2291490	26.08
1941-1949	49	0.00769	0.00766	0.5	87242	668	86908	2203942	25.26
1941-1949	50	0.00850	0.00847	0.5	86574	733	86207	2117035	24.45
1941-1949	51	0.00921	0.00917	0.5	85841	787	85448	2030827	23.66
1941-1949	52	0.00994	0.00989	0.5	85054	841	84634	1945379	22.87
1941-1949	53	0.01075	0.01070	0.5	84213	901	83763	1860746	22.10
1941-1949	54	0.01155	0.01148	0.5	83312	957	82834	1776983	21.33
1941-1949	55	0.01243	0.01235	0.5	82356	1017	81847	1694149	20.57
1941-1949	56	0.01335	0.01326	0.5	81338	1079	80799	1612302	19.82
1941-1949	57	0.01439	0.01429	0.5	80260	1147	79686	1531503	19.08
1941-1949	58	0.01566	0.01554	0.5	79113	1229	78498	1451817	18.35
1941-1949	59	0.01706	0.01692	0.5	77884	1318	77225	1373318	17.63
1941-1949	60	0.01866	0.01849	0.5	76566	1416	75858	1296093	16.93
1941-1949	61	0.02020	0.02000	0.5	75151	1503	74399	1220235	16.24
1941-1949	62	0.02192	0.02168	0.5	73648	1597	72849	1145836	15.56
1941-1949	63	0.02401	0.02373	0.5	72051	1710	71196	1072987	14.89
1941-1949	64	0.02622	0.02588	0.5	70341	1821	69431	1001790	14.24
1941-1949	65	0.02897	0.02856	0.5	68521	1957	67542	932359	13.61
1941-1949	66	0.03169	0.03119	0.5	66564	2076	65526	864817	12.99
1941-1949	67	0.03445	0.03386	0.5	64488	2184	63396	799291	12.39
1941-1949	68	0.03796	0.03725	0.5	62304	2321	61144	735895	11.81
1941-1949	69	0.04180	0.04094	0.5	59983	2456	58755	674752	11.25
1941-1949	70	0.04621	0.04517	0.5	57527	2598	56228	615996	10.71
1941-1949	71	0.05019	0.04896	0.5	54929	2689	53584	559768	10.19
1941-1949	72	0.05436	0.05292	0.5	52240	2765	50857	506184	9.69
1941-1949	73	0.05945	0.05773	0.5	49475	2856	48047	455326	9.20
1941-1949	74	0.06460	0.06258	0.5	46619	2917	45160	407279	8.74
1941-1949	75	0.07075	0.06834	0.5	43702	2986	42208	362119	8.29
1941-1949	76	0.07668	0.07385	0.5	40715	3007	39212	319911	7.86
1941-1949	77	0.08238	0.07912	0.5	37708	2984	36217	280699	7.44
1941-1949	78	0.08977	0.08592	0.5	34725	2983	33233	244482	7.04
1941-1949	79	0.09833	0.09373	0.5	31742	2975	30254	211249	6.66
1941-1949	80	0.10311	0.09805	0.5	28767	2821	27356	180995	6.29
1941-1949	81	0.11304	0.10699	0.5	25946	2776	24558	153639	5.92
1941-1949	82	0.12376	0.11655	0.5	23170	2700	21820	129081	5.57
1941-1949	83	0.13534	0.12677	0.5	20469	2595	19172	107261	5.24
1941-1949	84	0.14766	0.13751	0.5	17875	2458	16646	88089	4.93
1941-1949	85	0.16063	0.14869	0.5	15417	2292	14271	71443	4.63
1941-1949	86	0.17502	0.16094	0.5	13124	2112	12068	57173	4.36
1941-1949	87	0.19111	0.17444	0.5	11012	1921	10052	45105	4.10
1941-1949	88	0.20863	0.18892	0.5	9091	1718	8232	35053	3.86
1941-1949	89	0.22656	0.20350	0.5	7374	1501	6623	26820	3.64
1941-1949	90	0.24336	0.21696	0.5	5873	1274	5236	20197	3.44
1941-1949	91	0.25932	0.22956	0.5	4599	1056	4071	14961	3.25
1941-1949	92	0.27769	0.24383	0.5	3543	864	3111	10890	3.07
1941-1949	93	0.29816	0.25948	0.5	2679	695	2332	7779	2.90
1941-1949	94	0.31947	0.27547	0.5	1984	547	1711	5447	2.75
1941-1949	95	0.34157	0.29175	0.5	1437	419	1228	3736	2.60
1941-1949	96	0.36438	0.30822	0.5	1018	314	861	2509	2.46
1941-1949	97	0.38781	0.32483	0.5	704	229	590	1647	2.34
1941-1949	98	0.41178	0.34147	0.5	476	162	394	1057	2.22
1941-1949	99	0.43617	0.35808	0.5	313	112	257	663	2.12
1941-1949	100	0.46087	0.37456	0.5	201	75	163	406	2.02
1941-1949	101	0.48577	0.39084	0.5	126	49	101	243	1.93
1941-1949	102	0.51073	0.40684	0.5	77	31	61	142	1.85
1941-1949	103	0.53565	0.42249	0.5	45	19	36	81	1.77
1941-1949	104	0.56038	0.43773	0.5	26	11	20	45	1.70
1941-1949	105	0.58483	0.45251	0.5	15	7	11	24	1.64
1941-1949	106	0.60886	0.46676	0.5	8	4	6	13	1.58
1941-1949	107	0.63237	0.48046	0.5	4	2	3	7	1.53
1941-1949	108	0.65527	0.49356	0.5	2	1	2	3	1.49
1941-1949	109	0.67747	0.50605	0.5	1	1	1	2	1.45
1941-1949	110+	0.69890	1.00000	1.43	1	1	1	1	1.43
1950-1959	0	0.02274	0.02229	0.12	100000	2229	98031	7173093	71.73
1950-1959	1	0.00151	0.00150	0.5	97771	147	97697	7075062	72.36
1950-1959	2	0.00089	0.00089	0.5	97624	87	97580	6977365	71.47
1950-1959	3	0.00070	0.00070	0.5	97537	68	97502	6879785	70.54
1950-1959	4	0.00058	0.00058	0.5	97468	56	97440	6782282	69.58
1950-1959	5	0.00051	0.00051	0.5	97412	50	97387	6684842	68.62
1950-1959	6	0.00045	0.00045	0.5	97362	43	97340	6587455	67.66
1950-1959	7	0.00038	0.00038	0.5	97319	37	97300	6490114	66.69
1950-1959	8	0.00033	0.00033	0.5	97282	32	97266	6392814	65.71
1950-1959	9	0.00031	0.00031	0.5	97250	30	97235	6295548	64.74
1950-1959	10	0.00030	0.00030	0.5	97219	29	97205	6198313	63.76
1950-1959	11	0.00030	0.00030	0.5	97190	29	97176	6101108	62.77
1950-1959	12	0.00032	0.00032	0.5	97161	31	97146	6003933	61.79
1950-1959	13	0.00033	0.00033	0.5	97130	32	97114	5906787	60.81
1950-1959	14	0.00038	0.00038	0.5	97098	36	97080	5809673	59.83
1950-1959	15	0.00044	0.00044	0.5	97062	43	97040	5712593	58.86
1950-1959	16	0.00049	0.00049	0.5	97019	48	96995	5615553	57.88
1950-1959	17	0.00054	0.00054	0.5	96971	52	96945	5518558	56.91
1950-1959	18	0.00059	0.00059	0.5	96919	57	96890	5421613	55.94
1950-1959	19	0.00061	0.00061	0.5	96862	59	96832	5324722	54.97
1950-1959	20	0.00064	0.00063	0.5	96802	61	96772	5227890	54.01
1950-1959	21	0.00067	0.00067	0.5	96741	65	96708	5131119	53.04
1950-1959	22	0.00068	0.00068	0.5	96676	66	96643	5034410	52.08
1950-1959	23	0.00072	0.00072	0.5	96610	69	96576	4937767	51.11
1950-1959	24	0.00073	0.00073	0.5	96541	71	96505	4841191	50.15
1950-1959	25	0.00079	0.00079	0.5	96470	76	96432	4744686	49.18
1950-1959	26	0.00082	0.00082	0.5	96394	79	96354	4648254	48.22
1950-1959	27	0.00089	0.00089	0.5	96314	86	96272	4551900	47.26
1950-1959	28	0.00095	0.00094	0.5	96229	91	96183	4455629	46.30
1950-1959	29	0.00100	0.00100	0.5	96138	96	96090	4359446	45.35
1950-1959	30	0.00109	0.00109	0.5	96042	105	95989	4263356	44.39
1950-1959	31	0.00117	0.00117	0.5	95937	112	95881	4167366	43.44
1950-1959	32	0.00127	0.00127	0.5	95825	121	95764	4071485	42.49
1950-1959	33	0.00139	0.00139	0.5	95704	133	95637	3975721	41.54
1950-1959	34	0.00148	0.00148	0.5	95570	141	95500	3880084	40.60
1950-1959	35	0.00159	0.00159	0.5	95429	151	95354	3784584	39.66
1950-1959	36	0.00172	0.00172	0.5	95278	164	95196	3689230	38.72
1950-1959	37	0.00187	0.00187	0.5	95114	177	95025	3594034	37.79
1950-1959	38	0.00205	0.00205	0.5	94937	195	94839	3499009	36.86
1950-1959	39	0.00223	0.00223	0.5	94742	211	94636	3404170	35.93
1950-1959	40	0.00245	0.00244	0.5	94531	231	94415	3309533	35.01
1950-1959	41	0.00268	0.00268	0.5	94300	252	94173	3215118	34.09
1950-1959	42	0.00294	0.00294	0.5	94047	277	93909	3120945	33.18
1950-1959	43	0.00319	0.00319	0.5	93771	299	93621	3027036	32.28
1950-1959	44	0.00358	0.00357	0.5	93472	334	93305	2933415	31.38
1950-1959	45	0.00391	0.00391	0.5	93138	364	92956	2840110	30.49
1950-1959	46	0.00437	0.00436	0.5	92774	404	92572	2747154	29.61
1950-1959	47	0.00479	0.00478	0.5	92370	442	92149	2654582	28.74
1950-1959	48	0.00536	0.00535	0.5	91928	492	91682	2562433	27.87
1950-1959	49	0.00577	0.00576	0.5	91436	526	91173	2470751	27.02
1950-1959	50	0.00626	0.00624	0.5	90910	568	90626	2379578	26.18
1950-1959	51	0.00684	0.00682	0.5	90342	616	90034	2288952	25.34
1950-1959	52	0.00750	0.00747	0.5	89726	671	89391	2198917	24.51
1950-1959	53	0.00821	0.00817	0.5	89056	728	88692	2109526	23.69
1950-1959	54	0.00889	0.00885	0.5	88328	782	87937	2020834	22.88
1950-1959	55	0.00967	0.00962	0.5	87546	842	87125	1932898	22.08
1950-1959	56	0.01045	0.01040	0.5	86704	902	86253	1845773	21.29
