PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
PA,f,1941-1944,0,0.03557,0.03453,0.15,100000,3453,97074,6670484,66.70
PA,f,1941-1944,1-4,0.00204,0.00811,1.57,96547,783,384288,6573410,68.08
PA,f,1941-1944,5-9,0.00077,0.00386,2.3,95765,370,477823,6189123,64.63
PA,f,1941-1944,10-14,0.00071,0.00355,2.6,95395,338,476162,5711299,59.87
PA,f,1941-1944,15-19,0.00107,0.00536,2.69,95056,510,474103,5235137,55.07
PA,f,1941-1944,20-24,0.00161,0.00802,2.61,94547,758,470925,4761035,50.36
PA,f,1941-1944,25-29,0.00195,0.00971,2.55,93789,911,466714,4290110,45.74
PA,f,1941-1944,30-34,0.00237,0.01180,2.6,92878,1096,461765,3823397,41.17
PA,f,1941-1944,35-39,0.00346,0.01719,2.66,91782,1577,455228,3361632,36.63
PA,f,1941-1944,40-44,0.00493,0.02438,2.61,90205,2199,445769,2906404,32.22
PA,f,1941-1944,45-49,0.00705,0.03467,2.64,88006,3051,432838,2460635,27.96
PA,f,1941-1944,50-54,0.01078,0.05256,2.64,84955,4465,414226,2027796,23.87
PA,f,1941-1944,55-59,0.01559,0.07513,2.61,80489,6047,387989,1613571,20.05
PA,f,1941-1944,60-64,0.02382,0.11277,2.64,74442,8395,352407,1225582,16.46
PA,f,1941-1944,65-69,0.03674,0.16874,2.59,66048,11145,303378,873175,13.22
PA,f,1941-1944,70-74,0.05750,0.25191,2.54,54903,13830,240544,569797,10.38
PA,f,1941-1944,75-79,0.08660,0.35576,2.49,41072,14612,168736,329252,8.02
PA,f,1941-1944,80-84,0.12954,0.48509,2.41,26461,12836,99083,160517,6.07
PA,f,1941-1944,85-89,0.19242,0.63107,2.27,13625,8598,44686,61433,4.51
PA,f,1941-1944,90-94,0.27998,0.76855,2.07,5027,3863,13798,16748,3.33
PA,f,1941-1944,95-99,0.38183,0.86790,1.86,1163,1010,2644,2949,2.53
PA,f,1941-1944,100-104,0.49756,0.93038,1.64,154,143,287,305,1.98
PA,f,1941-1944,105-109,0.61417,0.96363,1.44,11,10,17,17,1.62
PA,f,1941-1944,110+,0.70497,1.00000,1.42,0,0,1,1,1.42
PA,f,1945-1949,0,0.02899,0.02828,0.13,100000,2828,97551,6906225,69.06
PA,f,1945-1949,1-4,0.00130,0.00518,1.57,97172,504,387461,6808674,70.07
PA,f,1945-1949,5-9,0.00063,0.00313,2.42,96668,303,482559,6421213,66.43
PA,f,1945-1949,10-14,0.00054,0.00272,2.56,96366,262,481190,5938654,61.63
PA,f,1945-1949,15-19,0.00079,0.00393,2.67,96104,378,479640,5457464,56.79
PA,f,1945-1949,20-24,0.00113,0.00565,2.6,95726,540,477332,4977824,52.00
PA,f,1945-1949,25-29,0.00140,0.00695,2.59,95186,662,474336,4500492,47.28
PA,f,1945-1949,30-34,0.00185,0.00923,2.62,94524,873,470542,4026156,42.59
PA,f,1945-1949,35-39,0.00264,0.01310,2.66,93651,1227,465381,3555615,37.97
PA,f,1945-1949,40-44,0.00412,0.02042,2.67,92425,1887,457726,3090234,33.44
PA,f,1945-1949,45-49,0.00610,0.03006,2.65,90537,2721,446305,2632508,29.08
PA,f,1945-1949,50-54,0.00935,0.04573,2.63,87816,4016,429568,2186204,24.90
PA,f,1945-1949,55-59,0.01379,0.06678,2.65,83800,5596,405827,1756636,20.96
PA,f,1945-1949,60-64,0.02091,0.09957,2.62,78204,7787,372458,1350809,17.27
PA,f,1945-1949,65-69,0.03331,0.15438,2.63,70418,10871,326321,978351,13.89
PA,f,1945-1949,70-74,0.05231,0.23205,2.57,59546,13818,264140,652030,10.95
PA,f,1945-1949,75-79,0.07958,0.33188,2.5,45728,15176,190692,387890,8.48
PA,f,1945-1949,80-84,0.11657,0.44915,2.45,30552,13723,117719,197198,6.45
PA,f,1945-1949,85-89,0.18211,0.61088,2.31,16830,10281,56453,79479,4.72
PA,f,1945-1949,90-94,0.26205,0.74535,2.11,6549,4881,18626,23026,3.52
