PA: PA, Lifetables (period 5x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04603	0.04433	0.17	100000	4433	96314	6226187	62.26
1941-1944	1-4	0.00241	0.00957	1.59	95567	915	380062	6129874	64.14
1941-1944	5-9	0.00110	0.00549	2.33	94652	519	471873	5749811	60.75
1941-1944	10-14	0.00109	0.00546	2.65	94132	514	469454	5277938	56.07
1941-1944	15-19	0.00163	0.00812	2.6	93619	760	466268	4808484	51.36
1941-1944	20-24	0.00188	0.00936	2.55	92859	869	462164	4342217	46.76
1941-1944	25-29	0.00221	0.01100	2.58	91990	1012	457498	3880053	42.18
1941-1944	30-34	0.00293	0.01457	2.63	90978	1326	451741	3422555	37.62
1941-1944	35-39	0.00436	0.02157	2.68	89652	1934	443768	2970814	33.14
1941-1944	40-44	0.00679	0.03342	2.65	87718	2931	431700	2527045	28.81
1941-1944	45-49	0.01049	0.05119	2.65	84787	4340	413746	2095346	24.71
1941-1944	50-54	0.01632	0.07854	2.63	80447	6319	387271	1681600	20.90
1941-1944	55-59	0.02386	0.11279	2.58	74128	8361	350440	1294329	17.46
1941-1944	60-64	0.03395	0.15696	2.6	65767	10323	304034	943889	14.35
1941-1944	65-69	0.04960	0.22110	2.55	55444	12259	247142	639855	11.54
1941-1944	70-74	0.07231	0.30610	2.49	43186	13219	182806	392713	9.09
1941-1944	75-79	0.10535	0.41510	2.45	29967	12439	118074	209908	7.00
1941-1944	80-84	0.15933	0.55931	2.34	17528	9803	61530	91834	5.24
1941-1944	85-89	0.22984	0.69781	2.19	7724	5390	23451	30304	3.92
1941-1944	90-94	0.32478	0.81716	1.96	2334	1907	5873	6853	2.94
1941-1944	95-99	0.42563	0.89579	1.77	427	382	898	980	2.30
1941-1944	100-104	0.53840	0.94421	1.56	44	42	78	82	1.84
1941-1944	105-109	0.64804	0.96972	1.39	2	2	4	4	1.54
1941-1944	110+	0.73184	1.00000	1.37	0	0	0	0	1.37
1945-1949	0	0.03759	0.03642	0.15	100000	3642	96889	6433689	64.34
1945-1949	1-4	0.00160	0.00637	1.65	96358	614	383989	6336800	65.76
1945-1949	5-9	0.00090	0.00448	2.43	95744	429	477619	5952810	62.17
1945-1949	10-14	0.00084	0.00420	2.59	95316	400	475615	5475192	57.44
1945-1949	15-19	0.00126	0.00628	2.66	94916	596	473186	4999577	52.67
1945-1949	20-24	0.00167	0.00833	2.55	94320	786	469674	4526392	47.99
1945-1949	25-29	0.00181	0.00900	2.55	93534	842	465603	4056717	43.37
1945-1949	30-34	0.00231	0.01150	2.64	92692	1066	460949	3591115	38.74
1945-1949	35-39	0.00363	0.01802	2.68	91626	1651	454303	3130166	34.16
1945-1949	40-44	0.00588	0.02902	2.68	89975	2611	443828	2675863	29.74
1945-1949	45-49	0.00933	0.04567	2.67	87364	3990	427539	2232035	25.55
1945-1949	50-54	0.01496	0.07226	2.63	83374	6025	402601	1804496	21.64
1945-1949	55-59	0.02183	0.10375	2.61	77349	8025	367553	1401895	18.12
1945-1949	60-64	0.03157	0.14666	2.58	69324	10167	322006	1034342	14.92
1945-1949	65-69	0.04650	0.20883	2.56	59157	12354	265675	712336	12.04
1945-1949	70-74	0.06744	0.28897	2.53	46804	13525	200548	446661	9.54
1945-1949	75-79	0.09906	0.39506	2.44	33279	13147	132715	246113	7.40
1945-1949	80-84	0.14261	0.51896	2.38	20132	10448	73257	113398	5.63
1945-1949	85-89	0.21548	0.67444	2.23	9684	6531	30311	40141	4.15
1945-1949	90-94	0.30310	0.79421	2	3153	2504	8261	9830	3.12
1945-1949	95-99	0.40230	0.88170	1.81	649	572	1422	1569	2.42
1945-1949	100-104	0.51630	0.93706	1.6	77	72	139	147	1.91
1945-1949	105-109	0.62927	0.96645	1.42	5	5	7	8	1.58
1945-1949	110+	0.71653	1.00000	1.4	0	0	0	0	1.40
1950-1954	0	0.03035	0.02956	0.13	100000	2956	97418	6582831	65.83
1950-1954	1-4	0.00120	0.00478	1.64	97044	464	387078	6485413	66.83
1950-1954	5-9	0.00062	0.00307	2.39	96580	297	482124	6098335	63.14
1950-1954	10-14	0.00062	0.00310	2.71	96283	298	480733	5616211	58.33
1950-1954	15-19	0.00119	0.00594	2.7	95985	570	478614	5135478	53.50
1950-1954	20-24	0.00154	0.00768	2.51	95414	733	475248	4656864	48.81
1950-1954	25-29	0.00157	0.00782	2.53	94681	741	471576	4181616	44.17
1950-1954	30-34	0.00191	0.00950	2.63	93941	892	467588	3710040	39.49
1950-1954	35-39	0.00296	0.01471	2.71	93048	1369	462101	3242452	34.85
1950-1954	40-44	0.00516	0.02552	2.7	91680	2339	453026	2780351	30.33
1950-1954	45-49	0.00861	0.04221	2.68	89340	3771	437956	2327325	26.05
1950-1954	50-54	0.01350	0.06543	2.65	85569	5599	414716	1889369	22.08
1950-1954	55-59	0.02099	0.09992	2.61	79971	7990	380763	1474654	18.44
1950-1954	60-64	0.03087	0.14371	2.6	71980	10344	335055	1093890	15.20
1950-1954	65-69	0.04509	0.20307	2.56	61636	12516	277598	758836	12.31
1950-1954	70-74	0.06434	0.27740	2.52	49119	13626	211774	481238	9.80
1950-1954	75-79	0.09479	0.38221	2.47	35494	13566	143118	269464	7.59
1950-1954	80-84	0.13929	0.50997	2.37	21928	11182	80279	126346	5.76
1950-1954	85-89	0.20596	0.65742	2.25	10745	7064	34299	46067	4.29
1950-1954	90-94	0.29464	0.78460	2.02	3681	2888	9803	11769	3.20
1950-1954	95-99	0.39151	0.87434	1.84	793	693	1771	1966	2.48
1950-1954	100-104	0.50392	0.93250	1.62	100	93	184	195	1.96
1950-1954	105-109	0.61652	0.96393	1.43	7	6	11	11	1.61
1950-1954	110+	0.70419	1.00000	1.42	0	0	0	0	1.42
1955-1959	0	0.02873	0.02802	0.12	100000	2802	97540	6637227	66.37
1955-1959	1-4	0.00100	0.00400	1.6	97198	389	387857	6539687	67.28
1955-1959	5-9	0.00056	0.00280	2.39	96809	271	483337	6151831	63.55
1955-1959	10-14	0.00052	0.00258	2.68	96538	249	482109	5668494	58.72
1955-1959	15-19	0.00123	0.00615	2.75	96288	592	480112	5186385	53.86
1955-1959	20-24	0.00154	0.00765	2.5	95697	732	476653	4706272	49.18
1955-1959	25-29	0.00150	0.00749	2.52	94965	711	473060	4229619	44.54
1955-1959	30-34	0.00176	0.00878	2.6	94254	828	469284	3756559	39.86
1955-1959	35-39	0.00261	0.01299	2.71	93426	1214	464344	3287275	35.19
1955-1959	40-44	0.00459	0.02273	2.71	92212	2096	456260	2822931	30.61
1955-1959	45-49	0.00782	0.03842	2.69	90116	3462	442590	2366671	26.26
1955-1959	50-54	0.01319	0.06399	2.66	86654	5545	420301	1924081	22.20
1955-1959	55-59	0.01982	0.09468	2.64	81109	7679	387441	1503780	18.54
1955-1959	60-64	0.03005	0.14014	2.6	73429	10291	342476	1116338	15.20
1955-1959	65-69	0.04560	0.20516	2.56	63139	12954	284044	773863	12.26
1955-1959	70-74	0.06463	0.27856	2.52	50185	13980	216321	489818	9.76
1955-1959	75-79	0.09564	0.38489	2.46	36205	13935	145696	273498	7.55
1955-1959	80-84	0.13992	0.51206	2.38	22270	11404	81502	127801	5.74
1955-1959	85-89	0.20793	0.66041	2.24	10867	7176	34513	46299	4.26
1955-1959	90-94	0.29379	0.78571	2.04	3690	2899	9869	11786	3.19
1955-1959	95-99	0.40108	0.88111	1.82	791	697	1737	1917	2.42
1955-1959	100-104	0.51701	0.93745	1.6	94	88	170	180	1.91
1955-1959	105-109	0.63181	0.96701	1.41	6	6	9	9	1.58
1955-1959	110+	0.72026	1.00000	1.39	0	0	0	0	1.39
1960-1964	0	0.02714	0.02651	0.12	100000	2651	97661	6664990	66.65
1960-1964	1-4	0.00091	0.00364	1.69	97349	354	388578	6567329	67.46
1960-1964	5-9	0.00047	0.00235	2.35	96995	228	484369	6178750	63.70
1960-1964	10-14	0.00047	0.00233	2.7	96767	226	483315	5694381	58.85
1960-1964	15-19	0.00107	0.00533	2.87	96541	514	481610	5211067	53.98
1960-1964	20-24	0.00147	0.00730	2.52	96027	701	478397	4729457	49.25
1960-1964	25-29	0.00148	0.00739	2.51	95325	705	474875	4251060	44.60
1960-1964	30-34	0.00171	0.00849	2.61	94621	804	471185	3776186	39.91
1960-1964	35-39	0.00272	0.01354	2.71	93817	1270	466178	3305001	35.23
1960-1964	40-44	0.00436	0.02157	2.7	92547	1996	458143	2838823	30.67
1960-1964	45-49	0.00761	0.03737	2.68	90551	3384	444890	2380679	26.29
1960-1964	50-54	0.01285	0.06239	2.66	87167	5439	423131	1935790	22.21
1960-1964	55-59	0.01990	0.09506	2.64	81728	7769	390307	1512659	18.51
1960-1964	60-64	0.03028	0.14117	2.61	73959	10441	344812	1122352	15.18
1960-1964	65-69	0.04530	0.20385	2.55	63518	12948	285854	777540	12.24
1960-1964	70-74	0.06599	0.28352	2.52	50570	14338	217281	491686	9.72
1960-1964	75-79	0.09391	0.37859	2.44	36232	13717	146074	274405	7.57
1960-1964	80-84	0.14156	0.51614	2.38	22515	11621	82091	128332	5.70
1960-1964	85-89	0.20828	0.66078	2.23	10894	7199	34562	46241	4.24
1960-1964	90-94	0.29812	0.79124	2.04	3696	2924	9808	11678	3.16
1960-1964	95-99	0.40122	0.88110	1.82	771	680	1694	1870	2.42
1960-1964	100-104	0.51619	0.93710	1.6	92	86	167	176	1.91
1960-1964	105-109	0.63013	0.96665	1.41	6	6	9	9	1.58
1960-1964	110+	0.71804	1.00000	1.39	0	0	0	0	1.39
1965-1969	0	0.02476	0.02423	0.11	100000	2423	97847	6658960	66.59
1965-1969	1-4	0.00085	0.00340	1.68	97577	332	389537	6561113	67.24
1965-1969	5-9	0.00049	0.00246	2.35	97245	239	485591	6171576	63.46
1965-1969	10-14	0.00043	0.00216	2.71	97006	209	484550	5685985	58.61
1965-1969	15-19	0.00141	0.00702	2.88	96797	680	482544	5201436	53.74
1965-1969	20-24	0.00173	0.00863	2.48	96117	830	478492	4718892	49.10
1965-1969	25-29	0.00168	0.00837	2.51	95287	797	474454	4240399	44.50
1965-1969	30-34	0.00190	0.00946	2.6	94490	894	470308	3765945	39.86
1965-1969	35-39	0.00280	0.01390	2.68	93596	1301	464965	3295637	35.21
1965-1969	40-44	0.00452	0.02238	2.67	92295	2066	456666	2830672	30.67
1965-1969	45-49	0.00745	0.03662	2.69	90229	3304	443519	2374006	26.31
1965-1969	50-54	0.01253	0.06090	2.67	86925	5293	422315	1930487	22.21
1965-1969	55-59	0.01994	0.09524	2.65	81631	7774	389924	1508172	18.48
1965-1969	60-64	0.03082	0.14350	2.6	73857	10599	343866	1118248	15.14
1965-1969	65-69	0.04515	0.20333	2.56	63258	12862	284879	774382	12.24
1965-1969	70-74	0.06626	0.28473	2.53	50396	14349	216548	489503	9.71
1965-1969	75-79	0.09518	0.38247	2.43	36047	13787	144852	272956	7.57
1965-1969	80-84	0.14046	0.51338	2.38	22260	11428	81362	128104	5.75
1965-1969	85-89	0.20416	0.65356	2.25	10832	7080	34676	46743	4.32
1965-1969	90-94	0.29233	0.78300	2.04	3753	2938	10052	12067	3.22
1965-1969	95-99	0.39234	0.87490	1.83	814	712	1816	2015	2.47
1965-1969	100-104	0.50473	0.93280	1.62	102	95	188	199	1.96
1965-1969	105-109	0.61722	0.96407	1.43	7	7	11	11	1.61
1965-1969	110+	0.70478	1.00000	1.42	0	0	0	0	1.42
1970-1974	0	0.02038	0.02001	0.1	100000	2001	98198	6734569	67.35
1970-1974	1-4	0.00076	0.00303	1.74	97999	297	391323	6636371	67.72
1970-1974	5-9	0.00044	0.00218	2.37	97701	213	487947	6245048	63.92
1970-1974	10-14	0.00044	0.00222	2.77	97488	216	486959	5757101	59.05
1970-1974	15-19	0.00136	0.00679	2.86	97272	661	484947	5270143	54.18
1970-1974	20-24	0.00197	0.00980	2.48	96611	947	480665	4785196	49.53
1970-1974	25-29	0.00173	0.00863	2.5	95664	826	476260	4304531	45.00
1970-1974	30-34	0.00203	0.01009	2.63	94839	957	471927	3828271	40.37
1970-1974	35-39	0.00281	0.01393	2.62	93882	1308	466293	3356343	35.75
1970-1974	40-44	0.00442	0.02187	2.68	92574	2025	458175	2890051	31.22
1970-1974	45-49	0.00737	0.03622	2.67	90549	3280	445110	2431876	26.86
1970-1974	50-54	0.01146	0.05581	2.66	87269	4870	424956	1986766	22.77
1970-1974	55-59	0.01866	0.08940	2.66	82399	7366	394731	1561809	18.95
1970-1974	60-64	0.02890	0.13521	2.62	75033	10145	351025	1167078	15.55
1970-1974	65-69	0.04286	0.19407	2.57	64888	12593	293777	816053	12.58
1970-1974	70-74	0.06344	0.27406	2.52	52295	14332	225922	522277	9.99
1970-1974	75-79	0.09320	0.37707	2.47	37963	14315	153588	296355	7.81
1970-1974	80-84	0.13166	0.48981	2.39	23648	11583	87978	142767	6.04
1970-1974	85-89	0.19274	0.63067	2.26	12065	7609	39479	54789	4.54
1970-1974	90-94	0.27026	0.75648	2.09	4456	3371	12473	15311	3.44
1970-1974	95-99	0.36939	0.85783	1.88	1085	931	2520	2838	2.62
1970-1974	100-104	0.47811	0.92192	1.67	154	142	297	318	2.06
1970-1974	105-109	0.58939	0.95792	1.48	12	12	20	20	1.69
1970-1974	110+	0.67741	1.00000	1.48	1	1	1	1	1.48
1975-1979	0	0.01650	0.01625	0.09	100000	1625	98520	6908703	69.09
1975-1979	1-4	0.00063	0.00251	1.75	98375	247	392943	6810183	69.23
1975-1979	5-9	0.00037	0.00185	2.3	98128	181	490148	6417240	65.40
1975-1979	10-14	0.00038	0.00190	2.79	97946	186	489321	5927092	60.51
1975-1979	15-19	0.00122	0.00611	2.93	97761	597	487566	5437771	55.62
1975-1979	20-24	0.00177	0.00880	2.47	97163	855	483655	4950204	50.95
1975-1979	25-29	0.00164	0.00815	2.48	96308	785	479564	4466550	46.38
1975-1979	30-34	0.00177	0.00879	2.57	95524	840	475582	3986986	41.74
1975-1979	35-39	0.00247	0.01230	2.61	94684	1164	470638	3511403	37.09
1975-1979	40-44	0.00378	0.01875	2.74	93520	1754	463633	3040765	32.51
1975-1979	45-49	0.00633	0.03121	2.68	91766	2864	452181	2577133	28.08
1975-1979	50-54	0.01017	0.04968	2.67	88902	4417	434215	2124952	23.90
1975-1979	55-59	0.01582	0.07625	2.65	84485	6442	407274	1690737	20.01
1975-1979	60-64	0.02549	0.12023	2.64	78043	9383	368087	1283463	16.45
1975-1979	65-69	0.03840	0.17569	2.58	68660	12063	314102	915375	13.33
1975-1979	70-74	0.05700	0.24989	2.54	56597	14143	248128	601273	10.62
1975-1979	75-79	0.08422	0.34726	2.47	42454	14742	175038	353145	8.32
1975-1979	80-84	0.12107	0.46100	2.41	27712	12775	105519	178107	6.43
1975-1979	85-89	0.17608	0.59532	2.28	14937	8892	50501	72589	4.86
1975-1979	90-94	0.25161	0.73082	2.13	6045	4417	17557	22088	3.65
1975-1979	95-99	0.34454	0.83700	1.93	1627	1362	3953	4531	2.78
1975-1979	100-104	0.45018	0.90879	1.72	265	241	535	578	2.18
1975-1979	105-109	0.56083	0.95061	1.52	24	23	41	43	1.77
1975-1979	110+	0.64962	1.00000	1.54	1	1	2	2	1.54
1980-1984	0	0.01283	0.01268	0.08	100000	1268	98833	7047181	70.47
1980-1984	1-4	0.00055	0.00219	1.68	98732	216	394427	6948348	70.38
1980-1984	5-9	0.00026	0.00130	2.3	98516	129	492232	6553921	66.53
1980-1984	10-14	0.00030	0.00148	2.68	98387	146	491599	6061689	61.61
1980-1984	15-19	0.00105	0.00524	2.94	98242	515	490148	5570090	56.70
1980-1984	20-24	0.00157	0.00781	2.52	97727	763	486739	5079942	51.98
1980-1984	25-29	0.00155	0.00772	2.51	96964	748	482954	4593202	47.37
1980-1984	30-34	0.00164	0.00818	2.57	96216	788	479164	4110248	42.72
1980-1984	35-39	0.00212	0.01056	2.64	95428	1008	474764	3631084	38.05
1980-1984	40-44	0.00332	0.01645	2.67	94420	1553	468486	3156320	33.43
1980-1984	45-49	0.00544	0.02688	2.72	92867	2496	458638	2687834	28.94
1980-1984	50-54	0.00902	0.04416	2.66	90370	3991	442512	2229196	24.67
1980-1984	55-59	0.01450	0.07009	2.64	86379	6055	417598	1786683	20.68
1980-1984	60-64	0.02272	0.10776	2.62	80324	8656	381044	1369086	17.04
1980-1984	65-69	0.03513	0.16198	2.6	71668	11609	330501	988042	13.79
1980-1984	70-74	0.05395	0.23837	2.56	60059	14316	265344	657541	10.95
1980-1984	75-79	0.07923	0.33044	2.49	45743	15115	190788	392197	8.57
1980-1984	80-84	0.11634	0.44791	2.43	30628	13719	117921	201409	6.58
1980-1984	85-89	0.17203	0.58779	2.31	16909	9939	57774	83488	4.94
1980-1984	90-94	0.24820	0.72656	2.15	6970	5064	20404	25714	3.69
1980-1984	95-99	0.34399	0.83693	1.93	1906	1595	4637	5310	2.79
1980-1984	100-104	0.45308	0.91056	1.72	311	283	625	673	2.17
1980-1984	105-109	0.56725	0.95255	1.51	28	26	47	49	1.75
1980-1984	110+	0.65859	1.00000	1.52	1	1	2	2	1.52
1985-1989	0	0.01154	0.01142	0.08	100000	1142	98945	7119361	71.19
1985-1989	1-4	0.00052	0.00209	1.7	98858	207	394957	7020416	71.01
1985-1989	5-9	0.00026	0.00129	2.36	98652	127	492923	6625459	67.16
1985-1989	10-14	0.00032	0.00157	2.83	98525	155	492287	6132536	62.24
