RI: RI, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03783	0.03666	0.16	100000	3666	96904	6544566	65.45
1941	1	0.00467	0.00466	0.5	96334	448	96110	6447663	66.93
1941	2	0.00209	0.00208	0.5	95885	200	95785	6351553	66.24
1941	3	0.00167	0.00167	0.5	95686	160	95605	6255768	65.38
1941	4	0.00062	0.00062	0.5	95525	59	95496	6160162	64.49
1941	5	0.00054	0.00054	0.5	95466	52	95441	6064666	63.53
1941	6	0.00074	0.00074	0.5	95415	71	95379	5969226	62.56
1941	7	0.00086	0.00086	0.5	95344	82	95303	5873847	61.61
1941	8	0.00086	0.00086	0.5	95262	82	95221	5778544	60.66
1941	9	0.00074	0.00074	0.5	95181	71	95145	5683322	59.71
1941	10	0.00058	0.00058	0.5	95110	55	95082	5588177	58.76
1941	11	0.00048	0.00048	0.5	95054	46	95031	5493095	57.79
1941	12	0.00047	0.00047	0.5	95008	45	94986	5398064	56.82
1941	13	0.00052	0.00052	0.5	94964	49	94939	5303078	55.84
1941	14	0.00064	0.00064	0.5	94914	61	94884	5208139	54.87
1941	15	0.00082	0.00082	0.5	94853	77	94815	5113255	53.91
1941	16	0.00095	0.00095	0.5	94776	90	94731	5018441	52.95
1941	17	0.00105	0.00105	0.5	94686	99	94636	4923710	52.00
1941	18	0.00113	0.00113	0.5	94586	106	94533	4829074	51.05
1941	19	0.00113	0.00113	0.5	94480	106	94427	4734540	50.11
1941	20	0.00113	0.00113	0.5	94374	107	94320	4640114	49.17
1941	21	0.00119	0.00119	0.5	94267	112	94211	4545793	48.22
1941	22	0.00125	0.00125	0.5	94154	117	94096	4451583	47.28
1941	23	0.00132	0.00132	0.5	94037	124	93975	4357487	46.34
1941	24	0.00143	0.00143	0.5	93913	134	93846	4263512	45.40
1941	25	0.00156	0.00156	0.5	93778	147	93705	4169667	44.46
1941	26	0.00165	0.00165	0.5	93632	154	93555	4075961	43.53
1941	27	0.00176	0.00176	0.5	93477	164	93395	3982407	42.60
1941	28	0.00192	0.00192	0.5	93313	179	93224	3889011	41.68
1941	29	0.00206	0.00206	0.5	93134	192	93038	3795788	40.76
1941	30	0.00218	0.00218	0.5	92943	203	92841	3702749	39.84
1941	31	0.00229	0.00229	0.5	92740	212	92634	3609908	38.93
1941	32	0.00245	0.00245	0.5	92528	226	92415	3517274	38.01
1941	33	0.00251	0.00251	0.5	92302	232	92186	3424859	37.11
1941	34	0.00252	0.00252	0.5	92070	232	91954	3332674	36.20
1941	35	0.00259	0.00259	0.5	91838	238	91719	3240720	35.29
1941	36	0.00262	0.00262	0.5	91600	240	91480	3149001	34.38
1941	37	0.00288	0.00287	0.5	91360	262	91229	3057521	33.47
1941	38	0.00337	0.00337	0.5	91098	307	90945	2966292	32.56
1941	39	0.00386	0.00386	0.5	90791	350	90616	2875347	31.67
1941	40	0.00429	0.00428	0.5	90441	387	90248	2784731	30.79
1941	41	0.00473	0.00471	0.5	90054	425	89842	2694483	29.92
1941	42	0.00561	0.00559	0.5	89629	501	89379	2604642	29.06
1941	43	0.00604	0.00603	0.5	89128	537	88859	2515263	28.22
1941	44	0.00623	0.00621	0.5	88591	550	88316	2426404	27.39
1941	45	0.00679	0.00676	0.5	88041	596	87743	2338088	26.56
1941	46	0.00703	0.00700	0.5	87446	612	87139	2250344	25.73
1941	47	0.00771	0.00768	0.5	86833	667	86500	2163205	24.91
1941	48	0.00858	0.00854	0.5	86166	736	85798	2076705	24.10
1941	49	0.00917	0.00913	0.5	85430	780	85040	1990907	23.30
1941	50	0.00998	0.00994	0.5	84650	841	84230	1905867	22.51
1941	51	0.01079	0.01074	0.5	83809	900	83359	1821637	21.74
1941	52	0.01256	0.01248	0.5	82909	1035	82392	1738278	20.97
1941	53	0.01382	0.01372	0.5	81875	1124	81313	1655886	20.22
1941	54	0.01454	0.01443	0.5	80751	1165	80168	1574573	19.50
1941	55	0.01606	0.01593	0.5	79586	1268	78952	1494405	18.78
1941	56	0.01709	0.01695	0.5	78318	1327	77654	1415453	18.07
1941	57	0.01891	0.01874	0.5	76991	1443	76269	1337799	17.38
1941	58	0.02133	0.02111	0.5	75548	1595	74751	1261530	16.70
1941	59	0.02213	0.02189	0.5	73953	1619	73144	1186779	16.05
1941	60	0.02297	0.02271	0.5	72335	1643	71513	1113635	15.40
1941	61	0.02453	0.02423	0.5	70692	1713	69835	1042121	14.74
1941	62	0.02866	0.02825	0.5	68979	1949	68004	972286	14.10
1941	63	0.03215	0.03164	0.5	67030	2121	65969	904282	13.49
1941	64	0.03310	0.03256	0.5	64909	2113	63852	838313	12.92
1941	65	0.03548	0.03487	0.5	62795	2189	61701	774461	12.33
1941	66	0.03653	0.03588	0.5	60606	2174	59519	712760	11.76
1941	67	0.04271	0.04182	0.5	58432	2443	57210	653241	11.18
1941	68	0.05054	0.04929	0.5	55988	2760	54608	596031	10.65
1941	69	0.05363	0.05223	0.5	53229	2780	51839	541423	10.17
1941	70	0.05752	0.05592	0.5	50449	2821	49038	489584	9.70
1941	71	0.05946	0.05774	0.5	47628	2750	46253	440546	9.25
1941	72	0.06803	0.06579	0.5	44878	2953	43401	394293	8.79
1941	73	0.07631	0.07350	0.5	41925	3082	40384	350892	8.37
1941	74	0.07959	0.07654	0.5	38843	2973	37357	310507	7.99
1941	75	0.08454	0.08111	0.5	35870	2909	34415	273151	7.61
1941	76	0.08513	0.08166	0.5	32961	2692	31615	238735	7.24
1941	77	0.09670	0.09224	0.5	30269	2792	28873	207120	6.84
1941	78	0.11895	0.11227	0.5	27477	3085	25935	178247	6.49
1941	79	0.12068	0.11381	0.5	24392	2776	23004	152312	6.24
1941	80	0.11013	0.10438	0.5	21616	2256	20488	129308	5.98
1941	81	0.12089	0.11400	0.5	19360	2207	18256	108820	5.62
1941	82	0.13254	0.12430	0.5	17153	2132	16087	90563	5.28
1941	83	0.14511	0.13530	0.5	15021	2032	14005	74477	4.96
1941	84	0.15865	0.14699	0.5	12988	1909	12034	60472	4.66
1941	85	0.17317	0.15937	0.5	11079	1766	10196	48438	4.37
1941	86	0.18872	0.17245	0.5	9314	1606	8511	38242	4.11
1941	87	0.20529	0.18618	0.5	7707	1435	6990	29731	3.86
1941	88	0.22290	0.20055	0.5	6273	1258	5644	22741	3.63
1941	89	0.24154	0.21551	0.5	5015	1081	4474	17097	3.41
1941	90	0.26120	0.23103	0.5	3934	909	3479	12623	3.21
1941	91	0.28183	0.24702	0.5	3025	747	2651	9144	3.02
1941	92	0.30341	0.26344	0.5	2278	600	1978	6492	2.85
1941	93	0.32587	0.28021	0.5	1678	470	1443	4515	2.69
1941	94	0.34913	0.29724	0.5	1208	359	1028	3072	2.54
1941	95	0.37310	0.31444	0.5	849	267	715	2044	2.41
1941	96	0.39770	0.33173	0.5	582	193	485	1329	2.28
1941	97	0.42280	0.34902	0.5	389	136	321	843	2.17
1941	98	0.44828	0.36620	0.5	253	93	207	522	2.06
1941	99	0.47402	0.38320	0.5	160	61	130	316	1.97
1941	100	0.49988	0.39992	0.5	99	40	79	186	1.88
1941	101	0.52572	0.41630	0.5	59	25	47	107	1.80
1941	102	0.55141	0.43224	0.5	35	15	27	60	1.73
1941	103	0.57682	0.44770	0.5	20	9	15	33	1.66
1941	104	0.60182	0.46261	0.5	11	5	8	17	1.60
1941	105	0.62628	0.47694	0.5	6	3	4	9	1.54
1941	106	0.65012	0.49063	0.5	3	1	2	5	1.49
1941	107	0.67322	0.50367	0.5	2	1	1	2	1.45
1941	108	0.69550	0.51604	0.5	1	0	1	1	1.41
1941	109	0.71690	0.52773	0.5	0	0	0	1	1.38
1941	110+	0.73736	1.00000	1.36	0	0	0	0	1.36
1942	0	0.04461	0.04302	0.17	100000	4302	96434	6528172	65.28
1942	1	0.00228	0.00227	0.5	95698	218	95590	6431738	67.21
1942	2	0.00190	0.00190	0.5	95481	181	95390	6336148	66.36
1942	3	0.00120	0.00120	0.5	95299	114	95242	6240758	65.49
1942	4	0.00042	0.00042	0.5	95185	40	95165	6145516	64.56
1942	5	0.00055	0.00055	0.5	95146	52	95120	6050351	63.59
1942	6	0.00082	0.00082	0.5	95094	78	95054	5955231	62.62
1942	7	0.00096	0.00096	0.5	95015	91	94970	5860177	61.68
1942	8	0.00099	0.00099	0.5	94924	94	94877	5765207	60.73
1942	9	0.00089	0.00089	0.5	94830	84	94788	5670330	59.79
1942	10	0.00068	0.00068	0.5	94746	65	94713	5575542	58.85
1942	11	0.00054	0.00054	0.5	94681	51	94656	5480829	57.89
1942	12	0.00048	0.00048	0.5	94630	46	94607	5386173	56.92
1942	13	0.00050	0.00050	0.5	94585	48	94561	5291566	55.95
1942	14	0.00058	0.00058	0.5	94537	55	94509	5197005	54.97
1942	15	0.00072	0.00072	0.5	94482	68	94448	5102496	54.00
1942	16	0.00085	0.00085	0.5	94414	80	94374	5008048	53.04
1942	17	0.00095	0.00095	0.5	94334	89	94290	4913674	52.09
1942	18	0.00104	0.00104	0.5	94245	98	94196	4819384	51.14
1942	19	0.00114	0.00114	0.5	94147	107	94094	4725188	50.19
1942	20	0.00118	0.00118	0.5	94040	111	93985	4631094	49.25
1942	21	0.00125	0.00125	0.5	93929	117	93870	4537110	48.30
1942	22	0.00136	0.00136	0.5	93812	127	93748	4443240	47.36
1942	23	0.00144	0.00144	0.5	93684	135	93617	4349491	46.43
1942	24	0.00152	0.00151	0.5	93550	142	93479	4255874	45.49
1942	25	0.00160	0.00160	0.5	93408	150	93333	4162395	44.56
1942	26	0.00170	0.00169	0.5	93259	158	93180	4069062	43.63
1942	27	0.00173	0.00173	0.5	93101	161	93020	3975883	42.71
1942	28	0.00180	0.00180	0.5	92939	167	92856	3882863	41.78
1942	29	0.00192	0.00192	0.5	92772	178	92683	3790007	40.85
1942	30	0.00201	0.00201	0.5	92594	186	92501	3697324	39.93
1942	31	0.00207	0.00207	0.5	92408	191	92313	3604823	39.01
1942	32	0.00213	0.00213	0.5	92217	197	92119	3512511	38.09
1942	33	0.00227	0.00227	0.5	92020	208	91916	3420392	37.17
1942	34	0.00234	0.00233	0.5	91812	214	91705	3328476	36.25
1942	35	0.00240	0.00239	0.5	91598	219	91488	3236771	35.34
1942	36	0.00262	0.00261	0.5	91378	239	91259	3145283	34.42
1942	37	0.00278	0.00277	0.5	91140	253	91013	3054024	33.51
1942	38	0.00312	0.00311	0.5	90887	283	90745	2963011	32.60
1942	39	0.00366	0.00366	0.5	90604	331	90438	2872266	31.70
1942	40	0.00413	0.00412	0.5	90273	372	90087	2781827	30.82
1942	41	0.00441	0.00440	0.5	89901	396	89703	2691741	29.94
1942	42	0.00470	0.00469	0.5	89505	420	89295	2602038	29.07
1942	43	0.00547	0.00546	0.5	89085	486	88842	2512743	28.21
1942	44	0.00587	0.00585	0.5	88599	518	88340	2423900	27.36
1942	45	0.00606	0.00604	0.5	88081	532	87815	2335560	26.52
1942	46	0.00673	0.00671	0.5	87549	587	87255	2247746	25.67
1942	47	0.00715	0.00712	0.5	86961	620	86652	2160491	24.84
1942	48	0.00802	0.00799	0.5	86342	690	85997	2073839	24.02
1942	49	0.00909	0.00905	0.5	85652	775	85264	1987842	23.21
1942	50	0.00990	0.00986	0.5	84877	837	84458	1902578	22.42
1942	51	0.01084	0.01078	0.5	84040	906	83587	1818119	21.63
1942	52	0.01174	0.01168	0.5	83134	971	82649	1734532	20.86
1942	53	0.01369	0.01360	0.5	82164	1117	81605	1651883	20.10
1942	54	0.01508	0.01496	0.5	81047	1213	80440	1570278	19.38
1942	55	0.01585	0.01572	0.5	79834	1255	79206	1489838	18.66
1942	56	0.01754	0.01739	0.5	78579	1366	77895	1410632	17.95
1942	57	0.01881	0.01863	0.5	77212	1439	76493	1332736	17.26
1942	58	0.02118	0.02096	0.5	75773	1588	74979	1256244	16.58
1942	59	0.02447	0.02417	0.5	74185	1793	73289	1181264	15.92
1942	60	0.02599	0.02566	0.5	72392	1858	71464	1107975	15.31
1942	61	0.02759	0.02721	0.5	70535	1919	69575	1036512	14.70
1942	62	0.02959	0.02916	0.5	68615	2001	67615	966937	14.09
1942	63	0.03420	0.03363	0.5	66615	2240	65494	899322	13.50
1942	64	0.03763	0.03694	0.5	64374	2378	63186	833827	12.95
1942	65	0.03780	0.03710	0.5	61997	2300	60847	770642	12.43
1942	66	0.03959	0.03882	0.5	59696	2318	58538	709795	11.89
1942	67	0.04016	0.03937	0.5	57379	2259	56249	651258	11.35
1942	68	0.04690	0.04583	0.5	55120	2526	53857	595008	10.79
1942	69	0.05636	0.05481	0.5	52594	2883	51152	541152	10.29
1942	70	0.06111	0.05929	0.5	49711	2948	48237	490000	9.86
1942	71	0.06572	0.06363	0.5	46763	2976	45275	441763	9.45
1942	72	0.06717	0.06499	0.5	43788	2846	42365	396487	9.05
1942	73	0.07496	0.07226	0.5	40942	2958	39463	354122	8.65
1942	74	0.08059	0.07747	0.5	37984	2942	36512	314659	8.28
1942	75	0.07954	0.07650	0.5	35041	2681	33701	278147	7.94
1942	76	0.08052	0.07741	0.5	32361	2505	31108	244446	7.55
1942	77	0.07796	0.07504	0.5	29856	2240	28736	213338	7.15
1942	78	0.08976	0.08590	0.5	27615	2372	26429	184603	6.68
1942	79	0.11831	0.11170	0.5	25243	2820	23833	158173	6.27
1942	80	0.11657	0.11015	0.5	22423	2470	21189	134340	5.99
1942	81	0.12610	0.11863	0.5	19954	2367	18770	113151	5.67
1942	82	0.13629	0.12760	0.5	17587	2244	16465	94381	5.37
1942	83	0.14715	0.13707	0.5	15343	2103	14291	77916	5.08
1942	84	0.15871	0.14704	0.5	13240	1947	12266	63625	4.81
1942	85	0.17097	0.15751	0.5	11293	1779	10404	51359	4.55
1942	86	0.18396	0.16846	0.5	9514	1603	8713	40956	4.30
1942	87	0.19768	0.17990	0.5	7911	1423	7200	32243	4.08
1942	88	0.21214	0.19180	0.5	6488	1244	5866	25043	3.86
1942	89	0.22734	0.20414	0.5	5244	1070	4708	19177	3.66
1942	90	0.24328	0.21689	0.5	4173	905	3721	14469	3.47
1942	91	0.25993	0.23003	0.5	3268	752	2892	10748	3.29
1942	92	0.27728	0.24352	0.5	2516	613	2210	7856	3.12
1942	93	0.29530	0.25731	0.5	1904	490	1659	5646	2.97
1942	94	0.31396	0.27136	0.5	1414	384	1222	3987	2.82
1942	95	0.33322	0.28563	0.5	1030	294	883	2765	2.68
1942	96	0.35303	0.30006	0.5	736	221	625	1882	2.56
1942	97	0.37333	0.31460	0.5	515	162	434	1257	2.44
1942	98	0.39406	0.32920	0.5	353	116	295	823	2.33
1942	99	0.41516	0.34379	0.5	237	81	196	528	2.23
1942	100	0.43655	0.35833	0.5	155	56	128	332	2.13
1942	101	0.45815	0.37276	0.5	100	37	81	204	2.05
1942	102	0.47990	0.38703	0.5	63	24	50	123	1.96
1942	103	0.50169	0.40108	0.5	38	15	31	72	1.89
1942	104	0.52347	0.41488	0.5	23	10	18	42	1.82
1942	105	0.54514	0.42838	0.5	13	6	11	24	1.76
1942	106	0.56662	0.44153	0.5	8	3	6	13	1.70
1942	107	0.58785	0.45431	0.5	4	2	3	7	1.65
1942	108	0.60874	0.46669	0.5	2	1	2	4	1.60
1942	109	0.62923	0.47864	0.5	1	1	1	2	1.56
1942	110+	0.64925	1.00000	1.54	1	1	1	1	1.54
1943	0	0.04568	0.04402	0.18	100000	4402	96368	6436921	64.37
1943	1	0.00284	0.00283	0.5	95598	271	95462	6340552	66.33
1943	2	0.00190	0.00190	0.5	95327	181	95236	6245090	65.51
1943	3	0.00147	0.00147	0.5	95146	140	95076	6149853	64.64
1943	4	0.00151	0.00151	0.5	95006	144	94934	6054777	63.73
1943	5	0.00129	0.00129	0.5	94863	123	94801	5959843	62.83
1943	6	0.00109	0.00109	0.5	94740	103	94688	5865042	61.91
1943	7	0.00094	0.00094	0.5	94637	89	94592	5770353	60.97
1943	8	0.00081	0.00081	0.5	94548	77	94509	5675761	60.03
1943	9	0.00073	0.00073	0.5	94471	69	94437	5581252	59.08
1943	10	0.00067	0.00067	0.5	94402	63	94371	5486815	58.12
1943	11	0.00064	0.00064	0.5	94339	60	94309	5392444	57.16
1943	12	0.00066	0.00066	0.5	94279	62	94248	5298135	56.20
1943	13	0.00073	0.00073	0.5	94217	69	94183	5203887	55.23
1943	14	0.00086	0.00086	0.5	94148	81	94108	5109705	54.27
1943	15	0.00101	0.00101	0.5	94067	95	94020	5015597	53.32
1943	16	0.00116	0.00116	0.5	93972	109	93917	4921577	52.37
1943	17	0.00129	0.00129	0.5	93863	121	93802	4827660	51.43
1943	18	0.00138	0.00138	0.5	93741	130	93677	4733857	50.50
1943	19	0.00148	0.00148	0.5	93612	138	93543	4640181	49.57
1943	20	0.00159	0.00159	0.5	93473	148	93399	4546638	48.64
1943	21	0.00160	0.00160	0.5	93325	149	93251	4453239	47.72
1943	22	0.00162	0.00162	0.5	93176	151	93101	4359988	46.79
1943	23	0.00166	0.00165	0.5	93025	154	92948	4266888	45.87
1943	24	0.00163	0.00163	0.5	92871	151	92796	4173939	44.94
1943	25	0.00157	0.00157	0.5	92720	146	92647	4081144	44.02
1943	26	0.00156	0.00156	0.5	92574	144	92502	3988497	43.08
1943	27	0.00160	0.00160	0.5	92430	148	92356	3895995	42.15
1943	28	0.00163	0.00163	0.5	92282	151	92207	3803639	41.22
1943	29	0.00175	0.00175	0.5	92132	161	92051	3711432	40.28
1943	30	0.00196	0.00196	0.5	91970	180	91880	3619381	39.35
1943	31	0.00213	0.00212	0.5	91790	195	91693	3527500	38.43
1943	32	0.00227	0.00226	0.5	91595	207	91492	3435807	37.51
1943	33	0.00240	0.00240	0.5	91388	219	91278	3344316	36.59
1943	34	0.00262	0.00262	0.5	91169	239	91050	3253037	35.68
1943	35	0.00278	0.00277	0.5	90930	252	90804	3161988	34.77
1943	36	0.00295	0.00295	0.5	90678	267	90545	3071183	33.87
