PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
RI,f,1941-1949,0,0.02945,0.02872,0.14,100000,2872,97517,6902409,69.02
RI,f,1941-1949,1,0.00214,0.00214,0.5,97128,208,97024,6804892,70.06
RI,f,1941-1949,2,0.00110,0.00110,0.5,96920,107,96867,6707868,69.21
RI,f,1941-1949,3,0.00083,0.00083,0.5,96813,81,96773,6611002,68.29
RI,f,1941-1949,4,0.00075,0.00075,0.5,96733,73,96696,6514229,67.34
RI,f,1941-1949,5,0.00066,0.00066,0.5,96660,64,96628,6417533,66.39
RI,f,1941-1949,6,0.00058,0.00058,0.5,96596,56,96568,6320905,65.44
RI,f,1941-1949,7,0.00054,0.00054,0.5,96540,52,96513,6224337,64.47
RI,f,1941-1949,8,0.00052,0.00052,0.5,96487,50,96462,6127823,63.51
RI,f,1941-1949,9,0.00048,0.00048,0.5,96437,46,96414,6031361,62.54
RI,f,1941-1949,10,0.00046,0.00046,0.5,96391,44,96369,5934947,61.57
RI,f,1941-1949,11,0.00046,0.00046,0.5,96346,44,96324,5838579,60.60
RI,f,1941-1949,12,0.00048,0.00048,0.5,96302,46,96279,5742255,59.63
RI,f,1941-1949,13,0.00051,0.00051,0.5,96256,49,96232,5645975,58.66
RI,f,1941-1949,14,0.00055,0.00055,0.5,96208,52,96181,5549744,57.69
RI,f,1941-1949,15,0.00060,0.00059,0.5,96155,57,96127,5453562,56.72
RI,f,1941-1949,16,0.00064,0.00064,0.5,96098,62,96067,5357436,55.75
RI,f,1941-1949,17,0.00069,0.00069,0.5,96036,67,96003,5261369,54.79
RI,f,1941-1949,18,0.00074,0.00074,0.5,95969,71,95934,5165366,53.82
RI,f,1941-1949,19,0.00080,0.00080,0.5,95898,76,95860,5069432,52.86
RI,f,1941-1949,20,0.00086,0.00086,0.5,95822,82,95781,4973572,51.90
RI,f,1941-1949,21,0.00092,0.00092,0.5,95739,88,95695,4877792,50.95
RI,f,1941-1949,22,0.00098,0.00098,0.5,95651,93,95605,4782096,50.00
RI,f,1941-1949,23,0.00103,0.00103,0.5,95558,98,95509,4686492,49.04
RI,f,1941-1949,24,0.00109,0.00109,0.5,95459,104,95408,4590983,48.09
RI,f,1941-1949,25,0.00115,0.00115,0.5,95356,110,95301,4495576,47.15
RI,f,1941-1949,26,0.00122,0.00122,0.5,95246,117,95188,4400275,46.20
RI,f,1941-1949,27,0.00130,0.00130,0.5,95130,124,95068,4305087,45.26
RI,f,1941-1949,28,0.00140,0.00140,0.5,95006,133,94939,4210019,44.31
RI,f,1941-1949,29,0.00150,0.00150,0.5,94873,142,94802,4115080,43.37
RI,f,1941-1949,30,0.00161,0.00161,0.5,94731,152,94655,4020278,42.44
RI,f,1941-1949,31,0.00171,0.00171,0.5,94578,162,94498,3925624,41.51
RI,f,1941-1949,32,0.00181,0.00181,0.5,94417,170,94332,3831126,40.58
RI,f,1941-1949,33,0.00190,0.00190,0.5,94246,179,94157,3736795,39.65
RI,f,1941-1949,34,0.00198,0.00198,0.5,94068,186,93975,3642638,38.72
RI,f,1941-1949,35,0.00208,0.00208,0.5,93882,195,93784,3548663,37.80
RI,f,1941-1949,36,0.00221,0.00221,0.5,93686,207,93583,3454879,36.88
RI,f,1941-1949,37,0.00239,0.00239,0.5,93479,223,93368,3361296,35.96
RI,f,1941-1949,38,0.00263,0.00262,0.5,93256,245,93134,3267929,35.04
RI,f,1941-1949,39,0.00292,0.00291,0.5,93011,271,92876,3174795,34.13
RI,f,1941-1949,40,0.00325,0.00324,0.5,92740,301,92590,3081919,33.23
RI,f,1941-1949,41,0.00354,0.00353,0.5,92440,327,92276,2989329,32.34
