RI: RI, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.02987	0.02912	0.14	100000	2912	97486	6778406	67.78
1941	1-4	0.00217	0.00863	1.15	97088	838	385961	6680920	68.81
1941	5-9	0.00066	0.00331	2.63	96250	318	480495	6294960	65.40
1941	10-14	0.00052	0.00257	2.7	95931	247	479088	5814464	60.61
1941	15-19	0.00103	0.00512	2.52	95684	489	477209	5335377	55.76
1941	20-24	0.00079	0.00395	2.58	95195	376	475065	4858168	51.03
1941	25-29	0.00153	0.00763	2.69	94819	724	472423	4383103	46.23
1941	30-34	0.00203	0.01009	2.61	94095	949	468204	3910680	41.56
1941	35-39	0.00311	0.01545	2.73	93146	1439	462459	3442475	36.96
1941	40-44	0.00475	0.02349	2.6	91706	2154	453355	2980017	32.50
1941	45-49	0.00596	0.02942	2.68	89552	2634	441651	2526661	28.21
1941	50-54	0.01047	0.05111	2.67	86918	4442	424217	2085010	23.99
1941	55-59	0.01476	0.07132	2.66	82476	5882	398601	1660793	20.14
1941	60-64	0.02417	0.11440	2.66	76594	8762	362467	1262192	16.48
1941	65-69	0.03457	0.16005	2.69	67832	10857	314039	899725	13.26
1941	70-74	0.06220	0.27049	2.59	56975	15411	247791	585686	10.28
1941	75-79	0.08890	0.36431	2.52	41564	15142	170319	337895	8.13
1941	80-84	0.11969	0.45814	2.44	26422	12105	101131	167576	6.34
1941	85-89	0.18453	0.61534	2.29	14317	8810	47742	66445	4.64
1941	90-94	0.27258	0.76076	2.1	5507	4190	15370	18703	3.40
1941	95-99	0.38211	0.86890	1.86	1317	1145	2996	3333	2.53
1941	100-104	0.50508	0.93377	1.63	173	161	319	337	1.95
1941	105-109	0.62822	0.96667	1.42	11	11	18	18	1.58
1941	110+	0.72297	1.00000	1.38	0	0	1	1	1.38
1942	0	0.04217	0.04074	0.17	100000	4074	96623	6724802	67.25
1942	1-4	0.00122	0.00487	1.34	95926	467	382463	6628179	69.10
1942	5-9	0.00067	0.00335	2.66	95459	320	476546	6245716	65.43
1942	10-14	0.00047	0.00233	2.47	95139	222	475134	5769170	60.64
1942	15-19	0.00076	0.00381	2.65	94917	362	473736	5294036	55.78
1942	20-24	0.00106	0.00527	2.7	94555	498	471632	4820299	50.98
1942	25-29	0.00174	0.00869	2.61	94057	817	468330	4348667	46.23
1942	30-34	0.00193	0.00962	2.51	93240	897	463965	3880337	41.62
1942	35-39	0.00233	0.01158	2.68	92343	1069	459232	3416372	37.00
1942	40-44	0.00384	0.01905	2.68	91274	1739	452346	2957140	32.40
1942	45-49	0.00587	0.02896	2.66	89536	2593	441622	2504794	27.98
1942	50-54	0.00955	0.04675	2.76	86943	4064	425597	2063172	23.73
1942	55-59	0.01736	0.08341	2.67	82879	6913	398283	1637576	19.76
1942	60-64	0.02552	0.12043	2.67	75966	9148	358475	1239293	16.31
1942	65-69	0.03926	0.17953	2.62	66817	11996	305530	880818	13.18
1942	70-74	0.06043	0.26286	2.53	54822	14410	238474	575288	10.49
1942	75-79	0.08173	0.34074	2.56	40411	13770	168483	336815	8.33
1942	80-84	0.12474	0.47102	2.4	26641	12549	100601	168331	6.32
1942	85-89	0.17992	0.60393	2.28	14093	8511	47305	67731	4.81
1942	90-94	0.25190	0.73005	2.12	5582	4075	16177	20426	3.66
1942	95-99	0.34019	0.83254	1.93	1507	1254	3688	4249	2.82
1942	100-104	0.44094	0.90359	1.73	252	228	517	561	2.22
1942	105-109	0.54705	0.94639	1.54	24	23	42	44	1.81
1942	110+	0.63269	1.00000	1.58	1	1	2	2	1.58
1943	0	0.03957	0.03831	0.16	100000	3831	96797	6698893	66.99
1943	1-4	0.00160	0.00639	1.77	96169	615	383309	6602096	68.65
1943	5-9	0.00072	0.00357	1.73	95555	341	476657	6218788	65.08
1943	10-14	0.00048	0.00239	2.7	95213	228	475544	5742130	60.31
1943	15-19	0.00081	0.00402	2.76	94986	382	474074	5266586	55.45
1943	20-24	0.00138	0.00687	2.57	94604	650	471440	4792512	50.66
1943	25-29	0.00141	0.00705	2.61	93954	662	468182	4321072	45.99
1943	30-34	0.00218	0.01083	2.57	93291	1010	464002	3852890	41.30
1943	35-39	0.00243	0.01206	2.64	92281	1113	458776	3388888	36.72
1943	40-44	0.00416	0.02059	2.64	91168	1877	451410	2930112	32.14
1943	45-49	0.00625	0.03082	2.68	89291	2752	440082	2478702	27.76
1943	50-54	0.01077	0.05253	2.66	86539	4546	422072	2038620	23.56
1943	55-59	0.01647	0.07923	2.61	81993	6497	394410	1616548	19.72
1943	60-64	0.02526	0.11913	2.62	75496	8994	356046	1222138	16.19
1943	65-69	0.03734	0.17065	2.48	66503	11348	303918	866092	13.02
1943	70-74	0.05455	0.24064	2.55	55154	13272	243316	562174	10.19
1943	75-79	0.09246	0.37457	2.47	41882	15688	169667	318858	7.61
1943	80-84	0.13569	0.50320	2.43	26194	13181	97142	149191	5.70
1943	85-89	0.22031	0.68473	2.24	13013	8911	40446	52050	4.00
1943	90-94	0.33555	0.83288	1.98	4103	3417	10183	11604	2.83
1943	95-99	0.47381	0.92285	1.69	686	633	1335	1421	2.07
