RI: RI, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04561	0.04394	0.17	100000	4394	96342	6316979	63.17
1941	1	0.00440	0.00439	0.5	95606	420	95396	6220638	65.07
1941	2	0.00193	0.00193	0.5	95186	184	95094	6125242	64.35
1941	3	0.00225	0.00225	0.5	95002	214	94895	6030147	63.47
1941	4	0.00082	0.00082	0.5	94788	77	94750	5935252	62.62
1941	5	0.00060	0.00060	0.5	94711	57	94683	5840502	61.67
1941	6	0.00082	0.00082	0.5	94654	78	94615	5745819	60.70
1941	7	0.00095	0.00095	0.5	94576	90	94531	5651204	59.75
1941	8	0.00095	0.00095	0.5	94487	89	94442	5556673	58.81
1941	9	0.00083	0.00083	0.5	94397	79	94358	5462231	57.86
1941	10	0.00066	0.00066	0.5	94318	62	94287	5367873	56.91
1941	11	0.00055	0.00055	0.5	94256	52	94231	5273586	55.95
1941	12	0.00051	0.00051	0.5	94205	48	94181	5179356	54.98
1941	13	0.00051	0.00051	0.5	94157	48	94133	5085175	54.01
1941	14	0.00059	0.00059	0.5	94109	55	94081	4991042	53.03
1941	15	0.00072	0.00072	0.5	94053	68	94020	4896961	52.07
1941	16	0.00085	0.00085	0.5	93986	80	93946	4802941	51.10
1941	17	0.00099	0.00099	0.5	93906	93	93860	4708995	50.15
1941	18	0.00117	0.00117	0.5	93813	109	93758	4615136	49.19
1941	19	0.00128	0.00128	0.5	93704	120	93644	4521377	48.25
1941	20	0.00144	0.00143	0.5	93584	134	93516	4427734	47.31
1941	21	0.00165	0.00165	0.5	93449	154	93372	4334217	46.38
1941	22	0.00179	0.00179	0.5	93295	167	93212	4240845	45.46
1941	23	0.00189	0.00189	0.5	93128	176	93040	4147633	44.54
1941	24	0.00195	0.00195	0.5	92952	181	92861	4054593	43.62
1941	25	0.00194	0.00194	0.5	92771	180	92681	3961732	42.70
1941	26	0.00193	0.00193	0.5	92591	178	92502	3869051	41.79
1941	27	0.00199	0.00199	0.5	92413	184	92321	3776548	40.87
1941	28	0.00215	0.00215	0.5	92229	199	92130	3684227	39.95
1941	29	0.00236	0.00235	0.5	92031	217	91923	3592097	39.03
