PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SC,b,1941-1944,0,0.06450,0.06144,0.23,100000,6144,95248,5996989,59.97
SC,b,1941-1944,1,0.00689,0.00686,0.5,93856,644,93534,5901741,62.88
SC,b,1941-1944,2,0.00374,0.00373,0.5,93212,348,93038,5808207,62.31
SC,b,1941-1944,3,0.00240,0.00239,0.5,92864,222,92753,5715169,61.54
SC,b,1941-1944,4,0.00217,0.00217,0.5,92642,201,92541,5622416,60.69
SC,b,1941-1944,5,0.00174,0.00174,0.5,92441,161,92361,5529874,59.82
SC,b,1941-1944,6,0.00133,0.00133,0.5,92280,123,92219,5437513,58.92
SC,b,1941-1944,7,0.00104,0.00104,0.5,92158,96,92110,5345294,58.00
SC,b,1941-1944,8,0.00087,0.00087,0.5,92062,80,92022,5253185,57.06
SC,b,1941-1944,9,0.00079,0.00079,0.5,91982,72,91946,5161163,56.11
SC,b,1941-1944,10,0.00080,0.00080,0.5,91910,73,91873,5069217,55.15
SC,b,1941-1944,11,0.00087,0.00087,0.5,91836,80,91796,4977345,54.20
SC,b,1941-1944,12,0.00099,0.00099,0.5,91756,91,91711,4885548,53.24
SC,b,1941-1944,13,0.00116,0.00116,0.5,91665,106,91612,4793837,52.30
SC,b,1941-1944,14,0.00135,0.00135,0.5,91559,124,91497,4702225,51.36
SC,b,1941-1944,15,0.00160,0.00160,0.5,91435,146,91362,4610728,50.43
SC,b,1941-1944,16,0.00187,0.00186,0.5,91289,170,91204,4519365,49.51
SC,b,1941-1944,17,0.00216,0.00216,0.5,91119,197,91021,4428161,48.60
SC,b,1941-1944,18,0.00248,0.00248,0.5,90923,225,90810,4337140,47.70
SC,b,1941-1944,19,0.00279,0.00279,0.5,90697,253,90571,4246330,46.82
SC,b,1941-1944,20,0.00312,0.00312,0.5,90444,282,90303,4155760,45.95
SC,b,1941-1944,21,0.00343,0.00342,0.5,90162,308,90008,4065457,45.09
SC,b,1941-1944,22,0.00367,0.00366,0.5,89854,329,89689,3975449,44.24
SC,b,1941-1944,23,0.00388,0.00388,0.5,89525,347,89351,3885759,43.40
SC,b,1941-1944,24,0.00403,0.00402,0.5,89178,358,88999,3796408,42.57
SC,b,1941-1944,25,0.00409,0.00408,0.5,88819,363,88638,3707409,41.74
SC,b,1941-1944,26,0.00412,0.00411,0.5,88457,364,88275,3618771,40.91
SC,b,1941-1944,27,0.00417,0.00417,0.5,88093,367,87910,3530496,40.08
SC,b,1941-1944,28,0.00431,0.00430,0.5,87726,377,87538,3442586,39.24
SC,b,1941-1944,29,0.00444,0.00443,0.5,87349,387,87156,3355049,38.41
SC,b,1941-1944,30,0.00462,0.00461,0.5,86962,401,86762,3267893,37.58
SC,b,1941-1944,31,0.00470,0.00469,0.5,86561,406,86358,3181131,36.75
SC,b,1941-1944,32,0.00484,0.00483,0.5,86155,416,85947,3094773,35.92
SC,b,1941-1944,33,0.00514,0.00513,0.5,85739,440,85519,3008826,35.09
SC,b,1941-1944,34,0.00549,0.00548,0.5,85299,467,85066,2923307,34.27
SC,b,1941-1944,35,0.00597,0.00596,0.5,84832,505,84580,2838241,33.46
SC,b,1941-1944,36,0.00625,0.00623,0.5,84327,525,84064,2753662,32.65
SC,b,1941-1944,37,0.00654,0.00652,0.5,83802,546,83529,2669597,31.86
SC,b,1941-1944,38,0.00719,0.00716,0.5,83255,596,82957,2586069,31.06
SC,b,1941-1944,39,0.00781,0.00778,0.5,82659,643,82337,2503112,30.28
SC,b,1941-1944,40,0.00848,0.00844,0.5,82016,693,81670,2420774,29.52
SC,b,1941-1944,41,0.00878,0.00875,0.5,81323,711,80968,2339105,28.76
SC,b,1941-1944,42,0.00916,0.00912,0.5,80612,735,80244,2258137,28.01
SC,b,1941-1944,43,0.00992,0.00987,0.5,79877,788,79483,2177893,27.27
SC,b,1941-1944,44,0.01090,0.01085,0.5,79088,858,78660,2098410,26.53
SC,b,1941-1944,45,0.01232,0.01224,0.5,78231,958,77752,2019750,25.82
SC,b,1941-1944,46,0.01279,0.01271,0.5,77273,982,76782,1941998,25.13
SC,b,1941-1944,47,0.01309,0.01301,0.5,76291,992,75795,1865216,24.45
