PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SC,f,1941,0,0.07071,0.06715,0.25,100000,6715,94970,5975035,59.75
SC,f,1941,1,0.00988,0.00983,0.5,93285,917,92826,5880065,63.03
SC,f,1941,2,0.00519,0.00518,0.5,92368,478,92129,5787239,62.65
SC,f,1941,3,0.00192,0.00192,0.5,91890,177,91801,5695110,61.98
SC,f,1941,4,0.00269,0.00269,0.5,91713,247,91590,5603308,61.10
SC,f,1941,5,0.00243,0.00243,0.5,91466,222,91355,5511719,60.26
SC,f,1941,6,0.00177,0.00177,0.5,91245,161,91164,5420363,59.40
SC,f,1941,7,0.00128,0.00128,0.5,91083,117,91025,5329199,58.51
SC,f,1941,8,0.00097,0.00097,0.5,90967,88,90923,5238174,57.58
SC,f,1941,9,0.00079,0.00079,0.5,90879,72,90843,5147252,56.64
SC,f,1941,10,0.00075,0.00075,0.5,90807,68,90773,5056409,55.68
SC,f,1941,11,0.00080,0.00080,0.5,90739,73,90702,4965636,54.72
SC,f,1941,12,0.00093,0.00093,0.5,90666,84,90624,4874934,53.77
SC,f,1941,13,0.00109,0.00109,0.5,90582,98,90533,4784310,52.82
SC,f,1941,14,0.00134,0.00134,0.5,90484,121,90423,4693777,51.87
SC,f,1941,15,0.00173,0.00173,0.5,90363,156,90285,4603354,50.94
SC,f,1941,16,0.00206,0.00206,0.5,90207,186,90114,4513070,50.03
SC,f,1941,17,0.00232,0.00232,0.5,90021,209,89917,4422956,49.13
SC,f,1941,18,0.00264,0.00263,0.5,89812,237,89694,4333039,48.25
SC,f,1941,19,0.00282,0.00282,0.5,89576,252,89449,4243345,47.37
SC,f,1941,20,0.00306,0.00306,0.5,89323,273,89187,4153896,46.50
SC,f,1941,21,0.00336,0.00336,0.5,89050,299,88901,4064709,45.65
SC,f,1941,22,0.00369,0.00368,0.5,88751,327,88588,3975808,44.80
SC,f,1941,23,0.00396,0.00395,0.5,88425,349,88250,3887220,43.96
SC,f,1941,24,0.00394,0.00393,0.5,88075,346,87902,3798970,43.13
SC,f,1941,25,0.00395,0.00394,0.5,87729,346,87556,3711067,42.30
SC,f,1941,26,0.00388,0.00387,0.5,87383,338,87214,3623511,41.47
SC,f,1941,27,0.00411,0.00410,0.5,87045,357,86867,3536297,40.63
SC,f,1941,28,0.00451,0.00450,0.5,86688,390,86493,3449431,39.79
SC,f,1941,29,0.00458,0.00457,0.5,86298,395,86101,3362937,38.97
SC,f,1941,30,0.00481,0.00480,0.5,85904,413,85697,3276836,38.15
SC,f,1941,31,0.00487,0.00486,0.5,85491,416,85283,3191139,37.33
SC,f,1941,32,0.00572,0.00570,0.5,85076,485,84833,3105855,36.51
SC,f,1941,33,0.00668,0.00666,0.5,84590,563,84309,3021022,35.71
SC,f,1941,34,0.00674,0.00672,0.5,84027,564,83745,2936714,34.95
SC,f,1941,35,0.00696,0.00694,0.5,83463,579,83173,2852969,34.18
SC,f,1941,36,0.00632,0.00630,0.5,82884,522,82623,2769795,33.42
SC,f,1941,37,0.00669,0.00667,0.5,82362,549,82087,2687173,32.63
SC,f,1941,38,0.00785,0.00782,0.5,81812,640,81492,2605086,31.84
SC,f,1941,39,0.00762,0.00759,0.5,81172,616,80864,2523593,31.09
SC,f,1941,40,0.00725,0.00722,0.5,80556,582,80265,2442729,30.32
SC,f,1941,41,0.00711,0.00709,0.5,79974,567,79690,2362464,29.54
SC,f,1941,42,0.00910,0.00906,0.5,79407,720,79047,2282774,28.75
SC,f,1941,43,0.01127,0.01120,0.5,78687,882,78246,2203727,28.01
SC,f,1941,44,0.01113,0.01107,0.5,77806,862,77375,2125480,27.32
SC,f,1941,45,0.01165,0.01159,0.5,76944,892,76498,2048106,26.62
SC,f,1941,46,0.01040,0.01035,0.5,76053,787,75659,1971607,25.92
SC,f,1941,47,0.01147,0.01140,0.5,75265,858,74836,1895948,25.19
SC,f,1941,48,0.01381,0.01371,0.5,74407,1020,73897,1821112,24.47
SC,f,1941,49,0.01369,0.01360,0.5,73387,998,72888,1747215,23.81
SC,f,1941,50,0.01404,0.01394,0.5,72389,1009,71884,1674327,23.13
SC,f,1941,51,0.01409,0.01399,0.5,71379,999,70880,1602443,22.45
SC,f,1941,52,0.01772,0.01757,0.5,70381,1236,69763,1531563,21.76
SC,f,1941,53,0.02230,0.02205,0.5,69145,1525,68382,1461800,21.14
SC,f,1941,54,0.02164,0.02141,0.5,67620,1447,66896,1393418,20.61
SC,f,1941,55,0.02166,0.02143,0.5,66172,1418,65463,1326522,20.05
SC,f,1941,56,0.01979,0.01959,0.5,64754,1269,64120,1261058,19.47
SC,f,1941,57,0.02091,0.02070,0.5,63486,1314,62829,1196938,18.85
SC,f,1941,58,0.02481,0.02450,0.5,62172,1523,61410,1134110,18.24
SC,f,1941,59,0.02431,0.02401,0.5,60648,1456,59920,1072699,17.69
SC,f,1941,60,0.02329,0.02302,0.5,59192,1362,58511,1012779,17.11
SC,f,1941,61,0.02165,0.02142,0.5,57830,1239,57210,954268,16.50
SC,f,1941,62,0.02685,0.02649,0.5,56591,1499,55842,897058,15.85
SC,f,1941,63,0.03581,0.03518,0.5,55092,1938,54123,841216,15.27
SC,f,1941,64,0.03437,0.03379,0.5,53154,1796,52256,787094,14.81
SC,f,1941,65,0.03319,0.03265,0.5,51358,1677,50519,734838,14.31
SC,f,1941,66,0.02741,0.02704,0.5,49681,1343,49009,684319,13.77
SC,f,1941,67,0.03008,0.02964,0.5,48338,1433,47621,635309,13.14
SC,f,1941,68,0.03778,0.03708,0.5,46905,1739,46036,587688,12.53
SC,f,1941,69,0.03672,0.03606,0.5,45166,1629,44352,541652,11.99
SC,f,1941,70,0.03604,0.03540,0.5,43537,1541,42767,497301,11.42
SC,f,1941,71,0.03444,0.03385,0.5,41996,1422,41285,454534,10.82
SC,f,1941,72,0.04261,0.04172,0.5,40574,1693,39728,413249,10.18
SC,f,1941,73,0.05578,0.05426,0.5,38882,2110,37827,373521,9.61
SC,f,1941,74,0.05657,0.05501,0.5,36772,2023,35760,335694,9.13
SC,f,1941,75,0.06211,0.06024,0.5,34749,2093,33702,299934,8.63
SC,f,1941,76,0.05920,0.05750,0.5,32656,1878,31717,266232,8.15
SC,f,1941,77,0.07218,0.06966,0.5,30778,2144,29706,234515,7.62
SC,f,1941,78,0.11223,0.10627,0.5,28634,3043,27113,204809,7.15
SC,f,1941,79,0.10761,0.10211,0.5,25591,2613,24284,177696,6.94
SC,f,1941,80,0.12851,0.12075,0.5,22978,2775,21590,153412,6.68
SC,f,1941,81,0.13206,0.12388,0.5,20203,2503,18952,131821,6.52
SC,f,1941,82,0.13568,0.12706,0.5,17700,2249,16576,112869,6.38
SC,f,1941,83,0.13939,0.13031,0.5,15451,2013,14445,96294,6.23
SC,f,1941,84,0.14319,0.13362,0.5,13438,1796,12540,81849,6.09
SC,f,1941,85,0.14707,0.13699,0.5,11642,1595,10845,69309,5.95
SC,f,1941,86,0.15103,0.14043,0.5,10047,1411,9342,58464,5.82
