SC: SC, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05732	0.05485	0.21	100000	5485	95686	6234069	62.34
1941-1944	1-4	0.00353	0.01401	1.48	94515	1324	374730	6138382	64.95
1941-1944	5-9	0.00116	0.00576	2.07	93191	537	464386	5763652	61.85
1941-1944	10-14	0.00088	0.00440	2.77	92655	407	462365	5299266	57.19
1941-1944	15-19	0.00195	0.00971	2.75	92247	895	459217	4836901	52.43
1941-1944	20-24	0.00299	0.01484	2.61	91352	1355	453525	4377684	47.92
1941-1944	25-29	0.00366	0.01816	2.56	89996	1634	445994	3924159	43.60
1941-1944	30-34	0.00448	0.02217	2.59	88362	1959	437097	3478166	39.36
1941-1944	35-39	0.00629	0.03099	2.62	86403	2677	425654	3041069	35.20
1941-1944	40-44	0.00857	0.04198	2.59	83726	3515	410152	2615414	31.24
1941-1944	45-49	0.01139	0.05539	2.56	80211	4443	390200	2205262	27.49
1941-1944	50-54	0.01563	0.07533	2.62	75768	5708	365242	1815062	23.96
1941-1944	55-59	0.02116	0.10048	2.49	70060	7040	332659	1449820	20.69
1941-1944	60-64	0.02561	0.12055	2.57	63020	7597	296643	1117161	17.73
1941-1944	65-69	0.03209	0.14823	2.43	55423	8215	256019	820518	14.80
1941-1944	70-74	0.04160	0.18907	2.59	47207	8925	214534	564498	11.96
1941-1944	75-79	0.06835	0.29240	2.53	38282	11194	163768	349964	9.14
1941-1944	80-84	0.12360	0.46491	2.34	27088	12594	101894	186196	6.87
1941-1944	85-89	0.15189	0.53721	2.28	14495	7787	51267	84302	5.82
1941-1944	90-94	0.18521	0.61033	2.21	6708	4094	22104	33035	4.92
1941-1944	95-99	0.22384	0.68113	2.13	2614	1780	7954	10931	4.18
1941-1944	100-104	0.26778	0.74659	2.04	833	622	2324	2976	3.57
1941-1944	105-109	0.31675	0.80422	1.94	211	170	536	653	3.09
1941-1944	110+	0.35560	1.00000	2.81	41	41	116	116	2.81
1945-1949	0	0.03808	0.03690	0.16	100000	3690	96899	6669191	66.69
1945-1949	1-4	0.00199	0.00794	1.56	96310	764	383372	6572292	68.24
1945-1949	5-9	0.00082	0.00410	2.24	95546	392	476648	6188920	64.77
1945-1949	10-14	0.00072	0.00357	2.7	95154	340	474986	5712272	60.03
1945-1949	15-19	0.00138	0.00688	2.71	94814	653	472575	5237286	55.24
1945-1949	20-24	0.00195	0.00968	2.58	94161	912	468601	4764711	50.60
1945-1949	25-29	0.00242	0.01202	2.59	93249	1121	463549	4296109	46.07
1945-1949	30-34	0.00312	0.01548	2.6	92129	1426	457229	3832560	41.60
1945-1949	35-39	0.00448	0.02217	2.68	90703	2011	448843	3375332	37.21
1945-1949	40-44	0.00687	0.03380	2.61	88692	2998	436302	2926489	33.00
1945-1949	45-49	0.00915	0.04481	2.65	85694	3840	419461	2490187	29.06
1945-1949	50-54	0.01379	0.06672	2.56	81854	5461	395944	2070726	25.30
1945-1949	55-59	0.01725	0.08285	2.61	76393	6329	366809	1674782	21.92
1945-1949	60-64	0.02238	0.10598	2.5	70064	7425	331793	1307973	18.67
1945-1949	65-69	0.02926	0.13666	2.59	62639	8560	292593	976180	15.58
1945-1949	70-74	0.03848	0.17575	2.54	54079	9504	247002	683587	12.64
1945-1949	75-79	0.06035	0.26321	2.57	44574	11733	194415	436585	9.79
1945-1949	80-84	0.10988	0.42662	2.38	32842	14011	127506	242170	7.37
1945-1949	85-89	0.14066	0.51048	2.31	18831	9613	68341	114664	6.09
1945-1949	90-94	0.17821	0.59692	2.23	9218	5502	30876	46323	5.03
1945-1949	95-99	0.22305	0.68095	2.14	3716	2530	11344	15447	4.16
1945-1949	100-104	0.27524	0.75754	2.03	1185	898	3263	4104	3.46
1945-1949	105-109	0.33425	0.82276	1.91	287	236	707	841	2.93
1945-1949	110+	0.38197	1.00000	2.62	51	51	133	133	2.62
1950-1954	0	0.03301	0.03210	0.15	100000	3210	97257	6864171	68.64
1950-1954	1-4	0.00177	0.00705	1.54	96790	683	385478	6766914	69.91
1950-1954	5-9	0.00055	0.00276	2.04	96107	265	479750	6381436	66.40
1950-1954	10-14	0.00055	0.00275	2.77	95842	264	478623	5901686	61.58
1950-1954	15-19	0.00093	0.00463	2.65	95579	442	476852	5423064	56.74
1950-1954	20-24	0.00129	0.00642	2.62	95136	611	474226	4946212	51.99
1950-1954	25-29	0.00171	0.00849	2.61	94525	803	470710	4471986	47.31
1950-1954	30-34	0.00246	0.01224	2.69	93722	1147	465958	4001276	42.69
1950-1954	35-39	0.00376	0.01863	2.61	92575	1725	458753	3535318	38.19
1950-1954	40-44	0.00505	0.02494	2.65	90851	2266	448928	3076564	33.86
1950-1954	45-49	0.00799	0.03925	2.68	88585	3477	434870	2627637	29.66
1950-1954	50-54	0.01247	0.06055	2.64	85108	5153	413362	2192767	25.76
1950-1954	55-59	0.01636	0.07864	2.55	79955	6288	384341	1779405	22.26
1950-1954	60-64	0.02275	0.10787	2.61	73667	7946	349358	1395064	18.94
1950-1954	65-69	0.02757	0.12895	2.5	65721	8475	307399	1045706	15.91
1950-1954	70-74	0.03776	0.17308	2.6	57246	9908	262436	738307	12.90
1950-1954	75-79	0.05547	0.24393	2.53	47338	11547	208168	475871	10.05
1950-1954	80-84	0.10058	0.39989	2.44	35791	14312	142301	267702	7.48
1950-1954	85-89	0.14163	0.51485	2.35	21478	11058	78076	125402	5.84
1950-1954	90-94	0.19546	0.63411	2.23	10420	6608	33805	47326	4.54
1950-1954	95-99	0.26307	0.74449	2.09	3813	2838	10790	13521	3.55
1950-1954	100-104	0.34369	0.83446	1.92	974	813	2365	2731	2.80
1950-1954	105-109	0.43430	0.89896	1.74	161	145	334	366	2.27
1950-1954	110+	0.50960	1.00000	1.96	16	16	32	32	1.96
1955-1959	0	0.02995	0.02920	0.14	100000	2920	97480	7003731	70.04
1955-1959	1-4	0.00146	0.00582	1.54	97080	565	386932	6906251	71.14
1955-1959	5-9	0.00056	0.00279	2.24	96515	269	481832	6519320	67.55
1955-1959	10-14	0.00041	0.00203	2.65	96246	195	480771	6037487	62.73
1955-1959	15-19	0.00074	0.00367	2.79	96050	353	479471	5556717	57.85
