SC: SC, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.09313	0.08739	0.29	100000	8739	93839	5463815	54.64
1941	1	0.01153	0.01146	0.5	91261	1046	90738	5369976	58.84
1941	2	0.00498	0.00497	0.5	90215	448	89991	5279238	58.52
1941	3	0.00291	0.00290	0.5	89767	260	89637	5189247	57.81
1941	4	0.00327	0.00327	0.5	89507	292	89360	5099610	56.97
1941	5	0.00256	0.00256	0.5	89214	229	89100	5010250	56.16
1941	6	0.00174	0.00174	0.5	88986	155	88908	4921150	55.30
1941	7	0.00120	0.00120	0.5	88831	107	88777	4832242	54.40
1941	8	0.00088	0.00088	0.5	88724	78	88685	4743464	53.46
1941	9	0.00078	0.00078	0.5	88646	69	88612	4654779	52.51
1941	10	0.00091	0.00091	0.5	88577	81	88537	4566168	51.55
1941	11	0.00111	0.00111	0.5	88496	99	88447	4477631	50.60
1941	12	0.00134	0.00134	0.5	88398	118	88339	4389184	49.65
1941	13	0.00150	0.00150	0.5	88280	133	88213	4300845	48.72
1941	14	0.00174	0.00174	0.5	88147	153	88070	4212632	47.79
1941	15	0.00210	0.00210	0.5	87994	185	87902	4124562	46.87
1941	16	0.00243	0.00243	0.5	87809	213	87703	4036660	45.97
1941	17	0.00272	0.00271	0.5	87596	238	87477	3948957	45.08
1941	18	0.00302	0.00301	0.5	87358	263	87227	3861480	44.20
1941	19	0.00324	0.00323	0.5	87095	282	86954	3774253	43.33
1941	20	0.00362	0.00361	0.5	86814	314	86657	3687299	42.47
1941	21	0.00416	0.00415	0.5	86500	359	86320	3600642	41.63
1941	22	0.00451	0.00450	0.5	86141	388	85947	3514322	40.80
1941	23	0.00493	0.00492	0.5	85753	422	85542	3428375	39.98
1941	24	0.00533	0.00532	0.5	85331	454	85104	3342833	39.17
1941	25	0.00561	0.00559	0.5	84877	475	84640	3257728	38.38
1941	26	0.00569	0.00567	0.5	84403	478	84163	3173088	37.59
1941	27	0.00599	0.00597	0.5	83924	501	83674	3088925	36.81
1941	28	0.00630	0.00628	0.5	83423	524	83161	3005251	36.02
1941	29	0.00615	0.00613	0.5	82900	508	82645	2922090	35.25
1941	30	0.00601	0.00599	0.5	82391	494	82144	2839444	34.46
1941	31	0.00571	0.00569	0.5	81897	466	81664	2757300	33.67
1941	32	0.00627	0.00625	0.5	81431	509	81177	2675636	32.86
1941	33	0.00698	0.00696	0.5	80922	563	80641	2594459	32.06
1941	34	0.00696	0.00693	0.5	80359	557	80081	2513819	31.28
1941	35	0.00705	0.00702	0.5	79802	560	79522	2433738	30.50
1941	36	0.00646	0.00644	0.5	79242	510	78987	2354216	29.71
1941	37	0.00708	0.00706	0.5	78731	556	78453	2275229	28.90
1941	38	0.00867	0.00864	0.5	78176	675	77838	2196776	28.10
1941	39	0.00907	0.00903	0.5	77500	700	77151	2118938	27.34
1941	40	0.00901	0.00897	0.5	76801	689	76456	2041787	26.59
1941	41	0.00915	0.00911	0.5	76112	694	75765	1965331	25.82
1941	42	0.01194	0.01187	0.5	75418	895	74971	1889566	25.05
1941	43	0.01484	0.01473	0.5	74523	1098	73975	1814595	24.35
1941	44	0.01572	0.01560	0.5	73426	1145	72853	1740620	23.71
1941	45	0.01720	0.01705	0.5	72281	1233	71664	1667767	23.07
1941	46	0.01579	0.01567	0.5	71048	1113	70491	1596103	22.47
1941	47	0.01745	0.01729	0.5	69935	1210	69330	1525611	21.81
1941	48	0.02063	0.02042	0.5	68725	1403	68024	1456281	21.19
1941	49	0.02064	0.02043	0.5	67322	1375	66635	1388258	20.62
1941	50	0.02053	0.02032	0.5	65947	1340	65277	1321623	20.04
1941	51	0.02003	0.01983	0.5	64607	1281	63966	1256346	19.45
1941	52	0.02417	0.02388	0.5	63325	1512	62569	1192380	18.83
1941	53	0.02886	0.02844	0.5	61813	1758	60934	1129811	18.28
1941	54	0.02835	0.02795	0.5	60055	1679	59216	1068877	17.80
1941	55	0.02905	0.02863	0.5	58376	1671	57541	1009662	17.30
1941	56	0.02759	0.02722	0.5	56705	1543	55933	952121	16.79
1941	57	0.02934	0.02892	0.5	55162	1595	54364	896188	16.25
1941	58	0.03383	0.03327	0.5	53566	1782	52675	841824	15.72
1941	59	0.03396	0.03339	0.5	51784	1729	50920	789149	15.24
1941	60	0.03313	0.03259	0.5	50055	1631	49240	738229	14.75
1941	61	0.03101	0.03054	0.5	48424	1479	47685	688989	14.23
1941	62	0.03754	0.03685	0.5	46945	1730	46080	641305	13.66
1941	63	0.04698	0.04591	0.5	45215	2076	44177	595224	13.16
1941	64	0.04390	0.04296	0.5	43140	1853	42213	551047	12.77
1941	65	0.04273	0.04184	0.5	41286	1727	40423	508834	12.32
1941	66	0.03723	0.03655	0.5	39559	1446	38836	468411	11.84
1941	67	0.04132	0.04048	0.5	38113	1543	37342	429575	11.27
1941	68	0.05035	0.04911	0.5	36570	1796	35672	392234	10.73
1941	69	0.04911	0.04793	0.5	34774	1667	33941	356562	10.25
1941	70	0.05069	0.04944	0.5	33107	1637	32289	322621	9.74
1941	71	0.05204	0.05072	0.5	31471	1596	30672	290332	9.23
1941	72	0.06253	0.06064	0.5	29874	1811	28969	259660	8.69
1941	73	0.07405	0.07140	0.5	28063	2004	27061	230691	8.22
1941	74	0.07249	0.06995	0.5	26059	1823	25148	203631	7.81
1941	75	0.07665	0.07382	0.5	24236	1789	23342	178483	7.36
1941	76	0.07679	0.07395	0.5	22447	1660	21617	155141	6.91
1941	77	0.09384	0.08964	0.5	20787	1863	19855	133524	6.42
1941	78	0.12793	0.12023	0.5	18924	2275	17786	113669	6.01
1941	79	0.11708	0.11060	0.5	16648	1841	15728	95883	5.76
1941	80	0.15969	0.14789	0.5	14807	2190	13712	80155	5.41
1941	81	0.16499	0.15242	0.5	12617	1923	11656	66443	5.27
1941	82	0.17043	0.15705	0.5	10694	1680	9854	54787	5.12
1941	83	0.17601	0.16178	0.5	9015	1458	8285	44933	4.98
1941	84	0.18174	0.16660	0.5	7556	1259	6927	36648	4.85
1941	85	0.18760	0.17151	0.5	6297	1080	5757	29721	4.72
1941	86	0.19361	0.17652	0.5	5217	921	4757	23963	4.59
1941	87	0.19977	0.18163	0.5	4296	780	3906	19206	4.47
1941	88	0.20607	0.18682	0.5	3516	657	3188	15300	4.35
1941	89	0.21252	0.19211	0.5	2859	549	2585	12113	4.24
1941	90	0.21912	0.19748	0.5	2310	456	2082	9528	4.12
1941	91	0.22586	0.20294	0.5	1854	376	1666	7446	4.02
1941	92	0.23274	0.20848	0.5	1478	308	1324	5781	3.91
1941	93	0.23977	0.21410	0.5	1169	250	1044	4457	3.81
1941	94	0.24695	0.21981	0.5	919	202	818	3413	3.71
1941	95	0.25426	0.22559	0.5	717	162	636	2595	3.62
1941	96	0.26172	0.23144	0.5	555	129	491	1959	3.53
1941	97	0.26932	0.23736	0.5	427	101	376	1468	3.44
1941	98	0.27706	0.24335	0.5	325	79	286	1091	3.35
1941	99	0.28493	0.24940	0.5	246	61	216	806	3.27
1941	100	0.29294	0.25551	0.5	185	47	161	590	3.19
1941	101	0.30107	0.26168	0.5	138	36	120	429	3.11
1941	102	0.30934	0.26790	0.5	102	27	88	309	3.04
1941	103	0.31772	0.27417	0.5	74	20	64	221	2.97
1941	104	0.32623	0.28048	0.5	54	15	46	157	2.91
1941	105	0.33485	0.28683	0.5	39	11	33	110	2.84
1941	106	0.34359	0.29321	0.5	28	8	24	77	2.79
1941	107	0.35243	0.29963	0.5	20	6	17	54	2.73
1941	108	0.36137	0.30607	0.5	14	4	12	37	2.69
1941	109	0.37041	0.31253	0.5	10	3	8	25	2.66
1941	110+	0.37954	1.00000	2.63	7	7	17	17	2.63
1942	0	0.06925	0.06575	0.23	100000	6575	94943	5782573	57.83
1942	1	0.00672	0.00670	0.5	93425	626	93112	5687629	60.88
1942	2	0.00450	0.00449	0.5	92799	417	92591	5594517	60.29
1942	3	0.00275	0.00275	0.5	92383	254	92256	5501926	59.56
1942	4	0.00157	0.00157	0.5	92129	145	92057	5409670	58.72
1942	5	0.00124	0.00124	0.5	91984	114	91927	5317614	57.81
1942	6	0.00114	0.00113	0.5	91871	104	91819	5225686	56.88
1942	7	0.00107	0.00107	0.5	91766	98	91717	5133868	55.94
1942	8	0.00106	0.00106	0.5	91668	97	91620	5042150	55.00
1942	9	0.00108	0.00107	0.5	91571	98	91522	4950531	54.06
1942	10	0.00110	0.00110	0.5	91473	100	91423	4859009	53.12
1942	11	0.00116	0.00116	0.5	91372	106	91319	4767586	52.18
1942	12	0.00125	0.00125	0.5	91266	114	91209	4676267	51.24
1942	13	0.00133	0.00133	0.5	91152	121	91091	4585058	50.30
1942	14	0.00135	0.00135	0.5	91031	123	90969	4493967	49.37
1942	15	0.00145	0.00145	0.5	90908	131	90842	4402998	48.43
1942	16	0.00170	0.00170	0.5	90776	154	90699	4312156	47.50
1942	17	0.00202	0.00202	0.5	90622	183	90530	4221457	46.58
1942	18	0.00242	0.00242	0.5	90439	219	90329	4130926	45.68
1942	19	0.00293	0.00293	0.5	90220	264	90088	4040597	44.79
1942	20	0.00341	0.00340	0.5	89956	306	89803	3950508	43.92
1942	21	0.00394	0.00393	0.5	89650	352	89474	3860705	43.06
1942	22	0.00449	0.00448	0.5	89298	400	89098	3771231	42.23
1942	23	0.00478	0.00477	0.5	88897	424	88685	3682134	41.42
1942	24	0.00498	0.00497	0.5	88474	440	88254	3593448	40.62
1942	25	0.00501	0.00500	0.5	88034	440	87814	3505194	39.82
1942	26	0.00501	0.00500	0.5	87594	438	87375	3417380	39.01
1942	27	0.00494	0.00492	0.5	87156	429	86942	3330005	38.21
1942	28	0.00520	0.00519	0.5	86727	450	86502	3243064	37.39
1942	29	0.00564	0.00563	0.5	86277	486	86035	3156561	36.59
1942	30	0.00581	0.00580	0.5	85792	497	85543	3070527	35.79
1942	31	0.00596	0.00594	0.5	85295	507	85041	2984984	35.00
1942	32	0.00587	0.00586	0.5	84788	497	84539	2899943	34.20
1942	33	0.00658	0.00655	0.5	84291	552	84015	2815403	33.40
1942	34	0.00733	0.00730	0.5	83738	611	83433	2731389	32.62
1942	35	0.00727	0.00725	0.5	83127	602	82826	2647956	31.85
1942	36	0.00748	0.00745	0.5	82525	615	82217	2565130	31.08
1942	37	0.00694	0.00691	0.5	81910	566	81627	2482913	30.31
1942	38	0.00762	0.00759	0.5	81344	617	81035	2401286	29.52
1942	39	0.00926	0.00922	0.5	80726	744	80354	2320251	28.74
1942	40	0.00953	0.00949	0.5	79982	759	79602	2239897	28.01
1942	41	0.00911	0.00907	0.5	79223	719	78863	2160295	27.27
1942	42	0.00891	0.00887	0.5	78504	696	78156	2081432	26.51
1942	43	0.01118	0.01112	0.5	77808	865	77375	2003276	25.75
1942	44	0.01335	0.01326	0.5	76943	1020	76433	1925901	25.03
1942	45	0.01365	0.01355	0.5	75923	1029	75408	1849468	24.36
1942	46	0.01461	0.01451	0.5	74893	1086	74350	1774060	23.69
1942	47	0.01344	0.01335	0.5	73807	985	73314	1699710	23.03
1942	48	0.01489	0.01478	0.5	72822	1076	72283	1626395	22.33
1942	49	0.01779	0.01763	0.5	71745	1265	71113	1554112	21.66
1942	50	0.01823	0.01807	0.5	70480	1273	69843	1482999	21.04
1942	51	0.01841	0.01824	0.5	69207	1263	68575	1413156	20.42
1942	52	0.01821	0.01805	0.5	67944	1226	67331	1344581	19.79
1942	53	0.02230	0.02206	0.5	66718	1471	65982	1277250	19.14
1942	54	0.02718	0.02682	0.5	65246	1750	64371	1211268	18.56
1942	55	0.02722	0.02685	0.5	63496	1705	62644	1146897	18.06
1942	56	0.02834	0.02794	0.5	61791	1727	60928	1084253	17.55
1942	57	0.02721	0.02684	0.5	60065	1612	59259	1023325	17.04
1942	58	0.02920	0.02878	0.5	58452	1682	57611	964066	16.49
1942	59	0.03372	0.03317	0.5	56770	1883	55829	906455	15.97
1942	60	0.03354	0.03299	0.5	54887	1811	53982	850626	15.50
1942	61	0.03276	0.03223	0.5	53077	1711	52221	796644	15.01
1942	62	0.03069	0.03023	0.5	51366	1553	50590	744423	14.49
1942	63	0.03671	0.03605	0.5	49813	1796	48915	693833	13.93
1942	64	0.04498	0.04399	0.5	48018	2113	46961	644918	13.43
1942	65	0.04180	0.04095	0.5	45905	1880	44965	597957	13.03
1942	66	0.04048	0.03967	0.5	44025	1747	43152	552991	12.56
1942	67	0.03544	0.03482	0.5	42279	1472	41543	509839	12.06
1942	68	0.03968	0.03891	0.5	40807	1588	40013	468296	11.48
1942	69	0.04881	0.04765	0.5	39219	1869	38285	428284	10.92
1942	70	0.04843	0.04729	0.5	37350	1766	36467	389999	10.44
1942	71	0.05068	0.04943	0.5	35584	1759	34705	353531	9.94
1942	72	0.05230	0.05097	0.5	33825	1724	32963	318826	9.43
1942	73	0.06238	0.06049	0.5	32101	1942	31130	285863	8.91
1942	74	0.07259	0.07005	0.5	30159	2113	29103	254733	8.45
1942	75	0.06854	0.06627	0.5	28047	1859	27117	225630	8.04
1942	76	0.07039	0.06799	0.5	26188	1781	25298	198512	7.58
1942	77	0.06926	0.06694	0.5	24408	1634	23591	173214	7.10
1942	78	0.08693	0.08331	0.5	22774	1897	21825	149624	6.57
1942	79	0.12876	0.12097	0.5	20876	2525	19614	127798	6.12
1942	80	0.14675	0.13672	0.5	18351	2509	17097	108185	5.90
1942	81	0.15114	0.14052	0.5	15842	2226	14729	91088	5.75
1942	82	0.15563	0.14440	0.5	13616	1966	12633	76359	5.61
1942	83	0.16024	0.14835	0.5	11650	1728	10786	63726	5.47
1942	84	0.16495	0.15238	0.5	9922	1512	9166	52941	5.34
1942	85	0.16977	0.15649	0.5	8410	1316	7752	43775	5.21
1942	86	0.17470	0.16067	0.5	7094	1140	6524	36023	5.08
1942	87	0.17975	0.16493	0.5	5954	982	5463	29500	4.95
1942	88	0.18491	0.16926	0.5	4972	842	4551	24037	4.83
1942	89	0.19018	0.17367	0.5	4130	717	3772	19485	4.72
1942	90	0.19557	0.17815	0.5	3413	608	3109	15714	4.60
1942	91	0.20107	0.18270	0.5	2805	512	2549	12605	4.49
1942	92	0.20669	0.18733	0.5	2293	429	2078	10056	4.39
1942	93	0.21242	0.19203	0.5	1863	358	1684	7978	4.28
1942	94	0.21827	0.19679	0.5	1505	296	1357	6294	4.18
1942	95	0.22423	0.20163	0.5	1209	244	1087	4936	4.08
1942	96	0.23031	0.20653	0.5	965	199	866	3849	3.99
1942	97	0.23650	0.21149	0.5	766	162	685	2984	3.90
1942	98	0.24281	0.21652	0.5	604	131	539	2299	3.81
1942	99	0.24923	0.22161	0.5	473	105	421	1760	3.72
1942	100	0.25576	0.22676	0.5	368	84	327	1339	3.64
1942	101	0.26240	0.23197	0.5	285	66	252	1013	3.56
1942	102	0.26915	0.23723	0.5	219	52	193	761	3.48
1942	103	0.27602	0.24254	0.5	167	40	147	568	3.41
1942	104	0.28298	0.24791	0.5	126	31	111	422	3.34
1942	105	0.29006	0.25332	0.5	95	24	83	311	3.27
1942	106	0.29724	0.25878	0.5	71	18	62	228	3.21
1942	107	0.30452	0.26428	0.5	53	14	46	166	3.16
1942	108	0.31190	0.26982	0.5	39	10	33	120	3.11
1942	109	0.31937	0.27539	0.5	28	8	24	87	3.08
1942	110+	0.32694	1.00000	3.06	20	20	63	63	3.06
1943	0	0.06579	0.06259	0.22	100000	6259	95128	5866955	58.67
1943	1	0.00605	0.00604	0.5	93741	566	93458	5771827	61.57
