SC: SC, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.07144	0.06774	0.24	100000	6774	94829	5774786	57.75
1941-1944	1	0.00723	0.00721	0.5	93226	672	92890	5679957	60.93
1941-1944	2	0.00417	0.00416	0.5	92554	385	92361	5587067	60.37
1941-1944	3	0.00261	0.00261	0.5	92169	241	92049	5494706	59.62
1941-1944	4	0.00224	0.00224	0.5	91928	206	91825	5402658	58.77
1941-1944	5	0.00175	0.00175	0.5	91722	160	91642	5310832	57.90
1941-1944	6	0.00131	0.00131	0.5	91562	120	91502	5219190	57.00
1941-1944	7	0.00102	0.00102	0.5	91442	93	91396	5127688	56.08
1941-1944	8	0.00086	0.00086	0.5	91349	79	91310	5036292	55.13
1941-1944	9	0.00082	0.00082	0.5	91271	75	91233	4944982	54.18
1941-1944	10	0.00089	0.00089	0.5	91196	81	91155	4853749	53.22
1941-1944	11	0.00101	0.00101	0.5	91114	92	91068	4762594	52.27
1941-1944	12	0.00116	0.00116	0.5	91022	106	90969	4671525	51.32
1941-1944	13	0.00134	0.00134	0.5	90916	121	90856	4580556	50.38
1941-1944	14	0.00152	0.00152	0.5	90795	138	90726	4489700	49.45
1941-1944	15	0.00175	0.00174	0.5	90657	158	90578	4398974	48.52
1941-1944	16	0.00202	0.00202	0.5	90499	183	90407	4308397	47.61
1941-1944	17	0.00236	0.00236	0.5	90316	213	90210	4217989	46.70
1941-1944	18	0.00276	0.00276	0.5	90103	248	89979	4127780	45.81
1941-1944	19	0.00318	0.00317	0.5	89855	285	89712	4037801	44.94
1941-1944	20	0.00364	0.00363	0.5	89569	325	89407	3948089	44.08
1941-1944	21	0.00406	0.00405	0.5	89244	362	89063	3858682	43.24
1941-1944	22	0.00437	0.00436	0.5	88882	387	88689	3769619	42.41
1941-1944	23	0.00462	0.00461	0.5	88495	408	88291	3680930	41.59
1941-1944	24	0.00476	0.00475	0.5	88087	418	87878	3592639	40.79
1941-1944	25	0.00477	0.00475	0.5	87669	417	87461	3504761	39.98
1941-1944	26	0.00475	0.00474	0.5	87252	413	87046	3417300	39.17
1941-1944	27	0.00477	0.00475	0.5	86839	413	86633	3330255	38.35
1941-1944	28	0.00486	0.00485	0.5	86426	419	86216	3243622	37.53
1941-1944	29	0.00497	0.00496	0.5	86007	427	85794	3157406	36.71
1941-1944	30	0.00515	0.00513	0.5	85580	439	85361	3071612	35.89
1941-1944	31	0.00522	0.00521	0.5	85141	443	84919	2986252	35.07
1941-1944	32	0.00534	0.00533	0.5	84698	451	84472	2901332	34.26
1941-1944	33	0.00563	0.00562	0.5	84246	473	84010	2816861	33.44
1941-1944	34	0.00596	0.00594	0.5	83773	498	83524	2732851	32.62
1941-1944	35	0.00641	0.00639	0.5	83276	532	83009	2649327	31.81
1941-1944	36	0.00668	0.00666	0.5	82743	551	82467	2566317	31.02
1941-1944	37	0.00701	0.00698	0.5	82192	574	81905	2483850	30.22
1941-1944	38	0.00770	0.00767	0.5	81618	626	81305	2401945	29.43
1941-1944	39	0.00840	0.00837	0.5	80992	678	80653	2320640	28.65
1941-1944	40	0.00918	0.00914	0.5	80314	734	79947	2239987	27.89
1941-1944	41	0.00958	0.00953	0.5	79580	758	79201	2160040	27.14
1941-1944	42	0.01007	0.01002	0.5	78822	790	78427	2080839	26.40
1941-1944	43	0.01097	0.01091	0.5	78032	851	77606	2002412	25.66
1941-1944	44	0.01221	0.01214	0.5	77181	937	76712	1924806	24.94
1941-1944	45	0.01399	0.01389	0.5	76244	1059	75715	1848093	24.24
1941-1944	46	0.01474	0.01463	0.5	75185	1100	74635	1772379	23.57
1941-1944	47	0.01526	0.01515	0.5	74085	1122	73524	1697743	22.92
1941-1944	48	0.01639	0.01626	0.5	72963	1186	72370	1624219	22.26
1941-1944	49	0.01737	0.01722	0.5	71777	1236	71159	1551849	21.62
1941-1944	50	0.01873	0.01856	0.5	70541	1309	69887	1480690	20.99
1941-1944	51	0.01951	0.01932	0.5	69232	1338	68563	1410804	20.38
1941-1944	52	0.02051	0.02030	0.5	67894	1379	67205	1342240	19.77
1941-1944	53	0.02234	0.02209	0.5	66516	1469	65781	1275035	19.17
1941-1944	54	0.02432	0.02402	0.5	65046	1563	64265	1209254	18.59
1941-1944	55	0.02695	0.02659	0.5	63484	1688	62640	1144989	18.04
1941-1944	56	0.02803	0.02765	0.5	61796	1708	60942	1082349	17.51
1941-1944	57	0.02816	0.02777	0.5	60087	1669	59253	1021408	17.00
1941-1944	58	0.02927	0.02885	0.5	58419	1685	57576	962155	16.47
1941-1944	59	0.03027	0.02982	0.5	56733	1692	55887	904579	15.94
1941-1944	60	0.03163	0.03114	0.5	55042	1714	54185	848692	15.42
1941-1944	61	0.03210	0.03159	0.5	53327	1685	52485	794507	14.90
1941-1944	62	0.03322	0.03267	0.5	51643	1687	50799	742022	14.37
1941-1944	63	0.03649	0.03584	0.5	49955	1790	49060	691223	13.84
1941-1944	64	0.03973	0.03896	0.5	48165	1876	47227	642163	13.33
1941-1944	65	0.04345	0.04253	0.5	46289	1969	45304	594936	12.85
1941-1944	66	0.04313	0.04222	0.5	44320	1871	43385	549632	12.40
1941-1944	67	0.04227	0.04139	0.5	42449	1757	41570	506247	11.93
1941-1944	68	0.04406	0.04311	0.5	40692	1754	39815	464677	11.42
1941-1944	69	0.04585	0.04482	0.5	38938	1745	38065	424862	10.91
1941-1944	70	0.04952	0.04833	0.5	37193	1797	36294	386796	10.40
1941-1944	71	0.05218	0.05086	0.5	35395	1800	34495	350502	9.90
1941-1944	72	0.05469	0.05323	0.5	33595	1788	32701	316007	9.41
1941-1944	73	0.05981	0.05808	0.5	31807	1847	30883	283306	8.91
1941-1944	74	0.06497	0.06292	0.5	29960	1885	29017	252423	8.43
1941-1944	75	0.07147	0.06900	0.5	28074	1937	27106	223406	7.96
1941-1944	76	0.07556	0.07281	0.5	26137	1903	25186	196300	7.51
1941-1944	77	0.07995	0.07688	0.5	24234	1863	23303	171114	7.06
1941-1944	78	0.09108	0.08711	0.5	22371	1949	21397	147812	6.61
1941-1944	79	0.10347	0.09838	0.5	20422	2009	19418	126415	6.19
1941-1944	80	0.14789	0.13771	0.5	18413	2536	17146	106997	5.81
1941-1944	81	0.15261	0.14179	0.5	15878	2251	14752	89852	5.66
1941-1944	82	0.15746	0.14597	0.5	13626	1989	12632	75100	5.51
1941-1944	83	0.16243	0.15023	0.5	11637	1748	10763	62468	5.37
1941-1944	84	0.16752	0.15458	0.5	9889	1529	9125	51705	5.23
1941-1944	85	0.17275	0.15901	0.5	8361	1329	7696	42580	5.09
1941-1944	86	0.17810	0.16353	0.5	7031	1150	6456	34884	4.96
1941-1944	87	0.18358	0.16814	0.5	5881	989	5387	28428	4.83
1941-1944	88	0.18919	0.17284	0.5	4892	846	4470	23041	4.71
1941-1944	89	0.19493	0.17762	0.5	4047	719	3687	18571	4.59
1941-1944	90	0.20080	0.18248	0.5	3328	607	3024	14884	4.47
1941-1944	91	0.20680	0.18742	0.5	2721	510	2466	11859	4.36
1941-1944	92	0.21293	0.19245	0.5	2211	425	1998	9394	4.25
1941-1944	93	0.21920	0.19755	0.5	1785	353	1609	7396	4.14
1941-1944	94	0.22560	0.20273	0.5	1433	290	1287	5787	4.04
1941-1944	95	0.23213	0.20799	0.5	1142	238	1023	4499	3.94
1941-1944	96	0.23879	0.21332	0.5	905	193	808	3476	3.84
1941-1944	97	0.24557	0.21872	0.5	712	156	634	2668	3.75
1941-1944	98	0.25249	0.22419	0.5	556	125	494	2034	3.66
1941-1944	99	0.25954	0.22973	0.5	431	99	382	1540	3.57
1941-1944	100	0.26671	0.23533	0.5	332	78	293	1158	3.49
1941-1944	101	0.27401	0.24099	0.5	254	61	223	865	3.40
1941-1944	102	0.28143	0.24671	0.5	193	48	169	642	3.33
1941-1944	103	0.28897	0.25249	0.5	145	37	127	472	3.25
1941-1944	104	0.29663	0.25832	0.5	109	28	95	346	3.18
1941-1944	105	0.30441	0.26420	0.5	81	21	70	251	3.12
1941-1944	106	0.31230	0.27012	0.5	59	16	51	181	3.06
1941-1944	107	0.32030	0.27608	0.5	43	12	37	130	3.00
1941-1944	108	0.32840	0.28208	0.5	31	9	27	93	2.96
1941-1944	109	0.33661	0.28812	0.5	22	6	19	66	2.92
1941-1944	110+	0.34492	1.00000	2.9	16	16	46	46	2.90
1945-1949	0	0.04863	0.04676	0.18	100000	4676	96145	6138285	61.38
1945-1949	1	0.00384	0.00383	0.5	95324	365	95142	6042140	63.39
1945-1949	2	0.00216	0.00216	0.5	94959	205	94857	5946998	62.63
1945-1949	3	0.00161	0.00161	0.5	94754	152	94678	5852142	61.76
1945-1949	4	0.00133	0.00133	0.5	94602	126	94539	5757464	60.86
1945-1949	5	0.00111	0.00111	0.5	94476	105	94424	5662925	59.94
1945-1949	6	0.00096	0.00096	0.5	94371	90	94326	5568501	59.01
1945-1949	7	0.00084	0.00084	0.5	94281	79	94241	5474175	58.06
1945-1949	8	0.00077	0.00077	0.5	94201	72	94165	5379934	57.11
1945-1949	9	0.00074	0.00074	0.5	94129	70	94094	5285769	56.15
1945-1949	10	0.00077	0.00077	0.5	94059	72	94023	5191675	55.20
1945-1949	11	0.00083	0.00083	0.5	93987	78	93948	5097652	54.24
1945-1949	12	0.00092	0.00092	0.5	93909	87	93866	5003704	53.28
1945-1949	13	0.00105	0.00105	0.5	93822	98	93773	4909838	52.33
1945-1949	14	0.00120	0.00120	0.5	93724	113	93668	4816065	51.39
1945-1949	15	0.00139	0.00139	0.5	93611	130	93546	4722397	50.45
1945-1949	16	0.00161	0.00161	0.5	93481	150	93406	4628851	49.52
1945-1949	17	0.00184	0.00184	0.5	93331	172	93245	4535445	48.60
1945-1949	18	0.00211	0.00211	0.5	93159	197	93061	4442200	47.68
1945-1949	19	0.00240	0.00240	0.5	92962	223	92851	4349140	46.78
1945-1949	20	0.00268	0.00268	0.5	92739	248	92615	4256289	45.90
1945-1949	21	0.00292	0.00291	0.5	92491	270	92356	4163673	45.02
1945-1949	22	0.00311	0.00311	0.5	92222	287	92078	4071317	44.15
1945-1949	23	0.00322	0.00321	0.5	91935	295	91787	3979238	43.28
1945-1949	24	0.00327	0.00327	0.5	91640	300	91490	3887451	42.42
1945-1949	25	0.00331	0.00330	0.5	91340	302	91189	3795961	41.56
1945-1949	26	0.00335	0.00334	0.5	91039	304	90886	3704772	40.69
1945-1949	27	0.00342	0.00342	0.5	90734	310	90579	3613885	39.83
1945-1949	28	0.00354	0.00354	0.5	90424	320	90265	3523306	38.96
1945-1949	29	0.00369	0.00368	0.5	90105	332	89939	3433041	38.10
