PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SD,b,1941-1949,0,0.03434,0.03336,0.14,100000,3336,97142,6881608,68.82
SD,b,1941-1949,1,0.00414,0.00413,0.5,96664,399,96464,6784466,70.19
SD,b,1941-1949,2,0.00195,0.00195,0.5,96264,188,96171,6688002,69.48
SD,b,1941-1949,3,0.00174,0.00173,0.5,96077,167,95993,6591831,68.61
SD,b,1941-1949,4,0.00124,0.00124,0.5,95910,119,95851,6495838,67.73
SD,b,1941-1949,5,0.00101,0.00101,0.5,95791,97,95743,6399987,66.81
SD,b,1941-1949,6,0.00094,0.00094,0.5,95694,90,95649,6304245,65.88
SD,b,1941-1949,7,0.00089,0.00089,0.5,95604,85,95562,6208595,64.94
SD,b,1941-1949,8,0.00084,0.00084,0.5,95520,80,95479,6113033,64.00
SD,b,1941-1949,9,0.00080,0.00080,0.5,95439,76,95401,6017554,63.05
SD,b,1941-1949,10,0.00078,0.00078,0.5,95363,74,95326,5922153,62.10
SD,b,1941-1949,11,0.00079,0.00079,0.5,95289,75,95251,5826827,61.15
SD,b,1941-1949,12,0.00085,0.00085,0.5,95213,81,95173,5731576,60.20
SD,b,1941-1949,13,0.00096,0.00096,0.5,95132,91,95086,5636403,59.25
SD,b,1941-1949,14,0.00111,0.00111,0.5,95041,106,94988,5541317,58.30
SD,b,1941-1949,15,0.00130,0.00130,0.5,94935,123,94873,5446329,57.37
SD,b,1941-1949,16,0.00146,0.00146,0.5,94812,138,94743,5351456,56.44
SD,b,1941-1949,17,0.00158,0.00158,0.5,94673,149,94599,5256714,55.52
SD,b,1941-1949,18,0.00166,0.00166,0.5,94524,157,94446,5162115,54.61
SD,b,1941-1949,19,0.00171,0.00171,0.5,94368,161,94287,5067669,53.70
SD,b,1941-1949,20,0.00173,0.00173,0.5,94207,163,94125,4973382,52.79
SD,b,1941-1949,21,0.00174,0.00174,0.5,94044,163,93962,4879257,51.88
SD,b,1941-1949,22,0.00174,0.00174,0.5,93880,163,93799,4785294,50.97
SD,b,1941-1949,23,0.00173,0.00172,0.5,93717,162,93636,4691496,50.06
SD,b,1941-1949,24,0.00170,0.00170,0.5,93556,159,93476,4597859,49.15
SD,b,1941-1949,25,0.00166,0.00165,0.5,93397,155,93320,4504383,48.23
SD,b,1941-1949,26,0.00163,0.00163,0.5,93242,152,93166,4411063,47.31
SD,b,1941-1949,27,0.00164,0.00163,0.5,93090,152,93014,4317897,46.38
SD,b,1941-1949,28,0.00167,0.00167,0.5,92938,155,92861,4224883,45.46
SD,b,1941-1949,29,0.00172,0.00172,0.5,92783,160,92703,4132022,44.53
SD,b,1941-1949,30,0.00180,0.00180,0.5,92623,166,92540,4039319,43.61
SD,b,1941-1949,31,0.00187,0.00187,0.5,92457,173,92370,3946779,42.69
SD,b,1941-1949,32,0.00195,0.00195,0.5,92284,180,92194,3854409,41.77
SD,b,1941-1949,33,0.00203,0.00203,0.5,92104,187,92011,3762215,40.85
SD,b,1941-1949,34,0.00211,0.00211,0.5,91917,194,91820,3670204,39.93
SD,b,1941-1949,35,0.00219,0.00219,0.5,91723,201,91623,3578384,39.01
SD,b,1941-1949,36,0.00230,0.00230,0.5,91522,211,91417,3486761,38.10
SD,b,1941-1949,37,0.00245,0.00244,0.5,91312,223,91200,3395345,37.18
SD,b,1941-1949,38,0.00262,0.00262,0.5,91089,239,90969,3304145,36.27
SD,b,1941-1949,39,0.00284,0.00284,0.5,90850,258,90721,3213175,35.37
SD,b,1941-1949,40,0.00309,0.00308,0.5,90592,279,90452,3122455,34.47
SD,b,1941-1949,41,0.00332,0.00331,0.5,90313,299,90163,3032002,33.57
SD,b,1941-1949,42,0.00357,0.00356,0.5,90013,320,89853,2941840,32.68
SD,b,1941-1949,43,0.00382,0.00381,0.5,89693,342,89522,2851986,31.80
SD,b,1941-1949,44,0.00405,0.00405,0.5,89351,361,89170,2762465,30.92
