SD: SD, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04311	0.04162	0.17	100000	4162	96543	6711272	67.11
1941	1-4	0.00278	0.01103	1.48	95838	1057	380685	6614728	69.02
1941	5-9	0.00098	0.00491	1.94	94781	465	472477	6234043	65.77
1941	10-14	0.00107	0.00532	2.77	94315	502	470457	5761566	61.09
1941	15-19	0.00167	0.00833	2.63	93813	782	467211	5291109	56.40
1941	20-24	0.00216	0.01076	2.48	93031	1001	462639	4823898	51.85
1941	25-29	0.00154	0.00768	2.44	92031	706	458347	4361259	47.39
1941	30-34	0.00231	0.01149	2.7	91324	1049	454205	3902911	42.74
1941	35-39	0.00300	0.01489	2.56	90275	1344	448100	3448706	38.20
1941	40-44	0.00374	0.01856	2.66	88931	1650	440799	3000606	33.74
1941	45-49	0.00560	0.02762	2.62	87281	2411	430657	2559806	29.33
1941	50-54	0.00785	0.03855	2.65	84870	3272	416680	2129149	25.09
1941	55-59	0.01284	0.06236	2.67	81599	5089	396161	1712470	20.99
1941	60-64	0.02046	0.09761	2.64	76510	7468	364907	1316309	17.20
1941	65-69	0.03160	0.14720	2.68	69042	10163	321605	951402	13.78
1941	70-74	0.05488	0.24224	2.58	58879	14263	259889	629797	10.70
1941	75-79	0.07912	0.33105	2.54	44616	14770	186693	369908	8.29
1941	80-84	0.12758	0.47939	2.41	29846	14308	112146	183215	6.14
1941	85-89	0.18957	0.62465	2.27	15538	9706	51200	71069	4.57
1941	90-94	0.27247	0.75969	2.09	5832	4431	16261	19869	3.41
1941	95-99	0.37529	0.86313	1.87	1402	1210	3223	3608	2.57
1941	100-104	0.49161	0.92816	1.65	192	178	362	385	2.01
1941	105-109	0.61010	0.96289	1.45	14	13	22	22	1.63
1941	110+	0.70282	1.00000	1.42	1	1	1	1	1.42
1942	0	0.03968	0.03840	0.16	100000	3840	96767	6812014	68.12
1942	1-4	0.00305	0.01211	1.55	96160	1165	381786	6715247	69.83
1942	5-9	0.00098	0.00489	2.17	94995	464	473664	6333461	66.67
1942	10-14	0.00108	0.00541	2.69	94531	511	471477	5859797	61.99
1942	15-19	0.00147	0.00730	2.56	94020	687	468423	5388320	57.31
1942	20-24	0.00161	0.00802	2.53	93334	748	464819	4919897	52.71
1942	25-29	0.00156	0.00776	2.49	92585	718	461124	4455078	48.12
1942	30-34	0.00184	0.00914	2.67	91867	839	457375	3993954	43.48
1942	35-39	0.00274	0.01361	2.61	91028	1239	452181	3536578	38.85
1942	40-44	0.00353	0.01749	2.65	89789	1571	445256	3084398	34.35
1942	45-49	0.00558	0.02752	2.67	88218	2428	435435	2639142	29.92
1942	50-54	0.00836	0.04101	2.63	85790	3518	420608	2203707	25.69
1942	55-59	0.01192	0.05797	2.66	82271	4769	400207	1783100	21.67
1942	60-64	0.01901	0.09100	2.67	77502	7053	371093	1382893	17.84
1942	65-69	0.02851	0.13374	2.69	70449	9422	330469	1011800	14.36
1942	70-74	0.04981	0.22259	2.61	61028	13584	272709	681330	11.16
1942	75-79	0.07233	0.30798	2.59	47444	14612	202019	408622	8.61
1942	80-84	0.12685	0.47636	2.39	32832	15640	123294	206602	6.29
1942	85-89	0.17901	0.60150	2.27	17192	10341	57767	83309	4.85
1942	90-94	0.24697	0.72230	2.13	6851	4949	20037	25541	3.73
1942	95-99	0.33083	0.82339	1.95	1903	1567	4735	5504	2.89
1942	100-104	0.42763	0.89600	1.76	336	301	704	769	2.29
1942	105-109	0.53108	0.94128	1.57	35	33	62	65	1.87
1942	110+	0.61536	1.00000	1.63	2	2	3	3	1.63
1943	0	0.03709	0.03596	0.15	100000	3596	96946	6814880	68.15
1943	1-4	0.00281	0.01117	1.32	96404	1076	382737	6717934	69.68
1943	5-9	0.00108	0.00538	2.71	95328	513	475466	6335197	66.46
1943	10-14	0.00092	0.00458	2.51	94815	434	472992	5859731	61.80
1943	15-19	0.00149	0.00744	2.65	94381	702	470257	5386739	57.07
1943	20-24	0.00183	0.00911	2.58	93679	853	466325	4916482	52.48
1943	25-29	0.00214	0.01062	2.52	92825	986	461685	4450157	47.94
1943	30-34	0.00214	0.01064	2.5	91839	977	456753	3988473	43.43
1943	35-39	0.00252	0.01254	2.6	90862	1139	451580	3531719	38.87
1943	40-44	0.00351	0.01741	2.62	89723	1562	444899	3080139	34.33
1943	45-49	0.00496	0.02453	2.61	88161	2162	435636	2635240	29.89
1943	50-54	0.00730	0.03589	2.69	85998	3086	422855	2199604	25.58
1943	55-59	0.01204	0.05853	2.64	82912	4853	403108	1776750	21.43
1943	60-64	0.01821	0.08736	2.68	78059	6819	374449	1373642	17.60
1943	65-69	0.03027	0.14115	2.62	71240	10056	332240	999193	14.03
1943	70-74	0.04713	0.21165	2.59	61184	12950	274738	666953	10.90
1943	75-79	0.07597	0.31959	2.52	48235	15416	202912	392216	8.13
1943	80-84	0.13442	0.49945	2.43	32819	16392	121944	189303	5.77
1943	85-89	0.21454	0.67396	2.24	16428	11072	51606	67359	4.10
1943	90-94	0.32171	0.81841	2	5356	4383	13626	15753	2.94
1943	95-99	0.44775	0.90945	1.74	973	885	1976	2127	2.19
1943	100-104	0.57684	0.95565	1.5	88	84	146	152	1.72
1943	105-109	0.69289	0.97666	1.32	4	4	6	6	1.44
1943	110+	0.77556	1.00000	1.29	0	0	0	0	1.29
1944	0	0.03556	0.03452	0.15	100000	3452	97054	6838243	68.38
1944	1-4	0.00253	0.01004	1.49	96548	969	383759	6741189	69.82
1944	5-9	0.00091	0.00456	2.47	95579	436	476792	6357430	66.51
1944	10-14	0.00108	0.00537	2.72	95143	511	474547	5880638	61.81
1944	15-19	0.00179	0.00889	2.55	94632	842	471095	5406091	57.13
1944	20-24	0.00152	0.00756	2.44	93790	709	467133	4934995	52.62
1944	25-29	0.00161	0.00804	2.54	93081	748	463562	4467863	48.00
1944	30-34	0.00173	0.00864	2.52	92333	798	459687	4004301	43.37
1944	35-39	0.00240	0.01191	2.7	91535	1090	455164	3544613	38.72
1944	40-44	0.00378	0.01873	2.6	90445	1694	448153	3089450	34.16
1944	45-49	0.00533	0.02631	2.65	88750	2335	438269	2641297	29.76
1944	50-54	0.00825	0.04044	2.63	86415	3494	423777	2203028	25.49
1944	55-59	0.01140	0.05548	2.6	82921	4601	403551	1779251	21.46
1944	60-64	0.01792	0.08597	2.66	78320	6733	375848	1375700	17.57
1944	65-69	0.03066	0.14278	2.6	71586	10221	333426	999852	13.97
1944	70-74	0.05130	0.22796	2.56	61365	13989	272693	666426	10.86
1944	75-79	0.08021	0.33307	2.45	47376	15780	196721	393733	8.31
1944	80-84	0.13269	0.49094	2.35	31597	15512	116904	197012	6.24
1944	85-89	0.17679	0.59523	2.26	16085	9574	54154	80109	4.98
1944	90-94	0.23129	0.69599	2.14	6511	4531	19591	25955	3.99
1944	95-99	0.29617	0.78460	2	1979	1553	5243	6364	3.22
1944	100-104	0.37017	0.85525	1.86	426	365	985	1120	2.63
1944	105-109	0.45066	0.90650	1.7	62	56	124	135	2.19
1944	110+	0.51656	1.00000	1.94	6	6	11	11	1.94
1945	0	0.03138	0.03055	0.13	100000	3055	97357	6910215	69.10
1945	1-4	0.00239	0.00950	1.4	96945	921	385385	6812858	70.28
1945	5-9	0.00098	0.00490	2.26	96024	470	478834	6427473	66.94
1945	10-14	0.00100	0.00500	2.66	95554	478	476654	5948639	62.25
1945	15-19	0.00144	0.00717	2.57	95076	681	473723	5471985	57.55
1945	20-24	0.00145	0.00724	2.47	94395	683	470248	4998261	52.95
1945	25-29	0.00167	0.00830	2.63	93712	777	466713	4528013	48.32
1945	30-34	0.00227	0.01130	2.53	92934	1050	462075	4061300	43.70
1945	35-39	0.00238	0.01183	2.61	91884	1087	456818	3599225	39.17
1945	40-44	0.00360	0.01786	2.65	90797	1621	450166	3142407	34.61
1945	45-49	0.00500	0.02469	2.6	89175	2202	440603	2692241	30.19
1945	50-54	0.00692	0.03407	2.72	86974	2963	428121	2251638	25.89
1945	55-59	0.01242	0.06030	2.62	84011	5066	408001	1823517	21.71
1945	60-64	0.01667	0.08020	2.63	78945	6331	379746	1415516	17.93
1945	65-69	0.02936	0.13730	2.64	72614	9970	339558	1035770	14.26
1945	70-74	0.04930	0.22003	2.56	62644	13784	279592	696212	11.11
1945	75-79	0.07348	0.31107	2.53	48860	15199	206833	416620	8.53
1945	80-84	0.12655	0.47623	2.4	33661	16031	126670	209787	6.23
1945	85-89	0.18426	0.61316	2.27	17631	10811	58670	83117	4.71
1945	90-94	0.25854	0.73949	2.11	6820	5043	19508	24447	3.58
1945	95-99	0.34634	0.83751	1.92	1777	1488	4297	4940	2.78
1945	100-104	0.44085	0.90251	1.73	289	261	591	643	2.23
1945	105-109	0.53392	0.94118	1.56	28	26	50	52	1.86
1945	110+	0.60480	1.00000	1.65	2	2	3	3	1.65
1946	0	0.03241	0.03153	0.14	100000	3153	97282	6933810	69.34
1946	1-4	0.00222	0.00883	1.67	96847	855	385394	6836528	70.59
1946	5-9	0.00102	0.00509	2.2	95992	489	478592	6451134	67.20
1946	10-14	0.00076	0.00377	2.65	95503	360	476668	5972542	62.54
1946	15-19	0.00132	0.00660	2.7	95143	628	474269	5495874	57.76
1946	20-24	0.00169	0.00842	2.48	94515	796	470571	5021605	53.13
1946	25-29	0.00153	0.00762	2.52	93720	714	466829	4551034	48.56
1946	30-34	0.00193	0.00959	2.6	93006	892	462882	4084205	43.91
1946	35-39	0.00242	0.01202	2.63	92113	1107	457947	3621323	39.31
1946	40-44	0.00343	0.01699	2.62	91006	1547	451347	3163375	34.76
1946	45-49	0.00492	0.02432	2.71	89459	2176	442323	2712028	30.32
1946	50-54	0.00775	0.03806	2.61	87284	3322	428475	2269705	26.00
1946	55-59	0.01038	0.05067	2.65	83961	4255	409798	1841230	21.93
1946	60-64	0.01780	0.08550	2.71	79707	6815	382938	1431432	17.96
1946	65-69	0.02969	0.13863	2.61	72892	10105	340302	1048494	14.38
1946	70-74	0.04475	0.20227	2.63	62786	12700	283820	708192	11.28
1946	75-79	0.07690	0.32395	2.57	50086	16226	210998	424372	8.47
1946	80-84	0.12180	0.46388	2.43	33861	15707	128960	213374	6.30
1946	85-89	0.18518	0.61623	2.29	18153	11187	60409	84413	4.65
1946	90-94	0.26905	0.75528	2.1	6967	5262	19557	24005	3.45
1946	95-99	0.37029	0.85889	1.88	1705	1464	3955	4448	2.61
1946	100-104	0.48087	0.92305	1.66	241	222	462	493	2.05
1946	105-109	0.59026	0.95791	1.47	19	18	30	31	1.69
1946	110+	0.67452	1.00000	1.48	1	1	1	1	1.48
1947	0	0.03334	0.03241	0.14	100000	3241	97215	6931133	69.31
1947	1-4	0.00167	0.00665	1.55	96759	643	385460	6833918	70.63
1947	5-9	0.00051	0.00255	2.86	96115	245	480050	6448458	67.09
1947	10-14	0.00080	0.00398	2.71	95870	381	478477	5968408	62.26
1947	15-19	0.00137	0.00684	2.66	95489	654	475912	5489931	57.49
1947	20-24	0.00177	0.00883	2.58	94835	838	472150	5014019	52.87
1947	25-29	0.00210	0.01045	2.52	93997	982	467553	4541869	48.32
1947	30-34	0.00186	0.00924	2.46	93015	859	462895	4074316	43.80
1947	35-39	0.00221	0.01098	2.68	92156	1012	458426	3611422	39.19
1947	40-44	0.00352	0.01745	2.64	91144	1590	451966	3152995	34.59
1947	45-49	0.00479	0.02366	2.64	89553	2119	442776	2701030	30.16
1947	50-54	0.00760	0.03733	2.71	87434	3264	429692	2258254	25.83
1947	55-59	0.01268	0.06152	2.61	84171	5178	408469	1828561	21.72
1947	60-64	0.01662	0.07999	2.67	78992	6318	380251	1420092	17.98
1947	65-69	0.02965	0.13866	2.67	72674	10077	339922	1039841	14.31
1947	70-74	0.04485	0.20288	2.65	62597	12699	283124	699919	11.18
1947	75-79	0.07919	0.33236	2.58	49898	16584	209432	416796	8.35
1947	80-84	0.12143	0.46349	2.45	33314	15440	127152	207364	6.22
1947	85-89	0.19142	0.63000	2.29	17873	11260	58826	80212	4.49
1947	90-94	0.28786	0.78091	2.07	6613	5164	17940	21387	3.23
