PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SD,f,1941-1944,0,0.03394,0.03299,0.15,100000,3299,97190,7016987,70.17
SD,f,1941-1944,1-4,0.00257,0.01021,1.55,96701,987,384382,6919797,71.56
SD,f,1941-1944,5-9,0.00092,0.00457,2.09,95714,437,477296,6535415,68.28
SD,f,1941-1944,10-14,0.00086,0.00431,2.7,95277,411,475437,6058119,63.58
SD,f,1941-1944,15-19,0.00124,0.00618,2.57,94866,586,472906,5582682,58.85
SD,f,1941-1944,20-24,0.00135,0.00675,2.5,94279,636,469804,5109776,54.20
SD,f,1941-1944,25-29,0.00133,0.00661,2.57,93643,619,466715,4639971,49.55
SD,f,1941-1944,30-34,0.00193,0.00959,2.64,93024,892,463014,4173256,44.86
SD,f,1941-1944,35-39,0.00241,0.01200,2.56,92132,1106,457965,3710242,40.27
SD,f,1941-1944,40-44,0.00305,0.01515,2.64,91026,1379,451883,3252277,35.73
SD,f,1941-1944,45-49,0.00457,0.02262,2.61,89647,2028,443389,2800394,31.24
SD,f,1941-1944,50-54,0.00621,0.03062,2.64,87619,2683,431773,2357005,26.90
SD,f,1941-1944,55-59,0.00958,0.04684,2.64,84936,3978,415294,1925231,22.67
SD,f,1941-1944,60-64,0.01497,0.07235,2.7,80958,5858,391322,1509937,18.65
SD,f,1941-1944,65-69,0.02587,0.12196,2.66,75101,9159,354081,1118615,14.89
SD,f,1941-1944,70-74,0.04390,0.19875,2.62,65941,13106,298513,764534,11.59
SD,f,1941-1944,75-79,0.06970,0.29739,2.53,52836,15713,225427,466022,8.82
SD,f,1941-1944,80-84,0.11911,0.45564,2.42,37123,16915,142007,240595,6.48
SD,f,1941-1944,85-89,0.17542,0.59491,2.3,20208,12022,68533,98588,4.88
SD,f,1941-1944,90-94,0.25012,0.72808,2.13,8186,5960,23829,30055,3.67
SD,f,1941-1944,95-99,0.34276,0.83549,1.93,2226,1860,5426,6226,2.80
SD,f,1941-1944,100-104,0.44892,0.90821,1.72,366,333,741,800,2.19
SD,f,1941-1944,105-109,0.56026,0.95050,1.52,34,32,57,60,1.77
SD,f,1941-1944,110+,0.64964,1.00000,1.54,2,2,3,3,1.54
SD,f,1945-1949,0,0.02771,0.02706,0.13,100000,2706,97648,7206440,72.06
SD,f,1945-1949,1-4,0.00178,0.00710,1.49,97294,691,387444,7108792,73.06
SD,f,1945-1949,5-9,0.00065,0.00327,2.38,96603,316,482191,6721348,69.58
SD,f,1945-1949,10-14,0.00066,0.00330,2.57,96288,318,480665,6239157,64.80
SD,f,1945-1949,15-19,0.00090,0.00448,2.73,95970,430,478871,5758492,60.00
SD,f,1945-1949,20-24,0.00139,0.00694,2.51,95540,664,476048,5279621,55.26
SD,f,1945-1949,25-29,0.00118,0.00589,2.51,94876,559,472990,4803574,50.63
SD,f,1945-1949,30-34,0.00156,0.00779,2.56,94317,735,469795,4330584,45.92
SD,f,1945-1949,35-39,0.00172,0.00858,2.63,93582,803,466009,3860789,41.26
SD,f,1945-1949,40-44,0.00287,0.01426,2.68,92779,1323,460828,3394780,36.59
SD,f,1945-1949,45-49,0.00403,0.01997,2.61,91457,1826,452925,2933952,32.08
SD,f,1945-1949,50-54,0.00549,0.02708,2.62,89631,2427,442368,2481028,27.68
SD,f,1945-1949,55-59,0.00822,0.04035,2.66,87203,3518,427776,2038660,23.38
SD,f,1945-1949,60-64,0.01303,0.06323,2.68,83685,5291,406147,1610884,19.25
SD,f,1945-1949,65-69,0.02390,0.11325,2.69,78394,8878,371442,1204736,15.37
SD,f,1945-1949,70-74,0.03976,0.18165,2.63,69516,12627,317624,833294,11.99
SD,f,1945-1949,75-79,0.06766,0.29059,2.57,56888,16531,244335,515670,9.06
SD,f,1945-1949,80-84,0.11047,0.43122,2.46,40357,17403,157536,271335,6.72
SD,f,1945-1949,85-89,0.16965,0.58335,2.32,22954,13390,78930,113798,4.96
SD,f,1945-1949,90-94,0.25069,0.73019,2.14,9564,6983,27857,34868,3.65
SD,f,1945-1949,95-99,0.35311,0.84579,1.92,2580,2183,6181,7012,2.72
SD,f,1945-1949,100-104,0.47083,0.91961,1.69,398,366,777,831,2.09
SD,f,1945-1949,105-109,0.59246,0.95916,1.48,32,31,52,54,1.68
SD,f,1945-1949,110+,0.68834,1.00000,1.45,1,1,2,2,1.45
SD,f,1950-1954,0,0.02232,0.02189,0.12,100000,2189,98064,7353415,73.53
SD,f,1950-1954,1-4,0.00141,0.00560,1.36,97811,548,389798,7255351,74.18
SD,f,1950-1954,5-9,0.00060,0.00299,2.57,97263,290,485610,6865552,70.59
SD,f,1950-1954,10-14,0.00044,0.00222,2.61,96973,215,484348,6379943,65.79
SD,f,1950-1954,15-19,0.00096,0.00479,2.66,96757,463,482701,5895595,60.93
SD,f,1950-1954,20-24,0.00097,0.00482,2.46,96294,464,480291,5412893,56.21
SD,f,1950-1954,25-29,0.00101,0.00504,2.54,95830,483,477961,4932602,51.47
SD,f,1950-1954,30-34,0.00121,0.00601,2.6,95346,573,475356,4454641,46.72
SD,f,1950-1954,35-39,0.00166,0.00825,2.65,94773,782,472026,3979285,41.99
SD,f,1950-1954,40-44,0.00249,0.01237,2.65,93991,1163,467221,3507260,37.31
SD,f,1950-1954,45-49,0.00356,0.01767,2.64,92828,1640,460268,3040038,32.75
SD,f,1950-1954,50-54,0.00522,0.02580,2.66,91188,2352,450435,2579770,28.29
SD,f,1950-1954,55-59,0.00795,0.03902,2.65,88836,3466,436050,2129335,23.97
SD,f,1950-1954,60-64,0.01286,0.06244,2.67,85370,5330,414437,1693285,19.83
SD,f,1950-1954,65-69,0.02077,0.09903,2.66,80040,7927,381632,1278849,15.98
SD,f,1950-1954,70-74,0.03637,0.16764,2.67,72113,12089,332352,897217,12.44
SD,f,1950-1954,75-79,0.06430,0.27799,2.57,60024,16686,259514,564864,9.41
SD,f,1950-1954,80-84,0.10048,0.40143,2.5,43338,17397,173140,305350,7.05
SD,f,1950-1954,85-89,0.16135,0.56559,2.36,25941,14672,90930,132210,5.10
SD,f,1950-1954,90-94,0.24776,0.72718,2.16,11269,8195,33075,41280,3.66
SD,f,1950-1954,95-99,0.35944,0.85233,1.92,3074,2620,7290,8205,2.67
SD,f,1950-1954,100-104,0.48853,0.92801,1.66,454,421,862,915,2.02
SD,f,1950-1954,105-109,0.62001,0.96545,1.43,33,32,51,52,1.61
SD,f,1950-1954,110+,0.72148,1.00000,1.39,1,1,2,2,1.39
SD,f,1955-1959,0,0.02163,0.02123,0.11,100000,2123,98118,7464160,74.64
SD,f,1955-1959,1-4,0.00129,0.00513,1.52,97877,502,390266,7366042,75.26
SD,f,1955-1959,5-9,0.00037,0.00183,2.39,97375,178,486413,6975776,71.64
SD,f,1955-1959,10-14,0.00042,0.00212,2.59,97198,206,485491,6489363,66.76
SD,f,1955-1959,15-19,0.00078,0.00388,2.69,96991,376,484090,6003872,61.90
SD,f,1955-1959,20-24,0.00073,0.00363,2.34,96615,351,482142,5519782,57.13
SD,f,1955-1959,25-29,0.00076,0.00380,2.58,96265,365,480441,5037640,52.33
SD,f,1955-1959,30-34,0.00104,0.00520,2.62,95899,499,478308,4557199,47.52
SD,f,1955-1959,35-39,0.00154,0.00765,2.6,95400,730,475251,4078891,42.76
SD,f,1955-1959,40-44,0.00218,0.01087,2.73,94671,1029,471022,3603640,38.07
SD,f,1955-1959,45-49,0.00331,0.01640,2.58,93642,1536,464497,3132618,33.45
SD,f,1955-1959,50-54,0.00457,0.02260,2.66,92106,2081,455652,2668120,28.97
SD,f,1955-1959,55-59,0.00722,0.03551,2.66,90024,3197,442657,2212469,24.58
SD,f,1955-1959,60-64,0.01114,0.05426,2.65,86828,4712,423090,1769812,20.38
SD,f,1955-1959,65-69,0.01935,0.09264,2.7,82116,7607,393105,1346722,16.40
SD,f,1955-1959,70-74,0.03338,0.15489,2.68,74509,11541,345735,953618,12.80
SD,f,1955-1959,75-79,0.05674,0.24961,2.59,62969,15718,277026,607882,9.65
SD,f,1955-1959,80-84,0.10089,0.40283,2.5,47251,19034,188663,330856,7.00
SD,f,1955-1959,85-89,0.16339,0.57050,2.36,28217,16098,98522,142193,5.04
SD,f,1955-1959,90-94,0.25246,0.73439,2.15,12119,8900,35252,43671,3.60
SD,f,1955-1959,95-99,0.36754,0.85910,1.9,3219,2765,7524,8418,2.62
SD,f,1955-1959,100-104,0.49983,0.93261,1.64,454,423,846,894,1.97
SD,f,1955-1959,105-109,0.63312,0.96799,1.41,31,30,47,48,1.57
SD,f,1955-1959,110+,0.73484,1.00000,1.36,1,1,1,1,1.36
SD,f,1960-1964,0,0.02167,0.02126,0.11,100000,2126,98116,7527454,75.27
SD,f,1960-1964,1-4,0.00093,0.00373,1.61,97874,365,390624,7429338,75.91
SD,f,1960-1964,5-9,0.00031,0.00155,2.26,97509,151,487131,7038714,72.19
SD,f,1960-1964,10-14,0.00032,0.00158,2.9,97358,154,486467,6551583,67.29
SD,f,1960-1964,15-19,0.00083,0.00415,2.55,97204,403,485034,6065117,62.40
SD,f,1960-1964,20-24,0.00091,0.00456,2.58,96801,441,482936,5580083,57.64
SD,f,1960-1964,25-29,0.00106,0.00529,2.6,96360,510,480574,5097147,52.90
SD,f,1960-1964,30-34,0.00108,0.00537,2.61,95850,515,478019,4616574,48.16
SD,f,1960-1964,35-39,0.00140,0.00697,2.66,95334,664,475121,4138554,43.41
SD,f,1960-1964,40-44,0.00200,0.00994,2.68,94670,941,471166,3663433,38.70
SD,f,1960-1964,45-49,0.00326,0.01619,2.78,93730,1518,465286,3192267,34.06
SD,f,1960-1964,50-54,0.00435,0.02151,2.69,92212,1984,456479,2726981,29.57
SD,f,1960-1964,55-59,0.00677,0.03330,2.52,90228,3004,443703,2270502,25.16
SD,f,1960-1964,60-64,0.01111,0.05410,2.6,87224,4719,424806,1826798,20.94
SD,f,1960-1964,65-69,0.01818,0.08712,2.61,82505,7188,395372,1401992,16.99
SD,f,1960-1964,70-74,0.03127,0.14557,2.63,75317,10964,350620,1006621,13.37
SD,f,1960-1964,75-79,0.05127,0.22848,2.62,64353,14703,286764,656000,10.19
SD,f,1960-1964,80-84,0.08988,0.36798,2.54,49650,18270,203267,369236,7.44
SD,f,1960-1964,85-89,0.15120,0.54243,2.4,31380,17021,112573,165970,5.29
SD,f,1960-1964,90-94,0.24175,0.71941,2.19,14358,10329,42728,53396,3.72
SD,f,1960-1964,95-99,0.36185,0.85554,1.92,4029,3447,9526,10668,2.65
SD,f,1960-1964,100-104,0.50186,0.93400,1.64,582,544,1083,1143,1.96
SD,f,1960-1964,105-109,0.64277,0.96998,1.4,38,37,58,60,1.55
SD,f,1960-1964,110+,0.74903,1.00000,1.34,1,1,2,2,1.34
SD,f,1965-1969,0,0.02042,0.02006,0.11,100000,2006,98215,7592518,75.93
SD,f,1965-1969,1-4,0.00087,0.00346,1.64,97994,339,391174,7494302,76.48
SD,f,1965-1969,5-9,0.00040,0.00199,2.31,97655,195,487750,7103128,72.74
SD,f,1965-1969,10-14,0.00035,0.00176,2.53,97460,172,486876,6615378,67.88
SD,f,1965-1969,15-19,0.00080,0.00401,2.55,97288,390,485484,6128501,62.99
SD,f,1965-1969,20-24,0.00102,0.00507,2.35,96898,491,483189,5643017,58.24
SD,f,1965-1969,25-29,0.00083,0.00414,2.7,96407,399,481120,5159828,53.52
SD,f,1965-1969,30-34,0.00111,0.00552,2.31,96009,530,478615,4678707,48.73
SD,f,1965-1969,35-39,0.00162,0.00806,2.7,95479,770,475623,4200092,43.99
SD,f,1965-1969,40-44,0.00224,0.01114,2.71,94709,1055,471123,3724469,39.33
SD,f,1965-1969,45-49,0.00314,0.01556,2.53,93654,1458,464666,3253346,34.74
SD,f,1965-1969,50-54,0.00460,0.02274,2.59,92196,2097,455930,2788680,30.25
SD,f,1965-1969,55-59,0.00691,0.03401,2.69,90099,3064,443434,2332750,25.89
SD,f,1965-1969,60-64,0.01042,0.05093,2.75,87035,4433,425191,1889316,21.71
SD,f,1965-1969,65-69,0.01657,0.07965,2.57,82603,6579,396999,1464125,17.72
SD,f,1965-1969,70-74,0.02663,0.12534,2.66,76023,9529,357865,1067126,14.04
SD,f,1965-1969,75-79,0.04775,0.21401,2.58,66495,14230,298032,709261,10.67
SD,f,1965-1969,80-84,0.08291,0.34447,2.55,52264,18003,217146,411229,7.87
SD,f,1965-1969,85-89,0.13792,0.50861,2.42,34261,17426,126342,194082,5.66
SD,f,1965-1969,90-94,0.21948,0.68263,2.23,16835,11492,52362,67740,4.02
SD,f,1965-1969,95-99,0.32937,0.82633,1.99,5343,4415,13405,15378,2.88
SD,f,1965-1969,100-104,0.46114,0.91666,1.71,928,851,1845,1973,2.13
SD,f,1965-1969,105-109,0.59936,0.96152,1.47,77,74,124,128,1.66
SD,f,1965-1969,110+,0.70753,1.00000,1.41,3,3,4,4,1.41
SD,f,1970-1974,0,0.01689,0.01664,0.1,100000,1664,98503,7664440,76.64
SD,f,1970-1974,1-4,0.00088,0.00350,1.46,98336,345,392469,7565937,76.94
