TN: TN, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05877	0.05616	0.21	100000	5616	95567	6238742	62.39
1941	1	0.00832	0.00829	0.5	94384	782	93993	6143175	65.09
1941	2	0.00343	0.00342	0.5	93602	320	93441	6049182	64.63
1941	3	0.00212	0.00211	0.5	93281	197	93183	5955741	63.85
1941	4	0.00158	0.00158	0.5	93084	147	93011	5862558	62.98
1941	5	0.00130	0.00130	0.5	92938	121	92877	5769547	62.08
1941	6	0.00116	0.00116	0.5	92817	107	92763	5676670	61.16
1941	7	0.00107	0.00107	0.5	92710	99	92660	5583907	60.23
1941	8	0.00097	0.00097	0.5	92611	90	92565	5491247	59.29
1941	9	0.00087	0.00087	0.5	92520	81	92480	5398681	58.35
1941	10	0.00081	0.00081	0.5	92440	75	92403	5306201	57.40
1941	11	0.00082	0.00082	0.5	92365	76	92327	5213798	56.45
1941	12	0.00093	0.00093	0.5	92289	86	92246	5121471	55.49
1941	13	0.00110	0.00110	0.5	92203	101	92153	5029225	54.54
1941	14	0.00135	0.00135	0.5	92102	124	92040	4937072	53.60
1941	15	0.00170	0.00170	0.5	91978	156	91899	4845032	52.68
1941	16	0.00201	0.00201	0.5	91821	184	91729	4753133	51.77
1941	17	0.00227	0.00226	0.5	91637	207	91533	4661404	50.87
1941	18	0.00251	0.00251	0.5	91430	230	91315	4569870	49.98
1941	19	0.00268	0.00268	0.5	91200	244	91078	4478556	49.11
1941	20	0.00290	0.00289	0.5	90956	263	90824	4387478	48.24
1941	21	0.00317	0.00316	0.5	90693	287	90549	4296653	47.38
1941	22	0.00333	0.00332	0.5	90406	301	90256	4206104	46.52
1941	23	0.00348	0.00348	0.5	90105	313	89949	4115848	45.68
1941	24	0.00354	0.00353	0.5	89792	317	89634	4025900	44.84
1941	25	0.00351	0.00350	0.5	89475	313	89318	3936266	43.99
1941	26	0.00348	0.00348	0.5	89162	310	89007	3846948	43.15
1941	27	0.00356	0.00355	0.5	88852	316	88694	3757941	42.29
1941	28	0.00369	0.00368	0.5	88536	326	88373	3669247	41.44
1941	29	0.00376	0.00375	0.5	88210	331	88044	3580874	40.59
1941	30	0.00389	0.00388	0.5	87879	341	87708	3492830	39.75
1941	31	0.00396	0.00395	0.5	87538	346	87365	3405121	38.90
1941	32	0.00435	0.00434	0.5	87192	378	87003	3317756	38.05
1941	33	0.00462	0.00461	0.5	86814	400	86614	3230753	37.21
1941	34	0.00465	0.00464	0.5	86414	401	86213	3144140	36.38
1941	35	0.00482	0.00481	0.5	86013	414	85806	3057926	35.55
1941	36	0.00480	0.00479	0.5	85599	410	85394	2972120	34.72
1941	37	0.00518	0.00517	0.5	85189	441	84969	2886726	33.89
1941	38	0.00577	0.00575	0.5	84749	487	84505	2801757	33.06
1941	39	0.00579	0.00578	0.5	84261	487	84018	2717252	32.25
1941	40	0.00571	0.00570	0.5	83775	477	83536	2633234	31.43
1941	41	0.00598	0.00596	0.5	83297	497	83049	2549698	30.61
1941	42	0.00731	0.00728	0.5	82801	603	82499	2466649	29.79
1941	43	0.00816	0.00812	0.5	82198	668	81864	2384150	29.00
1941	44	0.00831	0.00827	0.5	81530	674	81193	2302285	28.24
1941	45	0.00893	0.00889	0.5	80856	719	80497	2221092	27.47
1941	46	0.00881	0.00877	0.5	80137	703	79786	2140596	26.71
1941	47	0.00953	0.00949	0.5	79434	754	79058	2060810	25.94
1941	48	0.01051	0.01046	0.5	78681	823	78269	1981752	25.19
1941	49	0.01065	0.01059	0.5	77858	824	77446	1903483	24.45
1941	50	0.01104	0.01098	0.5	77034	846	76611	1826037	23.70
1941	51	0.01116	0.01110	0.5	76188	846	75765	1749426	22.96
1941	52	0.01275	0.01267	0.5	75342	955	74864	1673662	22.21
1941	53	0.01412	0.01402	0.5	74387	1043	73866	1598797	21.49
1941	54	0.01427	0.01417	0.5	73344	1039	72825	1524932	20.79
1941	55	0.01514	0.01503	0.5	72305	1087	71762	1452107	20.08
1941	56	0.01521	0.01510	0.5	71218	1075	70681	1380345	19.38
1941	57	0.01611	0.01598	0.5	70143	1121	69583	1309664	18.67
1941	58	0.01809	0.01793	0.5	69022	1237	68404	1240081	17.97
1941	59	0.01871	0.01854	0.5	67785	1257	67157	1171678	17.29
1941	60	0.01931	0.01913	0.5	66528	1273	65892	1104521	16.60
1941	61	0.02053	0.02032	0.5	65256	1326	64593	1038629	15.92
1941	62	0.02510	0.02479	0.5	63930	1585	63137	974036	15.24
1941	63	0.02925	0.02883	0.5	62345	1798	61446	910899	14.61
1941	64	0.02951	0.02908	0.5	60547	1761	59667	849453	14.03
1941	65	0.03095	0.03048	0.5	58786	1792	57890	789786	13.43
1941	66	0.02975	0.02932	0.5	56994	1671	56159	731896	12.84
1941	67	0.03340	0.03285	0.5	55323	1817	54415	675737	12.21
1941	68	0.03900	0.03826	0.5	53506	2047	52483	621322	11.61
1941	69	0.04076	0.03995	0.5	51459	2056	50431	568839	11.05
1941	70	0.04454	0.04357	0.5	49404	2152	48327	518408	10.49
1941	71	0.04787	0.04675	0.5	47251	2209	46147	470081	9.95
1941	72	0.05689	0.05532	0.5	45042	2492	43796	423934	9.41
1941	73	0.06387	0.06189	0.5	42551	2633	41234	380137	8.93
1941	74	0.06535	0.06328	0.5	39917	2526	38654	338904	8.49
1941	75	0.07242	0.06989	0.5	37391	2613	36084	300249	8.03
1941	76	0.07620	0.07340	0.5	34778	2553	33501	264165	7.60
1941	77	0.08860	0.08484	0.5	32225	2734	30858	230663	7.16
1941	78	0.11122	0.10536	0.5	29491	3107	27938	199805	6.78
1941	79	0.10736	0.10189	0.5	26384	2688	25040	171868	6.51
1941	80	0.11330	0.10723	0.5	23696	2541	22425	146828	6.20
1941	81	0.12238	0.11533	0.5	21155	2440	19935	124403	5.88
1941	82	0.13286	0.12458	0.5	18715	2332	17549	104468	5.58
1941	83	0.14455	0.13481	0.5	16383	2209	15279	86919	5.31
1941	84	0.15707	0.14563	0.5	14175	2064	13143	71640	5.05
1941	85	0.17036	0.15698	0.5	12110	1901	11160	58497	4.83
1941	86	0.18588	0.17008	0.5	10209	1736	9341	47337	4.64
1941	87	0.18253	0.16727	0.5	8473	1417	7764	37996	4.48
1941	88	0.19332	0.17628	0.5	7056	1244	6434	30232	4.28
1941	89	0.20460	0.18561	0.5	5812	1079	5273	23798	4.09
1941	90	0.21637	0.19525	0.5	4733	924	4271	18525	3.91
1941	91	0.22864	0.20519	0.5	3809	782	3418	14254	3.74
1941	92	0.24141	0.21541	0.5	3027	652	2701	10836	3.58
1941	93	0.25467	0.22590	0.5	2375	537	2107	8135	3.42
1941	94	0.26841	0.23665	0.5	1839	435	1621	6028	3.28
1941	95	0.28263	0.24763	0.5	1404	348	1230	4407	3.14
1941	96	0.29731	0.25883	0.5	1056	273	919	3177	3.01
1941	97	0.31244	0.27022	0.5	783	211	677	2257	2.88
1941	98	0.32800	0.28178	0.5	571	161	491	1580	2.77
1941	99	0.34396	0.29349	0.5	410	120	350	1090	2.66
1941	100	0.36030	0.30530	0.5	290	88	246	740	2.55
1941	101	0.37699	0.31720	0.5	201	64	169	494	2.45
1941	102	0.39399	0.32915	0.5	137	45	115	325	2.36
1941	103	0.41127	0.34113	0.5	92	31	76	210	2.28
1941	104	0.42880	0.35309	0.5	61	21	50	133	2.19
1941	105	0.44652	0.36502	0.5	39	14	32	83	2.12
1941	106	0.46439	0.37688	0.5	25	9	20	51	2.05
1941	107	0.48238	0.38864	0.5	16	6	13	31	1.99
1941	108	0.50043	0.40027	0.5	10	4	8	18	1.93
1941	109	0.51850	0.41175	0.5	6	2	5	11	1.89
1941	110+	0.53653	1.00000	1.86	3	3	6	6	1.86
1942	0	0.04982	0.04788	0.19	100000	4788	96102	6427922	64.28
1942	1	0.00543	0.00541	0.5	95212	515	94955	6331820	66.50
1942	2	0.00301	0.00301	0.5	94697	285	94554	6236865	65.86
1942	3	0.00178	0.00178	0.5	94412	168	94328	6142311	65.06
1942	4	0.00160	0.00160	0.5	94244	151	94168	6047983	64.17
1942	5	0.00133	0.00133	0.5	94093	125	94031	5953814	63.28
1942	6	0.00106	0.00106	0.5	93968	99	93918	5859784	62.36
1942	7	0.00086	0.00085	0.5	93868	80	93828	5765866	61.42
1942	8	0.00074	0.00074	0.5	93788	70	93753	5672037	60.48
1942	9	0.00068	0.00068	0.5	93719	64	93687	5578284	59.52
1942	10	0.00066	0.00066	0.5	93655	62	93624	5484597	58.56
1942	11	0.00071	0.00071	0.5	93593	66	93560	5390973	57.60
1942	12	0.00081	0.00081	0.5	93527	76	93489	5297413	56.64
1942	13	0.00098	0.00098	0.5	93451	91	93405	5203924	55.69
1942	14	0.00117	0.00116	0.5	93359	109	93305	5110519	54.74
1942	15	0.00139	0.00139	0.5	93251	130	93186	5017214	53.80
1942	16	0.00164	0.00164	0.5	93121	153	93045	4924028	52.88
1942	17	0.00186	0.00186	0.5	92968	173	92882	4830984	51.96
1942	18	0.00205	0.00205	0.5	92796	190	92701	4738102	51.06
1942	19	0.00225	0.00225	0.5	92606	209	92501	4645401	50.16
1942	20	0.00240	0.00240	0.5	92397	222	92286	4552900	49.28
1942	21	0.00258	0.00258	0.5	92175	237	92057	4460614	48.39
1942	22	0.00279	0.00279	0.5	91938	256	91810	4368557	47.52
1942	23	0.00291	0.00291	0.5	91682	267	91548	4276747	46.65
1942	24	0.00302	0.00301	0.5	91415	275	91277	4185199	45.78
1942	25	0.00302	0.00302	0.5	91140	275	91002	4093922	44.92
1942	26	0.00299	0.00299	0.5	90865	271	90729	4002920	44.05
1942	27	0.00296	0.00295	0.5	90593	268	90459	3912191	43.18
1942	28	0.00301	0.00300	0.5	90325	271	90190	3821732	42.31
1942	29	0.00310	0.00309	0.5	90054	278	89915	3731542	41.44
1942	30	0.00312	0.00312	0.5	89776	280	89636	3641627	40.56
1942	31	0.00322	0.00321	0.5	89496	288	89352	3551991	39.69
1942	32	0.00334	0.00334	0.5	89208	298	89059	3462639	38.82
1942	33	0.00382	0.00381	0.5	88910	339	88741	3373580	37.94
1942	34	0.00428	0.00427	0.5	88571	379	88382	3284839	37.09
1942	35	0.00461	0.00460	0.5	88193	406	87990	3196457	36.24
1942	36	0.00505	0.00503	0.5	87787	442	87566	3108467	35.41
1942	37	0.00515	0.00513	0.5	87345	449	87121	3020901	34.59
1942	38	0.00550	0.00549	0.5	86896	477	86658	2933781	33.76
1942	39	0.00586	0.00584	0.5	86420	505	86167	2847123	32.95
1942	40	0.00554	0.00552	0.5	85915	474	85677	2760956	32.14
1942	41	0.00518	0.00516	0.5	85440	441	85220	2675278	31.31
1942	42	0.00527	0.00525	0.5	84999	446	84776	2590058	30.47
1942	43	0.00644	0.00642	0.5	84553	543	84281	2505283	29.63
1942	44	0.00739	0.00736	0.5	84010	619	83701	2421001	28.82
1942	45	0.00783	0.00780	0.5	83392	651	83066	2337300	28.03
1942	46	0.00870	0.00867	0.5	82741	717	82382	2254234	27.24
1942	47	0.00884	0.00880	0.5	82024	722	81663	2171852	26.48
1942	48	0.00969	0.00964	0.5	81302	784	80910	2090189	25.71
1942	49	0.01068	0.01063	0.5	80518	856	80090	2009279	24.95
1942	50	0.01080	0.01074	0.5	79662	855	79234	1929189	24.22
1942	51	0.01109	0.01103	0.5	78807	869	78372	1849955	23.47
1942	52	0.01116	0.01110	0.5	77938	865	77505	1771583	22.73
1942	53	0.01275	0.01267	0.5	77073	977	76584	1694078	21.98
