TN: TN, Lifetables (period 1x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05225	0.05015	0.2	100000	5015	95984	6439107	64.39
1941	1	0.00792	0.00789	0.5	94985	749	94610	6343122	66.78
1941	2	0.00264	0.00264	0.5	94236	249	94111	6248512	66.31
1941	3	0.00205	0.00205	0.5	93987	192	93891	6154401	65.48
1941	4	0.00163	0.00163	0.5	93794	153	93718	6060510	64.61
1941	5	0.00125	0.00125	0.5	93642	117	93583	5966792	63.72
1941	6	0.00104	0.00104	0.5	93525	97	93476	5873209	62.80
1941	7	0.00090	0.00090	0.5	93428	84	93386	5779732	61.86
1941	8	0.00079	0.00079	0.5	93343	74	93306	5686347	60.92
1941	9	0.00071	0.00071	0.5	93269	67	93236	5593040	59.97
1941	10	0.00069	0.00069	0.5	93203	64	93171	5499804	59.01
1941	11	0.00074	0.00074	0.5	93139	69	93104	5406634	58.05
1941	12	0.00087	0.00087	0.5	93070	81	93029	5313529	57.09
1941	13	0.00104	0.00104	0.5	92989	97	92941	5220500	56.14
1941	14	0.00129	0.00129	0.5	92892	120	92832	5127559	55.20
1941	15	0.00161	0.00161	0.5	92772	149	92697	5034727	54.27
1941	16	0.00188	0.00188	0.5	92623	174	92536	4942030	53.36
1941	17	0.00210	0.00210	0.5	92449	194	92352	4849494	52.46
1941	18	0.00229	0.00228	0.5	92255	211	92149	4757142	51.57
1941	19	0.00238	0.00238	0.5	92044	219	91935	4664993	50.68
1941	20	0.00250	0.00250	0.5	91825	229	91711	4573058	49.80
1941	21	0.00268	0.00267	0.5	91596	245	91474	4481348	48.93
1941	22	0.00281	0.00281	0.5	91351	257	91223	4389874	48.05
1941	23	0.00296	0.00296	0.5	91095	269	90960	4298651	47.19
1941	24	0.00300	0.00300	0.5	90825	272	90689	4207691	46.33
1941	25	0.00302	0.00301	0.5	90553	273	90416	4117002	45.47
1941	26	0.00302	0.00302	0.5	90280	273	90144	4026585	44.60
1941	27	0.00313	0.00312	0.5	90007	281	89867	3936442	43.73
1941	28	0.00330	0.00330	0.5	89726	296	89579	3846575	42.87
1941	29	0.00340	0.00339	0.5	89431	304	89279	3756996	42.01
1941	30	0.00353	0.00352	0.5	89127	314	88970	3667717	41.15
1941	31	0.00360	0.00359	0.5	88813	319	88653	3578747	40.30
1941	32	0.00394	0.00393	0.5	88494	348	88320	3490094	39.44
