TN: TN, Lifetables (period 5x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.06506	0.06192	0.22	100000	6192	95168	6051883	60.52
1941	1-4	0.00417	0.01648	1.29	93808	1546	371037	5956715	63.50
1941	5-9	0.00121	0.00601	2.37	92262	555	459853	5585678	60.54
1941	10-14	0.00108	0.00537	2.73	91707	493	457416	5125825	55.89
1941	15-19	0.00242	0.01202	2.75	91214	1097	453600	4668409	51.18
1941	20-24	0.00381	0.01888	2.59	90118	1701	446494	4214810	46.77
1941	25-29	0.00406	0.02008	2.51	88416	1775	437659	3768316	42.62
1941	30-34	0.00474	0.02344	2.6	86641	2031	428341	3330657	38.44
1941	35-39	0.00615	0.03032	2.6	84610	2566	416897	2902316	34.30
1941	40-44	0.00773	0.03797	2.68	82045	3115	402988	2485419	30.29
1941	45-49	0.01102	0.05369	2.61	78929	4237	384499	2082430	26.38
1941	50-54	0.01433	0.06929	2.6	74692	5175	361035	1697931	22.73
1941	55-59	0.01867	0.08933	2.59	69517	6210	332599	1336897	19.23
1941	60-64	0.02794	0.13118	2.67	63307	8304	297216	1004298	15.86
1941	65-69	0.03876	0.17714	2.57	55002	9743	251363	707082	12.86
1941	70-74	0.06007	0.26204	2.57	45259	11860	197430	455719	10.07
1941	75-79	0.09344	0.37987	2.54	33399	12687	135778	258288	7.73
1941	80-84	0.14121	0.51501	2.37	20712	10667	75538	122511	5.91
1941	85-89	0.19301	0.62571	2.19	10045	6285	32565	46973	4.68
1941	90-94	0.24279	0.71356	2.11	3760	2683	11050	14408	3.83
1941	95-99	0.30687	0.79622	1.98	1077	857	2794	3359	3.12
1941	100-104	0.37923	0.86185	1.84	219	189	499	564	2.57
1941	105-109	0.45737	0.90961	1.69	30	28	60	66	2.16
1941	110+	0.52119	1.00000	1.92	3	3	5	5	1.92
1942	0	0.05482	0.05249	0.19	100000	5249	95759	6244562	62.45
1942	1-4	0.00296	0.01175	1.59	94751	1113	376318	6148803	64.89
1942	5-9	0.00102	0.00508	2.06	93637	476	466786	5772485	61.65
1942	10-14	0.00097	0.00483	2.82	93162	450	464829	5305699	56.95
1942	15-19	0.00206	0.01024	2.73	92712	949	461400	4840871	52.21
1942	20-24	0.00310	0.01538	2.61	91763	1412	455432	4379471	47.73
1942	25-29	0.00341	0.01691	2.52	90351	1528	447960	3924038	43.43
1942	30-34	0.00409	0.02023	2.63	88823	1797	439849	3476078	39.13
1942	35-39	0.00559	0.02757	2.61	87026	2399	429401	3036229	34.89
1942	40-44	0.00683	0.03362	2.66	84627	2845	416470	2606828	30.80
1942	45-49	0.01047	0.05108	2.64	81782	4178	399035	2190358	26.78
1942	50-54	0.01434	0.06933	2.6	77604	5380	375127	1791323	23.08
1942	55-59	0.01877	0.08975	2.56	72224	6482	345293	1416196	19.61
1942	60-64	0.02629	0.12393	2.69	65742	8147	309924	1070902	16.29
1942	65-69	0.03948	0.17994	2.54	57595	10364	262521	760978	13.21
1942	70-74	0.05569	0.24529	2.57	47231	11585	208019	498457	10.55
1942	75-79	0.08396	0.34980	2.62	35646	12469	148514	290438	8.15
1942	80-84	0.13399	0.49672	2.4	23177	11513	85922	141924	6.12
1942	85-89	0.18860	0.61531	2.18	11665	7177	38055	56002	4.80
1942	90-94	0.23148	0.69566	2.13	4487	3122	13485	17946	4.00
1942	95-99	0.29173	0.77877	2.01	1366	1064	3646	4461	3.27
1942	100-104	0.36014	0.84659	1.87	302	256	710	815	2.70
1942	105-109	0.43468	0.89749	1.73	46	42	96	105	2.27
1942	110+	0.49560	1.00000	2.02	5	5	10	10	2.02
1943	0	0.05337	0.05115	0.19	100000	5115	95848	6263936	62.64
1943	1-4	0.00314	0.01244	1.5	94885	1181	376592	6168088	65.01
1943	5-9	0.00105	0.00523	2.08	93704	490	467090	5791496	61.81
1943	10-14	0.00101	0.00501	2.77	93214	467	465032	5324406	57.12
1943	15-19	0.00194	0.00967	2.72	92747	897	461687	4859375	52.39
1943	20-24	0.00289	0.01437	2.59	91851	1320	456073	4397687	47.88
1943	25-29	0.00321	0.01592	2.53	90530	1441	449094	3941614	43.54
1943	30-34	0.00395	0.01958	2.57	89090	1744	441216	3492520	39.20
1943	35-39	0.00506	0.02502	2.61	87346	2185	431505	3051304	34.93
1943	40-44	0.00706	0.03473	2.58	85160	2957	418653	2619800	30.76
1943	45-49	0.00995	0.04857	2.57	82203	3992	401302	2201146	26.78
1943	50-54	0.01349	0.06531	2.59	78211	5108	378742	1799844	23.01
1943	55-59	0.01944	0.09278	2.55	73103	6782	348864	1421102	19.44
1943	60-64	0.02650	0.12455	2.59	66320	8260	311730	1072237	16.17
1943	65-69	0.03903	0.17784	2.51	58060	10326	264543	760508	13.10
1943	70-74	0.05879	0.25677	2.54	47735	12257	208503	495965	10.39
1943	75-79	0.08073	0.33536	2.48	35478	11898	147386	287462	8.10
1943	80-84	0.14070	0.51389	2.38	23580	12117	86125	140077	5.94
1943	85-89	0.19031	0.62162	2.21	11462	7125	37440	53952	4.71
1943	90-94	0.24418	0.71596	2.11	4337	3105	12717	16511	3.81
1943	95-99	0.31081	0.80079	1.97	1232	987	3174	3794	3.08
1943	100-104	0.38616	0.86722	1.82	245	213	551	620	2.53
1943	105-109	0.46738	0.91466	1.67	33	30	64	69	2.12
1943	110+	0.53376	1.00000	1.87	3	3	5	5	1.87
1944	0	0.04986	0.04790	0.18	100000	4790	96067	6326006	63.26
1944	1-4	0.00271	0.01076	1.48	95210	1025	378256	6229940	65.43
1944	5-9	0.00095	0.00476	2.43	94186	448	469776	5851684	62.13
1944	10-14	0.00098	0.00487	2.72	93738	456	467649	5381908	57.41
1944	15-19	0.00197	0.00982	2.68	93281	916	464282	4914259	52.68
1944	20-24	0.00251	0.01245	2.55	92365	1150	459006	4449978	48.18
1944	25-29	0.00287	0.01426	2.56	91215	1301	452909	3990972	43.75
1944	30-34	0.00363	0.01798	2.56	89915	1616	445628	3538062	39.35
1944	35-39	0.00478	0.02364	2.63	88298	2088	436548	3092435	35.02
1944	40-44	0.00692	0.03403	2.54	86211	2934	423830	2655887	30.81
1944	45-49	0.00983	0.04802	2.61	83277	3999	406818	2232057	26.80
1944	50-54	0.01415	0.06840	2.57	79278	5422	383188	1825238	23.02
1944	55-59	0.01876	0.08970	2.56	73856	6625	353108	1442050	19.53
1944	60-64	0.02618	0.12308	2.57	67231	8275	316038	1088942	16.20
1944	65-69	0.03741	0.17109	2.51	58956	10087	269626	772904	13.11
1944	70-74	0.05685	0.24964	2.56	48869	12200	214578	503278	10.30
1944	75-79	0.08531	0.34960	2.42	36669	12820	150267	288700	7.87
1944	80-84	0.13958	0.51017	2.36	23850	12167	87171	138434	5.80
1944	85-89	0.20325	0.64962	2.22	11682	7589	37340	51262	4.39
1944	90-94	0.27503	0.76122	2.07	4093	3116	11329	13923	3.40
1944	95-99	0.36420	0.85272	1.88	977	833	2288	2594	2.65
1944	100-104	0.46368	0.91465	1.69	144	132	284	306	2.12
1944	105-109	0.56644	0.95167	1.51	12	12	21	22	1.75
1944	110+	0.64865	1.00000	1.54	1	1	1	1	1.54
1945	0	0.05403	0.05176	0.19	100000	5176	95807	6307083	63.07
1945	1-4	0.00243	0.00966	1.63	94824	916	377120	6211276	65.50
1945	5-9	0.00122	0.00608	2.23	93908	571	467960	5834156	62.13
1945	10-14	0.00121	0.00605	2.64	93337	565	465349	5366196	57.49
1945	15-19	0.00184	0.00914	2.68	92772	848	461894	4900847	52.83
1945	20-24	0.00260	0.01294	2.54	91924	1189	456690	4438954	48.29
1945	25-29	0.00266	0.01323	2.55	90735	1200	450733	3982264	43.89
1945	30-34	0.00355	0.01761	2.63	89534	1577	443933	3531531	39.44
1945	35-39	0.00511	0.02523	2.66	87957	2219	434597	3087598	35.10
1945	40-44	0.00713	0.03504	2.57	85738	3004	421384	2653001	30.94
1945	45-49	0.00974	0.04761	2.69	82734	3939	404567	2231617	26.97
1945	50-54	0.01463	0.07068	2.62	78795	5570	380730	1827050	23.19
1945	55-59	0.01920	0.09174	2.58	73226	6717	349861	1446320	19.75
1945	60-64	0.02427	0.11471	2.62	66508	7629	314376	1096459	16.49
1945	65-69	0.03875	0.17724	2.59	58879	10435	269298	782083	13.28
1945	70-74	0.05434	0.23996	2.56	48444	11624	213908	512785	10.59
1945	75-79	0.08108	0.33662	2.48	36819	12394	152866	298877	8.12
1945	80-84	0.13207	0.49183	2.41	24425	12013	90963	146011	5.98
1945	85-89	0.20121	0.64456	2.21	12412	8000	39762	55048	4.43
1945	90-94	0.26871	0.75336	2.08	4412	3324	12369	15286	3.46
1945	95-99	0.35985	0.84955	1.89	1088	924	2569	2917	2.68
1945	100-104	0.46221	0.91424	1.69	164	150	324	348	2.13
1945	105-109	0.56819	0.95233	1.51	14	13	24	25	1.75
1945	110+	0.65292	1.00000	1.53	1	1	1	1	1.53
1946	0	0.04877	0.04689	0.18	100000	4689	96136	6388168	63.88
1946	1-4	0.00202	0.00802	1.48	95311	764	379316	6292032	66.02
1946	5-9	0.00093	0.00465	2.31	94547	440	471549	5912716	62.54
1946	10-14	0.00085	0.00423	2.75	94107	398	469639	5441167	57.82
1946	15-19	0.00182	0.00906	2.71	93709	849	466601	4971528	53.05
1946	20-24	0.00250	0.01243	2.59	92859	1154	461512	4504927	48.51
1946	25-29	0.00320	0.01590	2.58	91706	1458	455000	4043414	44.09
1946	30-34	0.00348	0.01726	2.55	90248	1557	447427	3588414	39.76
1946	35-39	0.00463	0.02290	2.66	88691	2031	438690	3140987	35.42
1946	40-44	0.00669	0.03293	2.61	86659	2853	426475	2702297	31.18
1946	45-49	0.00896	0.04390	2.73	83806	3679	410682	2275823	27.16
1946	50-54	0.01455	0.07035	2.63	80127	5637	387283	1865140	23.28
1946	55-59	0.01947	0.09297	2.59	74490	6926	355786	1477857	19.84
1946	60-64	0.02456	0.11594	2.59	67565	7833	318922	1122071	16.61
1946	65-69	0.03682	0.16931	2.63	59732	10113	274661	803149	13.45
1946	70-74	0.05506	0.24280	2.57	49619	12047	218792	528489	10.65
1946	75-79	0.08452	0.34869	2.49	37571	13101	155006	309696	8.24
1946	80-84	0.12762	0.47840	2.38	24471	11707	91727	154691	6.32
1946	85-89	0.17606	0.59515	2.28	12764	7597	43147	62963	4.93
1946	90-94	0.23999	0.71099	2.13	5167	3674	15309	19816	3.83
1946	95-99	0.31640	0.80810	1.97	1493	1207	3814	4507	3.02
1946	100-104	0.40395	0.88069	1.8	287	252	625	693	2.42
1946	105-109	0.49813	0.92884	1.62	34	32	64	68	1.99
1946	110+	0.57518	1.00000	1.74	2	2	4	4	1.74
1947	0	0.04457	0.04297	0.16	100000	4297	96410	6415917	64.16
1947	1-4	0.00174	0.00695	1.57	95703	665	381196	6319507	66.03
1947	5-9	0.00078	0.00390	2.43	95038	371	474235	5938311	62.48
1947	10-14	0.00078	0.00390	2.72	94667	369	472492	5464076	57.72
1947	15-19	0.00164	0.00817	2.78	94298	771	469778	4991584	52.93
1947	20-24	0.00258	0.01281	2.59	93527	1198	464742	4521806	48.35
1947	25-29	0.00294	0.01457	2.54	92329	1345	458333	4057064	43.94
1947	30-34	0.00315	0.01564	2.56	90983	1423	451450	3598731	39.55
1947	35-39	0.00444	0.02198	2.67	89561	1969	443219	3147281	35.14
1947	40-44	0.00676	0.03325	2.66	87592	2913	431135	2704062	30.87
1947	45-49	0.00912	0.04465	2.66	84680	3781	414555	2272927	26.84
1947	50-54	0.01350	0.06539	2.63	80899	5290	391948	1858372	22.97
1947	55-59	0.01998	0.09534	2.61	75609	7209	360812	1466424	19.39
1947	60-64	0.02558	0.12042	2.57	68401	8237	322027	1105612	16.16
1947	65-69	0.04123	0.18775	2.62	60163	11296	273977	783584	13.02
1947	70-74	0.05734	0.25128	2.54	48868	12279	214165	509607	10.43
1947	75-79	0.08787	0.35991	2.49	36588	13169	149870	295442	8.07
1947	80-84	0.12052	0.45958	2.42	23420	10763	89306	145572	6.22
1947	85-89	0.20011	0.64524	2.25	12656	8166	40809	56266	4.45
1947	90-94	0.26918	0.75538	2.1	4490	3392	12600	15457	3.44
1947	95-99	0.37110	0.85982	1.88	1098	944	2545	2857	2.60
1947	100-104	0.48584	0.92568	1.66	154	143	293	312	2.03
1947	105-109	0.60267	0.96121	1.46	11	11	18	19	1.65
1947	110+	0.69428	1.00000	1.44	0	0	1	1	1.44
1948	0	0.04193	0.04050	0.16	100000	4050	96588	6448091	64.48
1948	1-4	0.00161	0.00641	1.45	95950	615	382230	6351503	66.20
1948	5-9	0.00082	0.00411	2.71	95335	392	475780	5969273	62.61
1948	10-14	0.00080	0.00400	2.67	94944	380	473834	5493492	57.86
1948	15-19	0.00181	0.00901	2.75	94564	852	470903	5019658	53.08
1948	20-24	0.00241	0.01199	2.51	93712	1123	465762	4548756	48.54
1948	25-29	0.00247	0.01229	2.53	92589	1138	460137	4082993	44.10
1948	30-34	0.00308	0.01531	2.59	91451	1400	453886	3622856	39.62
1948	35-39	0.00435	0.02153	2.62	90050	1939	445638	3168970	35.19
1948	40-44	0.00617	0.03040	2.62	88111	2678	434178	2723332	30.91
1948	45-49	0.00841	0.04121	2.63	85433	3520	418812	2289155	26.79
1948	50-54	0.01417	0.06854	2.62	81913	5614	396182	1870343	22.83
1948	55-59	0.02043	0.09728	2.55	76299	7423	363332	1474161	19.32
1948	60-64	0.02516	0.11831	2.49	68876	8149	323914	1110828	16.13
1948	65-69	0.03998	0.18247	2.61	60727	11081	277183	786915	12.96
1948	70-74	0.05894	0.25707	2.52	49647	12762	216550	509732	10.27
1948	75-79	0.09004	0.36600	2.45	36884	13500	149932	293182	7.95
1948	80-84	0.12412	0.47007	2.42	23384	10992	88558	143250	6.13
1948	85-89	0.20588	0.65336	2.2	12392	8097	39326	54693	4.41
1948	90-94	0.25865	0.73975	2.11	4296	3178	12285	15367	3.58
1948	95-99	0.34883	0.84033	1.92	1118	939	2693	3082	2.76
1948	100-104	0.45112	0.90891	1.72	178	162	360	389	2.18
1948	105-109	0.55800	0.94960	1.53	16	15	28	29	1.78
1948	110+	0.64386	1.00000	1.55	1	1	1	1	1.55
1949	0	0.04838	0.04652	0.17	100000	4652	96161	6448317	64.48
1949	1-4	0.00159	0.00632	1.45	95348	602	379857	6352156	66.62
1949	5-9	0.00076	0.00380	2.58	94745	360	472855	5972298	63.04
1949	10-14	0.00077	0.00384	2.66	94385	363	471078	5499443	58.27
1949	15-19	0.00159	0.00792	2.73	94023	745	468424	5028365	53.48
1949	20-24	0.00217	0.01078	2.5	93278	1006	463875	4559941	48.89
1949	25-29	0.00219	0.01090	2.58	92272	1006	458928	4096066	44.39
1949	30-34	0.00323	0.01603	2.6	91267	1463	452822	3637139	39.85
1949	35-39	0.00395	0.01957	2.58	89804	1757	444759	3184317	35.46
1949	40-44	0.00596	0.02940	2.67	88046	2589	434197	2739558	31.11
1949	45-49	0.00855	0.04188	2.55	85457	3579	418511	2305361	26.98
1949	50-54	0.01303	0.06319	2.61	81878	5173	397021	1886850	23.04
1949	55-59	0.01909	0.09127	2.59	76705	7001	366639	1489829	19.42
1949	60-64	0.02611	0.12259	2.52	69704	8545	327287	1123190	16.11
1949	65-69	0.03868	0.17703	2.61	61159	10827	279941	795902	13.01
1949	70-74	0.05858	0.25549	2.5	50332	12860	219514	515962	10.25
1949	75-79	0.08932	0.36416	2.47	37473	13646	152783	296447	7.91
1949	80-84	0.13469	0.49894	2.4	23826	11888	88259	143665	6.03
1949	85-89	0.19176	0.62471	2.21	11939	7458	38893	55405	4.64
1949	90-94	0.25147	0.72817	2.11	4480	3263	12974	16512	3.69
1949	95-99	0.33014	0.82186	1.95	1218	1001	3032	3538	2.91
1949	100-104	0.41941	0.89038	1.77	217	193	461	506	2.33
1949	105-109	0.51440	0.93497	1.6	24	22	43	46	1.93
1949	110+	0.59174	1.00000	1.69	2	2	3	3	1.69
1950	0	0.04234	0.04088	0.16	100000	4088	96560	6468518	64.69
1950	1-4	0.00179	0.00715	1.47	95912	686	381916	6371957	66.44
1950	5-9	0.00075	0.00374	2.41	95226	356	475208	5990041	62.90
1950	10-14	0.00078	0.00388	2.69	94870	368	473500	5514833	58.13
