PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TX,f,1941,0,0.05537,0.05304,0.21,100000,5304,95799,6551710,65.52
TX,f,1941,1,0.00720,0.00717,0.5,94696,679,94356,6455910,68.18
TX,f,1941,2,0.00318,0.00317,0.5,94016,298,93867,6361554,67.66
TX,f,1941,3,0.00222,0.00221,0.5,93718,208,93614,6267687,66.88
TX,f,1941,4,0.00137,0.00137,0.5,93510,128,93446,6174073,66.03
TX,f,1941,5,0.00111,0.00111,0.5,93382,103,93331,6080627,65.12
TX,f,1941,6,0.00106,0.00106,0.5,93279,99,93229,5987296,64.19
TX,f,1941,7,0.00103,0.00103,0.5,93180,96,93132,5894067,63.25
TX,f,1941,8,0.00099,0.00099,0.5,93084,93,93038,5800935,62.32
TX,f,1941,9,0.00092,0.00092,0.5,92991,86,92949,5707897,61.38
TX,f,1941,10,0.00086,0.00086,0.5,92906,80,92866,5614948,60.44
TX,f,1941,11,0.00087,0.00087,0.5,92826,81,92785,5522083,59.49
TX,f,1941,12,0.00098,0.00097,0.5,92745,90,92700,5429298,58.54
TX,f,1941,13,0.00116,0.00116,0.5,92654,107,92601,5336598,57.60
TX,f,1941,14,0.00141,0.00140,0.5,92547,130,92482,5243997,56.66
TX,f,1941,15,0.00172,0.00171,0.5,92417,158,92338,5151515,55.74
TX,f,1941,16,0.00198,0.00198,0.5,92258,182,92167,5059178,54.84
TX,f,1941,17,0.00218,0.00218,0.5,92076,201,91976,4967010,53.94
TX,f,1941,18,0.00237,0.00237,0.5,91875,218,91767,4875035,53.06
TX,f,1941,19,0.00241,0.00241,0.5,91658,221,91547,4783268,52.19
TX,f,1941,20,0.00247,0.00247,0.5,91437,226,91324,4691721,51.31
TX,f,1941,21,0.00260,0.00260,0.5,91211,237,91092,4600397,50.44
TX,f,1941,22,0.00275,0.00275,0.5,90974,250,90849,4509305,49.57
TX,f,1941,23,0.00290,0.00289,0.5,90724,263,90593,4418456,48.70
TX,f,1941,24,0.00293,0.00292,0.5,90461,264,90329,4327863,47.84
TX,f,1941,25,0.00296,0.00295,0.5,90197,266,90064,4237534,46.98
TX,f,1941,26,0.00292,0.00291,0.5,89931,262,89800,4147470,46.12
TX,f,1941,27,0.00295,0.00294,0.5,89669,264,89537,4057670,45.25
TX,f,1941,28,0.00307,0.00306,0.5,89405,274,89268,3968133,44.38
TX,f,1941,29,0.00315,0.00314,0.5,89131,280,88991,3878865,43.52
TX,f,1941,30,0.00323,0.00322,0.5,88851,287,88708,3789874,42.65
TX,f,1941,31,0.00328,0.00328,0.5,88565,290,88420,3701166,41.79
TX,f,1941,32,0.00357,0.00356,0.5,88274,314,88117,3612746,40.93
TX,f,1941,33,0.00377,0.00376,0.5,87960,331,87795,3524629,40.07
TX,f,1941,34,0.00384,0.00383,0.5,87629,336,87462,3436834,39.22
TX,f,1941,35,0.00404,0.00403,0.5,87294,352,87118,3349373,38.37
TX,f,1941,36,0.00403,0.00403,0.5,86942,350,86767,3262255,37.52
TX,f,1941,37,0.00423,0.00423,0.5,86592,366,86409,3175488,36.67
TX,f,1941,38,0.00459,0.00458,0.5,86226,395,86028,3089080,35.83
TX,f,1941,39,0.00464,0.00463,0.5,85831,397,85632,3003051,34.99
TX,f,1941,40,0.00455,0.00454,0.5,85434,388,85240,2917419,34.15
TX,f,1941,41,0.00468,0.00467,0.5,85046,397,84848,2832179,33.30
TX,f,1941,42,0.00553,0.00552,0.5,84649,467,84416,2747331,32.46
TX,f,1941,43,0.00592,0.00590,0.5,84182,497,83934,2662916,31.63
TX,f,1941,44,0.00586,0.00585,0.5,83686,489,83441,2578982,30.82
TX,f,1941,45,0.00622,0.00620,0.5,83196,516,82938,2495541,30.00
TX,f,1941,46,0.00612,0.00610,0.5,82680,504,82428,2412602,29.18
TX,f,1941,47,0.00652,0.00650,0.5,82176,534,81909,2330174,28.36
TX,f,1941,48,0.00709,0.00707,0.5,81642,577,81354,2248265,27.54
TX,f,1941,49,0.00727,0.00725,0.5,81065,588,80771,2166911,26.73
TX,f,1941,50,0.00783,0.00780,0.5,80477,628,80164,2086140,25.92
TX,f,1941,51,0.00839,0.00835,0.5,79850,667,79516,2005976,25.12
TX,f,1941,52,0.00970,0.00965,0.5,79183,764,78801,1926460,24.33
TX,f,1941,53,0.01075,0.01069,0.5,78419,838,78000,1847659,23.56
TX,f,1941,54,0.01108,0.01102,0.5,77581,855,77153,1769659,22.81
TX,f,1941,55,0.01174,0.01167,0.5,76726,895,76278,1692506,22.06
TX,f,1941,56,0.01188,0.01181,0.5,75830,896,75383,1616228,21.31
TX,f,1941,57,0.01272,0.01264,0.5,74935,947,74461,1540845,20.56
TX,f,1941,58,0.01400,0.01390,0.5,73987,1029,73473,1466384,19.82
TX,f,1941,59,0.01414,0.01404,0.5,72959,1025,72447,1392911,19.09
TX,f,1941,60,0.01442,0.01432,0.5,71934,1030,71419,1320464,18.36
TX,f,1941,61,0.01508,0.01497,0.5,70904,1061,70373,1249045,17.62
TX,f,1941,62,0.01811,0.01795,0.5,69843,1254,69216,1178671,16.88
TX,f,1941,63,0.02123,0.02101,0.5,68589,1441,67868,1109456,16.18
TX,f,1941,64,0.02155,0.02132,0.5,67148,1432,66432,1041587,15.51
TX,f,1941,65,0.02285,0.02259,0.5,65716,1484,64974,975155,14.84
TX,f,1941,66,0.02297,0.02271,0.5,64232,1458,63503,910181,14.17
TX,f,1941,67,0.02653,0.02619,0.5,62773,1644,61951,846678,13.49
