TX: TX, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04484	0.04325	0.18	100000	4325	96447	6844737	68.45
1941-1949	1	0.00521	0.00519	0.5	95675	497	95426	6748290	70.53
1941-1949	2	0.00241	0.00240	0.5	95178	229	95064	6652863	69.90
1941-1949	3	0.00157	0.00156	0.5	94949	149	94875	6557800	69.07
1941-1949	4	0.00125	0.00125	0.5	94801	118	94742	6462925	68.17
1941-1949	5	0.00103	0.00103	0.5	94682	97	94634	6368183	67.26
1941-1949	6	0.00089	0.00089	0.5	94585	84	94543	6273550	66.33
1941-1949	7	0.00078	0.00078	0.5	94501	74	94464	6179007	65.39
1941-1949	8	0.00070	0.00070	0.5	94427	66	94394	6084543	64.44
1941-1949	9	0.00064	0.00064	0.5	94361	60	94331	5990149	63.48
1941-1949	10	0.00061	0.00061	0.5	94301	58	94272	5895819	62.52
1941-1949	11	0.00063	0.00063	0.5	94243	60	94213	5801547	61.56
1941-1949	12	0.00071	0.00071	0.5	94183	67	94150	5707334	60.60
1941-1949	13	0.00083	0.00083	0.5	94117	78	94078	5613184	59.64
1941-1949	14	0.00100	0.00100	0.5	94039	94	93992	5519106	58.69
1941-1949	15	0.00120	0.00120	0.5	93945	113	93889	5425115	57.75
1941-1949	16	0.00138	0.00138	0.5	93832	130	93768	5331226	56.82
1941-1949	17	0.00154	0.00154	0.5	93703	144	93630	5237458	55.89
1941-1949	18	0.00168	0.00168	0.5	93558	157	93480	5143828	54.98
1941-1949	19	0.00180	0.00180	0.5	93401	168	93317	5050348	54.07
1941-1949	20	0.00191	0.00191	0.5	93233	178	93144	4957032	53.17
1941-1949	21	0.00200	0.00199	0.5	93054	186	92962	4863888	52.27
1941-1949	22	0.00205	0.00205	0.5	92869	191	92774	4770926	51.37
1941-1949	23	0.00209	0.00209	0.5	92678	194	92581	4678153	50.48
1941-1949	24	0.00211	0.00210	0.5	92485	195	92387	4585571	49.58
1941-1949	25	0.00210	0.00210	0.5	92290	194	92193	4493184	48.69
1941-1949	26	0.00211	0.00211	0.5	92096	194	91999	4400991	47.79
1941-1949	27	0.00214	0.00213	0.5	91902	196	91804	4308992	46.89
1941-1949	28	0.00220	0.00219	0.5	91706	201	91605	4217188	45.99
1941-1949	29	0.00229	0.00228	0.5	91505	209	91400	4125583	45.09
1941-1949	30	0.00240	0.00240	0.5	91296	219	91186	4034183	44.19
1941-1949	31	0.00250	0.00250	0.5	91077	228	90963	3942996	43.29
1941-1949	32	0.00261	0.00261	0.5	90849	237	90731	3852033	42.40
1941-1949	33	0.00273	0.00273	0.5	90613	247	90489	3761302	41.51
1941-1949	34	0.00285	0.00285	0.5	90366	257	90237	3670813	40.62
1941-1949	35	0.00301	0.00300	0.5	90108	271	89973	3580576	39.74
1941-1949	36	0.00317	0.00316	0.5	89838	284	89696	3490603	38.85
1941-1949	37	0.00335	0.00334	0.5	89553	299	89404	3400907	37.98
1941-1949	38	0.00356	0.00355	0.5	89254	317	89096	3311504	37.10
1941-1949	39	0.00379	0.00378	0.5	88937	336	88769	3222408	36.23
1941-1949	40	0.00401	0.00400	0.5	88601	354	88424	3133639	35.37
1941-1949	41	0.00420	0.00419	0.5	88247	369	88062	3045215	34.51
1941-1949	42	0.00445	0.00444	0.5	87877	390	87682	2957153	33.65
1941-1949	43	0.00475	0.00474	0.5	87487	414	87280	2869471	32.80
1941-1949	44	0.00501	0.00500	0.5	87073	435	86855	2782191	31.95
1941-1949	45	0.00532	0.00531	0.5	86637	460	86408	2695335	31.11
1941-1949	46	0.00562	0.00560	0.5	86178	483	85936	2608928	30.27
1941-1949	47	0.00593	0.00592	0.5	85695	507	85441	2522991	29.44
