PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TX,m,1941,0,0.06814,0.06474,0.23,100000,6474,95002,6064301,60.64
TX,m,1941,1,0.00789,0.00786,0.5,93526,735,93159,5969299,63.82
TX,m,1941,2,0.00333,0.00332,0.5,92791,308,92637,5876141,63.33
TX,m,1941,3,0.00242,0.00242,0.5,92483,224,92371,5783504,62.54
TX,m,1941,4,0.00145,0.00145,0.5,92259,134,92192,5691133,61.69
TX,m,1941,5,0.00124,0.00124,0.5,92125,114,92068,5598941,60.78
TX,m,1941,6,0.00128,0.00128,0.5,92011,118,91952,5506872,59.85
TX,m,1941,7,0.00132,0.00132,0.5,91893,122,91832,5414920,58.93
TX,m,1941,8,0.00132,0.00132,0.5,91772,121,91711,5323088,58.00
TX,m,1941,9,0.00121,0.00121,0.5,91651,111,91595,5231376,57.08
TX,m,1941,10,0.00109,0.00109,0.5,91540,100,91490,5139781,56.15
TX,m,1941,11,0.00106,0.00106,0.5,91440,97,91392,5048291,55.21
TX,m,1941,12,0.00114,0.00114,0.5,91343,104,91291,4956899,54.27
TX,m,1941,13,0.00130,0.00130,0.5,91239,118,91180,4865608,53.33
TX,m,1941,14,0.00154,0.00154,0.5,91120,140,91050,4774428,52.40
TX,m,1941,15,0.00186,0.00186,0.5,90980,170,90895,4683378,51.48
TX,m,1941,16,0.00215,0.00215,0.5,90811,195,90713,4592483,50.57
TX,m,1941,17,0.00241,0.00241,0.5,90615,218,90506,4501770,49.68
TX,m,1941,18,0.00264,0.00264,0.5,90397,239,90278,4411264,48.80
TX,m,1941,19,0.00279,0.00279,0.5,90158,251,90033,4320986,47.93
TX,m,1941,20,0.00297,0.00297,0.5,89907,267,89774,4230953,47.06
TX,m,1941,21,0.00320,0.00320,0.5,89640,287,89497,4141179,46.20
TX,m,1941,22,0.00335,0.00334,0.5,89354,299,89204,4051682,45.34
TX,m,1941,23,0.00349,0.00348,0.5,89055,310,88900,3962478,44.49
TX,m,1941,24,0.00353,0.00352,0.5,88745,313,88589,3873578,43.65
TX,m,1941,25,0.00346,0.00346,0.5,88432,306,88279,3784989,42.80
TX,m,1941,26,0.00338,0.00337,0.5,88126,297,87978,3696710,41.95
TX,m,1941,27,0.00338,0.00337,0.5,87829,296,87681,3608732,41.09
TX,m,1941,28,0.00346,0.00346,0.5,87533,303,87382,3521051,40.23
TX,m,1941,29,0.00359,0.00358,0.5,87230,312,87074,3433669,39.36
TX,m,1941,30,0.00375,0.00374,0.5,86918,325,86755,3346595,38.50
TX,m,1941,31,0.00385,0.00384,0.5,86593,333,86427,3259839,37.65
TX,m,1941,32,0.00418,0.00417,0.5,86260,360,86080,3173413,36.79
TX,m,1941,33,0.00439,0.00438,0.5,85900,377,85712,3087333,35.94
TX,m,1941,34,0.00447,0.00446,0.5,85524,381,85333,3001621,35.10
TX,m,1941,35,0.00466,0.00465,0.5,85142,396,84944,2916288,34.25
TX,m,1941,36,0.00465,0.00463,0.5,84746,393,84550,2831344,33.41
TX,m,1941,37,0.00494,0.00493,0.5,84353,416,84145,2746794,32.56
TX,m,1941,38,0.00548,0.00547,0.5,83938,459,83708,2662648,31.72
TX,m,1941,39,0.00567,0.00565,0.5,83479,472,83243,2578940,30.89
TX,m,1941,40,0.00565,0.00564,0.5,83007,468,82773,2495697,30.07
TX,m,1941,41,0.00591,0.00589,0.5,82539,486,82296,2412925,29.23
TX,m,1941,42,0.00714,0.00712,0.5,82053,584,81761,2330629,28.40
TX,m,1941,43,0.00791,0.00788,0.5,81469,642,81148,2248868,27.60
TX,m,1941,44,0.00823,0.00819,0.5,80827,662,80496,2167720,26.82
TX,m,1941,45,0.00899,0.00895,0.5,80165,717,79806,2087224,26.04
TX,m,1941,46,0.00901,0.00897,0.5,79447,712,79091,2007418,25.27
TX,m,1941,47,0.00982,0.00977,0.5,78735,769,78350,1928327,24.49
TX,m,1941,48,0.01084,0.01078,0.5,77966,841,77545,1849977,23.73
TX,m,1941,49,0.01124,0.01117,0.5,77125,862,76694,1772431,22.98
