UT: UT, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03128	0.03046	0.14	100000	3046	97367	6674719	66.75
1941	1-4	0.00207	0.00824	1.5	96954	799	385818	6577352	67.84
1941	5-9	0.00112	0.00561	2.8	96156	539	479595	6191534	64.39
1941	10-14	0.00106	0.00529	2.52	95617	506	476830	5711939	59.74
1941	15-19	0.00179	0.00892	2.72	95110	849	473615	5235109	55.04
1941	20-24	0.00239	0.01186	2.47	94262	1118	468479	4761493	50.51
1941	25-29	0.00169	0.00840	2.46	93144	782	463732	4293014	46.09
1941	30-34	0.00271	0.01349	2.72	92362	1246	458967	3829282	41.46
1941	35-39	0.00378	0.01875	2.57	91116	1708	451423	3370316	36.99
1941	40-44	0.00439	0.02173	2.65	89407	1943	442461	2918893	32.65
1941	45-49	0.00721	0.03546	2.67	87464	3102	430094	2476432	28.31
1941	50-54	0.01114	0.05427	2.63	84362	4578	410959	2046338	24.26
1941	55-59	0.01510	0.07285	2.61	79784	5812	385033	1635379	20.50
1941	60-64	0.02204	0.10470	2.62	73972	7745	351422	1250347	16.90
1941	65-69	0.03288	0.15263	2.65	66227	10108	307426	898924	13.57
1941	70-74	0.05462	0.24141	2.6	56119	13548	248022	591499	10.54
1941	75-79	0.08578	0.35614	2.62	42571	15161	176749	343477	8.07
1941	80-84	0.13717	0.50248	2.34	27410	13773	100409	166728	6.08
1941	85-89	0.18187	0.60582	2.25	13637	8261	45425	66319	4.86
1941	90-94	0.23788	0.70654	2.13	5375	3798	15966	20893	3.89
1941	95-99	0.30548	0.79538	1.99	1577	1255	4107	4927	3.12
1941	100-104	0.38342	0.86566	1.83	323	279	729	820	2.54
1941	105-109	0.46862	0.91563	1.67	43	40	85	92	2.11
1941	110+	0.53889	1.00000	1.86	4	4	7	7	1.86
1942	0	0.03628	0.03519	0.15	100000	3519	97005	6613991	66.14
1942	1-4	0.00270	0.01072	1.62	96481	1034	383465	6516987	67.55
