UT: UT, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02602	0.02544	0.13	100000	2544	97776	7096087	70.96
1941-1949	1	0.00299	0.00299	0.5	97456	291	97311	6998311	71.81
1941-1949	2	0.00173	0.00173	0.5	97165	168	97081	6901000	71.02
1941-1949	3	0.00135	0.00135	0.5	96997	131	96932	6803919	70.15
1941-1949	4	0.00075	0.00075	0.5	96866	72	96830	6706988	69.24
1941-1949	5	0.00064	0.00064	0.5	96794	62	96762	6610158	68.29
1941-1949	6	0.00071	0.00071	0.5	96731	69	96697	6513396	67.33
1941-1949	7	0.00076	0.00076	0.5	96663	74	96626	6416699	66.38
1941-1949	8	0.00079	0.00079	0.5	96589	76	96551	6320073	65.43
1941-1949	9	0.00078	0.00078	0.5	96513	76	96475	6223522	64.48
1941-1949	10	0.00076	0.00076	0.5	96437	74	96401	6127046	63.53
1941-1949	11	0.00075	0.00075	0.5	96364	72	96328	6030646	62.58
1941-1949	12	0.00076	0.00076	0.5	96291	73	96255	5934318	61.63
1941-1949	13	0.00078	0.00078	0.5	96218	75	96181	5838063	60.68
1941-1949	14	0.00082	0.00082	0.5	96143	79	96104	5741883	59.72
1941-1949	15	0.00087	0.00087	0.5	96064	84	96022	5645779	58.77
1941-1949	16	0.00093	0.00093	0.5	95980	89	95936	5549757	57.82
1941-1949	17	0.00098	0.00098	0.5	95892	94	95845	5453821	56.87
1941-1949	18	0.00104	0.00104	0.5	95798	99	95748	5357976	55.93
1941-1949	19	0.00110	0.00110	0.5	95699	105	95646	5262228	54.99
1941-1949	20	0.00116	0.00116	0.5	95593	111	95538	5166582	54.05
1941-1949	21	0.00122	0.00122	0.5	95482	116	95424	5071044	53.11
1941-1949	22	0.00125	0.00125	0.5	95366	119	95307	4975619	52.17
1941-1949	23	0.00127	0.00127	0.5	95247	121	95186	4880313	51.24
1941-1949	24	0.00128	0.00128	0.5	95126	122	95065	4785126	50.30
1941-1949	25	0.00128	0.00128	0.5	95004	122	94943	4690061	49.37
1941-1949	26	0.00129	0.00129	0.5	94882	122	94821	4595118	48.43
1941-1949	27	0.00130	0.00130	0.5	94760	123	94698	4500297	47.49
1941-1949	28	0.00132	0.00132	0.5	94637	125	94574	4405599	46.55
1941-1949	29	0.00135	0.00135	0.5	94512	128	94448	4311024	45.61
1941-1949	30	0.00140	0.00140	0.5	94384	132	94318	4216576	44.67
1941-1949	31	0.00148	0.00147	0.5	94252	139	94183	4122258	43.74
1941-1949	32	0.00158	0.00158	0.5	94113	149	94039	4028076	42.80
1941-1949	33	0.00172	0.00172	0.5	93964	162	93883	3934037	41.87
1941-1949	34	0.00191	0.00191	0.5	93803	179	93713	3840153	40.94
1941-1949	35	0.00214	0.00213	0.5	93624	200	93524	3746440	40.02
1941-1949	36	0.00236	0.00236	0.5	93424	220	93314	3652917	39.10
1941-1949	37	0.00258	0.00257	0.5	93204	240	93084	3559603	38.19
