UT: UT, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03879	0.03755	0.15	100000	3755	96805	6367097	63.67
1941-1944	1	0.00372	0.00371	0.5	96245	357	96067	6270292	65.15
1941-1944	2	0.00257	0.00257	0.5	95888	246	95765	6174225	64.39
1941-1944	3	0.00252	0.00252	0.5	95642	241	95522	6078460	63.55
1941-1944	4	0.00130	0.00130	0.5	95402	124	95339	5982938	62.71
1941-1944	5	0.00107	0.00107	0.5	95277	102	95226	5887599	61.79
1941-1944	6	0.00119	0.00119	0.5	95175	113	95119	5792372	60.86
1941-1944	7	0.00128	0.00128	0.5	95062	122	95001	5697254	59.93
1941-1944	8	0.00134	0.00134	0.5	94941	127	94877	5602252	59.01
1941-1944	9	0.00135	0.00135	0.5	94813	128	94750	5507375	58.09
1941-1944	10	0.00132	0.00132	0.5	94686	125	94623	5412626	57.16
1941-1944	11	0.00131	0.00131	0.5	94561	124	94499	5318002	56.24
1941-1944	12	0.00135	0.00135	0.5	94437	127	94373	5223503	55.31
1941-1944	13	0.00143	0.00143	0.5	94310	135	94242	5129130	54.39
1941-1944	14	0.00155	0.00155	0.5	94175	146	94102	5034888	53.46
1941-1944	15	0.00172	0.00172	0.5	94029	162	93948	4940786	52.55
1941-1944	16	0.00191	0.00191	0.5	93867	179	93778	4846838	51.63
1941-1944	17	0.00213	0.00213	0.5	93688	199	93589	4753060	50.73
1941-1944	18	0.00239	0.00238	0.5	93489	223	93378	4659472	49.84
1941-1944	19	0.00268	0.00267	0.5	93266	249	93141	4566094	48.96
1941-1944	20	0.00299	0.00298	0.5	93017	277	92878	4472953	48.09
1941-1944	21	0.00323	0.00322	0.5	92739	299	92590	4380075	47.23
1941-1944	22	0.00332	0.00332	0.5	92440	307	92287	4287485	46.38
1941-1944	23	0.00328	0.00328	0.5	92134	302	91983	4195198	45.53
1941-1944	24	0.00310	0.00310	0.5	91832	285	91689	4103215	44.68
1941-1944	25	0.00278	0.00277	0.5	91547	254	91420	4011525	43.82
1941-1944	26	0.00254	0.00253	0.5	91293	231	91178	3920105	42.94
1941-1944	27	0.00244	0.00244	0.5	91062	222	90951	3828927	42.05
1941-1944	28	0.00249	0.00249	0.5	90840	226	90727	3737976	41.15
1941-1944	29	0.00271	0.00270	0.5	90614	245	90491	3647249	40.25
1941-1944	30	0.00306	0.00306	0.5	90369	276	90231	3556758	39.36
