PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VA,m,1941-1949,0,0.05324,0.05104,0.19,100000,5104,95855,6141981,61.42
VA,m,1941-1949,1,0.00424,0.00423,0.5,94896,402,94696,6046125,63.71
VA,m,1941-1949,2,0.00243,0.00243,0.5,94495,229,94380,5951430,62.98
VA,m,1941-1949,3,0.00200,0.00200,0.5,94266,189,94171,5857049,62.13
VA,m,1941-1949,4,0.00137,0.00137,0.5,94077,129,94013,5762878,61.26
VA,m,1941-1949,5,0.00114,0.00114,0.5,93948,107,93895,5668865,60.34
VA,m,1941-1949,6,0.00109,0.00109,0.5,93841,102,93790,5574970,59.41
VA,m,1941-1949,7,0.00104,0.00104,0.5,93739,98,93690,5481180,58.47
VA,m,1941-1949,8,0.00099,0.00099,0.5,93642,92,93595,5387490,57.53
VA,m,1941-1949,9,0.00093,0.00093,0.5,93549,87,93506,5293895,56.59
VA,m,1941-1949,10,0.00088,0.00088,0.5,93462,82,93421,5200389,55.64
VA,m,1941-1949,11,0.00088,0.00088,0.5,93380,82,93339,5106968,54.69
VA,m,1941-1949,12,0.00095,0.00095,0.5,93298,88,93254,5013629,53.74
VA,m,1941-1949,13,0.00108,0.00108,0.5,93210,101,93160,4920374,52.79
VA,m,1941-1949,14,0.00127,0.00127,0.5,93110,118,93050,4827214,51.84
VA,m,1941-1949,15,0.00151,0.00150,0.5,92991,140,92921,4734164,50.91
VA,m,1941-1949,16,0.00174,0.00174,0.5,92851,161,92771,4641243,49.99
VA,m,1941-1949,17,0.00196,0.00196,0.5,92690,181,92599,4548472,49.07
VA,m,1941-1949,18,0.00218,0.00218,0.5,92509,201,92408,4455873,48.17
VA,m,1941-1949,19,0.00242,0.00242,0.5,92307,223,92196,4363465,47.27
VA,m,1941-1949,20,0.00268,0.00267,0.5,92084,246,91961,4271269,46.38
VA,m,1941-1949,21,0.00290,0.00289,0.5,91838,266,91705,4179308,45.51
VA,m,1941-1949,22,0.00304,0.00303,0.5,91572,278,91433,4087603,44.64
VA,m,1941-1949,23,0.00310,0.00310,0.5,91294,283,91153,3996170,43.77
VA,m,1941-1949,24,0.00312,0.00311,0.5,91012,283,90870,3905017,42.91
VA,m,1941-1949,25,0.00310,0.00309,0.5,90728,280,90588,3814147,42.04
VA,m,1941-1949,26,0.00309,0.00309,0.5,90448,279,90308,3723558,41.17
VA,m,1941-1949,27,0.00313,0.00313,0.5,90169,282,90028,3633250,40.29
VA,m,1941-1949,28,0.00322,0.00322,0.5,89887,289,89742,3543223,39.42
VA,m,1941-1949,29,0.00335,0.00335,0.5,89597,300,89448,3453481,38.54
VA,m,1941-1949,30,0.00352,0.00351,0.5,89298,313,89141,3364033,37.67
VA,m,1941-1949,31,0.00368,0.00368,0.5,88984,327,88821,3274892,36.80
VA,m,1941-1949,32,0.00388,0.00387,0.5,88657,343,88486,3186071,35.94
VA,m,1941-1949,33,0.00411,0.00410,0.5,88314,362,88133,3097586,35.07
VA,m,1941-1949,34,0.00437,0.00436,0.5,87952,383,87760,3009453,34.22
VA,m,1941-1949,35,0.00468,0.00467,0.5,87569,409,87364,2921693,33.36
VA,m,1941-1949,36,0.00499,0.00498,0.5,87160,434,86943,2834328,32.52
VA,m,1941-1949,37,0.00533,0.00532,0.5,86726,461,86495,2747385,31.68
VA,m,1941-1949,38,0.00575,0.00573,0.5,86265,495,86017,2660890,30.85
VA,m,1941-1949,39,0.00618,0.00616,0.5,85770,528,85506,2574872,30.02
VA,m,1941-1949,40,0.00659,0.00657,0.5,85242,560,84962,2489366,29.20
VA,m,1941-1949,41,0.00696,0.00693,0.5,84682,587,84388,2404404,28.39
VA,m,1941-1949,42,0.00745,0.00742,0.5,84095,624,83783,2320016,27.59
VA,m,1941-1949,43,0.00804,0.00801,0.5,83471,669,83137,2236233,26.79
VA,m,1941-1949,44,0.00862,0.00859,0.5,82802,711,82447,2153096,26.00
VA,m,1941-1949,45,0.00932,0.00927,0.5,82091,761,81711,2070649,25.22
VA,m,1941-1949,46,0.00999,0.00994,0.5,81330,809,80926,1988939,24.46
VA,m,1941-1949,47,0.01075,0.01069,0.5,80521,861,80091,1908013,23.70
VA,m,1941-1949,48,0.01176,0.01169,0.5,79660,931,79195,1827922,22.95
VA,m,1941-1949,49,0.01301,0.01292,0.5,78729,1018,78221,1748727,22.21
VA,m,1941-1949,50,0.01448,0.01437,0.5,77712,1117,77153,1670506,21.50
VA,m,1941-1949,51,0.01565,0.01553,0.5,76595,1189,76000,1593353,20.80
VA,m,1941-1949,52,0.01682,0.01668,0.5,75405,1258,74777,1517353,20.12
VA,m,1941-1949,53,0.01812,0.01796,0.5,74148,1331,73482,1442576,19.46
VA,m,1941-1949,54,0.01936,0.01917,0.5,72816,1396,72119,1369094,18.80
VA,m,1941-1949,55,0.02071,0.02050,0.5,71421,1464,70689,1296975,18.16
VA,m,1941-1949,56,0.02202,0.02178,0.5,69957,1524,69195,1226287,17.53
VA,m,1941-1949,57,0.02342,0.02315,0.5,68433,1584,67641,1157092,16.91
VA,m,1941-1949,58,0.02510,0.02479,0.5,66849,1657,66020,1089451,16.30
VA,m,1941-1949,59,0.02688,0.02653,0.5,65192,1729,64327,1023430,15.70
VA,m,1941-1949,60,0.02882,0.02841,0.5,63463,1803,62561,959103,15.11
VA,m,1941-1949,61,0.03049,0.03003,0.5,61660,1851,60734,896542,14.54
VA,m,1941-1949,62,0.03241,0.03190,0.5,59808,1908,58855,835808,13.97
VA,m,1941-1949,63,0.03489,0.03429,0.5,57901,1985,56908,776953,13.42
VA,m,1941-1949,64,0.03750,0.03681,0.5,55915,2058,54886,720045,12.88
VA,m,1941-1949,65,0.04084,0.04002,0.5,53857,2155,52780,665159,12.35
VA,m,1941-1949,66,0.04362,0.04269,0.5,51702,2207,50598,612379,11.84
VA,m,1941-1949,67,0.04606,0.04502,0.5,49495,2228,48381,561781,11.35
VA,m,1941-1949,68,0.04941,0.04822,0.5,47266,2279,46127,513400,10.86
VA,m,1941-1949,69,0.05288,0.05152,0.5,44987,2318,43829,467273,10.39
VA,m,1941-1949,70,0.05664,0.05508,0.5,42670,2350,41495,423444,9.92
VA,m,1941-1949,71,0.05981,0.05808,0.5,40320,2342,39149,381950,9.47
VA,m,1941-1949,72,0.06370,0.06174,0.5,37978,2345,36806,342801,9.03
VA,m,1941-1949,73,0.06867,0.06639,0.5,35633,2366,34450,305995,8.59
VA,m,1941-1949,74,0.07340,0.07081,0.5,33268,2356,32090,271545,8.16
VA,m,1941-1949,75,0.07907,0.07607,0.5,30912,2351,29736,239455,7.75
VA,m,1941-1949,76,0.08500,0.08154,0.5,28561,2329,27396,209719,7.34
VA,m,1941-1949,77,0.09157,0.08757,0.5,26232,2297,25083,182323,6.95
VA,m,1941-1949,78,0.10025,0.09546,0.5,23935,2285,22792,157239,6.57
VA,m,1941-1949,79,0.10963,0.10394,0.5,21650,2250,20525,134447,6.21
VA,m,1941-1949,80,0.12147,0.11452,0.5,19400,2222,18289,113922,5.87
VA,m,1941-1949,81,0.13306,0.12476,0.5,17178,2143,16106,95633,5.57
VA,m,1941-1949,82,0.14517,0.13534,0.5,15035,2035,14017,79527,5.29
VA,m,1941-1949,83,0.15745,0.14596,0.5,13000,1897,12051,65509,5.04
VA,m,1941-1949,84,0.16884,0.15570,0.5,11103,1729,10238,53458,4.81
VA,m,1941-1949,85,0.17855,0.16392,0.5,9374,1537,8606,43220,4.61
VA,m,1941-1949,86,0.18789,0.17175,0.5,7837,1346,7164,34614,4.42
VA,m,1941-1949,87,0.19547,0.17807,0.5,6491,1156,5913,27450,4.23
VA,m,1941-1949,88,0.20724,0.18778,0.5,5335,1002,4834,21537,4.04
VA,m,1941-1949,89,0.21953,0.19782,0.5,4334,857,3905,16702,3.85
VA,m,1941-1949,90,0.23234,0.20815,0.5,3476,724,3114,12797,3.68
VA,m,1941-1949,91,0.24565,0.21878,0.5,2753,602,2452,9683,3.52
VA,m,1941-1949,92,0.25947,0.22968,0.5,2150,494,1903,7231,3.36
VA,m,1941-1949,93,0.27379,0.24082,0.5,1657,399,1457,5328,3.22
VA,m,1941-1949,94,0.28859,0.25220,0.5,1258,317,1099,3871,3.08
VA,m,1941-1949,95,0.30385,0.26378,0.5,940,248,816,2772,2.95
VA,m,1941-1949,96,0.31956,0.27554,0.5,692,191,597,1955,2.82
VA,m,1941-1949,97,0.33569,0.28744,0.5,502,144,430,1358,2.71
VA,m,1941-1949,98,0.35221,0.29947,0.5,357,107,304,929,2.60
VA,m,1941-1949,99,0.36910,0.31159,0.5,250,78,211,625,2.50
VA,m,1941-1949,100,0.38631,0.32377,0.5,172,56,144,413,2.40
VA,m,1941-1949,101,0.40381,0.33597,0.5,117,39,97,269,2.31
VA,m,1941-1949,102,0.42155,0.34817,0.5,77,27,64,172,2.22
VA,m,1941-1949,103,0.43950,0.36032,0.5,50,18,41,108,2.14
VA,m,1941-1949,104,0.45762,0.37241,0.5,32,12,26,67,2.07
VA,m,1941-1949,105,0.47584,0.38439,0.5,20,8,16,41,2.00
VA,m,1941-1949,106,0.49413,0.39623,0.5,12,5,10,24,1.94
VA,m,1941-1949,107,0.51244,0.40792,0.5,8,3,6,14,1.88
VA,m,1941-1949,108,0.53071,0.41941,0.5,4,2,4,8,1.83
VA,m,1941-1949,109,0.54890,0.43069,0.5,3,1,2,5,1.79
VA,m,1941-1949,110+,0.56696,1.00000,1.76,1,1,3,3,1.76
VA,m,1950-1959,0,0.03728,0.03612,0.15,100000,3612,96912,6499732,65.00
VA,m,1950-1959,1,0.00223,0.00223,0.5,96388,215,96280,6402821,66.43
VA,m,1950-1959,2,0.00134,0.00134,0.5,96173,129,96109,6306540,65.57
VA,m,1950-1959,3,0.00106,0.00106,0.5,96045,102,95994,6210431,64.66
VA,m,1950-1959,4,0.00083,0.00083,0.5,95943,79,95903,6114438,63.73
VA,m,1950-1959,5,0.00075,0.00075,0.5,95864,71,95828,6018534,62.78
VA,m,1950-1959,6,0.00066,0.00066,0.5,95792,63,95761,5922706,61.83
VA,m,1950-1959,7,0.00059,0.00059,0.5,95729,57,95701,5826945,60.87
VA,m,1950-1959,8,0.00055,0.00055,0.5,95673,52,95646,5731245,59.90
VA,m,1950-1959,9,0.00052,0.00052,0.5,95620,50,95595,5635598,58.94
VA,m,1950-1959,10,0.00051,0.00051,0.5,95570,49,95546,5540003,57.97
VA,m,1950-1959,11,0.00054,0.00054,0.5,95522,52,95496,5444457,57.00
VA,m,1950-1959,12,0.00061,0.00061,0.5,95470,58,95441,5348961,56.03
VA,m,1950-1959,13,0.00070,0.00070,0.5,95412,67,95378,5253520,55.06
VA,m,1950-1959,14,0.00084,0.00084,0.5,95345,80,95305,5158142,54.10
VA,m,1950-1959,15,0.00106,0.00106,0.5,95265,101,95214,5062837,53.14
VA,m,1950-1959,16,0.00125,0.00125,0.5,95164,119,95104,4967623,52.20
VA,m,1950-1959,17,0.00143,0.00143,0.5,95045,135,94977,4872519,51.27
VA,m,1950-1959,18,0.00159,0.00159,0.5,94909,151,94834,4777542,50.34
VA,m,1950-1959,19,0.00171,0.00171,0.5,94758,162,94677,4682709,49.42
VA,m,1950-1959,20,0.00179,0.00178,0.5,94597,169,94512,4588031,48.50
VA,m,1950-1959,21,0.00190,0.00190,0.5,94428,179,94338,4493519,47.59
VA,m,1950-1959,22,0.00191,0.00190,0.5,94248,179,94159,4399181,46.68
VA,m,1950-1959,23,0.00198,0.00198,0.5,94069,186,93976,4305022,45.76
VA,m,1950-1959,24,0.00201,0.00201,0.5,93883,189,93789,4211046,44.85
VA,m,1950-1959,25,0.00203,0.00203,0.5,93694,190,93599,4117257,43.94
VA,m,1950-1959,26,0.00202,0.00202,0.5,93504,189,93410,4023658,43.03
VA,m,1950-1959,27,0.00206,0.00206,0.5,93316,192,93219,3930248,42.12
VA,m,1950-1959,28,0.00210,0.00210,0.5,93123,195,93026,3837029,41.20
VA,m,1950-1959,29,0.00217,0.00217,0.5,92928,202,92827,3744003,40.29
VA,m,1950-1959,30,0.00228,0.00227,0.5,92726,211,92620,3651176,39.38
VA,m,1950-1959,31,0.00242,0.00241,0.5,92515,223,92403,3558556,38.46
VA,m,1950-1959,32,0.00251,0.00250,0.5,92292,231,92176,3466152,37.56
VA,m,1950-1959,33,0.00267,0.00267,0.5,92061,245,91938,3373976,36.65
VA,m,1950-1959,34,0.00288,0.00288,0.5,91815,264,91683,3282038,35.75
VA,m,1950-1959,35,0.00303,0.00302,0.5,91551,277,91413,3190355,34.85
VA,m,1950-1959,36,0.00332,0.00332,0.5,91274,303,91123,3098942,33.95
VA,m,1950-1959,37,0.00356,0.00355,0.5,90972,323,90810,3007819,33.06
VA,m,1950-1959,38,0.00391,0.00391,0.5,90649,354,90472,2917009,32.18
VA,m,1950-1959,39,0.00431,0.00430,0.5,90295,388,90101,2826537,31.30
VA,m,1950-1959,40,0.00478,0.00477,0.5,89906,429,89692,2736437,30.44
VA,m,1950-1959,41,0.00526,0.00524,0.5,89478,469,89243,2646745,29.58
VA,m,1950-1959,42,0.00564,0.00563,0.5,89009,501,88758,2557502,28.73
VA,m,1950-1959,43,0.00622,0.00620,0.5,88508,549,88233,2468744,27.89
VA,m,1950-1959,44,0.00681,0.00679,0.5,87959,597,87660,2380510,27.06
VA,m,1950-1959,45,0.00741,0.00738,0.5,87361,645,87039,2292850,26.25
VA,m,1950-1959,46,0.00799,0.00796,0.5,86717,690,86372,2205811,25.44
VA,m,1950-1959,47,0.00891,0.00887,0.5,86027,763,85645,2119439,24.64
VA,m,1950-1959,48,0.00965,0.00960,0.5,85264,819,84854,2033794,23.85
VA,m,1950-1959,49,0.01064,0.01059,0.5,84445,894,83998,1948940,23.08
VA,m,1950-1959,50,0.01164,0.01157,0.5,83551,967,83067,1864942,22.32
VA,m,1950-1959,51,0.01256,0.01248,0.5,82584,1030,82069,1781875,21.58
VA,m,1950-1959,52,0.01376,0.01367,0.5,81553,1114,80996,1699807,20.84
VA,m,1950-1959,53,0.01529,0.01518,0.5,80439,1221,79828,1618811,20.12
VA,m,1950-1959,54,0.01661,0.01647,0.5,79218,1305,78566,1538982,19.43
VA,m,1950-1959,55,0.01789,0.01773,0.5,77913,1382,77222,1460417,18.74
VA,m,1950-1959,56,0.01944,0.01925,0.5,76532,1473,75795,1383194,18.07
VA,m,1950-1959,57,0.02097,0.02075,0.5,75059,1557,74280,1307399,17.42
VA,m,1950-1959,58,0.02294,0.02268,0.5,73501,1667,72668,1233119,16.78
VA,m,1950-1959,59,0.02509,0.02478,0.5,71834,1780,70944,1160452,16.15
VA,m,1950-1959,60,0.02637,0.02603,0.5,70054,1823,69142,1089508,15.55
VA,m,1950-1959,61,0.02797,0.02759,0.5,68231,1882,67290,1020365,14.95
VA,m,1950-1959,62,0.03065,0.03019,0.5,66349,2003,65347,953075,14.36
VA,m,1950-1959,63,0.03265,0.03212,0.5,64346,2067,63312,887728,13.80
VA,m,1950-1959,64,0.03532,0.03471,0.5,62279,2162,61198,824416,13.24
VA,m,1950-1959,65,0.03817,0.03746,0.5,60117,2252,58991,763218,12.70
VA,m,1950-1959,66,0.04128,0.04044,0.5,57865,2340,56695,704227,12.17
VA,m,1950-1959,67,0.04487,0.04388,0.5,55525,2437,54307,647532,11.66
VA,m,1950-1959,68,0.04790,0.04678,0.5,53088,2484,51846,593226,11.17
VA,m,1950-1959,69,0.05069,0.04944,0.5,50605,2502,49354,541379,10.70
VA,m,1950-1959,70,0.05411,0.05268,0.5,48103,2534,46836,492026,10.23
VA,m,1950-1959,71,0.05768,0.05606,0.5,45569,2555,44291,445190,9.77
VA,m,1950-1959,72,0.06129,0.05947,0.5,43014,2558,41735,400898,9.32
VA,m,1950-1959,73,0.06554,0.06346,0.5,40456,2568,39172,359163,8.88
VA,m,1950-1959,74,0.07108,0.06864,0.5,37889,2601,36588,319991,8.45
VA,m,1950-1959,75,0.07700,0.07414,0.5,35288,2616,33980,283403,8.03
VA,m,1950-1959,76,0.08233,0.07908,0.5,32672,2584,31380,249423,7.63
VA,m,1950-1959,77,0.08843,0.08469,0.5,30088,2548,28814,218043,7.25
VA,m,1950-1959,78,0.09653,0.09208,0.5,27540,2536,26272,189229,6.87
VA,m,1950-1959,79,0.10319,0.09813,0.5,25004,2454,23777,162957,6.52
VA,m,1950-1959,80,0.11138,0.10550,0.5,22550,2379,21361,139179,6.17
VA,m,1950-1959,81,0.11857,0.11194,0.5,20171,2258,19042,117818,5.84
VA,m,1950-1959,82,0.12963,0.12174,0.5,17913,2181,16823,98776,5.51
