VT: VT, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04597	0.04429	0.18	100000	4429	96349	6563113	65.63
1941	1	0.00290	0.00289	0.5	95571	276	95433	6466764	67.66
1941	2	0.00174	0.00174	0.5	95295	166	95212	6371331	66.86
1941	3	0.00214	0.00214	0.5	95129	203	95027	6276119	65.97
1941	4	0.00065	0.00065	0.5	94925	62	94894	6181092	65.12
1941	5	0.00050	0.00050	0.5	94864	47	94840	6086197	64.16
1941	6	0.00081	0.00081	0.5	94816	76	94778	5991357	63.19
1941	7	0.00104	0.00104	0.5	94740	98	94691	5896579	62.24
1941	8	0.00117	0.00117	0.5	94641	111	94586	5801889	61.30
1941	9	0.00117	0.00117	0.5	94531	111	94475	5707303	60.38
1941	10	0.00110	0.00110	0.5	94420	103	94368	5612827	59.45
1941	11	0.00106	0.00106	0.5	94317	100	94266	5518459	58.51
1941	12	0.00106	0.00106	0.5	94216	100	94166	5424193	57.57
1941	13	0.00107	0.00107	0.5	94116	100	94066	5330026	56.63
1941	14	0.00111	0.00111	0.5	94016	104	93964	5235960	55.69
1941	15	0.00119	0.00118	0.5	93912	111	93856	5141997	54.75
1941	16	0.00125	0.00125	0.5	93800	117	93742	5048141	53.82
1941	17	0.00134	0.00134	0.5	93683	125	93620	4954399	52.88
1941	18	0.00143	0.00143	0.5	93558	133	93491	4860779	51.95
1941	19	0.00151	0.00151	0.5	93424	141	93354	4767288	51.03
1941	20	0.00161	0.00161	0.5	93284	150	93209	4673934	50.10
1941	21	0.00174	0.00174	0.5	93133	162	93052	4580725	49.18
1941	22	0.00182	0.00182	0.5	92971	169	92887	4487673	48.27
1941	23	0.00188	0.00188	0.5	92802	174	92715	4394786	47.36
1941	24	0.00192	0.00191	0.5	92628	177	92539	4302071	46.44
1941	25	0.00190	0.00190	0.5	92451	176	92363	4209532	45.53
1941	26	0.00189	0.00189	0.5	92275	174	92188	4117169	44.62
1941	27	0.00193	0.00192	0.5	92101	177	92013	4024980	43.70
1941	28	0.00201	0.00201	0.5	91924	184	91832	3932968	42.78
1941	29	0.00209	0.00209	0.5	91740	192	91644	3841136	41.87
1941	30	0.00217	0.00217	0.5	91548	199	91449	3749492	40.96
1941	31	0.00226	0.00226	0.5	91349	206	91246	3658044	40.04
1941	32	0.00246	0.00245	0.5	91143	224	91031	3566798	39.13
1941	33	0.00266	0.00266	0.5	90919	242	90799	3475766	38.23
1941	34	0.00286	0.00286	0.5	90678	259	90548	3384968	37.33
1941	35	0.00312	0.00312	0.5	90419	282	90278	3294420	36.44
1941	36	0.00331	0.00331	0.5	90137	298	89988	3204142	35.55
1941	37	0.00357	0.00356	0.5	89838	320	89678	3114154	34.66
