VT: VT, Lifetables (period 5x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03741	0.03626	0.15	100000	3626	96926	6736526	67.37
1941-1949	1-4	0.00182	0.00725	1.5	96374	699	383751	6639600	68.89
1941-1949	5-9	0.00084	0.00419	2.32	95675	401	477301	6255849	65.39
1941-1949	10-14	0.00081	0.00403	2.59	95274	384	475446	5778547	60.65
1941-1949	15-19	0.00112	0.00558	2.66	94890	529	473212	5303101	55.89
1941-1949	20-24	0.00156	0.00775	2.56	94361	732	470017	4829889	51.19
1941-1949	25-29	0.00163	0.00812	2.54	93629	761	466277	4359873	46.57
1941-1949	30-34	0.00212	0.01055	2.63	92869	980	462022	3893596	41.93
1941-1949	35-39	0.00293	0.01455	2.6	91889	1337	456240	3431573	37.34
1941-1949	40-44	0.00397	0.01965	2.66	90552	1780	448602	2975334	32.86
1941-1949	45-49	0.00647	0.03187	2.67	88772	2829	437273	2526732	28.46
1941-1949	50-54	0.00996	0.04864	2.65	85943	4180	419877	2089458	24.31
1941-1949	55-59	0.01518	0.07328	2.64	81763	5991	394679	1669581	20.42
1941-1949	60-64	0.02294	0.10874	2.62	75772	8239	359242	1274903	16.83
1941-1949	65-69	0.03488	0.16095	2.6	67532	10869	311619	915661	13.56
1941-1949	70-74	0.05415	0.23916	2.56	56663	13552	250264	604042	10.66
1941-1949	75-79	0.08254	0.34236	2.51	43111	14760	178824	353779	8.21
1941-1949	80-84	0.12610	0.47559	2.42	28351	13484	106928	174954	6.17
1941-1949	85-89	0.18932	0.62435	2.27	14868	9283	49031	68027	4.58
1941-1949	90-94	0.27307	0.76049	2.09	5585	4247	15554	18996	3.40
1941-1949	95-99	0.37563	0.86326	1.87	1338	1155	3074	3442	2.57
1941-1949	100-104	0.49047	0.92755	1.65	183	170	346	368	2.01
1941-1949	105-109	0.60695	0.96212	1.45	13	13	21	22	1.64
1941-1949	110+	0.69821	1.00000	1.43	1	1	1	1	1.43
1950-1959	0	0.02543	0.02487	0.12	100000	2487	97809	7003893	70.04
1950-1959	1-4	0.00118	0.00472	1.65	97513	460	388970	6906085	70.82
1950-1959	5-9	0.00057	0.00283	2.12	97052	275	484471	6517115	67.15
1950-1959	10-14	0.00056	0.00281	2.83	96778	272	483298	6032644	62.34
1950-1959	15-19	0.00112	0.00560	2.68	96506	540	481279	5549346	57.50
1950-1959	20-24	0.00125	0.00622	2.47	95966	597	478319	5068066	52.81
1950-1959	25-29	0.00126	0.00627	2.51	95369	598	475356	4589747	48.13
1950-1959	30-34	0.00150	0.00747	2.62	94771	708	472173	4114391	43.41
1950-1959	35-39	0.00211	0.01048	2.58	94063	986	467930	3642218	38.72
1950-1959	40-44	0.00310	0.01538	2.72	93077	1431	462122	3174287	34.10
1950-1959	45-49	0.00565	0.02791	2.71	91646	2558	452382	2712165	29.59
1950-1959	50-54	0.00870	0.04261	2.64	89088	3796	436491	2259783	25.37
1950-1959	55-59	0.01311	0.06361	2.66	85292	5425	413774	1823292	21.38
1950-1959	60-64	0.02092	0.09968	2.64	79867	7961	380580	1409519	17.65
1950-1959	65-69	0.03128	0.14555	2.62	71906	10466	334617	1028939	14.31
1950-1959	70-74	0.04930	0.22031	2.59	61440	13536	274577	694322	11.30
1950-1959	75-79	0.07657	0.32187	2.53	47904	15419	201370	419744	8.76
1950-1959	80-84	0.11064	0.43168	2.46	32485	14023	126740	218374	6.72
1950-1959	85-89	0.16941	0.58276	2.32	18462	10759	63509	91634	4.96
1950-1959	90-94	0.25016	0.72943	2.14	7703	5619	22460	28125	3.65
1950-1959	95-99	0.35289	0.84572	1.92	2084	1763	4995	5665	2.72
1950-1959	100-104	0.47191	0.92025	1.69	322	296	627	670	2.08
1950-1959	105-109	0.59565	0.96002	1.47	26	25	41	43	1.67
1950-1959	110+	0.69356	1.00000	1.44	1	1	1	1	1.44
1960-1969	0	0.02317	0.02271	0.11	100000	2271	97986	7069536	70.70
1960-1969	1-4	0.00094	0.00374	1.69	97729	366	390072	6971550	71.34
1960-1969	5-9	0.00044	0.00217	2.25	97363	212	486234	6581478	67.60
1960-1969	10-14	0.00038	0.00189	2.75	97152	184	485345	6095244	62.74
1960-1969	15-19	0.00107	0.00532	2.81	96968	515	483715	5609898	57.85
1960-1969	20-24	0.00129	0.00642	2.35	96453	620	480624	5126183	53.15
1960-1969	25-29	0.00120	0.00596	2.53	95833	571	477758	4645559	48.48
1960-1969	30-34	0.00139	0.00694	2.64	95262	661	474749	4167802	43.75
1960-1969	35-39	0.00195	0.00971	2.73	94601	918	470917	3693053	39.04
1960-1969	40-44	0.00313	0.01551	2.59	93683	1453	464915	3222135	34.39
1960-1969	45-49	0.00533	0.02634	2.71	92230	2429	455597	2757220	29.90
1960-1969	50-54	0.00842	0.04129	2.7	89801	3708	440463	2301623	25.63
1960-1969	55-59	0.01345	0.06519	2.66	86093	5612	417341	1861160	21.62
1960-1969	60-64	0.02000	0.09555	2.68	80480	7690	384586	1443818	17.94
1960-1969	65-69	0.03028	0.14135	2.66	72790	10289	339843	1059233	14.55
1960-1969	70-74	0.04752	0.21299	2.57	62501	13312	280111	719389	11.51
1960-1969	75-79	0.07185	0.30501	2.53	49189	15003	208828	439279	8.93
1960-1969	80-84	0.10934	0.42801	2.46	34186	14632	133815	230450	6.74
1960-1969	85-89	0.16962	0.58358	2.33	19554	11411	67277	96636	4.94
1960-1969	90-94	0.25343	0.73466	2.14	8143	5982	23605	29359	3.61
1960-1969	95-99	0.36070	0.85271	1.91	2161	1842	5108	5754	2.66
