PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,f,1941-1944,0,0.03573,0.03468,0.15,100000,3468,97063,6844226,68.44
VT,f,1941-1944,1-4,0.00204,0.00810,1.19,96532,782,383934,6747164,69.90
VT,f,1941-1944,5-9,0.00085,0.00426,2.87,95750,408,477882,6363230,66.46
VT,f,1941-1944,10-14,0.00079,0.00395,2.32,95342,376,475703,5885348,61.73
VT,f,1941-1944,15-19,0.00081,0.00407,2.74,94966,386,473958,5409645,56.96
VT,f,1941-1944,20-24,0.00151,0.00751,2.63,94580,710,471216,4935686,52.19
VT,f,1941-1944,25-29,0.00164,0.00816,2.55,93870,766,467472,4464470,47.56
VT,f,1941-1944,30-34,0.00223,0.01111,2.64,93104,1034,463083,3996999,42.93
VT,f,1941-1944,35-39,0.00302,0.01498,2.56,92070,1379,456992,3533915,38.38
VT,f,1941-1944,40-44,0.00370,0.01836,2.65,90691,1665,449540,3076923,33.93
VT,f,1941-1944,45-49,0.00592,0.02919,2.64,89026,2598,438990,2627383,29.51
VT,f,1941-1944,50-54,0.00796,0.03907,2.62,86428,3376,424089,2188393,25.32
VT,f,1941-1944,55-59,0.01255,0.06101,2.7,83051,5067,403625,1764304,21.24
VT,f,1941-1944,60-64,0.02097,0.09984,2.61,77984,7786,371320,1360679,17.45
VT,f,1941-1944,65-69,0.02966,0.13859,2.63,70198,9728,327965,989360,14.09
VT,f,1941-1944,70-74,0.05062,0.22542,2.58,60470,13631,269298,661395,10.94
VT,f,1941-1944,75-79,0.07825,0.32815,2.54,46839,15370,196415,392097,8.37
VT,f,1941-1944,80-84,0.12402,0.47003,2.43,31469,14791,119267,195682,6.22
VT,f,1941-1944,85-89,0.18832,0.62268,2.28,16678,10385,55144,76415,4.58
VT,f,1941-1944,90-94,0.27458,0.76291,2.09,6293,4801,17484,21271,3.38
VT,f,1941-1944,95-99,0.38105,0.86772,1.86,1492,1295,3397,3787,2.54
VT,f,1941-1944,100-104,0.50029,0.93170,1.63,197,184,368,389,1.97
VT,f,1941-1944,105-109,0.62020,0.96499,1.43,13,13,21,22,1.61
VT,f,1941-1944,110+,0.71310,1.00000,1.4,0,0,1,1,1.40
VT,f,1945-1949,0,0.02949,0.02876,0.14,100000,2876,97514,7091984,70.92
VT,f,1945-1949,1-4,0.00126,0.00503,1.64,97124,488,387342,6994470,72.02
VT,f,1945-1949,5-9,0.00062,0.00310,2.1,96636,300,482308,6607128,68.37
VT,f,1945-1949,10-14,0.00050,0.00252,2.64,96336,242,481107,6124820,63.58
VT,f,1945-1949,15-19,0.00074,0.00369,2.66,96093,354,479636,5643713,58.73
VT,f,1945-1949,20-24,0.00111,0.00553,2.65,95739,529,477449,5164077,53.94
VT,f,1945-1949,25-29,0.00147,0.00735,2.54,95210,699,474325,4686628,49.22
VT,f,1945-1949,30-34,0.00154,0.00769,2.6,94510,726,470808,4212303,44.57
VT,f,1945-1949,35-39,0.00238,0.01181,2.65,93784,1108,466313,3741495,39.89
VT,f,1945-1949,40-44,0.00314,0.01561,2.61,92676,1446,459924,3275182,35.34
VT,f,1945-1949,45-49,0.00456,0.02255,2.67,91230,2057,451354,2815257,30.86
VT,f,1945-1949,50-54,0.00747,0.03671,2.68,89173,3273,438270,2363903,26.51
VT,f,1945-1949,55-59,0.01157,0.05631,2.64,85900,4837,418069,1925633,22.42
VT,f,1945-1949,60-64,0.01670,0.08029,2.6,81063,6509,389699,1507564,18.60
VT,f,1945-1949,65-69,0.02518,0.11890,2.66,74555,8865,352000,1117865,14.99
VT,f,1945-1949,70-74,0.04472,0.20223,2.64,65690,13284,297042,765865,11.66
VT,f,1945-1949,75-79,0.07161,0.30410,2.52,52405,15937,222555,468823,8.95
VT,f,1945-1949,80-84,0.11031,0.43060,2.45,36469,15704,142364,246267,6.75
VT,f,1945-1949,85-89,0.16804,0.57955,2.32,20765,12034,71618,103904,5.00
VT,f,1945-1949,90-94,0.24676,0.72410,2.15,8731,6322,25620,32285,3.70
VT,f,1945-1949,95-99,0.34618,0.83951,1.93,2409,2022,5842,6665,2.77
VT,f,1945-1949,100-104,0.46086,0.91482,1.7,387,354,767,824,2.13
VT,f,1945-1949,105-109,0.58032,0.95617,1.49,33,31,54,56,1.71
VT,f,1945-1949,110+,0.67521,1.00000,1.48,1,1,2,2,1.48
VT,f,1950-1954,0,0.02237,0.02193,0.12,100000,2193,98060,7296887,72.97
VT,f,1950-1954,1-4,0.00106,0.00423,1.78,97807,413,390308,7198827,73.60
VT,f,1950-1954,5-9,0.00069,0.00344,2.07,97393,335,485985,6808519,69.91
VT,f,1950-1954,10-14,0.00044,0.00222,2.73,97059,216,484803,6322534,65.14
VT,f,1950-1954,15-19,0.00078,0.00389,2.48,96843,377,483266,5837731,60.28
VT,f,1950-1954,20-24,0.00051,0.00255,2.5,96466,246,481715,5354465,55.51
VT,f,1950-1954,25-29,0.00088,0.00437,2.69,96220,420,480127,4872750,50.64
VT,f,1950-1954,30-34,0.00125,0.00621,2.66,95800,595,477605,4392623,45.85
VT,f,1950-1954,35-39,0.00188,0.00933,2.61,95205,889,473903,3915018,41.12
VT,f,1950-1954,40-44,0.00252,0.01255,2.67,94316,1183,468820,3441115,36.48
VT,f,1950-1954,45-49,0.00432,0.02138,2.71,93133,1991,461109,2972295,31.91
VT,f,1950-1954,50-54,0.00648,0.03188,2.59,91142,2906,448701,2511186,27.55
VT,f,1950-1954,55-59,0.00864,0.04235,2.67,88236,3737,432481,2062485,23.37
VT,f,1950-1954,60-64,0.01514,0.07314,2.67,84500,6180,408092,1630004,19.29
VT,f,1950-1954,65-69,0.02376,0.11257,2.67,78319,8817,371024,1221912,15.60
VT,f,1950-1954,70-74,0.04205,0.19110,2.62,69503,13282,315877,850888,12.24
VT,f,1950-1954,75-79,0.06525,0.28123,2.55,56220,15811,242318,535010,9.52
VT,f,1950-1954,80-84,0.09715,0.39077,2.5,40410,15791,162538,292692,7.24
VT,f,1950-1954,85-89,0.15419,0.54839,2.37,24619,13501,87558,130154,5.29
VT,f,1950-1954,90-94,0.23497,0.70705,2.18,11118,7861,33456,42596,3.83
VT,f,1950-1954,95-99,0.33995,0.83502,1.95,3257,2720,8000,9139,2.81
VT,f,1950-1954,100-104,0.46304,0.91665,1.7,537,493,1064,1139,2.12
VT,f,1950-1954,105-109,0.59143,0.95927,1.48,45,43,73,75,1.68
VT,f,1950-1954,110+,0.69263,1.00000,1.44,2,2,3,3,1.44
VT,f,1955-1959,0,0.02116,0.02077,0.11,100000,2077,98156,7394666,73.95
VT,f,1955-1959,1-4,0.00095,0.00378,1.6,97923,370,390805,7296510,74.51
VT,f,1955-1959,5-9,0.00044,0.00220,2.03,97553,215,487125,6905705,70.79
VT,f,1955-1959,10-14,0.00033,0.00165,2.62,97338,160,486309,6418580,65.94
VT,f,1955-1959,15-19,0.00056,0.00280,2.72,97178,272,485268,5932271,61.05
VT,f,1955-1959,20-24,0.00068,0.00342,2.52,96906,331,483709,5447002,56.21
VT,f,1955-1959,25-29,0.00084,0.00417,2.51,96575,403,481871,4963293,51.39
VT,f,1955-1959,30-34,0.00086,0.00431,2.59,96172,415,479864,4481422,46.60
VT,f,1955-1959,35-39,0.00137,0.00683,2.61,95758,654,477226,4001558,41.79
VT,f,1955-1959,40-44,0.00225,0.01120,2.72,95103,1065,473083,3524332,37.06
VT,f,1955-1959,45-49,0.00373,0.01849,2.71,94038,1739,466211,3051249,32.45
VT,f,1955-1959,50-54,0.00562,0.02776,2.67,92299,2562,455533,2585038,28.01
VT,f,1955-1959,55-59,0.00862,0.04225,2.63,89737,3791,439685,2129505,23.73
VT,f,1955-1959,60-64,0.01437,0.06953,2.67,85945,5976,415833,1689820,19.66
VT,f,1955-1959,65-69,0.02205,0.10489,2.68,79970,8388,380357,1273987,15.93
VT,f,1955-1959,70-74,0.03733,0.17169,2.66,71582,12290,329210,893630,12.48
VT,f,1955-1959,75-79,0.06429,0.27823,2.58,59292,16496,256609,564420,9.52
VT,f,1955-1959,80-84,0.09874,0.39567,2.49,42795,16933,171487,307811,7.19
VT,f,1955-1959,85-89,0.15528,0.55079,2.36,25862,14245,91736,136324,5.27
VT,f,1955-1959,90-94,0.23479,0.70650,2.18,11618,8208,34959,44588,3.84
VT,f,1955-1959,95-99,0.33769,0.83267,1.96,3410,2839,8408,9629,2.82
VT,f,1955-1959,100-104,0.45827,0.91420,1.71,571,522,1138,1221,2.14
VT,f,1955-1959,105-109,0.58450,0.95754,1.49,49,47,80,83,1.70
VT,f,1955-1959,110+,0.68448,1.00000,1.46,2,2,3,3,1.46
VT,f,1960-1964,0,0.02119,0.02079,0.11,100000,2079,98154,7437884,74.38
VT,f,1960-1964,1-4,0.00079,0.00315,1.71,97921,308,390978,7339730,74.96
VT,f,1960-1964,5-9,0.00041,0.00205,2.27,97612,201,487515,6948752,71.19
VT,f,1960-1964,10-14,0.00024,0.00121,2.65,97412,118,486784,6461237,66.33
VT,f,1960-1964,15-19,0.00028,0.00138,2.41,97294,135,486124,5974453,61.41
VT,f,1960-1964,20-24,0.00046,0.00230,2.37,97160,224,485211,5488330,56.49
VT,f,1960-1964,25-29,0.00071,0.00357,2.53,96936,346,483828,5003118,51.61
VT,f,1960-1964,30-34,0.00083,0.00415,2.53,96591,401,481964,4519290,46.79
VT,f,1960-1964,35-39,0.00148,0.00735,2.55,96189,707,479217,4037326,41.97
VT,f,1960-1964,40-44,0.00190,0.00946,2.69,95482,903,475328,3558110,37.26
VT,f,1960-1964,45-49,0.00436,0.02158,2.68,94579,2041,468165,3082781,32.59
VT,f,1960-1964,50-54,0.00587,0.02898,2.67,92539,2681,456438,2614617,28.25
VT,f,1960-1964,55-59,0.00836,0.04099,2.63,89857,3684,440544,2158179,24.02
VT,f,1960-1964,60-64,0.01326,0.06441,2.81,86174,5551,418719,1717634,19.93
VT,f,1960-1964,65-69,0.02138,0.10164,2.59,80623,8194,383334,1298915,16.11
VT,f,1960-1964,70-74,0.03751,0.17206,2.6,72429,12462,332195,915581,12.64
VT,f,1960-1964,75-79,0.05982,0.26115,2.57,59967,15660,261774,583387,9.73
VT,f,1960-1964,80-84,0.09657,0.38897,2.5,44307,17234,178465,321613,7.26
VT,f,1960-1964,85-89,0.15393,0.54787,2.37,27073,14832,96354,143148,5.29
VT,f,1960-1964,90-94,0.23544,0.70793,2.18,12240,8665,36805,46793,3.82
VT,f,1960-1964,95-99,0.34154,0.83659,1.95,3575,2991,8757,9988,2.79
VT,f,1960-1964,100-104,0.46591,0.91807,1.7,584,536,1151,1231,2.11
VT,f,1960-1964,105-109,0.59533,0.96020,1.47,48,46,77,80,1.67
VT,f,1960-1964,110+,0.69706,1.00000,1.43,2,2,3,3,1.43
VT,f,1965-1969,0,0.01783,0.01755,0.1,100000,1755,98425,7490701,74.91
VT,f,1965-1969,1-4,0.00096,0.00383,1.72,98245,376,392120,7392275,75.24
VT,f,1965-1969,5-9,0.00036,0.00180,2.18,97869,176,488848,7000155,71.53
VT,f,1965-1969,10-14,0.00022,0.00112,2.67,97693,109,488209,6511307,66.65
VT,f,1965-1969,15-19,0.00056,0.00281,3.07,97583,274,487388,6023098,61.72
VT,f,1965-1969,20-24,0.00055,0.00273,2.2,97309,266,485801,5535709,56.89
VT,f,1965-1969,25-29,0.00070,0.00348,2.67,97043,338,484430,5049908,52.04
VT,f,1965-1969,30-34,0.00091,0.00453,2.68,96705,438,482512,4565478,47.21
VT,f,1965-1969,35-39,0.00127,0.00636,2.62,96267,612,479879,4082966,42.41
VT,f,1965-1969,40-44,0.00235,0.01168,2.52,95655,1118,475506,3603087,37.67
VT,f,1965-1969,45-49,0.00358,0.01776,2.76,94538,1679,468933,3127581,33.08
VT,f,1965-1969,50-54,0.00592,0.02919,2.75,92859,2710,458206,2658648,28.63
VT,f,1965-1969,55-59,0.00912,0.04462,2.6,90149,4023,441073,2200442,24.41
VT,f,1965-1969,60-64,0.01258,0.06119,2.76,86126,5270,418810,1759369,20.43
VT,f,1965-1969,65-69,0.02023,0.09660,2.67,80856,7811,386115,1340560,16.58
VT,f,1965-1969,70-74,0.03338,0.15467,2.63,73045,11298,338446,954445,13.07
VT,f,1965-1969,75-79,0.05780,0.25366,2.59,61747,15663,270981,615999,9.98
VT,f,1965-1969,80-84,0.09037,0.36931,2.53,46084,17019,188320,345018,7.49
VT,f,1965-1969,85-89,0.14842,0.53506,2.39,29065,15552,104779,156698,5.39
VT,f,1965-1969,90-94,0.23297,0.70483,2.2,13513,9525,40884,51919,3.84
VT,f,1965-1969,95-99,0.34480,0.84035,1.95,3989,3352,9721,11034,2.77
VT,f,1965-1969,100-104,0.47654,0.92338,1.68,637,588,1234,1313,2.06
VT,f,1965-1969,105-109,0.61249,0.96416,1.45,49,47,77,79,1.62
VT,f,1965-1969,110+,0.71786,1.00000,1.39,2,2,2,2,1.39
VT,f,1970-1974,0,0.01201,0.01188,0.09,100000,1188,98915,7649236,76.49
VT,f,1970-1974,1-4,0.00061,0.00245,1.54,98812,242,394653,7550321,76.41
VT,f,1970-1974,5-9,0.00030,0.00152,2.33,98570,150,492448,7155668,72.60
