VT: VT, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04255	0.04108	0.16	100000	4108	96546	6506672	65.07
1941-1949	1	0.00328	0.00327	0.5	95892	314	95735	6410126	66.85
1941-1949	2	0.00246	0.00246	0.5	95578	235	95460	6314391	66.07
1941-1949	3	0.00108	0.00108	0.5	95343	103	95291	6218931	65.23
1941-1949	4	0.00141	0.00141	0.5	95240	134	95173	6123640	64.30
1941-1949	5	0.00132	0.00132	0.5	95105	126	95042	6028467	63.39
1941-1949	6	0.00105	0.00105	0.5	94980	100	94930	5933425	62.47
1941-1949	7	0.00087	0.00086	0.5	94880	82	94839	5838495	61.54
1941-1949	8	0.00076	0.00076	0.5	94798	72	94762	5743656	60.59
1941-1949	9	0.00075	0.00075	0.5	94725	71	94690	5648894	59.63
1941-1949	10	0.00081	0.00081	0.5	94655	76	94617	5554204	58.68
1941-1949	11	0.00088	0.00088	0.5	94578	84	94537	5459588	57.73
1941-1949	12	0.00097	0.00097	0.5	94495	92	94449	5365051	56.78
1941-1949	13	0.00106	0.00106	0.5	94403	100	94353	5270602	55.83
1941-1949	14	0.00116	0.00116	0.5	94303	109	94249	5176249	54.89
1941-1949	15	0.00126	0.00126	0.5	94194	119	94135	5082000	53.95
1941-1949	16	0.00137	0.00136	0.5	94076	128	94011	4987865	53.02
1941-1949	17	0.00147	0.00147	0.5	93947	138	93878	4893854	52.09
1941-1949	18	0.00157	0.00156	0.5	93810	147	93736	4799976	51.17
1941-1949	19	0.00167	0.00167	0.5	93663	156	93585	4706239	50.25
1941-1949	20	0.00177	0.00177	0.5	93506	165	93424	4612655	49.33
1941-1949	21	0.00183	0.00183	0.5	93341	171	93255	4519231	48.42
1941-1949	22	0.00186	0.00186	0.5	93170	173	93083	4425976	47.50
1941-1949	23	0.00184	0.00184	0.5	92997	171	92912	4332892	46.59
1941-1949	24	0.00179	0.00179	0.5	92826	166	92743	4239981	45.68
1941-1949	25	0.00170	0.00170	0.5	92660	158	92581	4147238	44.76
1941-1949	26	0.00165	0.00165	0.5	92503	152	92426	4054656	43.83
1941-1949	27	0.00165	0.00165	0.5	92350	152	92274	3962230	42.90
1941-1949	28	0.00172	0.00172	0.5	92198	159	92119	3869956	41.97
1941-1949	29	0.00186	0.00185	0.5	92039	171	91954	3777837	41.05
1941-1949	30	0.00204	0.00204	0.5	91869	188	91775	3685883	40.12
1941-1949	31	0.00223	0.00222	0.5	91681	204	91579	3594108	39.20
1941-1949	32	0.00240	0.00240	0.5	91477	219	91368	3502528	38.29
1941-1949	33	0.00256	0.00255	0.5	91258	233	91142	3411161	37.38
1941-1949	34	0.00271	0.00271	0.5	91025	246	90902	3320019	36.47
1941-1949	35	0.00288	0.00287	0.5	90779	261	90648	3229117	35.57
1941-1949	36	0.00304	0.00303	0.5	90518	275	90381	3138469	34.67
1941-1949	37	0.00319	0.00319	0.5	90243	288	90100	3048088	33.78
1941-1949	38	0.00336	0.00335	0.5	89956	301	89805	2957988	32.88
1941-1949	39	0.00355	0.00354	0.5	89654	318	89496	2868183	31.99
1941-1949	40	0.00376	0.00375	0.5	89337	335	89169	2778688	31.10
1941-1949	41	0.00402	0.00401	0.5	89002	357	88823	2689519	30.22
1941-1949	42	0.00441	0.00440	0.5	88645	390	88450	2600695	29.34
1941-1949	43	0.00492	0.00491	0.5	88255	434	88038	2512245	28.47
1941-1949	44	0.00554	0.00552	0.5	87822	485	87579	2424207	27.60
1941-1949	45	0.00626	0.00624	0.5	87337	545	87064	2336627	26.75
1941-1949	46	0.00700	0.00697	0.5	86792	605	86489	2249563	25.92
1941-1949	47	0.00775	0.00772	0.5	86187	665	85854	2163074	25.10
1941-1949	48	0.00851	0.00848	0.5	85521	725	85159	2077220	24.29
1941-1949	49	0.00935	0.00931	0.5	84796	790	84401	1992061	23.49
1941-1949	50	0.01028	0.01023	0.5	84007	859	83577	1907660	22.71
1941-1949	51	0.01116	0.01110	0.5	83147	923	82686	1824083	21.94
1941-1949	52	0.01214	0.01206	0.5	82224	992	81728	1741398	21.18
1941-1949	53	0.01324	0.01315	0.5	81232	1068	80698	1659669	20.43
1941-1949	54	0.01437	0.01427	0.5	80164	1144	79592	1578971	19.70
1941-1949	55	0.01561	0.01549	0.5	79020	1224	78408	1499379	18.97
1941-1949	56	0.01698	0.01684	0.5	77796	1310	77141	1420971	18.27
1941-1949	57	0.01843	0.01826	0.5	76486	1397	75788	1343830	17.57
1941-1949	58	0.01992	0.01972	0.5	75089	1481	74349	1268043	16.89
1941-1949	59	0.02145	0.02122	0.5	73608	1562	72827	1193694	16.22
1941-1949	60	0.02301	0.02275	0.5	72046	1639	71227	1120867	15.56
1941-1949	61	0.02476	0.02446	0.5	70407	1722	69546	1049640	14.91
1941-1949	62	0.02703	0.02667	0.5	68685	1832	67769	980094	14.27
