PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,m,1941-1944,0,0.04876,0.04687,0.18,100000,4687,96137,6410551,64.11
VT,m,1941-1944,1-4,0.00244,0.00968,1.46,95313,923,378910,6314414,66.25
VT,m,1941-1944,5-9,0.00105,0.00524,2.38,94390,495,470652,5935504,62.88
VT,m,1941-1944,10-14,0.00122,0.00610,2.6,93895,572,468100,5464852,58.20
VT,m,1941-1944,15-19,0.00147,0.00730,2.56,93322,682,464948,4996753,53.54
VT,m,1941-1944,20-24,0.00169,0.00842,2.53,92641,780,461273,4531805,48.92
VT,m,1941-1944,25-29,0.00179,0.00891,2.57,91861,819,457310,4070532,44.31
VT,m,1941-1944,30-34,0.00243,0.01207,2.63,91042,1098,452601,3613222,39.69
VT,m,1941-1944,35-39,0.00332,0.01647,2.6,89943,1482,446156,3160621,35.14
VT,m,1941-1944,40-44,0.00458,0.02266,2.71,88462,2004,437715,2714466,30.69
VT,m,1941-1944,45-49,0.00819,0.04016,2.66,86458,3472,424171,2276751,26.33
VT,m,1941-1944,50-54,0.01240,0.06023,2.65,82985,4998,403195,1852580,22.32
VT,m,1941-1944,55-59,0.01888,0.09034,2.61,77987,7045,373129,1449384,18.59
VT,m,1941-1944,60-64,0.02845,0.13331,2.64,70942,9457,332419,1076255,15.17
VT,m,1941-1944,65-69,0.04558,0.20529,2.59,61485,12622,276949,743837,12.10
VT,m,1941-1944,70-74,0.06528,0.28027,2.48,48863,13695,209770,466887,9.56
VT,m,1941-1944,75-79,0.09169,0.37318,2.51,35168,13124,143138,257117,7.31
VT,m,1941-1944,80-84,0.16020,0.56202,2.35,22044,12389,77333,113979,5.17
VT,m,1941-1944,85-89,0.23859,0.71202,2.17,9655,6874,28813,36646,3.80
VT,m,1941-1944,90-94,0.33892,0.83334,1.95,2780,2317,6836,7834,2.82
VT,m,1941-1944,95-99,0.45582,0.91267,1.72,463,423,928,997,2.15
VT,m,1941-1944,100-104,0.57829,0.95584,1.5,40,39,67,69,1.72
VT,m,1941-1944,105-109,0.69275,0.97669,1.32,2,2,3,3,1.44
VT,m,1941-1944,110+,0.77696,1.00000,1.29,0,0,0,0,1.29
VT,m,1945-1949,0,0.03837,0.03715,0.15,100000,3715,96835,6578988,65.79
