WA: WA, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02761	0.02696	0.13	100000	2696	97655	7046750	70.47
1941-1949	1	0.00233	0.00233	0.5	97304	227	97190	6949094	71.42
1941-1949	2	0.00161	0.00161	0.5	97077	156	96999	6851904	70.58
1941-1949	3	0.00128	0.00128	0.5	96921	124	96859	6754905	69.70
1941-1949	4	0.00119	0.00119	0.5	96797	115	96739	6658046	68.78
1941-1949	5	0.00100	0.00100	0.5	96681	96	96633	6561307	67.87
1941-1949	6	0.00080	0.00080	0.5	96585	77	96547	6464674	66.93
1941-1949	7	0.00065	0.00065	0.5	96508	63	96477	6368127	65.99
1941-1949	8	0.00055	0.00055	0.5	96445	53	96419	6271650	65.03
1941-1949	9	0.00052	0.00052	0.5	96392	50	96367	6175232	64.06
1941-1949	10	0.00054	0.00054	0.5	96342	52	96316	6078864	63.10
1941-1949	11	0.00058	0.00058	0.5	96290	56	96262	5982548	62.13
1941-1949	12	0.00063	0.00063	0.5	96234	61	96203	5886286	61.17
1941-1949	13	0.00069	0.00069	0.5	96173	66	96140	5790083	60.20
1941-1949	14	0.00074	0.00074	0.5	96107	71	96071	5693943	59.25
1941-1949	15	0.00080	0.00080	0.5	96036	77	95997	5597871	58.29
1941-1949	16	0.00087	0.00086	0.5	95959	83	95917	5501874	57.34
1941-1949	17	0.00093	0.00093	0.5	95876	90	95831	5405957	56.38
1941-1949	18	0.00101	0.00101	0.5	95786	97	95738	5310126	55.44
1941-1949	19	0.00109	0.00109	0.5	95690	104	95638	5214388	54.49
1941-1949	20	0.00117	0.00117	0.5	95586	112	95530	5118750	53.55
1941-1949	21	0.00124	0.00124	0.5	95474	118	95414	5023220	52.61
1941-1949	22	0.00129	0.00129	0.5	95355	123	95293	4927806	51.68
1941-1949	23	0.00133	0.00133	0.5	95232	127	95168	4832513	50.74
1941-1949	24	0.00136	0.00136	0.5	95105	129	95040	4737345	49.81
1941-1949	25	0.00139	0.00138	0.5	94975	131	94910	4642305	48.88
1941-1949	26	0.00142	0.00142	0.5	94844	134	94777	4547395	47.95
1941-1949	27	0.00147	0.00147	0.5	94709	139	94640	4452618	47.01
1941-1949	28	0.00154	0.00154	0.5	94570	145	94498	4357979	46.08
1941-1949	29	0.00163	0.00162	0.5	94425	153	94349	4263481	45.15
1941-1949	30	0.00172	0.00172	0.5	94272	162	94191	4169132	44.22
1941-1949	31	0.00182	0.00182	0.5	94109	171	94024	4074941	43.30
1941-1949	32	0.00192	0.00192	0.5	93938	180	93848	3980917	42.38
1941-1949	33	0.00202	0.00202	0.5	93758	189	93664	3887069	41.46
1941-1949	34	0.00212	0.00212	0.5	93569	198	93470	3793405	40.54
1941-1949	35	0.00224	0.00224	0.5	93371	209	93267	3699935	39.63
1941-1949	36	0.00237	0.00237	0.5	93163	221	93052	3606668	38.71
1941-1949	37	0.00252	0.00252	0.5	92942	234	92825	3513615	37.80
1941-1949	38	0.00269	0.00269	0.5	92708	249	92583	3420790	36.90
1941-1949	39	0.00290	0.00289	0.5	92459	267	92325	3328207	36.00
1941-1949	40	0.00311	0.00310	0.5	92191	286	92048	3235882	35.10
1941-1949	41	0.00332	0.00331	0.5	91905	304	91753	3143834	34.21
1941-1949	42	0.00358	0.00358	0.5	91601	328	91437	3052081	33.32
1941-1949	43	0.00389	0.00388	0.5	91273	354	91096	2960644	32.44
1941-1949	44	0.00419	0.00418	0.5	90918	380	90728	2869549	31.56
1941-1949	45	0.00454	0.00453	0.5	90538	410	90333	2778820	30.69
1941-1949	46	0.00489	0.00488	0.5	90128	440	89909	2688487	29.83
1941-1949	47	0.00524	0.00523	0.5	89689	469	89454	2598579	28.97
1941-1949	48	0.00563	0.00561	0.5	89220	500	88969	2509125	28.12
1941-1949	49	0.00605	0.00603	0.5	88719	535	88451	2420155	27.28
1941-1949	50	0.00655	0.00653	0.5	88184	575	87896	2331704	26.44
1941-1949	51	0.00700	0.00698	0.5	87608	611	87303	2243808	25.61
1941-1949	52	0.00750	0.00747	0.5	86997	650	86672	2156505	24.79
1941-1949	53	0.00809	0.00805	0.5	86347	695	86000	2069833	23.97
1941-1949	54	0.00872	0.00868	0.5	85652	743	85280	1983833	23.16
1941-1949	55	0.00941	0.00937	0.5	84909	795	84511	1898553	22.36
1941-1949	56	0.01011	0.01006	0.5	84113	846	83690	1814042	21.57
1941-1949	57	0.01087	0.01081	0.5	83267	900	82817	1730351	20.78
1941-1949	58	0.01174	0.01167	0.5	82367	961	81886	1647534	20.00
1941-1949	59	0.01265	0.01257	0.5	81406	1023	80894	1565648	19.23
1941-1949	60	0.01366	0.01357	0.5	80382	1090	79837	1484754	18.47
1941-1949	61	0.01473	0.01462	0.5	79292	1160	78712	1404917	17.72
1941-1949	62	0.01601	0.01588	0.5	78132	1241	77512	1326205	16.97
1941-1949	63	0.01758	0.01743	0.5	76892	1340	76221	1248693	16.24
1941-1949	64	0.01937	0.01918	0.5	75551	1449	74827	1172471	15.52
1941-1949	65	0.02163	0.02140	0.5	74102	1585	73310	1097644	14.81
1941-1949	66	0.02414	0.02385	0.5	72517	1729	71652	1024335	14.13
1941-1949	67	0.02679	0.02644	0.5	70787	1872	69852	952682	13.46
1941-1949	68	0.02982	0.02938	0.5	68916	2025	67903	882831	12.81
1941-1949	69	0.03306	0.03252	0.5	66891	2175	65803	814927	12.18
1941-1949	70	0.03676	0.03610	0.5	64716	2336	63547	749124	11.58
1941-1949	71	0.04049	0.03969	0.5	62379	2476	61141	685577	10.99
1941-1949	72	0.04472	0.04374	0.5	59904	2620	58594	624435	10.42
1941-1949	73	0.04994	0.04872	0.5	57283	2791	55888	565842	9.88
1941-1949	74	0.05526	0.05377	0.5	54492	2930	53027	509954	9.36
1941-1949	75	0.06114	0.05933	0.5	51562	3059	50033	456926	8.86
1941-1949	76	0.06750	0.06530	0.5	48503	3167	46920	406894	8.39
1941-1949	77	0.07399	0.07135	0.5	45336	3235	43719	359974	7.94
1941-1949	78	0.08124	0.07807	0.5	42101	3287	40458	316255	7.51
1941-1949	79	0.08881	0.08503	0.5	38814	3301	37164	275798	7.11
1941-1949	80	0.09163	0.08761	0.5	35514	3112	33958	238634	6.72
1941-1949	81	0.10098	0.09612	0.5	32402	3115	30845	204675	6.32
1941-1949	82	0.11122	0.10536	0.5	29288	3086	27745	173830	5.94
1941-1949	83	0.12244	0.11537	0.5	26202	3023	24690	146086	5.58
1941-1949	84	0.13449	0.12602	0.5	23179	2921	21718	121395	5.24
1941-1949	85	0.14735	0.13724	0.5	20258	2780	18868	99677	4.92
1941-1949	86	0.16027	0.14838	0.5	17478	2593	16181	80809	4.62
1941-1949	87	0.17485	0.16079	0.5	14884	2393	13688	64628	4.34
1941-1949	88	0.19046	0.17390	0.5	12491	2172	11405	50940	4.08
1941-1949	89	0.20711	0.18767	0.5	10319	1937	9351	39535	3.83
1941-1949	90	0.22481	0.20209	0.5	8382	1694	7535	30184	3.60
1941-1949	91	0.24356	0.21712	0.5	6688	1452	5962	22649	3.39
1941-1949	92	0.26334	0.23270	0.5	5236	1218	4627	16687	3.19
1941-1949	93	0.28413	0.24879	0.5	4018	1000	3518	12060	3.00
1941-1949	94	0.30588	0.26530	0.5	3018	801	2618	8542	2.83
1941-1949	95	0.32852	0.28217	0.5	2217	626	1905	5924	2.67
1941-1949	96	0.35200	0.29932	0.5	1592	476	1354	4019	2.53
1941-1949	97	0.37621	0.31665	0.5	1115	353	939	2666	2.39
1941-1949	98	0.40105	0.33406	0.5	762	255	635	1727	2.27
1941-1949	99	0.42642	0.35148	0.5	508	178	418	1092	2.15
1941-1949	100	0.45218	0.36880	0.5	329	121	268	674	2.05
1941-1949	101	0.47819	0.38592	0.5	208	80	168	406	1.95
1941-1949	102	0.50433	0.40276	0.5	128	51	102	238	1.86
1941-1949	103	0.53044	0.41925	0.5	76	32	60	136	1.78
1941-1949	104	0.55638	0.43529	0.5	44	19	35	76	1.71
1941-1949	105	0.58203	0.45083	0.5	25	11	19	41	1.65
1941-1949	106	0.60723	0.46581	0.5	14	6	11	22	1.59
1941-1949	107	0.63188	0.48017	0.5	7	4	6	11	1.53
1941-1949	108	0.65586	0.49389	0.5	4	2	3	6	1.49
1941-1949	109	0.67907	0.50694	0.5	2	1	1	3	1.45
1941-1949	110+	0.70142	1.00000	1.43	1	1	1	1	1.43
1950-1959	0	0.02139	0.02099	0.11	100000	2099	98138	7391671	73.92
1950-1959	1	0.00158	0.00158	0.5	97901	155	97823	7293534	74.50
1950-1959	2	0.00097	0.00097	0.5	97746	95	97698	7195711	73.62
1950-1959	3	0.00086	0.00086	0.5	97651	84	97609	7098013	72.69
1950-1959	4	0.00061	0.00061	0.5	97567	60	97537	7000404	71.75
1950-1959	5	0.00049	0.00049	0.5	97507	48	97483	6902867	70.79
1950-1959	6	0.00047	0.00047	0.5	97459	46	97436	6805385	69.83
1950-1959	7	0.00040	0.00040	0.5	97413	38	97394	6707948	68.86
1950-1959	8	0.00038	0.00038	0.5	97375	37	97357	6610554	67.89
1950-1959	9	0.00036	0.00036	0.5	97338	35	97321	6513197	66.91
1950-1959	10	0.00034	0.00034	0.5	97303	33	97287	6415877	65.94
1950-1959	11	0.00031	0.00031	0.5	97270	30	97255	6318590	64.96
1950-1959	12	0.00033	0.00033	0.5	97240	32	97224	6221335	63.98
