PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,f,1941,0,0.02994,0.02919,0.14,100000,2919,97480,6972348,69.72
WA,f,1941,1-4,0.00205,0.00815,1.52,97081,791,386363,6874867,70.82
WA,f,1941,5-9,0.00074,0.00369,2.37,96290,355,480515,6488504,67.39
WA,f,1941,10-14,0.00064,0.00321,2.58,95935,308,478928,6007989,62.63
WA,f,1941,15-19,0.00091,0.00453,2.61,95627,433,477097,5529061,57.82
WA,f,1941,20-24,0.00125,0.00624,2.69,95194,594,474597,5051964,53.07
WA,f,1941,25-29,0.00178,0.00887,2.55,94599,839,470937,4577368,48.39
WA,f,1941,30-34,0.00178,0.00885,2.52,93760,830,466742,4106431,43.80
WA,f,1941,35-39,0.00238,0.01186,2.72,92930,1102,462134,3639689,39.17
WA,f,1941,40-44,0.00415,0.02056,2.72,91828,1888,454841,3177555,34.60
WA,f,1941,45-49,0.00608,0.02994,2.56,89940,2692,443128,2722714,30.27
WA,f,1941,50-54,0.00750,0.03685,2.64,87247,3215,428636,2279586,26.13
WA,f,1941,55-59,0.01154,0.05618,2.64,84032,4721,409041,1850950,22.03
WA,f,1941,60-64,0.01666,0.08016,2.66,79311,6358,381687,1441909,18.18
WA,f,1941,65-69,0.02841,0.13333,2.7,72953,9727,342347,1060222,14.53
WA,f,1941,70-74,0.04696,0.21110,2.61,63226,13347,284202,717875,11.35
WA,f,1941,75-79,0.07644,0.32220,2.56,49879,16071,210242,433672,8.69
WA,f,1941,80-84,0.11028,0.43092,2.46,33808,14569,132108,223431,6.61
WA,f,1941,85-89,0.17690,0.60105,2.33,19239,11564,65368,91323,4.75
WA,f,1941,90-94,0.27264,0.76223,2.11,7675,5850,21459,25955,3.38
WA,f,1941,95-99,0.39282,0.87767,1.85,1825,1602,4078,4496,2.46
WA,f,1941,100-104,0.52765,0.94237,1.59,223,210,399,418,1.87
WA,f,1941,105-109,0.65970,0.97244,1.37,13,13,19,19,1.51
WA,f,1941,110+,0.75830,1.00000,1.32,0,0,0,0,1.32
WA,f,1942,0,0.03294,0.03204,0.15,100000,3204,97262,6927286,69.27
WA,f,1942,1-4,0.00183,0.00727,1.58,96796,704,385486,6830024,70.56
WA,f,1942,5-9,0.00076,0.00378,2.14,96093,363,479426,6444538,67.07
WA,f,1942,10-14,0.00062,0.00312,2.65,95729,299,477947,5965113,62.31
WA,f,1942,15-19,0.00108,0.00538,2.76,95431,513,476002,5487166,57.50
WA,f,1942,20-24,0.00168,0.00837,2.57,94918,795,472660,5011163,52.79
WA,f,1942,25-29,0.00157,0.00784,2.46,94123,738,468740,4538503,48.22
WA,f,1942,30-34,0.00194,0.00964,2.68,93385,901,464833,4069763,43.58
WA,f,1942,35-39,0.00289,0.01437,2.58,92484,1329,459212,3604930,38.98
WA,f,1942,40-44,0.00361,0.01790,2.73,91156,1632,452071,3145718,34.51
WA,f,1942,45-49,0.00642,0.03164,2.6,89524,2832,440835,2693647,30.09
WA,f,1942,50-54,0.00739,0.03631,2.6,86691,3148,425900,2252812,25.99
WA,f,1942,55-59,0.01119,0.05452,2.68,83544,4555,407154,1826912,21.87
WA,f,1942,60-64,0.01804,0.08654,2.65,78989,6836,378913,1419758,17.97
WA,f,1942,65-69,0.02756,0.12955,2.69,72154,9348,339135,1040844,14.43
WA,f,1942,70-74,0.04861,0.21779,2.61,62806,13678,281368,701710,11.17
WA,f,1942,75-79,0.07730,0.32582,2.59,49127,16007,207078,420342,8.56
WA,f,1942,80-84,0.12018,0.45964,2.44,33121,15224,126675,213264,6.44
WA,f,1942,85-89,0.17629,0.59776,2.31,17897,10698,60685,86590,4.84
WA,f,1942,90-94,0.25575,0.73657,2.12,7199,5302,20733,25904,3.60
WA,f,1942,95-99,0.35239,0.84430,1.92,1896,1601,4544,5171,2.73
WA,f,1942,100-104,0.46264,0.91520,1.7,295,270,584,627,2.12
WA,f,1942,105-109,0.57708,0.95510,1.5,25,24,41,43,1.72
WA,f,1942,110+,0.66818,1.00000,1.5,1,1,2,2,1.50
