PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,m,1941-1944,0,0.04288,0.04138,0.16,100000,4138,96524,6330559,63.31
WA,m,1941-1944,1-4,0.00253,0.01005,1.61,95862,963,381139,6234035,65.03
WA,m,1941-1944,5-9,0.00119,0.00592,2.33,94898,562,472992,5852895,61.68
WA,m,1941-1944,10-14,0.00103,0.00513,2.68,94336,484,470558,5379903,57.03
WA,m,1941-1944,15-19,0.00211,0.01052,2.73,93852,987,467019,4909345,52.31
WA,m,1941-1944,20-24,0.00292,0.01449,2.52,92864,1346,460986,4442325,47.84
WA,m,1941-1944,25-29,0.00266,0.01322,2.45,91519,1210,454510,3981339,43.50
WA,m,1941-1944,30-34,0.00298,0.01480,2.62,90309,1337,448366,3526829,39.05
WA,m,1941-1944,35-39,0.00439,0.02175,2.64,88972,1935,440287,3078463,34.60
WA,m,1941-1944,40-44,0.00612,0.03016,2.64,87037,2625,429000,2638176,30.31
WA,m,1941-1944,45-49,0.00947,0.04633,2.63,84412,3911,412791,2209175,26.17
WA,m,1941-1944,50-54,0.01356,0.06567,2.63,80501,5287,389965,1796384,22.31
WA,m,1941-1944,55-59,0.02007,0.09572,2.6,75214,7200,358778,1406419,18.70
WA,m,1941-1944,60-64,0.02868,0.13417,2.6,68015,9126,318176,1047641,15.40
WA,m,1941-1944,65-69,0.04198,0.19060,2.59,58889,11224,267360,729465,12.39
WA,m,1941-1944,70-74,0.06391,0.27590,2.52,47665,13151,205774,462105,9.69
WA,m,1941-1944,75-79,0.09736,0.39117,2.49,34514,13501,138672,256331,7.43
WA,m,1941-1944,80-84,0.14504,0.52513,2.37,21013,11035,76082,117659,5.60
WA,m,1941-1944,85-89,0.21329,0.66975,2.22,9978,6683,31333,41577,4.17
WA,m,1941-1944,90-94,0.30342,0.79684,2.02,3295,2626,8654,10244,3.11
WA,m,1941-1944,95-99,0.41026,0.88697,1.8,669,594,1447,1590,2.37
WA,m,1941-1944,100-104,0.52645,0.94064,1.58,76,71,135,142,1.88
WA,m,1941-1944,105-109,0.64054,0.96857,1.4,4,4,7,7,1.56
WA,m,1941-1944,110+,0.72796,1.00000,1.37,0,0,0,0,1.37
WA,m,1945-1949,0,0.03620,0.03511,0.14,100000,3511,96988,6524522,65.25
WA,m,1945-1949,1-4,0.00170,0.00678,1.69,96489,654,384447,6427534,66.61
WA,m,1945-1949,5-9,0.00089,0.00444,2.32,95836,426,478038,6043087,63.06
WA,m,1945-1949,10-14,0.00102,0.00507,2.69,95410,484,475930,5565049,58.33
WA,m,1945-1949,15-19,0.00152,0.00757,2.67,94926,719,472957,5089119,53.61
WA,m,1945-1949,20-24,0.00217,0.01080,2.53,94207,1017,468526,4616161,49.00
WA,m,1945-1949,25-29,0.00217,0.01078,2.54,93190,1004,463478,4147636,44.51
WA,m,1945-1949,30-34,0.00269,0.01337,2.58,92186,1232,457950,3684158,39.96
WA,m,1945-1949,35-39,0.00351,0.01742,2.64,90954,1585,451031,3226208,35.47
WA,m,1945-1949,40-44,0.00553,0.02729,2.68,89369,2439,441183,2775177,31.05
WA,m,1945-1949,45-49,0.00851,0.04171,2.65,86930,3626,426130,2333994,26.85
WA,m,1945-1949,50-54,0.01284,0.06230,2.63,83304,5190,404211,1907864,22.90
WA,m,1945-1949,55-59,0.01892,0.09054,2.62,78114,7072,373716,1503653,19.25
WA,m,1945-1949,60-64,0.02736,0.12833,2.59,71042,9117,333239,1129938,15.91
