WI: WI, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03736	0.03621	0.15	100000	3621	96929	6738053	67.38
1941	1-4	0.00186	0.00742	1.48	96379	715	383711	6641123	68.91
1941	5-9	0.00087	0.00432	2.5	95664	413	477285	6257413	65.41
1941	10-14	0.00073	0.00366	2.57	95250	349	475404	5780127	60.68
1941	15-19	0.00119	0.00594	2.68	94902	564	473199	5304723	55.90
1941	20-24	0.00165	0.00821	2.55	94338	775	469794	4831524	51.22
1941	25-29	0.00174	0.00864	2.55	93563	808	465837	4361730	46.62
1941	30-34	0.00221	0.01098	2.6	92755	1018	461327	3895893	42.00
1941	35-39	0.00292	0.01452	2.64	91736	1332	455535	3434566	37.44
1941	40-44	0.00422	0.02092	2.67	90405	1891	447608	2979031	32.95
1941	45-49	0.00626	0.03083	2.62	88514	2729	436075	2531423	28.60
1941	50-54	0.00917	0.04488	2.66	85785	3850	419907	2095348	24.43
1941	55-59	0.01448	0.07001	2.66	81935	5736	396232	1675442	20.45
1941	60-64	0.02238	0.10626	2.63	76199	8097	361784	1279210	16.79
1941	65-69	0.03358	0.15557	2.64	68102	10594	315524	917426	13.47
1941	70-74	0.05401	0.23896	2.59	57508	13742	254414	601902	10.47
1941	75-79	0.08560	0.35361	2.54	43766	15476	180783	347487	7.94
1941	80-84	0.13455	0.49917	2.42	28290	14122	104954	166704	5.89
1941	85-89	0.20107	0.64727	2.25	14168	9171	45609	61750	4.36
1941	90-94	0.28972	0.78161	2.05	4998	3906	13483	16141	3.23
1941	95-99	0.39866	0.88001	1.83	1091	960	2409	2658	2.44
1941	100-104	0.51937	0.93865	1.6	131	123	237	249	1.90
1941	105-109	0.63917	0.96856	1.4	8	8	12	13	1.56
1941	110+	0.73112	1.00000	1.37	0	0	0	0	1.37
1942	0	0.03459	0.03360	0.14	100000	3360	97125	6777777	67.78
1942	1-4	0.00163	0.00648	1.63	96640	626	385076	6680652	69.13
1942	5-9	0.00071	0.00356	2.39	96015	341	479182	6295576	65.57
1942	10-14	0.00070	0.00350	2.65	95673	335	477580	5816394	60.79
1942	15-19	0.00115	0.00571	2.65	95338	545	475409	5338815	56.00
1942	20-24	0.00152	0.00757	2.59	94793	718	472239	4863406	51.31
1942	25-29	0.00174	0.00866	2.53	94075	814	468363	4391167	46.68
1942	30-34	0.00203	0.01010	2.63	93261	942	464071	3922805	42.06
1942	35-39	0.00304	0.01508	2.63	92319	1392	458300	3458734	37.47
1942	40-44	0.00414	0.02053	2.68	90927	1866	450300	3000434	33.00
1942	45-49	0.00659	0.03245	2.63	89061	2890	438443	2550134	28.63
1942	50-54	0.00903	0.04422	2.66	86171	3810	421946	2111691	24.51
1942	55-59	0.01471	0.07112	2.67	82360	5858	398149	1689745	20.52
1942	60-64	0.02277	0.10804	2.64	76503	8265	362972	1291596	16.88
1942	65-69	0.03298	0.15295	2.63	68238	10437	316500	928623	13.61
1942	70-74	0.05377	0.23818	2.6	57801	13767	256017	612123	10.59
1942	75-79	0.08397	0.34812	2.55	44034	15329	182559	356107	8.09
1942	80-84	0.13096	0.48898	2.41	28705	14036	107180	173548	6.05
1942	85-89	0.19244	0.63061	2.27	14669	9250	48069	66368	4.52
1942	90-94	0.27558	0.76348	2.08	5418	4137	15012	18300	3.38
1942	95-99	0.37691	0.86405	1.87	1282	1107	2938	3288	2.57
1942	100-104	0.49051	0.92747	1.65	174	162	329	350	2.01
1942	105-109	0.60595	0.96186	1.45	13	12	20	21	1.64
1942	110+	0.69652	1.00000	1.44	0	0	1	1	1.44
1943	0	0.03595	0.03489	0.15	100000	3489	97031	6746272	67.46
1943	1-4	0.00203	0.00808	1.63	96511	780	384202	6649241	68.90
1943	5-9	0.00089	0.00444	2.38	95732	425	477545	6265039	65.44
1943	10-14	0.00083	0.00415	2.58	95307	396	475578	5787494	60.72
1943	15-19	0.00111	0.00556	2.58	94911	527	473281	5311916	55.97
1943	20-24	0.00129	0.00643	2.57	94384	607	470447	4838636	51.27
1943	25-29	0.00157	0.00780	2.59	93777	732	467120	4368188	46.58
1943	30-34	0.00207	0.01031	2.6	93046	960	462929	3901068	41.93
1943	35-39	0.00278	0.01383	2.64	92086	1274	457427	3438139	37.34
1943	40-44	0.00415	0.02054	2.63	90812	1865	449642	2980712	32.82
1943	45-49	0.00613	0.03020	2.66	88947	2686	438450	2531070	28.46
1943	50-54	0.00969	0.04740	2.67	86261	4089	421786	2092620	24.26
1943	55-59	0.01489	0.07189	2.62	82172	5907	396796	1670834	20.33
1943	60-64	0.02249	0.10677	2.64	76265	8143	362069	1274038	16.71
1943	65-69	0.03374	0.15595	2.57	68122	10624	314847	911969	13.39
1943	70-74	0.05276	0.23395	2.58	57498	13452	254956	597122	10.39
1943	75-79	0.08583	0.35296	2.49	44047	15547	181136	342165	7.77
1943	80-84	0.14026	0.51388	2.4	28500	14646	104418	161030	5.65
1943	85-89	0.21581	0.67699	2.25	13855	9379	43462	56612	4.09
1943	90-94	0.32241	0.81761	1.99	4475	3659	11349	13150	2.94
1943	95-99	0.44331	0.90715	1.74	816	740	1670	1801	2.21
1943	100-104	0.57356	0.95506	1.51	76	72	126	131	1.73
1943	105-109	0.69482	0.97714	1.32	3	3	5	5	1.44
1943	110+	0.78291	1.00000	1.28	0	0	0	0	1.28
1944	0	0.03201	0.03115	0.14	100000	3115	97313	6821106	68.21
1944	1-4	0.00172	0.00683	1.64	96885	662	385979	6723793	69.40
1944	5-9	0.00088	0.00438	2.36	96223	421	480004	6337814	65.87
1944	10-14	0.00084	0.00418	2.62	95802	401	478054	5857810	61.15
1944	15-19	0.00118	0.00589	2.55	95401	562	475627	5379755	56.39
1944	20-24	0.00114	0.00566	2.52	94839	537	472863	4904128	51.71
1944	25-29	0.00140	0.00699	2.6	94302	659	469928	4431266	46.99
1944	30-34	0.00194	0.00965	2.64	93643	904	466077	3961337	42.30
1944	35-39	0.00280	0.01391	2.64	92739	1290	460645	3495260	37.69
1944	40-44	0.00395	0.01955	2.61	91449	1788	452969	3034615	33.18
1944	45-49	0.00592	0.02919	2.66	89661	2618	442167	2581646	28.79
1944	50-54	0.00932	0.04560	2.67	87043	3969	425967	2139478	24.58
1944	55-59	0.01492	0.07202	2.61	83074	5983	401073	1713511	20.63
1944	60-64	0.02179	0.10353	2.61	77091	7982	366368	1312438	17.02
1944	65-69	0.03273	0.15155	2.56	69109	10473	320021	946070	13.69
1944	70-74	0.05217	0.23139	2.56	58636	13568	260056	626049	10.68
1944	75-79	0.08082	0.33544	2.47	45068	15118	187047	365993	8.12
1944	80-84	0.13486	0.49976	2.41	29950	14968	110990	178946	5.97
1944	85-89	0.19122	0.62695	2.25	14982	9393	49123	67956	4.54
1944	90-94	0.27676	0.76463	2.07	5589	4274	15442	18833	3.37
1944	95-99	0.37529	0.86243	1.87	1316	1135	3023	3391	2.58
1944	100-104	0.48490	0.92482	1.66	181	167	345	368	2.03
1944	105-109	0.59612	0.95946	1.47	14	13	22	23	1.67
1944	110+	0.68354	1.00000	1.46	1	1	1	1	1.46
1945	0	0.03171	0.03087	0.14	100000	3087	97333	6830182	68.30
1945	1-4	0.00160	0.00639	1.58	96913	619	386156	6732849	69.47
1945	5-9	0.00090	0.00449	2.43	96294	432	480357	6346693	65.91
1945	10-14	0.00079	0.00396	2.55	95862	380	478379	5866336	61.20
1945	15-19	0.00112	0.00559	2.61	95482	534	476134	5387957	56.43
1945	20-24	0.00127	0.00632	2.5	94948	600	473236	4911822	51.73
1945	25-29	0.00133	0.00661	2.58	94348	624	470230	4438587	47.04
1945	30-34	0.00186	0.00924	2.62	93724	866	466559	3968356	42.34
1945	35-39	0.00251	0.01246	2.68	92858	1157	461609	3501797	37.71
1945	40-44	0.00423	0.02096	2.67	91701	1922	454031	3040188	33.15
1945	45-49	0.00627	0.03091	2.65	89780	2775	442384	2586158	28.81
1945	50-54	0.00936	0.04578	2.64	87004	3983	425629	2143774	24.64
1945	55-59	0.01431	0.06919	2.63	83022	5744	401497	1718145	20.70
1945	60-64	0.02149	0.10229	2.65	77278	7904	367783	1316648	17.04
1945	65-69	0.03321	0.15365	2.57	69373	10659	320985	948866	13.68
1945	70-74	0.05076	0.22640	2.61	58714	13293	261856	627881	10.69
1945	75-79	0.08518	0.35127	2.51	45421	15955	187310	366024	8.06
1945	80-84	0.12749	0.47914	2.41	29466	14118	110742	178714	6.07
1945	85-89	0.19624	0.64015	2.29	15348	9825	50066	67971	4.43
1945	90-94	0.28816	0.77940	2.06	5523	4304	14938	17906	3.24
1945	95-99	0.39841	0.88018	1.83	1218	1072	2692	2968	2.44
1945	100-104	0.52192	0.93967	1.59	146	137	263	276	1.89
1945	105-109	0.64345	0.96937	1.4	9	9	13	14	1.55
1945	110+	0.73591	1.00000	1.36	0	0	0	0	1.36
1946	0	0.03356	0.03262	0.14	100000	3262	97198	6841110	68.41
1946	1-4	0.00148	0.00592	1.63	96738	573	385597	6743911	69.71
1946	5-9	0.00078	0.00389	2.56	96165	374	479916	6358314	66.12
1946	10-14	0.00084	0.00417	2.51	95792	400	477965	5878398	61.37
1946	15-19	0.00103	0.00515	2.69	95392	491	475826	5400432	56.61
1946	20-24	0.00155	0.00772	2.52	94901	733	472684	4924606	51.89
1946	25-29	0.00138	0.00690	2.53	94168	650	469235	4451922	47.28
1946	30-34	0.00193	0.00959	2.63	93518	897	465463	3982686	42.59
1946	35-39	0.00254	0.01261	2.65	92622	1168	460359	3517223	37.97
1946	40-44	0.00402	0.01992	2.66	91454	1822	452998	3056864	33.43
1946	45-49	0.00577	0.02849	2.69	89632	2554	442255	2603866	29.05
1946	50-54	0.00938	0.04586	2.64	87078	3993	425960	2161611	24.82
1946	55-59	0.01400	0.06776	2.65	83085	5630	402201	1735652	20.89
1946	60-64	0.02166	0.10302	2.63	77455	7980	368401	1333451	17.22
1946	65-69	0.03228	0.14981	2.6	69475	10408	322407	965050	13.89
1946	70-74	0.05078	0.22652	2.62	59067	13380	263476	642643	10.88
1946	75-79	0.08061	0.33617	2.53	45688	15359	190521	379167	8.30
1946	80-84	0.12453	0.47156	2.43	30329	14302	114843	188646	6.22
1946	85-89	0.18694	0.61981	2.28	16027	9934	53138	73803	4.60
1946	90-94	0.27356	0.76150	2.09	6093	4640	16962	20665	3.39
1946	95-99	0.37944	0.86650	1.87	1453	1259	3319	3703	2.55
1946	100-104	0.49816	0.93085	1.64	194	181	363	384	1.98
1946	105-109	0.61766	0.96446	1.43	13	13	21	22	1.61
1946	110+	0.71038	1.00000	1.41	0	0	1	1	1.41
1947	0	0.03182	0.03097	0.14	100000	3097	97329	6876777	68.77
1947	1-4	0.00121	0.00484	1.53	96903	469	386451	6779448	69.96
1947	5-9	0.00061	0.00303	2.36	96434	292	481398	6392997	66.29
1947	10-14	0.00054	0.00268	2.72	96142	258	480122	5911599	61.49
1947	15-19	0.00110	0.00548	2.7	95884	525	478210	5431477	56.65
1947	20-24	0.00137	0.00683	2.49	95359	651	475157	4953267	51.94
1947	25-29	0.00129	0.00642	2.53	94707	608	472034	4478110	47.28
1947	30-34	0.00165	0.00821	2.65	94100	772	468685	4006076	42.57
1947	35-39	0.00250	0.01241	2.65	93327	1158	463911	3537391	37.90
1947	40-44	0.00369	0.01831	2.68	92170	1688	456939	3073480	33.35
1947	45-49	0.00601	0.02964	2.7	90482	2682	446238	2616541	28.92
1947	50-54	0.00945	0.04624	2.64	87800	4060	429405	2170303	24.72
