PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,b,1941-1949,0,0.03203,0.03116,0.14,100000,3116,97312,6841789,68.42
WI,b,1941-1949,1-4,0.00154,0.00613,1.6,96884,593,386108,6744477,69.61
WI,b,1941-1949,5-9,0.00077,0.00382,2.43,96290,368,480505,6358369,66.03
WI,b,1941-1949,10-14,0.00073,0.00365,2.61,95922,350,478775,5877864,61.28
WI,b,1941-1949,15-19,0.00113,0.00562,2.64,95572,537,476594,5399090,56.49
WI,b,1941-1949,20-24,0.00137,0.00685,2.53,95035,651,473566,4922496,51.80
WI,b,1941-1949,25-29,0.00144,0.00719,2.55,94384,679,470261,4448930,47.14
WI,b,1941-1949,30-34,0.00186,0.00928,2.61,93705,869,466454,3978669,42.46
WI,b,1941-1949,35-39,0.00260,0.01294,2.65,92836,1201,461362,3512214,37.83
WI,b,1941-1949,40-44,0.00396,0.01960,2.66,91635,1796,453977,3050852,33.29
WI,b,1941-1949,45-49,0.00600,0.02959,2.66,89840,2658,442971,2596876,28.91
WI,b,1941-1949,50-54,0.00925,0.04527,2.65,87181,3946,426632,2153905,24.71
WI,b,1941-1949,55-59,0.01412,0.06832,2.65,83235,5687,402785,1727273,20.75
WI,b,1941-1949,60-64,0.02164,0.10292,2.62,77548,7982,368765,1324487,17.08
WI,b,1941-1949,65-69,0.03267,0.15148,2.6,69567,10538,322582,955723,13.74
WI,b,1941-1949,70-74,0.05097,0.22695,2.59,59029,13397,262850,633140,10.73
WI,b,1941-1949,75-79,0.08284,0.34358,2.52,45632,15678,189255,370290,8.11
WI,b,1941-1949,80-84,0.12932,0.48475,2.42,29954,14520,112283,181035,6.04
WI,b,1941-1949,85-89,0.19566,0.63766,2.27,15434,9842,50299,68752,4.45
WI,b,1941-1949,90-94,0.28238,0.77286,2.07,5592,4322,15306,18453,3.30
WI,b,1941-1949,95-99,0.39118,0.87505,1.84,1270,1111,2841,3147,2.48
WI,b,1941-1949,100-104,0.51237,0.93626,1.61,159,149,290,306,1.93
WI,b,1941-1949,105-109,0.63326,0.96753,1.41,10,10,15,16,1.57
WI,b,1941-1949,110+,0.72628,1.00000,1.38,0,0,0,0,1.38
WI,b,1950-1959,0,0.02430,0.02379,0.12,100000,2379,97896,7059354,70.59
WI,b,1950-1959,1-4,0.00103,0.00410,1.61,97621,400,389528,6961458,71.31
WI,b,1950-1959,5-9,0.00050,0.00249,2.35,97221,242,485462,6571931,67.60
WI,b,1950-1959,10-14,0.00049,0.00243,2.71,96979,236,484353,6086469,62.76
WI,b,1950-1959,15-19,0.00103,0.00512,2.73,96743,495,482587,5602116,57.91
WI,b,1950-1959,20-24,0.00121,0.00602,2.47,96247,579,479775,5119528,53.19
WI,b,1950-1959,25-29,0.00114,0.00571,2.5,95668,546,476979,4639753,48.50
WI,b,1950-1959,30-34,0.00137,0.00681,2.63,95122,648,474077,4162774,43.76
WI,b,1950-1959,35-39,0.00196,0.00976,2.66,94474,922,470218,3688697,39.04
WI,b,1950-1959,40-44,0.00315,0.01562,2.7,93552,1461,464398,3218479,34.40
WI,b,1950-1959,45-49,0.00514,0.02540,2.69,92091,2340,455050,2754081,29.91
WI,b,1950-1959,50-54,0.00811,0.03980,2.66,89752,3572,440396,2299030,25.62
WI,b,1950-1959,55-59,0.01244,0.06043,2.65,86180,5208,418648,1858634,21.57
WI,b,1950-1959,60-64,0.01949,0.09319,2.65,80972,7546,387109,1439986,17.78
WI,b,1950-1959,65-69,0.03044,0.14191,2.61,73426,10420,342276,1052877,14.34
WI,b,1950-1959,70-74,0.04713,0.21163,2.59,63007,13334,282908,710600,11.28
WI,b,1950-1959,75-79,0.07498,0.31634,2.53,49673,15714,209576,427693,8.61
WI,b,1950-1959,80-84,0.11708,0.45083,2.45,33959,15310,130759,218117,6.42
WI,b,1950-1959,85-89,0.18199,0.61079,2.31,18649,11391,62589,87358,4.68
WI,b,1950-1959,90-94,0.27059,0.75859,2.1,7259,5506,20349,24768,3.41
WI,b,1950-1959,95-99,0.38320,0.87012,1.86,1752,1525,3979,4419,2.52
WI,b,1950-1959,100-104,0.51028,0.93598,1.62,228,213,417,440,1.93
