PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,f,1941-1949,0,0.02727,0.02664,0.13,100000,2664,97681,7062964,70.63
WI,f,1941-1949,1,0.00232,0.00232,0.5,97336,226,97224,6965284,71.56
WI,f,1941-1949,2,0.00131,0.00131,0.5,97111,127,97047,6868060,70.72
WI,f,1941-1949,3,0.00102,0.00102,0.5,96984,99,96934,6771013,69.82
WI,f,1941-1949,4,0.00081,0.00081,0.5,96884,78,96845,6674079,68.89
WI,f,1941-1949,5,0.00070,0.00070,0.5,96806,68,96772,6577234,67.94
WI,f,1941-1949,6,0.00065,0.00065,0.5,96738,62,96707,6480462,66.99
WI,f,1941-1949,7,0.00061,0.00061,0.5,96676,59,96646,6383755,66.03
WI,f,1941-1949,8,0.00058,0.00058,0.5,96617,56,96589,6287109,65.07
WI,f,1941-1949,9,0.00056,0.00056,0.5,96561,54,96534,6190520,64.11
WI,f,1941-1949,10,0.00055,0.00055,0.5,96507,53,96480,6093986,63.15
WI,f,1941-1949,11,0.00056,0.00056,0.5,96453,54,96427,5997506,62.18
WI,f,1941-1949,12,0.00057,0.00057,0.5,96400,55,96372,5901080,61.21
WI,f,1941-1949,13,0.00059,0.00059,0.5,96345,57,96316,5804708,60.25
WI,f,1941-1949,14,0.00063,0.00063,0.5,96288,60,96257,5708392,59.28
WI,f,1941-1949,15,0.00067,0.00067,0.5,96227,64,96195,5612134,58.32
WI,f,1941-1949,16,0.00072,0.00072,0.5,96163,69,96128,5515939,57.36
WI,f,1941-1949,17,0.00077,0.00077,0.5,96094,74,96056,5419811,56.40
WI,f,1941-1949,18,0.00084,0.00084,0.5,96019,81,95979,5323755,55.44
WI,f,1941-1949,19,0.00091,0.00091,0.5,95939,87,95895,5227776,54.49
WI,f,1941-1949,20,0.00099,0.00099,0.5,95851,95,95804,5131881,53.54
WI,f,1941-1949,21,0.00105,0.00105,0.5,95757,101,95706,5036077,52.59
WI,f,1941-1949,22,0.00110,0.00110,0.5,95656,105,95603,4940371,51.65
WI,f,1941-1949,23,0.00113,0.00113,0.5,95550,108,95496,4844768,50.70
WI,f,1941-1949,24,0.00114,0.00114,0.5,95442,109,95388,4749271,49.76
WI,f,1941-1949,25,0.00113,0.00113,0.5,95334,108,95280,4653883,48.82
WI,f,1941-1949,26,0.00115,0.00115,0.5,95226,109,95171,4558603,47.87
WI,f,1941-1949,27,0.00118,0.00118,0.5,95117,112,95060,4463432,46.93
WI,f,1941-1949,28,0.00125,0.00124,0.5,95004,118,94945,4368372,45.98
WI,f,1941-1949,29,0.00133,0.00133,0.5,94886,126,94823,4273427,45.04
WI,f,1941-1949,30,0.00144,0.00143,0.5,94760,136,94692,4178604,44.10
WI,f,1941-1949,31,0.00154,0.00154,0.5,94624,145,94551,4083912,43.16
WI,f,1941-1949,32,0.00164,0.00164,0.5,94478,154,94401,3989361,42.23
WI,f,1941-1949,33,0.00173,0.00173,0.5,94324,163,94242,3894960,41.29
WI,f,1941-1949,34,0.00182,0.00182,0.5,94161,171,94075,3800718,40.36
WI,f,1941-1949,35,0.00192,0.00191,0.5,93990,180,93900,3706643,39.44
WI,f,1941-1949,36,0.00204,0.00203,0.5,93810,191,93715,3612743,38.51
