WI: WI, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.02962	0.02888	0.14	100000	2888	97504	6975589	69.76
1941-1944	1	0.00277	0.00276	0.5	97112	268	96977	6878084	70.83
1941-1944	2	0.00156	0.00156	0.5	96843	151	96768	6781107	70.02
1941-1944	3	0.00128	0.00128	0.5	96692	123	96631	6684339	69.13
1941-1944	4	0.00095	0.00095	0.5	96569	91	96523	6587708	68.22
1941-1944	5	0.00078	0.00078	0.5	96478	75	96440	6491185	67.28
1941-1944	6	0.00070	0.00070	0.5	96403	68	96369	6394745	66.33
1941-1944	7	0.00066	0.00066	0.5	96335	63	96303	6298376	65.38
1941-1944	8	0.00062	0.00062	0.5	96272	60	96242	6202073	64.42
1941-1944	9	0.00060	0.00060	0.5	96212	58	96183	6105831	63.46
1941-1944	10	0.00060	0.00060	0.5	96154	57	96125	6009649	62.50
1941-1944	11	0.00060	0.00060	0.5	96097	57	96068	5913523	61.54
1941-1944	12	0.00061	0.00061	0.5	96039	58	96010	5817456	60.57
1941-1944	13	0.00063	0.00063	0.5	95981	60	95951	5721445	59.61
1941-1944	14	0.00066	0.00066	0.5	95921	63	95889	5625495	58.65
1941-1944	15	0.00070	0.00070	0.5	95857	68	95823	5529606	57.69
1941-1944	16	0.00076	0.00076	0.5	95790	72	95753	5433782	56.73
1941-1944	17	0.00082	0.00082	0.5	95717	78	95678	5338029	55.77
1941-1944	18	0.00089	0.00089	0.5	95639	85	95596	5242351	54.81
1941-1944	19	0.00097	0.00097	0.5	95554	93	95507	5146754	53.86
1941-1944	20	0.00107	0.00107	0.5	95461	102	95410	5051247	52.91
1941-1944	21	0.00116	0.00116	0.5	95359	111	95304	4955837	51.97
1941-1944	22	0.00124	0.00124	0.5	95248	118	95189	4860534	51.03
1941-1944	23	0.00131	0.00130	0.5	95130	124	95068	4765345	50.09
1941-1944	24	0.00135	0.00135	0.5	95006	128	94942	4670277	49.16
1941-1944	25	0.00136	0.00136	0.5	94878	129	94813	4575335	48.22
1941-1944	26	0.00138	0.00138	0.5	94749	131	94683	4480522	47.29
1941-1944	27	0.00142	0.00142	0.5	94618	135	94551	4385838	46.35
1941-1944	28	0.00148	0.00148	0.5	94483	140	94413	4291287	45.42
1941-1944	29	0.00156	0.00156	0.5	94343	147	94269	4196874	44.49
1941-1944	30	0.00167	0.00166	0.5	94196	157	94117	4102605	43.55
1941-1944	31	0.00176	0.00176	0.5	94039	166	93956	4008487	42.63
1941-1944	32	0.00186	0.00186	0.5	93873	175	93786	3914531	41.70
1941-1944	33	0.00196	0.00196	0.5	93699	183	93607	3820745	40.78
1941-1944	34	0.00206	0.00205	0.5	93515	192	93419	3727138	39.86
1941-1944	35	0.00217	0.00217	0.5	93323	202	93222	3633719	38.94
1941-1944	36	0.00230	0.00230	0.5	93121	214	93014	3540497	38.02
1941-1944	37	0.00246	0.00246	0.5	92907	228	92793	3447483	37.11
1941-1944	38	0.00267	0.00267	0.5	92679	247	92555	3354690	36.20
1941-1944	39	0.00291	0.00290	0.5	92432	268	92298	3262134	35.29
1941-1944	40	0.00316	0.00316	0.5	92164	291	92018	3169837	34.39
1941-1944	41	0.00339	0.00339	0.5	91873	311	91717	3077819	33.50
1941-1944	42	0.00364	0.00363	0.5	91561	333	91395	2986102	32.61
1941-1944	43	0.00387	0.00386	0.5	91229	352	91053	2894706	31.73
1941-1944	44	0.00410	0.00410	0.5	90877	372	90691	2803654	30.85
1941-1944	45	0.00441	0.00440	0.5	90504	398	90305	2712963	29.98
1941-1944	46	0.00469	0.00468	0.5	90106	422	89895	2622658	29.11
1941-1944	47	0.00503	0.00502	0.5	89684	450	89459	2532763	28.24
