WI: WI, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03237	0.03149	0.14	100000	3149	97303	6937504	69.38
1941	1-4	0.00175	0.00698	1.45	96851	676	385682	6840201	70.63
1941	5-9	0.00069	0.00345	2.53	96175	332	480056	6454519	67.11
1941	10-14	0.00065	0.00324	2.56	95843	311	478459	5974463	62.34
1941	15-19	0.00097	0.00482	2.66	95532	460	476585	5496003	57.53
1941	20-24	0.00134	0.00669	2.56	95072	636	473809	5019418	52.80
1941	25-29	0.00144	0.00719	2.58	94437	679	470539	4545609	48.13
1941	30-34	0.00193	0.00961	2.6	93758	901	466630	4075069	43.46
1941	35-39	0.00253	0.01257	2.66	92857	1167	461547	3608439	38.86
1941	40-44	0.00375	0.01860	2.62	91690	1705	454389	3146892	34.32
1941	45-49	0.00493	0.02439	2.64	89984	2195	444732	2692503	29.92
1941	50-54	0.00808	0.03967	2.67	87790	3483	430841	2247771	25.60
1941	55-59	0.01192	0.05796	2.65	84307	4886	410044	1816930	21.55
1941	60-64	0.01883	0.09018	2.65	79421	7162	380258	1406886	17.71
1941	65-69	0.02904	0.13599	2.67	72259	9827	338388	1026628	14.21
1941	70-74	0.04884	0.21872	2.61	62432	13655	279593	688240	11.02
1941	75-79	0.07731	0.32528	2.56	48777	15866	205237	408647	8.38
1941	80-84	0.12323	0.46887	2.45	32911	15431	125217	203410	6.18
1941	85-89	0.19415	0.63566	2.28	17480	11111	57231	78193	4.47
1941	90-94	0.28267	0.77382	2.08	6369	4928	17434	20962	3.29
1941	95-99	0.39597	0.87880	1.84	1440	1266	3197	3528	2.45
1941	100-104	0.52176	0.93979	1.6	175	164	314	331	1.89
1941	105-109	0.64573	0.96985	1.39	11	10	16	16	1.54
1941	110+	0.73985	1.00000	1.35	0	0	0	0	1.35
1942	0	0.02982	0.02907	0.14	100000	2907	97490	6982060	69.82
1942	1-4	0.00153	0.00611	1.61	97093	593	386955	6884571	70.91
1942	5-9	0.00064	0.00320	2.32	96499	309	481667	6497616	67.33
