WI: WI, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03655	0.03544	0.14	100000	3544	96963	6645159	66.45
1941-1949	1	0.00268	0.00268	0.5	96456	258	96327	6548196	67.89
1941-1949	2	0.00160	0.00160	0.5	96198	154	96121	6451869	67.07
1941-1949	3	0.00146	0.00146	0.5	96044	140	95973	6355748	66.18
1941-1949	4	0.00105	0.00105	0.5	95903	100	95853	6259775	65.27
1941-1949	5	0.00093	0.00093	0.5	95803	89	95758	6163922	64.34
1941-1949	6	0.00093	0.00093	0.5	95714	89	95670	6068163	63.40
1941-1949	7	0.00092	0.00092	0.5	95625	88	95581	5972494	62.46
1941-1949	8	0.00090	0.00090	0.5	95537	86	95494	5876913	61.51
1941-1949	9	0.00085	0.00085	0.5	95451	81	95410	5781419	60.57
1941-1949	10	0.00080	0.00080	0.5	95369	76	95331	5686009	59.62
1941-1949	11	0.00079	0.00079	0.5	95293	75	95256	5590677	58.67
1941-1949	12	0.00083	0.00083	0.5	95218	79	95179	5495422	57.71
1941-1949	13	0.00092	0.00092	0.5	95139	87	95096	5400243	56.76
1941-1949	14	0.00106	0.00106	0.5	95052	100	95002	5305147	55.81
1941-1949	15	0.00123	0.00123	0.5	94952	117	94893	5210145	54.87
1941-1949	16	0.00139	0.00139	0.5	94835	132	94769	5115252	53.94
1941-1949	17	0.00151	0.00151	0.5	94703	143	94632	5020483	53.01
1941-1949	18	0.00159	0.00159	0.5	94560	150	94485	4925851	52.09
1941-1949	19	0.00164	0.00163	0.5	94410	154	94333	4831366	51.17
1941-1949	20	0.00165	0.00165	0.5	94256	156	94178	4737033	50.26
1941-1949	21	0.00167	0.00167	0.5	94100	157	94022	4642855	49.34
1941-1949	22	0.00168	0.00167	0.5	93943	157	93864	4548833	48.42
1941-1949	23	0.00167	0.00167	0.5	93786	157	93707	4454969	47.50
1941-1949	24	0.00166	0.00166	0.5	93629	155	93551	4361262	46.58
1941-1949	25	0.00164	0.00164	0.5	93474	153	93397	4267710	45.66
1941-1949	26	0.00164	0.00164	0.5	93320	153	93244	4174313	44.73
1941-1949	27	0.00166	0.00166	0.5	93168	154	93090	4081069	43.80
1941-1949	28	0.00170	0.00170	0.5	93013	158	92934	3987979	42.88
1941-1949	29	0.00177	0.00177	0.5	92855	164	92773	3895045	41.95
1941-1949	30	0.00186	0.00186	0.5	92691	172	92604	3802272	41.02
1941-1949	31	0.00196	0.00196	0.5	92518	182	92427	3709667	40.10
1941-1949	32	0.00208	0.00208	0.5	92337	192	92241	3617240	39.17
1941-1949	33	0.00221	0.00221	0.5	92145	204	92043	3524999	38.26
1941-1949	34	0.00236	0.00236	0.5	91941	217	91832	3432957	37.34
1941-1949	35	0.00254	0.00253	0.5	91724	232	91608	3341124	36.43
