PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WI,m,1941,0,0.04212,0.04068,0.16,100000,4068,96575,6561453,65.61
WI,m,1941,1-4,0.00197,0.00785,1.5,95932,753,381842,6464878,67.39
WI,m,1941,5-9,0.00103,0.00515,2.48,95179,491,474658,6083036,63.91
WI,m,1941,10-14,0.00081,0.00406,2.57,94688,385,472504,5608378,59.23
WI,m,1941,15-19,0.00141,0.00704,2.69,94303,664,469983,5135874,54.46
WI,m,1941,20-24,0.00196,0.00974,2.55,93639,912,465964,4665891,49.83
WI,m,1941,25-29,0.00203,0.01010,2.53,92728,936,461330,4199927,45.29
WI,m,1941,30-34,0.00248,0.01233,2.59,91791,1132,456232,3738597,40.73
WI,m,1941,35-39,0.00331,0.01640,2.62,90660,1487,449765,3282365,36.21
WI,m,1941,40-44,0.00468,0.02313,2.7,89172,2062,441117,2832599,31.77
WI,m,1941,45-49,0.00750,0.03683,2.61,87110,3209,427884,2391482,27.45
WI,m,1941,50-54,0.01016,0.04962,2.65,83901,4163,409704,1963598,23.40
WI,m,1941,55-59,0.01684,0.08100,2.66,79738,6459,383583,1553894,19.49
WI,m,1941,60-64,0.02570,0.12106,2.61,73279,8871,345214,1170310,15.97
WI,m,1941,65-69,0.03791,0.17387,2.62,64408,11199,295391,825097,12.81
WI,m,1941,70-74,0.05903,0.25806,2.57,53209,13731,232630,529706,9.96
WI,m,1941,75-79,0.09382,0.38059,2.52,39478,15025,160152,297076,7.53
WI,m,1941,80-84,0.14679,0.53020,2.38,24453,12965,88325,136924,5.60
WI,m,1941,85-89,0.20880,0.65971,2.21,11488,7579,36297,48600,4.23
WI,m,1941,90-94,0.29951,0.79207,2.03,3909,3096,10338,12302,3.15
WI,m,1941,95-99,0.40269,0.88181,1.81,813,717,1780,1964,2.42
WI,m,1941,100-104,0.51535,0.93663,1.6,96,90,175,184,1.92
WI,m,1941,105-109,0.62709,0.96599,1.42,6,6,9,10,1.59
WI,m,1941,110+,0.71356,1.00000,1.4,0,0,0,0,1.40
WI,m,1942,0,0.03915,0.03789,0.15,100000,3789,96780,6596924,65.97
WI,m,1942,1-4,0.00171,0.00683,1.63,96211,657,383291,6500144,67.56
WI,m,1942,5-9,0.00078,0.00390,2.45,95554,372,476822,6116853,64.01
WI,m,1942,10-14,0.00088,0.00437,2.73,95182,416,474965,5640031,59.26
WI,m,1942,15-19,0.00156,0.00775,2.61,94766,735,472075,5165067,54.50
