WV: WV, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.06612	0.06292	0.23	100000	6292	95159	6279337	62.79
1941	1-4	0.00364	0.01441	1.27	93708	1350	371150	6184178	65.99
1941	5-9	0.00105	0.00525	2.22	92358	485	460439	5813028	62.94
1941	10-14	0.00103	0.00513	2.74	91873	471	458298	5352589	58.26
1941	15-19	0.00188	0.00938	2.63	91402	857	454978	4894291	53.55
1941	20-24	0.00246	0.01223	2.6	90545	1108	450066	4439313	49.03
1941	25-29	0.00311	0.01544	2.57	89437	1381	443836	3989247	44.60
1941	30-34	0.00377	0.01870	2.6	88056	1647	436332	3545412	40.26
1941	35-39	0.00498	0.02463	2.58	86409	2128	426901	3109080	35.98
1941	40-44	0.00578	0.02850	2.64	84281	2402	415732	2682179	31.82
1941	45-49	0.00817	0.04006	2.62	81880	3280	401590	2266447	27.68
1941	50-54	0.01182	0.05749	2.64	78600	4519	382317	1864857	23.73
1941	55-59	0.01640	0.07890	2.59	74081	5845	356342	1482539	20.01
1941	60-64	0.02370	0.11223	2.65	68236	7658	323188	1126197	16.50
1941	65-69	0.03595	0.16565	2.64	60578	10035	279167	803009	13.26
1941	70-74	0.05614	0.24676	2.55	50543	12472	222167	523842	10.36
1941	75-79	0.08689	0.35873	2.57	38071	13657	157174	301675	7.92
1941	80-84	0.13423	0.49824	2.41	24414	12164	90624	144501	5.92
1941	85-89	0.19970	0.64423	2.25	12250	7892	39517	53877	4.40
1941	90-94	0.28381	0.77372	2.06	4358	3372	11881	14359	3.29
1941	95-99	0.38571	0.87037	1.85	986	858	2225	2478	2.51
1941	100-104	0.49875	0.93061	1.63	128	119	239	253	1.98
1941	105-109	0.61252	0.96316	1.44	9	9	14	14	1.62
1941	110+	0.70130	1.00000	1.43	0	0	0	0	1.43
1942	0	0.05524	0.05291	0.2	100000	5291	95773	6429264	64.29
1942	1-4	0.00300	0.01192	1.39	94709	1129	375892	6333491	66.87
1942	5-9	0.00089	0.00444	2.34	93580	416	466797	5957598	63.66
1942	10-14	0.00084	0.00419	2.73	93165	390	464938	5490801	58.94
1942	15-19	0.00170	0.00849	2.67	92774	787	462040	5025863	54.17
1942	20-24	0.00225	0.01120	2.62	91987	1030	457480	4563822	49.61
1942	25-29	0.00291	0.01446	2.6	90957	1315	451633	4106343	45.15
1942	30-34	0.00381	0.01888	2.61	89642	1693	444159	3654710	40.77
1942	35-39	0.00480	0.02373	2.62	87949	2087	434769	3210551	36.50
1942	40-44	0.00606	0.02987	2.63	85862	2565	423226	2775782	32.33
1942	45-49	0.00802	0.03937	2.6	83297	3279	408631	2352556	28.24
1942	50-54	0.01097	0.05345	2.64	80018	4277	389978	1943925	24.29
1942	55-59	0.01497	0.07226	2.62	75741	5473	365696	1553947	20.52
1942	60-64	0.02333	0.11063	2.67	70268	7774	333263	1188251	16.91
1942	65-69	0.03291	0.15255	2.61	62495	9533	289663	854988	13.68
1942	70-74	0.05263	0.23372	2.61	52961	12378	235186	565325	10.67
1942	75-79	0.08310	0.34697	2.62	40583	14081	169459	330138	8.13
1942	80-84	0.12792	0.48092	2.42	26502	12745	99634	160679	6.06
1942	85-89	0.19573	0.63762	2.27	13757	8772	44814	61046	4.44
1942	90-94	0.28660	0.77830	2.06	4985	3880	13537	16232	3.26
1942	95-99	0.39811	0.87995	1.83	1105	973	2443	2694	2.44
1942	100-104	0.52138	0.93948	1.6	133	125	239	252	1.90
1942	105-109	0.64281	0.96925	1.4	8	8	12	12	1.55
1942	110+	0.73516	1.00000	1.36	0	0	0	0	1.36
1943	0	0.05375	0.05153	0.2	100000	5153	95862	6457158	64.57
1943	1-4	0.00303	0.01202	1.47	94847	1140	376505	6361295	67.07
1943	5-9	0.00100	0.00498	2.27	93708	467	467265	5984790	63.87
1943	10-14	0.00096	0.00481	2.74	93241	449	465190	5517525	59.17
1943	15-19	0.00178	0.00887	2.62	92792	823	462003	5052335	54.45
1943	20-24	0.00196	0.00974	2.55	91969	896	457651	4590332	49.91
1943	25-29	0.00237	0.01179	2.58	91073	1074	452764	4132681	45.38
1943	30-34	0.00317	0.01573	2.66	90000	1415	446688	3679918	40.89
1943	35-39	0.00462	0.02285	2.59	88584	2024	438032	3233230	36.50
1943	40-44	0.00524	0.02585	2.56	86560	2238	427331	2795198	32.29
1943	45-49	0.00774	0.03801	2.61	84322	3205	413961	2367867	28.08
1943	50-54	0.01078	0.05255	2.63	81117	4263	395495	1953906	24.09
1943	55-59	0.01567	0.07548	2.57	76854	5801	370171	1558411	20.28
1943	60-64	0.02232	0.10599	2.63	71054	7531	337439	1188240	16.72
1943	65-69	0.03394	0.15675	2.56	63522	9957	293339	850802	13.39
1943	70-74	0.05561	0.24525	2.59	53565	13137	236222	557463	10.41
1943	75-79	0.08652	0.35551	2.49	40428	14373	166118	321241	7.95
1943	80-84	0.13573	0.50045	2.38	26056	13040	96073	155123	5.95
1943	85-89	0.19370	0.63171	2.25	13016	8222	42449	59050	4.54
1943	90-94	0.26887	0.75355	2.08	4794	3612	13435	16601	3.46
1943	95-99	0.36005	0.84974	1.89	1181	1004	2788	3166	2.68
1943	100-104	0.46273	0.91452	1.69	178	162	351	377	2.13
1943	105-109	0.56912	0.95260	1.51	15	14	25	26	1.75
1943	110+	0.65416	1.00000	1.53	1	1	1	1	1.53
1944	0	0.05269	0.05054	0.19	100000	5054	95930	6546297	65.46
1944	1-4	0.00268	0.01065	1.52	94946	1011	377275	6450367	67.94
1944	5-9	0.00096	0.00480	2.4	93935	451	468501	6073092	64.65
1944	10-14	0.00103	0.00516	2.61	93484	482	466268	5604591	59.95
1944	15-19	0.00143	0.00715	2.63	93001	665	463429	5138323	55.25
1944	20-24	0.00185	0.00919	2.58	92337	848	459630	4674894	50.63
1944	25-29	0.00215	0.01072	2.55	91488	980	455037	4215264	46.07
1944	30-34	0.00270	0.01339	2.59	90508	1212	449621	3760227	41.55
1944	35-39	0.00377	0.01868	2.63	89296	1668	442529	3310606	37.07
1944	40-44	0.00531	0.02622	2.54	87628	2297	432478	2868077	32.73
1944	45-49	0.00742	0.03643	2.62	85330	3109	419267	2435599	28.54
1944	50-54	0.01085	0.05288	2.59	82221	4348	400640	2016332	24.52
1944	55-59	0.01465	0.07072	2.56	77874	5507	375942	1615691	20.75
1944	60-64	0.02137	0.10167	2.62	72366	7357	344347	1239749	17.13
1944	65-69	0.03314	0.15319	2.54	65009	9959	300503	895402	13.77
1944	70-74	0.05154	0.22906	2.57	55050	12610	244653	594899	10.81
1944	75-79	0.07861	0.32729	2.44	42440	13890	176690	350246	8.25
1944	80-84	0.13002	0.48695	2.42	28550	13902	106929	173556	6.08
1944	85-89	0.19178	0.62856	2.26	14648	9207	48008	66627	4.55
1944	90-94	0.27162	0.75803	2.09	5441	4124	15184	18620	3.42
1944	95-99	0.37008	0.85862	1.88	1317	1130	3054	3436	2.61
1944	100-104	0.48113	0.92341	1.66	186	172	357	381	2.05
1944	105-109	0.59442	0.95917	1.47	14	14	23	24	1.67
1944	110+	0.68329	1.00000	1.46	1	1	1	1	1.46
1945	0	0.05228	0.05016	0.19	100000	5016	95950	6563824	65.64
1945	1-4	0.00229	0.00911	1.51	94984	865	377782	6467874	68.09
1945	5-9	0.00102	0.00507	2.2	94119	478	469260	6090091	64.71
1945	10-14	0.00074	0.00369	2.74	93641	346	467425	5620831	60.03
1945	15-19	0.00151	0.00750	2.64	93296	700	464824	5153407	55.24
1945	20-24	0.00167	0.00830	2.53	92596	769	461084	4688583	50.63
1945	25-29	0.00217	0.01078	2.61	91827	990	456765	4227499	46.04
1945	30-34	0.00289	0.01436	2.62	90837	1305	451082	3770734	41.51
1945	35-39	0.00412	0.02039	2.61	89532	1825	443294	3319652	37.08
1945	40-44	0.00517	0.02554	2.55	87707	2240	433040	2876358	32.80
1945	45-49	0.00706	0.03476	2.69	85467	2970	420466	2443317	28.59
1945	50-54	0.01061	0.05174	2.61	82497	4268	402301	2022852	24.52
1945	55-59	0.01497	0.07228	2.61	78228	5655	377643	1620551	20.72
1945	60-64	0.02180	0.10368	2.65	72574	7524	345207	1242907	17.13
1945	65-69	0.03430	0.15834	2.57	65049	10300	300255	897700	13.80
1945	70-74	0.05032	0.22455	2.61	54749	12294	244313	597446	10.91
1945	75-79	0.08292	0.34309	2.49	42455	14566	175664	353132	8.32
1945	80-84	0.12277	0.46535	2.4	27889	12978	105713	177468	6.36
1945	85-89	0.17873	0.60180	2.29	14911	8974	50207	71755	4.81
1945	90-94	0.25366	0.73315	2.12	5937	4353	17161	21548	3.63
1945	95-99	0.34676	0.83904	1.92	1584	1329	3834	4386	2.77
1945	100-104	0.45315	0.91030	1.71	255	232	512	553	2.17
1945	105-109	0.56379	0.95138	1.52	23	22	39	40	1.76
1945	110+	0.65175	1.00000	1.53	1	1	2	2	1.53
1946	0	0.04664	0.04492	0.18	100000	4492	96308	6658849	66.59
1946	1-4	0.00174	0.00694	1.7	95508	662	380511	6562541	68.71
1946	5-9	0.00084	0.00419	2.26	94846	397	473139	6182030	65.18
1946	10-14	0.00087	0.00435	2.63	94448	411	471267	5708891	60.44
1946	15-19	0.00123	0.00613	2.73	94037	576	468879	5237624	55.70
1946	20-24	0.00223	0.01108	2.62	93461	1036	464840	4768745	51.02
1946	25-29	0.00248	0.01232	2.5	92425	1138	459284	4303905	46.57
1946	30-34	0.00257	0.01279	2.58	91287	1167	453608	3844621	42.12
1946	35-39	0.00374	0.01856	2.68	90120	1673	446715	3391013	37.63
1946	40-44	0.00560	0.02761	2.61	88447	2442	436404	2944298	33.29
1946	45-49	0.00690	0.03396	2.65	86005	2921	423173	2507894	29.16
1946	50-54	0.00995	0.04862	2.63	83084	4040	405839	2084721	25.09
1946	55-59	0.01477	0.07135	2.63	79044	5640	381854	1678882	21.24
1946	60-64	0.02023	0.09652	2.63	73405	7085	350253	1297028	17.67
1946	65-69	0.03161	0.14699	2.62	66320	9748	308353	946775	14.28
1946	70-74	0.04704	0.21148	2.61	56571	11964	254315	638422	11.29
1946	75-79	0.07881	0.32971	2.52	44607	14707	186608	384107	8.61
1946	80-84	0.11340	0.43962	2.45	29900	13145	115917	197499	6.61
1946	85-89	0.17398	0.59269	2.31	16755	9931	57081	81582	4.87
1946	90-94	0.25553	0.73704	2.13	6825	5030	19685	24501	3.59
1946	95-99	0.35814	0.84990	1.91	1795	1525	4259	4816	2.68
1946	100-104	0.47561	0.92166	1.68	269	248	522	557	2.07
1946	105-109	0.59651	0.96004	1.47	21	20	34	35	1.67
1946	110+	0.69160	1.00000	1.45	1	1	1	1	1.45
1947	0	0.04140	0.04002	0.16	100000	4002	96651	6657960	66.58
1947	1-4	0.00192	0.00763	1.59	95998	733	382227	6561309	68.35
1947	5-9	0.00068	0.00341	2.38	95266	325	475477	6179082	64.86
1947	10-14	0.00076	0.00381	2.64	94941	362	473851	5703605	60.08
1947	15-19	0.00117	0.00582	2.74	94579	551	471653	5229754	55.30
1947	20-24	0.00211	0.01050	2.64	94028	988	467806	4758101	50.60
1947	25-29	0.00249	0.01235	2.55	93041	1149	462385	4290295	46.11
1947	30-34	0.00268	0.01332	2.55	91892	1224	456455	3827910	41.66
