WV: WV, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05967	0.05702	0.22	100000	5702	95553	6507534	65.08
1941	1-4	0.00377	0.01492	1.22	94298	1407	373288	6411981	68.00
1941	5-9	0.00090	0.00448	2.04	92891	416	463226	6038693	65.01
1941	10-14	0.00078	0.00391	2.81	92476	362	461586	5575467	60.29
1941	15-19	0.00159	0.00791	2.65	92114	729	458853	5113882	55.52
1941	20-24	0.00195	0.00971	2.51	91385	887	454718	4655029	50.94
1941	25-29	0.00208	0.01034	2.63	90498	936	450273	4200311	46.41
1941	30-34	0.00334	0.01659	2.64	89562	1486	444299	3750038	41.87
1941	35-39	0.00405	0.02007	2.56	88076	1767	436076	3305739	37.53
1941	40-44	0.00513	0.02536	2.67	86308	2189	426446	2869664	33.25
1941	45-49	0.00705	0.03464	2.58	84120	2914	413557	2443217	29.04
1941	50-54	0.00938	0.04586	2.62	81206	3724	397184	2029660	24.99
1941	55-59	0.01303	0.06320	2.62	77482	4897	375759	1632477	21.07
1941	60-64	0.02015	0.09626	2.69	72585	6987	346761	1256718	17.31
1941	65-69	0.03139	0.14616	2.65	65597	9588	305421	909957	13.87
1941	70-74	0.05002	0.22311	2.58	56010	12497	249813	604536	10.79
1941	75-79	0.08088	0.33921	2.62	43513	14760	182483	354723	8.15
1941	80-84	0.13201	0.49244	2.42	28753	14159	107256	172240	5.99
1941	85-89	0.19627	0.63786	2.26	14594	9309	47428	64984	4.45
1941	90-94	0.28089	0.77032	2.07	5285	4071	14494	17556	3.32
1941	95-99	0.38393	0.86928	1.85	1214	1055	2748	3063	2.52
1941	100-104	0.49854	0.93066	1.63	159	148	296	314	1.98
1941	105-109	0.61392	0.96352	1.44	11	11	17	18	1.62
1941	110+	0.70380	1.00000	1.42	0	0	1	1	1.42
1942	0	0.04863	0.04678	0.19	100000	4678	96207	6693465	66.93
1942	1-4	0.00273	0.01084	1.41	95322	1033	378613	6597259	69.21
1942	5-9	0.00077	0.00385	2.37	94288	363	470486	6218646	65.95
1942	10-14	0.00065	0.00326	2.68	93925	306	468913	5748159	61.20
1942	15-19	0.00130	0.00648	2.68	93618	607	466686	5279247	56.39
1942	20-24	0.00181	0.00903	2.65	93012	840	463082	4812561	51.74
1942	25-29	0.00246	0.01222	2.57	92172	1127	458123	4349479	47.19
1942	30-34	0.00289	0.01436	2.62	91045	1308	452105	3891356	42.74
1942	35-39	0.00411	0.02034	2.65	89737	1825	444396	3439250	38.33
1942	40-44	0.00520	0.02566	2.61	87912	2256	434161	2994854	34.07
1942	45-49	0.00634	0.03121	2.57	85656	2674	421792	2560693	29.90
1942	50-54	0.00843	0.04131	2.64	82982	3428	406831	2138901	25.78
1942	55-59	0.01176	0.05722	2.65	79554	4552	387087	1732070	21.77
1942	60-64	0.01918	0.09180	2.68	75002	6886	359068	1344983	17.93
1942	65-69	0.02709	0.12726	2.63	68117	8669	320020	985915	14.47
1942	70-74	0.04679	0.21084	2.66	59448	12534	267865	665895	11.20
1942	75-79	0.07736	0.32719	2.64	46914	15350	198416	398030	8.48
1942	80-84	0.11894	0.45611	2.45	31564	14397	121041	199614	6.32
1942	85-89	0.18685	0.62069	2.3	17167	10656	57028	78573	4.58
1942	90-94	0.28047	0.77158	2.09	6512	5024	17914	21544	3.31
1942	95-99	0.39716	0.88002	1.84	1487	1309	3296	3631	2.44
1942	100-104	0.52698	0.94180	1.59	178	168	319	335	1.88
1942	105-109	0.65424	0.97140	1.38	10	10	15	16	1.52
1942	110+	0.75001	1.00000	1.33	0	0	0	0	1.33
1943	0	0.04735	0.04559	0.19	100000	4559	96287	6677059	66.77
1943	1-4	0.00294	0.01168	1.47	95441	1115	378941	6580772	68.95
1943	5-9	0.00091	0.00453	2.18	94325	427	470420	6201831	65.75
1943	10-14	0.00064	0.00320	2.77	93898	300	468821	5731411	61.04
1943	15-19	0.00152	0.00759	2.69	93598	711	466345	5262589	56.23
1943	20-24	0.00185	0.00921	2.55	92887	856	462337	4796244	51.64
1943	25-29	0.00210	0.01045	2.55	92031	961	457800	4333907	47.09
1943	30-34	0.00278	0.01383	2.69	91070	1259	452438	3876107	42.56
1943	35-39	0.00423	0.02092	2.56	89810	1878	444473	3423669	38.12
1943	40-44	0.00428	0.02119	2.53	87932	1863	435061	2979196	33.88
1943	45-49	0.00626	0.03082	2.58	86068	2653	423928	2544134	29.56
1943	50-54	0.00781	0.03834	2.61	83416	3198	409446	2120207	25.42
1943	55-59	0.01146	0.05575	2.59	80218	4473	390321	1710761	21.33
1943	60-64	0.01771	0.08506	2.69	75746	6443	363854	1320440	17.43
1943	65-69	0.03116	0.14494	2.6	69303	10045	322416	956586	13.80
1943	70-74	0.05302	0.23511	2.59	59258	13932	262770	634169	10.70
1943	75-79	0.08090	0.33623	2.49	45326	15240	188387	371399	8.19
1943	80-84	0.12993	0.48564	2.4	30086	14611	112448	183012	6.08
1943	85-89	0.19092	0.62710	2.26	15475	9705	50829	70564	4.56
1943	90-94	0.27181	0.75837	2.09	5771	4376	16101	19735	3.42
1943	95-99	0.37063	0.85903	1.88	1394	1198	3232	3634	2.61
1943	100-104	0.48152	0.92356	1.66	197	182	377	402	2.05
1943	105-109	0.59476	0.95927	1.47	15	14	24	25	1.67
1943	110+	0.68403	1.00000	1.46	1	1	1	1	1.46
1944	0	0.04510	0.04349	0.18	100000	4349	96431	6779283	67.79
1944	1-4	0.00254	0.01010	1.6	95651	966	380280	6682853	69.87
1944	5-9	0.00062	0.00310	1.97	94685	293	472533	6302572	66.56
1944	10-14	0.00087	0.00432	2.73	94391	408	471028	5830039	61.76
1944	15-19	0.00119	0.00595	2.67	93983	559	468613	5359011	57.02
1944	20-24	0.00179	0.00893	2.59	93424	834	465109	4890398	52.35
1944	25-29	0.00192	0.00957	2.54	92590	886	460767	4425289	47.79
1944	30-34	0.00256	0.01271	2.61	91703	1166	455736	3964522	43.23
1944	35-39	0.00344	0.01707	2.58	90538	1546	448950	3508786	38.75
1944	40-44	0.00423	0.02094	2.52	88992	1863	440330	3059837	34.38
1944	45-49	0.00586	0.02889	2.63	87128	2517	429666	2619507	30.06
1944	50-54	0.00848	0.04157	2.59	84611	3517	414583	2189841	25.88
1944	55-59	0.01137	0.05533	2.58	81094	4487	394618	1775258	21.89
1944	60-64	0.01760	0.08448	2.64	76607	6472	367790	1380640	18.02
1944	65-69	0.02875	0.13442	2.58	70136	9427	327862	1012850	14.44
1944	70-74	0.04817	0.21585	2.6	60708	13104	272030	684988	11.28
1944	75-79	0.07197	0.30362	2.43	47604	14453	200838	412958	8.67
1944	80-84	0.11642	0.44947	2.47	33151	14900	127990	212120	6.40
1944	85-89	0.18552	0.61775	2.3	18251	11274	60770	84130	4.61
1944	90-94	0.27677	0.76661	2.09	6976	5348	19323	23361	3.35
1944	95-99	0.39048	0.87522	1.85	1628	1425	3650	4037	2.48
1944	100-104	0.51753	0.93847	1.6	203	191	368	388	1.91
1944	105-109	0.64326	0.96950	1.4	13	12	19	19	1.55
1944	110+	0.73881	1.00000	1.35	0	0	1	1	1.35
1945	0	0.04674	0.04502	0.18	100000	4502	96326	6784123	67.84
