WV: WV, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05013	0.04819	0.19	100000	4819	96113	6666142	66.66
1941-1944	1-4	0.00297	0.01179	1.41	95181	1122	377822	6570028	69.03
1941-1944	5-9	0.00080	0.00399	2.14	94059	375	469224	6192207	65.83
1941-1944	10-14	0.00074	0.00367	2.75	93684	344	467647	5722982	61.09
1941-1944	15-19	0.00140	0.00700	2.67	93340	653	465180	5255336	56.30
1941-1944	20-24	0.00185	0.00922	2.57	92687	854	461362	4790156	51.68
1941-1944	25-29	0.00214	0.01065	2.57	91833	978	456792	4328793	47.14
1941-1944	30-34	0.00289	0.01435	2.64	90855	1303	451198	3872001	42.62
1941-1944	35-39	0.00395	0.01958	2.59	89552	1753	443532	3420804	38.20
1941-1944	40-44	0.00469	0.02318	2.58	87798	2035	434071	2977272	33.91
1941-1944	45-49	0.00637	0.03136	2.59	85764	2690	422337	2543201	29.65
1941-1944	50-54	0.00851	0.04171	2.62	83074	3465	407113	2120864	25.53
1941-1944	55-59	0.01189	0.05779	2.61	79609	4600	387054	1713751	21.53
1941-1944	60-64	0.01859	0.08910	2.68	75009	6683	359508	1326697	17.69
1941-1944	65-69	0.02955	0.13804	2.61	68326	9431	319122	967189	14.16
1941-1944	70-74	0.04946	0.22113	2.61	58894	13023	263290	648068	11.00
1941-1944	75-79	0.07723	0.32448	2.54	45871	14885	192724	384778	8.39
1941-1944	80-84	0.12425	0.47102	2.43	30987	14595	117468	192054	6.20
1941-1944	85-89	0.18983	0.62582	2.28	16391	10258	54037	74586	4.55
1941-1944	90-94	0.27736	0.76658	2.08	6133	4702	16952	20549	3.35
1941-1944	95-99	0.38527	0.87088	1.85	1432	1247	3236	3597	2.51
1941-1944	100-104	0.50579	0.93384	1.62	185	173	341	361	1.95
1941-1944	105-109	0.62638	0.96622	1.42	12	12	19	19	1.59
1941-1944	110+	0.71939	1.00000	1.39	0	0	1	1	1.39
1945-1949	0	0.03842	0.03722	0.16	100000	3722	96876	6925405	69.25
1945-1949	1-4	0.00176	0.00700	1.6	96278	674	383492	6828530	70.93
1945-1949	5-9	0.00069	0.00343	2.31	95604	328	477139	6445038	67.41
1945-1949	10-14	0.00055	0.00277	2.63	95276	264	475757	5967899	62.64
1945-1949	15-19	0.00100	0.00497	2.73	95013	472	473989	5492142	57.80
1945-1949	20-24	0.00151	0.00754	2.59	94541	713	470987	5018152	53.08
