WY: WY, Lifetables (period 1x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04331	0.04180	0.17	100000	4180	96523	6572391	65.72
1941-1944	1	0.00562	0.00560	0.5	95820	537	95551	6475867	67.58
1941-1944	2	0.00326	0.00325	0.5	95283	310	95128	6380316	66.96
1941-1944	3	0.00208	0.00208	0.5	94973	197	94875	6285188	66.18
1941-1944	4	0.00130	0.00130	0.5	94776	123	94715	6190313	65.32
1941-1944	5	0.00110	0.00110	0.5	94653	104	94601	6095598	64.40
1941-1944	6	0.00108	0.00108	0.5	94549	102	94497	6000998	63.47
1941-1944	7	0.00106	0.00106	0.5	94446	100	94396	5906500	62.54
1941-1944	8	0.00105	0.00104	0.5	94346	99	94297	5812104	61.60
1941-1944	9	0.00101	0.00101	0.5	94248	95	94200	5717807	60.67
1941-1944	10	0.00096	0.00096	0.5	94153	91	94107	5623607	59.73
1941-1944	11	0.00095	0.00095	0.5	94062	90	94017	5529499	58.79
1941-1944	12	0.00098	0.00098	0.5	93972	92	93926	5435482	57.84
1941-1944	13	0.00108	0.00107	0.5	93880	101	93830	5341556	56.90
1941-1944	14	0.00123	0.00123	0.5	93779	115	93722	5247726	55.96
1941-1944	15	0.00142	0.00142	0.5	93664	133	93597	5154005	55.03
1941-1944	16	0.00162	0.00162	0.5	93531	151	93455	5060407	54.10
1941-1944	17	0.00180	0.00180	0.5	93380	168	93296	4966952	53.19
1941-1944	18	0.00195	0.00195	0.5	93212	181	93121	4873656	52.29
1941-1944	19	0.00207	0.00207	0.5	93031	193	92934	4780535	51.39
1941-1944	20	0.00218	0.00218	0.5	92838	202	92737	4687601	50.49
1941-1944	21	0.00228	0.00228	0.5	92636	211	92530	4594864	49.60
1941-1944	22	0.00233	0.00233	0.5	92425	215	92317	4502334	48.71
1941-1944	23	0.00234	0.00233	0.5	92209	215	92102	4410017	47.83
1941-1944	24	0.00230	0.00230	0.5	91994	211	91888	4317915	46.94
1941-1944	25	0.00220	0.00220	0.5	91783	202	91682	4226026	46.04
1941-1944	26	0.00211	0.00211	0.5	91581	193	91484	4134344	45.14
1941-1944	27	0.00207	0.00207	0.5	91388	189	91293	4042860	44.24
1941-1944	28	0.00207	0.00207	0.5	91199	189	91104	3951567	43.33
1941-1944	29	0.00212	0.00212	0.5	91010	193	90914	3860462	42.42
1941-1944	30	0.00221	0.00220	0.5	90817	200	90717	3769549	41.51
1941-1944	31	0.00230	0.00230	0.5	90617	209	90513	3678831	40.60
